மற்றும்	y
தொடர்ந்து	mantener
தொடர்ந்து	conservar
இரண்டாம்	segundos
இரண்டாம்	segunda
இரண்டாம்	secundaria
இரண்டாம்	segundo
இரண்டாம்	secundario
இரண்டாம்	secundarias
இரண்டாம்	segundas
இரண்டாம்	secundarios
வரும்	venir
வரும்	llegando
வரும்	viene
வரும்	venida
மே	mayo
ஒவ்வொரு	cada
மட்டுமே	sólo
மட்டுமே	solo
மட்டுமே	solamente
மட்டுமே	únicamente
வரலாறு	historial
வரலாறு	historia
பகுதியில்	superficie
பகுதியில்	zona
பகுதியில்	área
நூல்கள்	libros
சேர்ந்த	pertenencia
சேர்ந்த	pertenecientes
பின்	regreso
பின்	espalda
பின்	tras
பின்	alfiler
பின்	volver
பின்	después
பின்	despues
இல்லை	no
நவம்பர்	noviembre
அதிக	elevada
அதிக	alto
அதிக	alta
காலத்தில்	periodo
காலத்தில்	período
மிக	muy
மீது	vehementemente
நான்கு	cuatro
பிறகு	luego
பிறகு	tras
பிறகு	después
பிறகு	entonces
பிறகு	posteriormente
பிறகு	despues
அரசியல்	políticos
அரசியல்	política
அரசியல்	político
அரசியல்	políticas
அரசியல்	politicas
அரசியல்	politica
பகுதி	parte
பகுதி	región
பகுதி	superficie
பகுதி	segmento
பகுதி	parcial
பகுதி	comarca
பகுதி	segmentar
பகுதி	parciales
பகுதி	área
பகுதி	segmentos
பகுதி	zona
பற்றி	acerca
பற்றி	sobre
ஆறு	rio
ஆறு	río
ஆறு	seis
மீண்டும்	nuevamente
இங்கிலாந்து	inglaterra
காலம்	período
காலம்	temporada
காலம்	tiempo
காலம்	periodo
காலம்	hora
நிலை	estado
நிலை	posición
நிலை	nivel
நிலை	posicion
ஒரே	mismo
ஒரே	misma
ஒரே	igual
போர்	guerra
காரணமாக	debido
பொருள்	objetar
பொருள்	materiales
பொருள்	sujeto
பொருள்	producto
பொருள்	objeto
பொருள்	sinónimos
பொருள்	súbdito
பொருள்	asignatura
பொருள்	tema
பொருள்	asunto
அறிவியல்	ciencia
அறிவியல்	ciencias
பேச்சு	hable
பேச்சு	hablar
பேச்சு	discurso
பேச்சு	charla
பேச்சு	habla
இதனால்	con
அனைத்து	todo
அனைத்து	todas
அனைத்து	todos
கல்வி	educacion
கல்வி	educación
கல்வி	enseñanza
ஏப்ரல்	abril
உலக	mundial
உலக	mundo
உலக	globales
கே	gays
கே	homosexual
முடியும்	puede
முடியும்	puedo
முடியும்	pueden
முடியும்	lata
கீழ்	bajo
கீழ்	abajo
கீழ்	bajar
கீழ்	inferior
கீழ்	debajo
இடம்	localización
இடம்	lugar
இடம்	espaciales
இடம்	ubicación
இடம்	espacio
இடம்	emplazamiento
இடம்	espacial
இடம்	ubicacion
செப்டம்பர்	septiembre
செப்டம்பர்	setiembre
பேர்	otros
பேர்	otras
பெரும்	insolente
பெரும்	genial
பெரும்	estupendo
பெரும்	gran
பெரும்	grandioso
சி	ji
நாடுகள்	paises
நாடுகள்	países
தொகுதி	sistema
தொகுதி	modulo
தொகுதி	módulos
தொகுதி	módulo
தொகுதி	álbumes
கிழக்கு	oriente
கிழக்கு	orientales
கிழக்கு	este
கிழக்கு	oriental
அமைப்பு	organización
அமைப்பு	sistema
அமைப்பு	configuración
அமைப்பு	organizacion
அமைப்பு	configurar
அமைப்பு	estructura
அளவு	talla
அளவு	tamaño
அளவு	cantidad
அளவு	balanza
அளவு	escalar
அளவு	importe
அளவு	baremo
அளவு	monto
அளவு	escala
மற்ற	otros
மற்ற	otro
மற்ற	otras
இந்து	hindúes
இந்து	hindú
இவற்றையும்	estos
இவற்றையும்	éstos
இவற்றையும்	estas
இவற்றையும்	éstas
தற்போது	ahora
தற்போது	actualmente
பாடல்	cancion
பாடல்	canción
பாடல்	canto
உண்டு	tienen
உண்டு	tengan
உண்டு	disponibles
உண்டு	han
உண்டு	tener
உண்டு	disponible
வாழும்	vivir
வாழும்	viviendo
இருக்கிறது	disponibles
இருக்கிறது	disponible
நிறுவனம்	empresario
நிறுவனம்	organización
நிறுவனம்	companía
நிறுவனம்	empresa
நிறுவனம்	organizacion
நிறுவனம்	empleadores
நிறுவனம்	empleador
நிறுவனம்	compañía
நிறுவனம்	compañia
நபர்கள்	personas
நபர்கள்	gente
நபர்கள்	pueblo
காலனி	colonia
மேற்கு	occidental
மேற்கு	occidentales
மேற்கு	oeste
மேற்கு	occidente
தலைவர்	presidente
தலைவர்	presidenta
தலைவர்	lider
தலைவர்	dirigente
தலைவர்	líder
முதலில்	primeros
முதலில்	primeras
முதலில்	primero
முதலில்	primera
முதலில்	primer
சார்ந்த	relativa
சார்ந்த	basada
சார்ந்த	basado
சார்ந்த	pariente
சார்ந்த	relativo
சார்ந்த	dependencia
மேல்	cima
மேல்	arriba
நாடு	pais
நாடு	país
மட்டும்	sólo
மட்டும்	solo
மட்டும்	solamente
மட்டும்	únicamente
அடிப்படையில்	basicamente
அடிப்படையில்	básicamente
எண்	numero
எண்	cuenta
எண்	recuento
எண்	conde
எண்	número
குறிப்பிட்ட	específicos
குறிப்பிட்ட	declarado
குறிப்பிட்ட	declaró
குறிப்பிட்ட	especificado
குறிப்பிட்ட	especifico
குறிப்பிட்ட	específicas
குறிப்பிட்ட	especificados
குறிப்பிட்ட	específica
குறிப்பிட்ட	especificó
குறிப்பிட்ட	especificada
குறிப்பிட்ட	específico
செய்ய	hacer
சிறிய	poco
சிறிய	pequeñas
சிறிய	pequeño
சிறிய	pequeña
சிறிய	pequeños
சிறிய	poquito
வந்த	vinieron
வேறு	otros
வேறு	otro
வேறு	otras
மார்ச்	marcha
மார்ச்	marchen
மார்ச்	marzo
நிலையில்	escenario
நிலையில்	condición
நிலையில்	condicion
நிலையில்	estado
நிலையில்	etapa
பெண்	hembra
பெண்	femenino
பெண்	niña
பெண்	chica
பெண்	hembras
பெண்	muchacha
பெண்	mujer
வெற்றி	gano
வெற்றி	exito
வெற்றி	exitos
வெற்றி	éxito
வெற்றி	gane
வெற்றி	éxitos
வெற்றி	triunfo
வெற்றி	victorias
வெற்றி	ganado
வெற்றி	ganar
வெற்றி	ganó
வெற்றி	gané
வெற்றி	ganados
வெற்றி	gana
வெற்றி	ganando
இணைப்பு	conexion
இணைப்பு	adjunto
இணைப்பு	enlazar
இணைப்பு	apego
இணைப்பு	enlace
இணைப்பு	vínculo
இணைப்பு	conexión
திரைப்படம்	película
திரைப்படம்	pelicula
திரைப்படம்	cine
வகை	categoria
வகை	categoría
வகை	tipo
வகை	modalidad
வகை	escribe
வகை	modo
வகை	escriba
ஐந்து	cinco
அதே	mismo
அதே	misma
அதே	igual
சிறப்பு	destacada
சிறப்பு	destacado
சிறப்பு	destacadas
சிறப்பு	destacados
சிறப்பு	especial
சிறப்பு	especiales
தமிழர்	tamiles
சுமார்	acerca
சுமார்	sobre
கட்டுரைகள்	artículos
கட்டுரைகள்	articulos
படி	leer
படி	escalón
படி	lectura
படி	paso
படி	leído
படி	lea
மனித	humanos
மனித	humana
மனித	humanas
மனித	humano
பெரும்பாலும்	frecuentemente
பெரும்பாலும்	menudo
பெரும்பாலும்	mayormente
பெரும்பாலும்	casi
பெரும்பாலும்	principalmente
கட்சி	fiesta
கட்சி	parte
கட்சி	partido
பொது	generales
பொது	público
பொது	frecuentes
பொது	común
பொது	públicos
பொது	generalidades
பொது	frecuente
பொது	comunes
பொது	públicas
பொது	publico
கல்லூரி	universidad
கல்லூரி	colegio
இசை	musica
இசை	música
முறையில்	modalidad
முறையில்	modo
நாட்டின்	pais
நாட்டின்	país
மத்திய	centrales
மத்திய	céntrica
மத்திய	céntrico
மில்லியன்	millón
மில்லியன்	millones
மில்லியன்	millon
நகரம்	ciudad
எந்த	cuáles
எந்த	cualquiera
எந்த	cualquier
எந்த	cuál
எந்த	cual
எனப்படும்	llamados
எனப்படும்	llamada
எனப்படும்	llamé
எனப்படும்	llamado
நீர்	agua
செய்யும்	haciendo
இணைந்து	únete
இணைந்து	unir
இணைந்து	unirse
சென்று	ido
பார்க்க	véase
பார்க்க	vea
பார்க்க	ver
அணி	equipo
அணி	matrices
அணி	matriz
எழுதிய	escrita
எழுதிய	escribió
எழுதிய	escritas
எழுதிய	escribí
எழுதிய	escrito
எழுதிய	escribía
எழுதிய	escritos
நிலையம்	estacion
நிலையம்	estación
தொடர்பான	afines
தொடர்பான	conexo
தொடர்பான	conexas
தொடர்பான	relacionado
தொடர்பான	relacionada
மீட்டர்	medidores
மீட்டர்	contadores
மீட்டர்	medidor
மீட்டர்	metros
இடத்தில்	lugar
கோவில்	templos
கோவில்	templo
கோவில்	sien
மாதம்	mes
ஆய்வு	investigacion
ஆய்வு	estudiar
ஆய்வு	investigaciones
ஆய்வு	estudio
ஆய்வு	investigación
ஆய்வு	estudia
வட	norte
குறைந்த	bajas
குறைந்த	menos
குறைந்த	bajo
குறைந்த	bajos
குறைந்த	baja
குறைந்த	menor
டிசம்பர்	dic
டிசம்பர்	diciembre
முன்	delantero
முன்	fachada
முன்	frente
முன்	frontal
முன்	antes
வாழ்க்கை	vida
சனவரி	enero
புனித	santo
புனித	santa
புனித	santísimo
இரண்டாவது	segundos
இரண்டாவது	segunda
இரண்டாவது	secundaria
இரண்டாவது	segundo
இரண்டாவது	secundario
இரண்டாவது	secundarias
இரண்டாவது	segundas
இரண்டாவது	secundarios
ஆங்கிலம்	ingles
ஆங்கிலம்	espanol
ஆங்கிலம்	inglés
அங்கு	allí
அங்கு	ahí
அங்கு	ahi
தொழில்	industria
தொழில்	negocios
தொழில்	empresa
தொழில்	profesión
தொழில்	negocio
பழைய	mayores
பழைய	viejo
பழைய	vieja
பழைய	antigua
பழைய	viejos
பழைய	antiguo
ஆண்டுகள்	anos
ஆண்டுகள்	años
குறிப்பாக	concretamente
குறிப்பாக	particularmente
குறிப்பாக	específicamente
குறிப்பாக	especialmente
பார்க்கவும்	mira
பார்க்கவும்	reloj
பார்க்கவும்	visita
பார்க்கவும்	visitar
பார்க்கவும்	visite
பார்க்கவும்	mirar
துறை	babor
துறை	puerto
துறை	puertos
துறை	departamento
துறை	oporto
குறிக்கும்	señalando
குறிக்கும்	apuntando
கடல்	marinos
கடல்	marinas
கடல்	marino
கடல்	océano
கடல்	oceano
கடல்	marina
கடல்	mar
போல	gustar
போல	como
இதற்கு	para
சிறு	pequeñas
சிறு	pequeño
சிறு	pequeña
சிறு	menor
சிறு	pequeños
சிறு	menores
தென்	sur
உயர்	lujo
உயர்	elevada
உயர்	alto
உயர்	alta
வடக்கு	norte
ஆட்சி	reinado
ஆட்சி	reinar
ஆட்சி	gobierno
ஆட்சி	gobernanza
ஆட்சி	gobernabilidad
ஆட்சி	gobernación
ஆட்சி	reino
ஆட்சி	regla
மக்களின்	personas
மக்களின்	gente
மக்களின்	pueblo
நோய்	enfermedad
நோய்	enfermedades
தேர்தல்	electorales
தேர்தல்	eleccion
தேர்தல்	elección
தேர்தல்	elecciones
உற்பத்தி	producción
உற்பத்தி	fabricación
உற்பத்தி	produccion
உற்பத்தி	manufactura
ஆக	ago
ஆக	agosto
வந்தது	llegado
வந்தது	vinieron
வந்தது	llegaron
வந்தது	llegamos
வந்தது	llegó
கலை	artes
கலை	arte
தங்கள்	sus
தங்கள்	su
சமூக	sociales
போல்	gustar
போல்	como
தர	calidad
தர	cualidad
நூற்றாண்டு	siglo
அவருடைய	sus
அவருடைய	su
உலகின்	mundos
அமெரிக்கா	américas
அமெரிக்கா	américa
பகுதிகளில்	zonas
பகுதிகளில்	áreas
வந்து	vente
வந்து	venga
வந்து	ven
வந்து	vengan
வந்து	venid
பரிசு	regalar
பரிசு	premiado
பரிசு	regalo
பரிசு	premio
பரிசு	obsequio
பிரிவு	división
பிரிவு	sección
பிரிவு	categoria
பிரிவு	categoría
பிரிவு	seccion
உடல்	corporal
உடல்	carrocería
உடல்	cuerpo
உடல்	cadáver
இவர்கள்	estos
இவர்கள்	éstos
இவர்கள்	estas
இவர்கள்	éstas
கூட	aun
கூட	igualmente
கூட	además
கூட	tambien
கூட	hasta
கூட	incluso
கூட	demasiado
கூட	también
எழுத்தாளர்	escritora
எழுத்தாளர்	escritor
குழு	agrupar
குழு	grupo
இலக்கிய	literaria
இலக்கிய	literarios
இலக்கிய	literario
இலக்கிய	literatura
விளையாட்டு	deportes
விளையாட்டு	juego
விளையாட்டு	deporte
விளையாட்டு	juegos
விளையாட்டு	videojuegos
விளையாட்டு	deportivo
உறுப்பினர்கள்	miembros
உறுப்பினர்கள்	diputados
இறப்பு	fallecimiento
இறப்பு	defunción
இறப்பு	muerte
இறப்பு	mortalidad
அடி	pies
அடி	golpeó
அடி	golpear
துணை	socio
துணை	submarino
துணை	adjunta
துணை	adjunto
துணை	diputado
துணை	pareja
துணை	socia
துணை	apoyo
துணை	vicepresidente
துணை	vicio
துணை	soporte
துணை	compañero
துணை	ayudante
துணை	vicios
பதிப்பு	edición
பதிப்பு	versión
சொல்	diga
சொல்	palabra
சொல்	dí
சொல்	decir
சொல்	di
தெற்கு	sur
கட்டுரை	artículos
கட்டுரை	articulos
கட்டுரை	ensayo
கட்டுரை	articulo
கட்டுரை	composición
கட்டுரை	artículo
வட்டம்	círculo
வட்டம்	circunferencia
வட்டம்	circulo
சராசரி	media
சராசரி	promedio
தொலைக்காட்சி	televisiones
தொலைக்காட்சி	televisión
தொலைக்காட்சி	televisor
முன்னாள்	antiguo
முன்னாள்	ex
எண்ணிக்கை	periodicidad
எண்ணிக்கை	cuenta
எண்ணிக்கை	frecuencias
எண்ணிக்கை	pedazo
எண்ணிக்கை	recuento
எண்ணிக்கை	conde
எண்ணிக்கை	frecuencia
தவிர	excluye
தவிர	excepto
தவிர	excluir
தவிர	salvo
தவிர	excluya
பாடல்கள்	cantos
பாடல்கள்	canciones
இன்று	hoy
சட்டம்	derecho
சட்டம்	ley
சட்டம்	jurídico
சட்டம்	bastidor
சட்டம்	legislación
சட்டம்	jurídicas
சட்டம்	acto
சட்டம்	leyes
சட்டம்	acta
சட்டம்	marco
சட்டம்	legales
அருகில்	cercana
அருகில்	cerca
அருகில்	cercano
நேரம்	hora
நேரம்	tiempo
முதலாவது	primeros
முதலாவது	primeras
முதலாவது	primero
முதலாவது	primera
முதலாவது	primer
நாம்	dejemos
மூலமாக	vía
மூலமாக	mediante
உணவு	alimentación
உணவு	alimento
உணவு	comida
உணவு	alimentos
குறித்து	acerca
குறித்து	sobre
பெப்ரவரி	febrero
பகுதிகள்	piezas
பகுதிகள்	zonas
பகுதிகள்	áreas
பகுதிகள்	partes
பகுதிகள்	componente
பகுதிகள்	repuestos
பகுதிகள்	segmentos
பகுதிகள்	regiones
நிறுவனங்கள்	compañias
நிறுவனங்கள்	empresas
நிறுவனங்கள்	organizaciones
நிறுவனங்கள்	compañías
ஜனவரி	enero
எழுத்தாளர்கள்	escritores
எழுத்தாளர்கள்	redactores
எழுத்தாளர்கள்	guionistas
நல்ல	buenas
நல்ல	buena
நல்ல	bien
நல்ல	buenos
நல்ல	bueno
அடுத்த	siguiente
அடுத்த	proxima
அடுத்த	próxima
அடுத்த	próximo
படம்	fotografía
படம்	foto
படம்	imágen
படம்	imagen
பாதுகாப்பு	inocuidad
பாதுகாப்பு	protección
பாதுகாப்பு	defensa
பாதுகாப்பு	seguro
பாதுகாப்பு	segura
பாதுகாப்பு	defensas
பாதுகாப்பு	seguridad
பாதுகாப்பு	proteccion
தந்தை	padre
பங்கு	rol
பார்க்கப்பட்ட	vistos
பார்க்கப்பட்ட	visto
பயன்படுத்தி	utilizando
பயன்படுத்தி	usando
அவர்களின்	sus
அவர்களின்	su
செய்த	hecho
செய்த	hecha
பதிவு	publicar
பதிவு	matrícula
பதிவு	registrarse
பதிவு	grabar
பதிவு	impresión
பதிவு	inscribirse
பதிவு	inscripciones
பதிவு	poste
பதிவு	récord
பதிவு	publicación
பதிவு	inscripción
பதிவு	registro
ஐரோப்பிய	europeos
ஐரோப்பிய	europeas
ஐரோப்பிய	europea
ஐரோப்பிய	europeo
முழுவதும்	plena
முழுவதும்	completar
முழுவதும்	plenamente
முழுவதும்	completamente
முழுவதும்	completado
முழுவதும்	completas
முழுவதும்	completa
முழுவதும்	totalmente
முழுவதும்	llena
முழுவதும்	lleno
முழுவதும்	completo
பயனர்	usuarios
பயனர்	usuario
தொடர்	serie
தொடர்	continúa
தொடர்	proceder
தொடர்	continuar
தொடர்	procedan
தொடர்	proceda
தொடர்	continúe
ஜூன்	junio
வழியாக	vía
உறுப்பினர்	miembro
உறுப்பினர்	pertenencia
உறுப்பினர்	clientes
உறுப்பினர்	cliente
உறுப்பினர்	clienta
உறுப்பினர்	miembros
உறுப்பினர்	membresía
உறுப்பினர்	afiliación
ஆசிரியர்	maestra
ஆசிரியர்	editora
ஆசிரியர்	profesor
ஆசிரியர்	autora
ஆசிரியர்	maestro
ஆசிரியர்	profesora
ஆசிரியர்	docente
ஆசிரியர்	profe
ஆசிரியர்	autor
ஆசிரியர்	redactor
ஆஃப்	apagado
முக்கியமான	importante
முக்கியமான	crítico
முக்கியமான	críticos
முக்கியமான	importantes
முக்கியமான	critica
முக்கியமான	crítica
தொடர்பு	contacto
தொடர்பு	contacta
தொடர்பு	contactos
தொடர்பு	contactar
செய்தார்	hizo
ஜூலை	julio
ஆற்றல்	energía
ஆற்றல்	energías
ஆற்றல்	energia
ஆற்றல்	energética
வேலை	obra
வேலை	empleo
வேலை	trabajo
வேலை	trabajar
வேலை	trabajos
வேலை	trabaje
இருக்கலாம்	quizas
இருக்கலாம்	quizás
இருக்கலாம்	quizá
இருக்கலாம்	talvez
சமய	religiosas
சமய	religioso
சமய	religiosos
சமய	religiosa
பணி	obra
பணி	tarea
பணி	empleo
பணி	trabajo
பணி	trabajar
பணி	trabajos
பணி	trabaje
கதை	historia
அதிகமாக	apenas
அதிகமாக	escasamente
இடையே	entre
பட்டம்	grado
பட்டம்	graduación
பட்டம்	cometa
பட்டம்	cometas
பட்டம்	licenciatura
வழி	rastro
வழி	sendero
வழி	manera
வழி	camino
அப்போது	luego
அப்போது	entonces
விடுதலை	libertad
விடுதலை	liberación
ஆகஸ்ட்	agosto
தேதி	fecha
தேதி	cita
பிறந்த	nacimientos
பிறந்த	parto
பிறந்த	nacimiento
பிறந்த	natalidad
இன்னும்	todavia
இன்னும்	aún
இன்னும்	y
இன்னும்	todavía
ஜான்	juan
அடுத்து	siguiente
அடுத்து	proxima
அடுத்து	próxima
அடுத்து	próximo
சேவை	servicio
கருத்து	comenta
கருத்து	comentario
கருத்து	comentar
கருத்து	comenten
கருத்து	retroalimentación
கருத்து	comentarios
கருத்து	temática
கருத்து	tema
காரணம்	motivo
காரணம்	razón
காரணம்	razon
காரணம்	causa
தனி	separado
தனி	privadas
தனி	separar
தனி	privada
தனி	privado
தனி	privados
தனி	separada
தனி	separados
அவருக்கு	él
நீண்ட	larga
நீண்ட	largos
நீண்ட	largo
பள்ளி	escuela
பள்ளி	colegio
மற்றொரு	otra
மற்றொரு	otro
மகன்	hijo
சர்வதேச	internacional
சர்வதேச	internacionales
எல்லா	todo
எல்லா	todas
எல்லா	todos
பொருட்கள்	aprovisionamiento
பொருட்கள்	provisiones
பொருட்கள்	abastecimiento
பொருட்கள்	artículos
பொருட்கள்	ítems
பொருட்கள்	articulos
பொருட்கள்	objetos
பொருட்கள்	productos
பொருட்கள்	suministros
மின்	eléctrica
மின்	electrica
மின்	eléctrico
மின்	electricidad
மின்	electrico
என்றால்	significa
என்றால்	medios
ஏழு	siete
நடைபெற்ற	celebrada
முன்னர்	previamente
முன்னர்	anteriormente
முன்னர்	anterior
முன்னர்	anteriores
முன்னர்	antes
பொறியியல்	ingeniería
பொறியியல்	ingenieros
அமைப்புகள்	organizaciones
அமைப்புகள்	configuraciones
அமைப்புகள்	configuración
அமைப்புகள்	preferencias
அமைப்புகள்	ajustes
மொழிகள்	lenguas
மொழிகள்	idiomas
அத்துடன்	tambien
அத்துடன்	igualmente
அத்துடன்	también
அத்துடன்	además
முழு	llena
முழு	lleno
முழு	completo
முழு	plena
முதன்மை	cima
முதன்மை	arriba
முதன்மை	principal
முதன்மை	primario
முதன்மை	primarias
முதன்மை	principales
முதன்மை	primaria
முதன்மை	primarios
மணி	timbre
மணி	hora
மணி	campana
தொகுப்பு	colección
தொகுப்பு	recogida
தொகுப்பு	bulto
தொகுப்பு	coleccion
தொகுப்பு	composición
தொகுப்பு	paquete
தொலைவில்	lejano
தொலைவில்	lejos
மருத்துவ	médicas
மருத்துவ	médicos
மருத்துவ	médico
மருத்துவ	medico
மருத்துவ	medicina
வணிக	anuncio
வணிக	comercial
வணிக	comerciales
திருமணம்	casar
திருமணம்	casadas
திருமணம்	casado
திருமணம்	matrimonio
திருமணம்	matrimonios
திருமணம்	matrimonial
திருமணம்	casados
திருமணம்	bodas
திருமணம்	casarse
திருமணம்	casarme
திருமணம்	boda
திருமணம்	casamiento
திருமணம்	casada
நீங்கள்	te
நீங்கள்	tú
நீங்கள்	usted
நீங்கள்	tu
நீங்கள்	vos
இயேசு	jesús
கருதப்படுகிறது	considerada
கருதப்படுகிறது	considerados
கருதப்படுகிறது	considerado
கருதப்படுகிறது	consideradas
நடித்த	protagonista
நடித்த	protagonizado
நடித்த	protagonistas
நடித்த	protagonizada
பொதுவான	generales
பொதுவான	público
பொதுவான	frecuentes
பொதுவான	común
பொதுவான	públicos
பொதுவான	generalidades
பொதுவான	frecuente
பொதுவான	comunes
பொதுவான	públicas
பொதுவான	publico
சமயம்	religión
சமயம்	religiones
சமயம்	comunidad
எதிராக	contra
விட்டு	dejar
பக்கம்	página
பக்கம்	pagina
உள்ளிட்ட	entrado
உள்ளிட்ட	introducido
உள்ளிட்ட	ingresado
உள்ளிட்ட	entró
அதிகம்	mas
அதிகம்	alto
அதிகம்	más
அதிகம்	alta
அதிகம்	elevada
நாட்கள்	dias
நாட்கள்	días
நாட்கள்	jornadas
திருத்தந்தை	papa
மாற்றம்	variación
மாற்றம்	conversión
