من	출신
سباق	레이싱
سباق	레이스
سباق	경쟁
حكومة	정부
لندن	런던
سجل	레코드
سجل	녹음
سجل	기록
سجل	등록
سجل	레지스터
سجل	로그
سجل	녹화
الشعب	분열
الخليج	베이
البحرية	해군
البحرية	네이비
نشر	게시
نشر	포스팅
نشر	발행
نشر	출판
نشر	출판됨
قصة	이야기
قصة	스토리
قصة	소식
مصدر	소스
مصدر	출처
مصدر	원본
خارج	밖에서
خارج	바깥
خارج	아웃
خارج	외부
وحدة	유닛
وحدة	단결
وحدة	모듈
وحدة	통일
وحدة	단위
وحدة	유니티
ثورة	혁명
ثورة	레볼루션
ثورة	레벌루션
ممثلات	여배우
ممثلات	여배우들
سعيد	행복하다
سعيد	해피
سعيد	행복
سعيد	행복해
سعيد	행복한
حقوق	권리
ذكر	남성
ذكر	수컷
الاجتماعية	사회적
الاجتماعية	사회
الاجتماعية	사회주의
الجنوب	사우스
الجنوب	남부
الجنوب	남쪽
وزير	장관
مسجد	모스크
جزر	당근
جزر	제도
تطوير	개발
الدراسات	공부
بلاد	시골
بلاد	국가
بلاد	컨트리
بلاد	나라
يد	핸드
تتبع	트래킹
تتبع	흔적
تتبع	추적
تتبع	트레이스
قوة	포스
قوة	권력
قوة	체력
قوة	전력
قوة	파워
قوة	강제
الشخصية	캐릭터
الشخصية	인물
الشخصية	문자
الشخصية	개성
الشخصية	인격
الشخصية	성격
مباراة	일치합니다
مباراة	매치
مباراة	게임
مباراة	일치하기
مباراة	경기
مباراة	일치
الداخلية	내부
الداخلية	인테리어
لعب	놀기
لعب	재생
لعب	플레이
لعب	연주
جدا	아주
جدا	매우
مختلف	다르다
مختلف	달라
مختلف	다름
رجال	남성
رجال	멘트
رجال	남자
البحث	검색
البحث	찾기
البحث	조사
البحث	검색하기
البحث	연구
صالح	유효한
صالح	살레
صالح	유효합니다
صالح	유효
الوسطى	중부
الوسطى	센트럴
نظرية	이론
كاليفورنيا	캘리포니아
حاليا	현재
قاعدة	베이스
قاعدة	규칙
قاعدة	기지
قاعدة	법칙
زيادة	증가
السلطان	술탄
السياسي	정치적
السياسي	정치
السياسي	정치인
السياسي	정치가
البحرين	바레인
المسيحية	크리스티안
المسيحية	기독교
المسيحية	크리스찬
المسيحية	크리스천
الكنيسة	교회
طريقة	방법
طريقة	메서드
طريقة	웨이팅
طريقة	수단
طريقة	웨이
طريقة	메소드
عربية	아라비아
عربية	아라비아어
عربية	아랍어
الدفاع	방위
الدفاع	방어
الدفاع	국방
الدفاع	디펜스
لو	루키
الجمعية	협회
الجمعية	사회
التالية	넥스트
التالية	다음
الثالثة	세번째
الثالثة	셋째
شبكة	그리드
شبكة	네트워크
شبكة	격자
شبكة	눈금
شبه	세미
طيور	새들
وليس	아님
نصف	절반
العملية	프로세스
العملية	절차
العملية	작전
العملية	과정
العملية	작동
صاحب	소유자
صاحب	주인
عائلة	패밀리
عائلة	가족과
عائلة	가족
المستخدم	사용자
الشكل	양식
الشكل	형식
الشكل	형식으로
الشكل	포맷
الشكل	모양
الشكل	형태
الشكل	그림
برامج	프로그램
برامج	소프트웨어
ارتفاع	높이
ارتفاع	키는
ارتفاع	라이징
لقب	닉네임
لقب	별명
الخامس	다섯번째
الطائرة	비행기
الطائرة	평면
الطائرة	항공기
العلماء	과학자
مرحلة	스테이지
مرحلة	무대
رواية	소설
تركيا	칠면조
تركيا	터키
عمليات	프로세스
عمليات	작전
عمليات	운영
شيء	무언가
شيء	무엇인가
شيء	뭔가
النشاط	활동
دائرة	회로
دائرة	서클
دائرة	서킷
حد	극한
حد	제한
حد	한계
صناعة	산업
صناعة	업계
مؤسسة	파운데이션
مؤسسة	기관
مؤسسة	재단
التاسع	아홉번째
مصادر	소스
مصادر	출처
تحتوي	포함됨
تحتوي	포함
تحتوي	포함함
نباتي	채식주의
نباتي	채식
نباتي	채식주의자
الفردي	싱글
المسجد	모스크
البعض	일부
الحديثة	근황
الحديثة	현대
الحديثة	모던
الحديثة	근대
الملكية	재산
الملكية	군주
الملكية	재산권
الملكية	군주제
الملكية	자산
الملكية	속성
لي	광산
طائرة	항공기
طائرة	비행기
طائرة	평면
مسلسلات	시리즈
الموسم	시즌
الموسم	계절
الدور	역할
عسكرية	군사
البلدية	시영
يظهر	나타납니다
شخصيات	문자
شخصيات	등장인물
الحالة	상황
الحالة	상황이
الحالة	국가
الحالة	사례
الحالة	조건
الحالة	케이스
الحالة	대소문자
الحالة	상태
توضيح	해명
توضيح	설명
جمعية	협회
مملكة	킹덤
مملكة	왕국
صور	픽처스
صور	이미지
صور	사진들
صور	사진
صور	그림
مرض	질병
مرض	질환
الجسم	시체
الجسم	몸매
الجسم	몸매가
الصفحة	페이지
الثقافة	문화
سياسة	정치
سياسة	정치학
سياسة	방침
سياسة	정책
القديم	늙은
القديم	오래된
العثمانية	오스만
المحلية	로컬
المحلية	현지
الطب	의학
تحديد	선택
تحديد	지정합니다
تحديد	지정
تحديد	지정하기
تحديد	선택하기
بعدها	그러면
بعدها	그렇다면
بعدها	그때
مطار	공항
مطار	국제공항
نقطة	포인트
نقطة	지점
السلطة	샐러드
السلطة	권위
السلطة	권력
السلطة	전력
السلطة	파워
قبيلة	부족
حدث	이벤트
الحصول	받기
الوحدة	유닛
الوحدة	외로움
الوحدة	단결
الوحدة	통일
الوحدة	단위
الوحدة	유니티
النباتات	식물학
النباتات	식물
التصنيف	분류
التصنيف	분류법
التصنيف	평점
التصنيف	평가하기
التصنيف	별점
التصنيف	분류학
التصنيف	평가
الخاص	스페셜
الخاص	특별
الخاص	특별한
الخاص	특수
الخاص	비공개
اتحاد	연맹
اتحاد	연방
لجنة	위원회
العلاقات	연애
العلاقات	관계
ممثلون	배우
سليمان	솔로몬
النساء	여자들
النساء	여성
النساء	여자
الشعر	문학
الشعر	머리카락
الشعر	머리
الشعر	머리카락이
قائد	지도자
قائد	커맨더
قائد	리더
قائد	사령관
قائد	지휘관
النبي	예언자
وهم	착각
وهم	환상
جهاز	장치
جهاز	기기
جهاز	단말기
الحرارة	체온
الحرارة	온도
الحرارة	더위
الحرارة	히트
الحرارة	기온
الرقم	번호
الرقم	숫자
مستخدم	사용함
مستخدم	사용됨
مستخدم	사용
مستخدم	사용자
عالية	하이
عالية	높음
المرحلة	스테이지
المرحلة	무대
نطاق	스코프
نطاق	범위
تحقيق	수사
تحقيق	문의
تحقيق	조사
يعني	의미
يعني	평균
ويكي	위키위키
ويكي	위키
السادس	여섯번째
جورج	죠지
جورج	조지
البيانات	자료
البيانات	데이터
الحيوانات	동물들
الحيوانات	동물
بيروت	베이루트
الخلايا	세포
عامة	공공
عامة	일반인
عامة	공개
عامة	일반
عامة	장군
عامة	공중
الحدود	프론티어
الحدود	경계
الحدود	경계선
الحدود	프런티어
الحدود	국경
الحدود	테두리
مباشرة	다이렉트
مباشرة	직접
مباشرة	똑바로
مباشرة	직통
مباشرة	스트레이트
ممثلة	여배우
ممثلة	배우
متعددة	다중
وفاة	사망
وفاة	데스
وفاة	죽음
المادة	기사
المادة	물질
المادة	소재
المادة	재료
البرنامج	프로그램
هولندا	네덜란드령
هولندا	네덜란드인
هولندا	네덜란드
هولندا	홀랜드
كندا	캐나다
طالع	별자리
بنت	소녀
بنت	딸이
اللجنة	위원회
قصر	궁궐
قصر	궁전
القلب	심장
القلب	하트
القلب	마음
بيانات	자료
بيانات	데이터
سعد	사드
الكريم	크림
السورية	시리아
السعودي	사우디아
الشعبية	인기가
الشعبية	인기가요
الشعبية	인기
عاصمة	자본주의
عاصمة	수도
عاصمة	캐피털
عاصمة	자본
عاصمة	캐피탈
ظهر	뒤로
ظهر	다시
تقديم	제출합니다
تقديم	제출
البطولة	챔피언쉽
البطولة	토너먼트
البطولة	챔피언십
البطولة	대회
محطة	터미널
محطة	역시
المجال	스피어
المجال	도메인
المجال	영역
الوصول	도착
الوصول	접근
الوصول	입국
الوصول	도달
الوصول	액세스
الوصول	접속
الوصول	도달하기
خاص	스페셜
خاص	특별
خاص	특별한
خاص	특수
خاص	비공개
اللاعب	플레이어
اللاعب	선수
اللاعب	재생기
الطبيعية	자연
الطبيعية	천연
عصر	시대
سابق	이전
الوطن	집에
الوطن	고향
الوطن	집으로
الوطن	가정
قطر	카타르
يصل	도착
العلاج	치료법
العلاج	치료
العلاج	시술
بريطانيا	영국
بريطانيا	브리티시
بريطانيا	브리튼
بريطانيا	영국인
بريطانيا	브리타니아
القدس	예루살렘
البريطاني	영국인
البريطاني	영국
البريطاني	브리티시
العدد	번호
العدد	숫자
العدد	카운트
خمسة	파이브
خمسة	다섯
يمين	오른쪽
علاقة	연애
علاقة	관계
القرى	마을
كامل	완료
كامل	가득
كامل	완성
معسكر	캠프
مهمة	중요하다
مهمة	선교
مهمة	미션
مهمة	중요
رسالة	메시지
رسالة	편지
رسالة	메세지
الملعب	스타디움
الملعب	경기장
الملعب	피치
السودان	수단
الدينية	종교
التالي	넥스트
التالي	다음
تكساس	텍사스
السينما	영화
السينما	시네마
العسكري	군사
كنيسة	교회
اليد	핸드
المحيط	둘레
المحيط	바다
المحيط	오션
النهائي	기말고사
النهائي	파이널
النهائي	결승전
نقاط	점수
نقاط	학점
نقاط	지점
نقاط	반점
نقاط	포인트
نقاط	크레딧
القوى	권력
القوى	파워스
الغرب	서부
الغرب	웨스트
الغرب	서쪽
العهد	규약
مدى	범위
الثانوية	중등
جريدة	신문
معهد	연구소
الصور	픽처스
الصور	이미지
الصور	사진들
الصور	사진
الصور	그림
عاد	뒤로
عاد	다시
وصل	도착했다
بالقرب	근처
الخدمة	서비스
روابط	링크
حدود	한계
حدود	경계
حدود	경계선
حدود	국경
حدود	테두리
حدود	제한
المعهد	연구소
فصيلة	소대
قيمة	가치
مجموعات	컬렉션
مجموعات	모음집
مجموعات	그룹
طائرات	항공기
طائرات	비행기
السابقة	이전
عمدة	보안관
عمدة	시장
كوريا	한국인
كوريا	코리아
كوريا	한국
كوريا	한국어
وصف	설명하기
وصف	설명
وصف	묘사
قلعة	포트리스
قلعة	요새
المعروف	알려진
سياسي	정치적
سياسي	정치
سياسي	정치인
سياسي	정치가
ظهور	출연
ظهور	외모
ظهور	모양
المحلات	상점
المحلات	가게
الطبية	의료
الطبية	의학
المهنة	경력
المهنة	점령
المهنة	직업
المهنة	커리어
فكرة	아이디어
كيف	어떻게
لعبة	경기
لعبة	게임
الكويكب	소행성
سن	치아
سن	이빨
مصرية	이집트어
مصرية	이집트
صدر	흉부
صدر	가슴
صدر	가슴이
صدر	수출
صدر	내보내기
مصري	이집트어
مصري	이집트
لون	컬러
لون	색상
المشروع	프로젝트
الموسيقى	음악
الموسيقى	뮤직
ليبيا	리비아
منظمات	조직
منظمات	단체
جمال	미모
جمال	아름다움
جمال	미녀
جمال	미용
جمال	미인
مكة	메카
مرات	타임즈
مرات	타임스
ثقافة	문화
مدير	매니저
مدير	디렉터
مدير	관리자
مدير	감독
السابع	일곱번째
المصادر	소스
المصادر	출처
حالات	사례
حالات	케이스
حالات	상태
القائمة	리스트
القائمة	목록
القائمة	메뉴
القائمة	명단
فتح	열기
فتح	오픈
فتح	오프닝
فتح	개봉
مادة	물질
مادة	소재
مادة	재료
المتوسط	중간
المتوسط	미디엄
المتوسط	미디어
المتوسط	평균
التحرير	해방
التحرير	편집
التحرير	편집하기
التحرير	수정
تحويلات	전환
تحويلات	전송
مصطلح	용어
