ve	en
küçük	kleine
küçük	weinig
küçük	smal
müzik	muziek
gelen	inkomend
gelen	binnenkomende
gelen	inkomende
resmi	formeel
resmi	foto
resmi	formele
resmi	officiële
resmi	officieel
resmi	ambtenaar
kabul	akkoord
kabul	geaccepteerde
kabul	accepteer
kabul	overeengekomen
kabul	afgesproken
kabul	aanvaard
kabul	geaccepteerd
kabul	aanvaarding
kabul	accepteert
kabul	aanvaarden
kabul	acceptatie
kabul	accepteren
kabul	aanvaarde
kabul	aanvaardt
devam	houden
devam	voortzetten
devam	houd
devam	doorgaan
kupası	beker
kupası	kopje
fazla	overmatig
fazla	overdaad
fazla	overmaat
aldı	genomen
aldı	meegenomen
aldı	nam
aldı	ontvangen
em	zuigen
em	zuig
farklı	anders
farklı	verschillend
farklı	verschillende
futbol	voetballen
futbol	voetbal
ileti	bericht
ileti	berichtje
ileti	boodschap
doğru	rechts
doğru	recht
doğru	waar
doğru	juist
doğru	nauwkeurigheid
doğru	nauwkeurig
doğru	klopt
doğru	accuraat
doğru	correcte
doğru	corrigeren
tarım	landbouw
on	tien
özel	particulier
özel	aangepast
özel	maatwerk
özel	privé
özel	exclusieve
özel	speciaal
özel	prive
özel	exclusief
özel	aangepaste
özel	bijzonder
özel	speciale
biri	één
biri	eén
biri	iemand
biri	een
alanı	oppervlakte
alanı	gebied
alanı	veld
uzun	langer
uzun	lang
uzun	uitgebreid
uzun	verlengd
uzun	groter
uzun	lange
şarkı	lied
şarkı	nummers
şarkı	gezang
şarkı	nummer
şarkı	liedje
şarkı	zang
şarkı	liederen
şarkı	zingen
şarkı	liedjes
lig	liga
orta	middellange
orta	middelgroot
orta	middelste
orta	middelgrote
orta	midden
orta	centrum
orta	centreren
oyuncu	speler
oyuncu	acteur
oyuncu	actrice
geri	terug
geri	rug
geri	achterstevoren
geri	achterwaarts
geri	achteruit
mesaj	bericht
mesaj	boodschap
mesaj	tekst
mesaj	berichten
mesaj	berichtje
mesaj	boodschappen
elektrik	electriciteit
elektrik	electrische
elektrik	elektriciteit
elektrik	elektrisch
elektrik	elektrische
ardından	na
merkezi	centreren
merkezi	centrum
kısa	kortere
kısa	kort
kısa	korter
kısa	korte
kısa	beknopt
güney	zuid
güney	zuiden
güney	zuidelijk
almanya	duitsland
kişi	persoon
değil	niet
kuzey	noord
kuzey	noorden
çeşitli	gevarieerde
çeşitli	diverse
çeşitli	divers
çeşitli	diversen
çeşitli	verschillende
çeşitli	gevarieerd
çeşitli	variatie
çeşitli	variëteit
açıklama	onderschrift
açıklama	verklaring
açıklama	uitleg
açıklama	signalement
açıklama	omschrijving
açıklama	toelichting
açıklama	titel
açıklama	beschrijving
ortaya	onthult
ortaya	onthullen
ortaya	openbaren
fransa	frankrijk
ingilizce	engels
ingilizce	engelsen
olmak	worden
amerika	amerika
burada	hier
yok	geen
gol	doel
gol	doelpunten
gol	doelen
gol	meer
gol	doelstellingen
gol	doelpunt
gol	doelstelling
ana	belangrijkste
ana	moeder
ana	voornaamste
ana	moedertje
suyu	sap
özellikle	specifiek
özellikle	speciaal
özellikle	vooral
ilköğretim	elementair
ilköğretim	elementaire
birleşik	verenigd
birleşik	verenigde
ödülü	beloning
ödülü	gunning
ödülü	belonen
ödülü	onderscheiding
altyapı	infrastructuur
altyapı	onderbouw
altyapı	infrastructuren
yerine	vervang
yerine	vervangen
gün	dag
gün	dagje
geçen	verstreken
geçen	passeren
doğu	oosterse
doğu	oosters
doğu	oostelijke
doğu	oost
doğu	oostelijk
doğu	oosten
süre	tijdsduur
süre	duur
süre	tijd
süre	looptijd
sabit	constante
sabit	gerepareerd
sabit	stabiel
sabit	vaste
sabit	stabiele
sabit	gestaag
eğitim	educatief
eğitim	opleiding
eğitim	onderwijs
eğitim	trainen
eğitim	leerprogramma
eğitim	leerzaam
eğitim	zelfstudie
eğitim	opvoeding
sırasında	gedurende
sırasında	tijdens
uluslararası	internationaal
olur	gebeurt
yaklaşık	ongeveer
yaklaşık	ca
yaklaşık	over
alman	duits
alman	duitsers
alman	duitse
az	minder
az	klein
az	kleine
az	weinig
millî	nationaal
millî	nationale
kaynak	informatiebronnen
kaynak	lassen
kaynak	hulpbronnen
kaynak	middelen
kaynak	bronnen
kaynak	bron
kaynak	hulpbron
kullanılan	gebruikte
kullanılan	gebruikt
paşa	pasja
ligi	liga
görev	opdracht
görev	taak
görev	plicht
görev	missie
halk	publiek
halk	openbaar
halk	mensen
halk	volkeren
halk	personen
tv	televisie
onun	zijn
onun	haar
yine	nogmaals
yine	alweer
yine	opnieuw
ekonomisi	economie
yılı	jaar
telefon	telefoon
yeniden	herbouwen
yeniden	nogmaals
yeniden	alweer
yeniden	opnieuw
içme	drinken
etki	effect
etki	beïnvloeding
etki	beïnvloeden
etki	invloed
etki	inslag
etki	botsing
sezon	seizoen
ingiliz	engels
ingiliz	brits
ingiliz	britten
ingiliz	britse
ingiliz	engelsman
ingiliz	engelsen
puan	scoren
puan	punt
puan	nominaal
puan	beoordeling
puan	beoordeeld
puan	gewaardeerd
puan	punten
puan	beoordeelde
puan	waardering
nedeniyle	verschuldigde
nedeniyle	verschuldigd
nüfus	bevolking
nüfus	populaties
nüfus	populatie
nüfus	bevolkingen
batı	westelijk
batı	westen
altında	onder
altında	eronder
tür	soort
tür	soorten
tür	diersoorten
tür	diersoort
tür	typ
amerikan	amerikaans
amerikan	amerikaan
amerikan	amerikaanse
savaş	vechten
savaş	vecht
savaş	bestrijden
savaş	strijd
savaş	gevecht
savaş	veldslag
savaş	oorlog
savaş	slag
tekrar	nogmaals
tekrar	herhaal
tekrar	opnieuw
tekrar	herhaling
tekrar	herhalen
tekrar	alweer
anadolu	azië
anadolu	anatolië
anadolu	anatolische
söz	beloof
söz	woord
söz	belofte
söz	beloven
rağmen	ondanks
grubu	groep
grubu	fractie
elde	bereikt
elde	behaald
elde	verwerven
elde	verworven
elde	bereikte
elde	verkregen
ait	behoort
ait	hoort
ait	eigendom
ait	behoren
kadın	vrouwelijk
kadın	vrouwelijke
kadın	vrouw
kadın	vrouwtje
kadın	vrouwen
türkçe	turkse
türkçe	engels
türkçe	turks
türkçe	engelsen
kullanıcı	gebruikers
kullanıcı	gebruiker
tam	volle
tam	voltooid
tam	volledige
tam	vol
tam	invullen
tam	compleet
tam	volledig
birliği	vakbond
birliği	unie
kanalizasyon	afvalwater
kanalizasyon	riolering
kanalizasyon	riolen
kanalizasyon	rioolwater
kanalizasyon	riool
maç	spelletje
maç	wedstrijd
maç	spel
at	gooien
at	gooi
at	paard
bölüm	afdeling
bölüm	deel
bölüm	departement
bölüm	deling
bölüm	sectie
bölüm	gedeelte
bölüm	aflevering
bölüm	hoofdstuk
bölüm	divisie
yazar	schrijfster
yazar	schrijver
yazar	auteur
sıra	roei
sıra	roeien
sıra	rijen
sıra	rij
ulusal	nationaal
ulusal	nationale
köyü	dorp
köyü	dorpje
teknik	technisch
teknik	techniek
teknik	technische
nüfusu	bevolking
nüfusu	populaties
nüfusu	populatie
nüfusu	bevolkingen
deniz	zee
deniz	marinier
uygun	toepasselijk
uygun	geschikte
uygun	passende
uygun	passend
uygun	gepast
uygun	geschikt
uygun	passen
uygun	handig
uygun	handige
bütün	hele
bütün	geheel
yakın	dichter
yakın	afsluiten
yakın	dichterbij
yakın	sluit
yakın	nabijgelegen
yakın	sluiten
yakın	dichtbij
listesi	lijstje
listesi	lijst
dört	vier
iç	binnenland
iç	interieur
iç	zucht
iç	drinken
iç	drankje
iç	zuchten
ingiltere	engeland
alt	bodem
alt	lager
alt	onderkant
alt	lagere
asfalt	asfalt
fransız	fransman
fransız	franse
fransız	frans
fransız	fransen
belediye	gemeentelijke
belediye	gemeentelijk
stadyumu	stadion
sonucu	gevolg
sonucu	consequentie
rusya	rusland
genellikle	typisch
genellikle	meestal
genellikle	gewoonlijk
genellikle	hoofdzakelijk
genellikle	voornamelijk
genellikle	vooral
bar	kroeg
sonunda	eindelijk
sonunda	uiteindelijk
parti	partij
parti	feest
parti	feestje
erkek	mannetje
erkek	mannelijk
erkek	mannen
erkek	mannelijke
beyaz	blanke
beyaz	blank
beyaz	wit
beyaz	witte
bölge	grondgebied
bölge	territorium
bölge	oppervlakte
bölge	gebied
bölge	regio
italya	italië
onu	hem
onu	haar
hava	lucht
hava	weer
verilen	gegeven
çünkü	oorzaak
çünkü	omdat
çünkü	veroorzaken
çünkü	want
birkaç	weinig
birkaç	weinigen
birkaç	paar
birkaç	verscheidene
birkaç	verschillende
birkaç	meerdere
il	provincie
dönem	periode
dönem	tijdvak
açık	helder
açık	openen
açık	duidelijk
futbolcu	voetballer
futbolcu	profvoetballer
insan	menselijke
insan	persoon
insan	mens
insan	menselijk
merkez	hoofdkwartier
merkez	hoofdkantoor
merkez	centreren
merkez	centrum
düşük	miskraam
düşük	lage
düşük	laag
altın	goud
altın	gulden
altın	gouden
bilinen	gekende
bilinen	bekend
bilinen	gekend
bilinen	bekende
neden	waarom
bin	duizend
genç	jeugd
genç	tiener
genç	puber
genç	jongere
genç	jong
genç	jongeren
genç	jonger
genç	jonge
dışında	behalve
kır	breken
kır	pauze
stadyum	stadion
ülke	land
dil	talen
dil	taal
dil	tong
dil	taalgebruik
pozisyon	posities
pozisyon	positie
dahil	inbegrepen
dahil	inclusief
dahil	omvat
an	ogenblik
iş	banen
iş	vacatures
iş	werken
iş	zakelijk
iş	klussen
iş	arbeid
iş	werk
iş	baan
iş	bedrijf
bölümü	departement
bölümü	sectie
bölümü	afdeling
ili	gouvernement
gelir	ontvangsten
gelir	inkomen
gelir	inkomens
gelir	inkomsten
kullanım	gebruik
kullanım	gebruiken
sanat	kunsten
sanat	kunst
arasındaki	tussen
üçüncü	derde
bunu	dat
bunu	deze
bunu	dit
sonraki	volgend
sonraki	volgende
ele	overwinnen
ele	veroveren
güzel	leuk
güzel	heerlijk
güzel	lekker
güzel	mooie
güzel	fijn
güzel	prachtig
güzel	mooi
güzel	goed
alır	neemt
çocuk	kinderen
çocuk	kindje
çocuk	jongen
çocuk	kind
sinema	film
sinema	bioscoop
sinema	bioscopen
sinema	filmpje
sinema	films
askeri	krijgsmacht
askeri	militaire
askeri	militair
askeri	militairen
örneğin	voorbeeld
üst	bovenkant
üst	bovenste
üst	opper
kara	zwart
kara	grond
kara	zwarte
oyun	speel
oyun	spelen
oyun	spelletje
oyun	wedstrijd
oyun	spellen
oyun	spelletjes
oyun	gamen
oyun	afspelen
oyun	spel
beraber	samen
sırada	volgend
sırada	volgende
şablon	sjabloon
şablon	patroon
şablon	sjablonen
aday	kandidaat
aday	verzoeker
aday	aanvrager
aday	voorgedragen
aday	sollicitant
aday	genomineerd
milyon	miljoen
milyon	miljoenen
top	kanon
top	kanonnen
top	bal
hakem	scheidsrechter
ay	maandje
ay	maand
ay	maanden
ay	maan
ay	maandenlang
imparatorluğu	rijk
imparatorluğu	keizerrijk
imparatorluğu	imperium
herhangi	elke
tiyatro	theatrale
tiyatro	bioscoop
tiyatro	theatraal
tiyatro	theater
kazandı	wint
kazandı	gewonnen
kültür	culturen
kültür	cultureel
kültür	culturele
kültür	cultuur
karar	vonnis
karar	besloten
karar	besluit
karar	besliste
karar	uitspraak
karar	besluiten
karar	beschikkingen
karar	beslissingen
karar	beslissing
karar	oordeel
karar	besloot
tarih	datum
tarih	geschiedenis
ilçe	graafschap
temel	stichting
temel	basis
temel	fundamentele
temel	basisinformatie
temel	basiskennis
temel	fundering
konu	onderwerp
konu	proefpersoon
bağlantı	contactpersoon
bağlantı	aansluiting
bağlantı	verbinding
bağlantı	koppeling
bağlantı	connectie
çin	porselein
ünlü	beroemde
ünlü	beroemdheden
ünlü	beroemd
ünlü	beroemdheid
ünlü	bekendheid
spor	sporten
kalan	resterende
kalan	resterend
kalan	overgebleven
meslek	bezigheid
meslek	bezetting
meslek	beroepsgroep
meslek	beroep
meslek	roeping
günümüzde	tegenwoordig
iran	perzische
iran	perzisch
telif	copyright
telif	auteursrechten
telif	auteursrecht
ahmet	achmed
çıktı	uitvoer
ispanya	spanje
bile	zelfs
sosyal	sociale
sosyal	sociaal
cm	inch
cm	centimeter
cm	centimeters
ün	roem
ün	faam
ün	bekendheid
ün	beroemdheid
geldi	gearriveerd
geldi	aangekomen
liste	lijstjes
liste	lijsten
liste	lijstje
liste	lijst
oy	stem
oy	stemmen
oy	stemming
oy	stemmingen
geniş	groot
geniş	grote
geniş	breed
geniş	ruime
geniş	wijd
geniş	ruim
geniş	brede
ev	huis
ev	thuis
ev	startpagina
transfer	overdrachten
önceki	vorige
önceki	eerdere
önceki	voordat
önceki	vóór
önceki	vorig
önceki	voorgaande
mısır	maïs
mısır	mais
mısır	egyptische
mısır	egypte
mısır	egyptisch
rus	rus
rus	russisch
rus	russische
yarı	helft
yarı	halfweg
yarı	halverwege
afrika	afrikaans
afrika	afrika
afrika	afrikaanse
hareket	verplaatsen
hareket	bewegingen
hareket	beweging
hareket	verplaatsing
hareket	beweeg
hareket	bewegen
hareket	motie
hareket	verplaats
adil	eerlijke
adil	redelijk
adil	eerlijk
bölgesi	territorium
bölgesi	regio
bölgesi	grondgebied
kontrol	controle
kontrol	controleren
kontrol	controleer
sahibi	baasje
sahibi	eigenaar
bilim	wetenschap
bilim	wetenschappen
üreten	produceren
üreten	produceert
yanında	naast
sistemi	systeem
sistemi	stelsel
başarılı	succes
başarılı	succesvol
başarılı	geslaagde
başarılı	geslaagd
başarılı	succesvolle
çoğu	meest
çoğu	meesten
çoğu	meeste
ordu	militaire
ordu	militair
ordu	krijgsmacht
ordu	landmacht
ordu	militairen
ordu	leger
verdi	gaf
yaşayan	levende
profesyonel	professionele
profesyonel	professioneel
profesyonel	vakmensen
profesyonel	professionelen
süper	uitstekende
süper	uitmuntend
süper	gaaf
süper	tof
hiç	ooit
hiç	geen
hiç	nooit
ifade	depositie
ifade	getuigenverklaring
ifade	uitdrukking
ifade	verklaring
ifade	afzetting
ifade	expressie
ifade	getuigenis
ifade	getuigenissen
şey	ding
rol	rol
rol	rollen
islam	islamitisch
islam	islamitische
rapor	rapporteren
rapor	rapport
rapor	verslag
kullanılır	gebruikte
kullanılır	gebruikt
yerel	plaatselijk
yerel	lokaal
yerel	lokale
yönetim	toediening
yönetim	administratie
yönetim	beheer
yönetim	bestuur
video	filmpjes
kurulan	opgericht
kurulan	gesticht
kurulan	gevestigd
kurulan	gegrond
kurulan	gevestigde
beş	vijf
altı	zes
altı	zessen
final	finales
final	finale
forma	trui
forma	tenue
dizi	reeksen
dizi	opeenvolging
dizi	reeks
dizi	volgorde
dizi	serie
dizi	sequentie
şeklinde	gevormd
gerekli	vereiste
gerekli	onmisbaar
gerekli	essentieel
gerekli	nodig
gerekli	noodzakelijke
gerekli	noodzakelijk
gerekli	vereist
gerekli	essentiële
iklim	klimaat
ayrı	aparte
ayrı	gescheiden
ayrı	apart
veri	gegevens
şampiyonası	kampioenschappen
şampiyonası	kampioenschap
yerleşim	opmaak
yerleşim	indeling
yerleşim	afwikkeling
yerleşim	vereffening
yerleşim	nederzetting
yerleşim	residentiële
yerleşim	schikking
kariyeri	carrière
kariyeri	carriere
kariyeri	loopbaan
adet	periode
adet	menstruatie
adet	tijdvak
yaz	schrijven
yaz	zomer
yaz	schrijf
kuvvetleri	krachten
tespit	opsporing
tespit	ontdekt
tespit	detectie
tespit	detecteren
tespit	gedetecteerd
göz	oog
göz	ogen
göz	oogjes
göz	bladeren
mö	boe
televizyon	televisie
sezonu	seizoen
yayın	publikatie
yayın	publiceren
yayın	publicatie
yayın	uitzenden
yayın	uitzending
yayın	uitgezonden
yayın	uitgeverijen
yayın	uitgeverij
yayın	bekendmaking
karasal	terrestrische
durum	situatie
durum	conditie
durum	voorwaarde
durum	toestand
durum	aandoening
yıldız	sterretje
yıldız	sterren
yıldız	ster
yıldız	stellaire
gelenek	tradities
gelenek	traditie
nasıl	hoe
tip	typ
tip	soort
mücadele	vecht
mücadele	worstel
mücadele	strijd
mücadele	gevecht
mücadele	vechten
mücadele	worsteling
yeri	locatie
yeri	ligging
yeri	lokatie
yardımcı	plaatsvervanger
yardımcı	hulpsheriff
yardımcı	plaatsvervangend
yardımcı	assistent
yardımcı	assistente
yıllık	jaarlijks
yıllık	jaarboek
kız	zusters
kız	meis
kız	zusjes
kız	meisje
kız	zussen
kız	meid
cumhuriyet	gemenebest
cumhuriyet	republikeinse
cumhuriyet	republikein
cumhuriyet	republikeinen
cumhuriyet	republiek
bağımsız	zelfstandig
bağımsız	onafhankelijke
bağımsız	onafhankelijk
bunlar	deze
yanlış	verkeerd
yanlış	verkeerde
yanlış	onjuist
yanlış	foutief
yanlış	vals
yanlış	fout
yanlış	onwaar
yanlış	onjuiste
yanlış	valse
al	nemen
al	krijg
al	krijgen
al	neem
kurulu	bord
kurulu	geïnstalleerde
kurulu	geinstalleerd
kurulu	geïnstalleerd
kurulu	bestuur
gerçek	echt
gerçek	waarheid
gerçek	waar
gerçek	echte
gerçek	klopt
gerçek	reëel
gerçek	feit
ses	ruis
ses	geluidshinder
ses	stem
ses	lawaai
ses	geluid
milli	nationaal
milli	nationale
kitap	boek
kitap	boeken
temsil	vertegenwoordiging
temsil	vertegenwoordigingen
temsil	vertegenwoordigen
temsil	representatie
ten	huid
ödülleri	onderscheidingen
ödülleri	beloningen
ödülleri	prijsuitreiking
saat	uur
saat	horloges
saat	uurtje
saat	klok
güneş	zonneschijn
güneş	zonne
güneş	zonnetje
güneş	zon
yazarı	schrijver
yazarı	auteur
haline	wordt
haline	word
haline	worden
kaldı	overgebleven
kaldı	verbleven
kaldı	resterend
kaldı	bleef
kaldı	resterende
kaldı	verbleef
kaldı	gebleven
geçti	doorgegeven
geçti	geslaagd
siyasi	politieke
siyasi	politiek
benzer	vergelijkbare
benzer	soortgelijk
benzer	vergelijkbaar
benzer	soortgelijke
benzer	gelijkaardig
krallık	koninkrijk
doğal	natuurlijk
doğal	natuurlijke
inşa	construeren
inşa	gebouwd
inşa	opbouwen
inşa	gebouwde
inşa	bouwen
doğdu	geboren
yeterli	adequaat
yeterli	toereikend
yeterli	voldoende
londra	londen
türü	typ
türü	soort
başkanlığı	voorzitterschap
başkanlığı	presidentschap
göç	immigratiedienst
göç	migraties
göç	immigratie
göç	migreren
göç	migratie
göç	uittocht
göç	emigratie
as	azen
as	aas
bakanlığı	ministerie
kurulmuştur	opgericht
kurulmuştur	gevestigd
kurulmuştur	gevestigde
örnek	monster
örnek	voorbeeld
örnek	steekproef
durumu	toestand
durumu	voorwaarde
durumu	aandoening
durumu	conditie
israil	israël
veren	gever
kırmızı	rode
kırmızı	rood
yönetmen	geregisseerd
yönetmen	regisseur
yönetmen	directeur
yönetmen	regisseerde
yönetmen	gerichte
ön	voorzijde
ön	voorkant
tamamen	compleet
tamamen	volledig
tipi	sneeuwstorm
tipi	typ
tipi	soort
araştırma	onderzoek
araştırma	onderzoeken
orijinal	originele
orijinal	originelen
orijinal	oorspronkelijke
orijinal	origineel
avusturya	oostenrijk
yardım	bijstand
yardım	assistentie
yardım	helpen
yardım	hulp
serbest	vrij
serbest	uitgebracht
serbest	vrijgelaten
serbest	vrijgave
serbest	loslaten
serbest	vrijgegeven
serbest	vrijlating
serbest	gratis
değer	waarde
değer	waard
değer	waarden
değer	waardes
oranı	verhouding
oranı	tarief
şarkıcı	zanger
şarkıcı	zangeres
destek	ondersteunt
destek	steunt
destek	steun
destek	ondersteuning
destek	ondersteunen
destek	ondersteunend
katıldı	bijgewoond
bugün	vandaag
hafta	weken
hafta	weekje
ekonomik	economische
ekonomik	zuinig
ekonomik	economisch
ekonomik	economie
adam	kerel
it	duwen
it	persen
kendisi	hemzelf
kendisi	zichzelf
kendisi	haarzelf
etkili	efficiënt
etkili	effectief
etkili	invloedrijk
etkili	invloedrijke
etkili	effectieve
etkili	doeltreffend
etkili	efficiënte
yayınları	publikaties
yayınları	publicaties
resmî	officieel
resmî	ambtenaar
resmî	officiële
nehri	rivier
hizmet	dienen
hizmet	dienstverlening
hizmet	dienst
hizmet	opdienen
hizmet	serveren
hizmet	diensten
düzenlenen	vastgehouden
düzenlenen	gehouden
güçlü	sterk
güçlü	krachtiger
güçlü	sterken
güçlü	sterke
güçlü	machtig
güçlü	sterker
güçlü	aangedreven
güçlü	krachtig
güçlü	krachtige
arası	tussen
asya	aziatisch
asya	aziatische
asya	azië
yolu	pad
girdi	invoer
girdi	binnenkomst
girdi	binnengekomen
girdi	binnengegaan
girdi	vermelding
sayı	scoren
sayı	aantal
sayı	nummer
sayı	getal
çalışma	werken
çalışma	bestuderen
çalışma	studeren
çalışma	arbeid
çalışma	werk
çalışma	studeer
çalışma	studie
yıllar	jaar
yıllar	jaren
başlar	begint
hukuk	wet
roman	fictie
roman	roman
ilan	advertentie
ilan	reclame
başlık	onderschrift
başlık	kop
başlık	titel
başlık	krantenkop
başlık	koptekst
sürekli	continue
sürekli	constant
sürekli	continu
sürekli	doorlopend
sürekli	ononderbroken
sürekli	voortdurend
sürekli	doorlopende
kral	konings
kral	koning
sonrasında	naderhand
sonrasında	na
sonrasında	nasleep
hatta	zelfs
aile	familie
aile	gezin
metre	meter
metre	meters
basketbol	basketbal
kullanımı	gebruik
kullanımı	gebruiken
vardı	hadden
vardı	gehad
sovyet	sovjets
sovyet	sovjet
ticaret	bedrijf
ticaret	zakelijk
ticaret	handel
ticaret	handelsverkeer
kardeş	zusje
kardeş	verwant
kardeş	zus
kardeş	zuster
kardeş	broertje
kardeş	broer
kardeş	broeder
benim	mijne
belli	evident
belli	bepaalde
öldü	doods
öldü	gestorven
öldü	stierf
öldü	dood
öldü	overleden
hızlı	snelheid
hızlı	toerental
hızlı	vlugger
hızlı	snelle
hızlı	snellere
hızlı	sneller
hızlı	vasten
hızlı	snel
hızlı	vlug
yabancı	vreemdelingen
yabancı	vreemde
yabancı	vreemden
yabancı	vreemdeling
yabancı	buitenlander
yabancı	buitenlands
yerli	plaatselijk
yerli	indische
yerli	binnenland
yerli	huishoudelijk
yerli	binnenlands
yerli	lokaal
yerli	indisch
yerli	indiaan
yerli	indiase
yerli	indiaas
yerli	inheemse
yerli	inheems
yerli	lokale
yerli	huiselijk
ağır	zware
ağır	heftig
ağır	zwaar
ağır	weeg
oynadı	speelde
oynadı	gespeelde
oynadı	afgespeeld
oynadı	gespeeld
kiralık	verhuur
ticari	commercieel
ticari	commerciële
aslında	eigenlijk
avustralya	australië
enerji	energie
yunan	griekse
yunan	grieks
yunan	griek
yunan	helleense
zaten	reeds
zaten	al
madalya	medailles
madalya	medaille
mevcut	bestaande
mevcut	presenteren
mevcut	huidige
mevcut	bestaand
mevcut	heden
mevcut	verkrijgbaar
mevcut	actueel
mevcut	aanwezig
mevcut	beschikbaar
mevcut	beschikbare
mevcut	presenteer
mevcut	huidig
yarışması	wedstrijdje
yarışması	wedstrijd
yarışması	prijsvraag
akdeniz	mediterrane
azerbaycan	azerbeidzjan
güç	forceren
güç	vermogen
güç	kracht
güç	sterkte
güç	macht
milletvekili	congreslid
ileri	gevorderd
ileri	doorsturen
ileri	gevorderden
ileri	geavanceerd
ileri	geavanceerde
ileri	vooruit
ileri	voorwaarts
yüzyıl	eeuw
hakları	rechten
sol	links
sol	linkse
sol	linker
sayfası	bladzijde
sayfası	pagina
italyan	italiaan
italyan	italiaanse
italyan	italiaans
değişiklik	wijzigingen
değişiklik	verandering
değişiklik	veranderingen
değişiklik	veranderen
değişiklik	wijzigen
değişiklik	wijziging
değişiklik	modificatie
saha	veld
sık	knijpen
tur	rondreis
tur	rondleiding
tur	tournee
japon	japanners
japon	japanse
japon	japans
dili	taal
dili	taalgebruik
dili	tong
yüzey	oppervlakten
yüzey	oppervlak
yüzey	oppervlakken
yüzey	bovengronds
başkan	voorzitter
ek	aanvullende
ek	bijkomende
ek	bijkomend
ek	optellen
ek	extra
ek	aanvullend
ek	bijlage
ek	toevoeging
konusu	onderwerp
konusu	proefpersoon
metal	metalen
maddeler	substanties
maddeler	stoffen
yaygın	wijdverbreide
yaygın	gemeenschappelijk
yaygın	wijdverspreide
yaygın	vaak
yaygın	doordringende
yaygın	wijdverbreid
