மற்றும்	그리고
நடித்த	주연
பொதுவான	공공
பொதுவான	일반인
பொதுவான	공개
பொதுவான	일반
பொதுவான	장군
பொதுவான	공중
சமயம்	종교
சமயம்	공동체
சமயம்	커뮤니티
விட்டு	떠나
விட்டு	떠나기
பக்கம்	페이지
அதிகம்	기타
அதிகம்	하이
அதிகம்	높음
நாட்கள்	데이즈
திருத்தந்தை	교황
மாற்றம்	변환
மாற்றம்	바뀌기
மாற்றம்	전환
மாற்றம்	변화
மாற்றம்	바꾸기
மாற்றம்	변경
கழகம்	협회
இறுதி	파이널
இறுதி	끝내기
இறுதி	기말고사
இறுதி	결승전
இறுதி	종료
இணைய	인터넷
வகைகள்	분류
வகைகள்	모드
வகைகள்	유형
வகைகள்	카테고리
வகைகள்	카테고리가
வகைகள்	범주
சீன	중국어
சீன	중국인
பொருளாதார	경제학
பொருளாதார	경제
இயற்கை	자연
இயற்கை	천연
தலைமை	과장
தலைமை	지도력
தலைமை	치프
தலைமை	리더십
வேதியியல்	화학
நிதி	재무
நிதி	재정
நிதி	금융
போக்குவரத்து	교통수단
போக்குவரத்து	수송
போக்குவரத்து	운송
போக்குவரத்து	교통
புகழ்	찬미
புகழ்	변명
புகழ்	명성
புகழ்	페임
புகழ்	찬양
புகழ்	칭찬
புகழ்	핑계
முன்பு	전에
முன்பு	이전
அதிகமான	하이
அதிகமான	높음
அதிகமான	막스
அதிகமான	최대
அதிகமான	맥스
கீழே	그레이드
கீழே	하단
கீழே	아래쪽
கீழே	바닥
கீழே	아래에
கீழே	다운
கீழே	아래
கீழே	아래로
கீழே	밑바닥
செய்தி	메시지
செய்தி	이야기
செய்தி	소식
செய்தி	스토리
செய்தி	메세지
செய்தி	뉴스
அமெரிக்காவின்	아메리카
உதவி	도움
உதவி	도움말
பிரெஞ்சு	프렌치
பிரெஞ்சு	프랑스
பிரெஞ்சு	프랑스어
பிரெஞ்சு	프랑스인
மலை	산악
உடன்	함께
செயலாளர்	비서
வெவ்வேறு	다르다
வெவ்வேறு	달라
வெவ்வேறு	다름
வெவ்வேறு	뚜렷한
படைகள்	군대
படைகள்	포스
படைகள்	강제
தேர்தலில்	선거
பால்	밀크
பால்	우유
பால்	파울로스
பால்	바울
பால்	파울
பால்	파울로
வீரர்கள்	플레이어스
வீரர்கள்	플레이어
வீரர்கள்	군인
வீரர்கள்	병사
வீரர்கள்	선수
தன்மை	동작
தன்மை	행위
தன்மை	행동
மிகப்பெரிய	거대
மிகப்பெரிய	거대한
மிகப்பெரிய	대형
விடுதலைப்	해방
கணினி	체계
கணினி	시스템
கணினி	컴퓨터
வரலாற்று	역사
வரலாற்று	사적
தேவையான	필수
தேவையான	필요함
நவீன	근황
நவீன	현대
நவீன	모던
நவீன	근대
சிகிச்சை	치료법
சிகிச்சை	치료
சிகிச்சை	시술
தொகுதிகள்	차단
தொகுதிகள்	블록
தொகுதிகள்	블럭
ஒன்றாக	함께
ஒன்றாக	같이
மாநிலம்	국가
மாநிலம்	상태
நோக்கி	향해
தற்போதைய	현재
தற்போதைய	선물
தற்போதைய	전류
வருகின்றன	출시
தேர்வு	선택
தேர்வு	선택하기
பலர்	많은
ஊர்	도시
ஊர்	시내
ஊர்	타운
ஊர்	마을
அல்ல	아님
தூதரகம்	대사관
நோபல்	노블
நோபல்	노벨
நோபல்	귀족
முடிவு	결론
முடிவு	결과
முடிவு	종료
முடிவு	끝내기
வானூர்தி	항공기
வானூர்தி	항공
தோற்றம்	스타일
தோற்றம்	출연
தோற்றம்	표정
தோற்றம்	외모
தோற்றம்	모양
வயது	연령
வயது	나이
வயது	나이에
அவரை	그를
இதழ்கள்	잡지
இதழ்கள்	꽃잎
தனிப்பட்ட	고유
தனிப்பட்ட	개인
தனிப்பட்ட	개인적
தனிப்பட்ட	개인적인
தனிப்பட்ட	비공개
தனிப்பட்ட	독특한
தனிப்பட்ட	개인용
என்பதால்	언제부터
என்பதால்	이후
என்பதால்	이후부터
கோயில்கள்	신전
கோயில்கள்	사원
மென்பொருள்	소프트웨어
பொழுது	언제
பொழுது	언제쯤
சோவியத்	소련
தேவை	필수
தேவை	필요함
சக்தி	파워
சக்தி	에너지
சக்தி	권력
சக்தி	전력
அவர்களது	그들의
நிகழ்வுகள்	이벤트
நிகழ்வுகள்	행사
போரில்	배틀
போரில்	전투
போட்டி	대회
போட்டி	토너먼트
போட்டி	매치
போட்டி	일치합니다
போட்டி	일치하기
போட்டி	콘테스트
போட்டி	일치
போட்டி	경쟁
உட்பட	포함
ஏறத்தாழ	거의
கத்தோலிக்க	가톨릭
கத்தோலிக்க	가톨릭주의
மூன்றாவது	세번째
மூன்றாவது	셋째
முந்தைய	이전
முந்தைய	아까
இயக்கம்	움직임
இயக்கம்	작전
இயக்கம்	모션
இயக்கம்	작동
இயக்கம்	운동
நடிகர்கள்	배우
உரை	문구
உரை	문자
உரை	텍스트
குறிப்பு	노트
குறிப்பு	참고
குறிப்பு	참조
விருதுகள்	수상
விருதுகள்	어워드
குறைவான	낮음
குறைவான	낮은
கடந்த	마지막
கடந்த	라스트
கடந்த	과거
ஆண்	남성
ஆண்	멘트
ஆண்	수컷
ஆண்	남자
திறன்	능력자
திறன்	솜씨
திறன்	용량
திறன்	스킬
திறன்	능력
திறன்	기술
திறன்	실력
கொள்கை	방침
கொள்கை	정책
உரிமை	권리
இல்லாத	무료
இல்லாத	자유
இலக்கியம்	문학
அடங்கும்	포함됨
அடங்கும்	포함
வடிவம்	형식으로
வடிவம்	형식
வடிவம்	포맷
வடிவம்	모양
வடிவம்	형태
நாடாளுமன்ற	국민의회
நாடாளுமன்ற	의회
நாடாளுமன்ற	국회
வாழ்ந்த	살았던
ஒன்றை	하나
பயிற்சி	훈련
பயிற்சி	튜토리얼
பயிற்சி	연습
பயிற்சி	연습생
பயிற்சி	트레이닝
கோட்டை	포트
கோட்டை	요새
உயிர்	생명
உயிர்	인생
உயிர்	모음
உயிர்	생활
உயிர்	라이프
சேர்த்து	포함
தீவுகள்	제도
எழுத்து	캐릭터
எழுத்து	글쓰기
எழுத்து	인물
எழுத்து	철자법
எழுத்து	문자
எழுத்து	쓰기
எழுத்து	철자
எழுத்து	맞춤법
எழுத்து	성격
எழுத்து	스크립트
விளக்கம்	설명
விளக்கம்	묘사
சூரிய	태양
சூரிய	태양광
எட்டு	여덟
உலகம்	글로벌
உலகம்	세상
உலகம்	월드
உலகம்	전세계
உலகம்	글로브
உலகம்	세계
உலகம்	전역
ஏனெனில்	왜냐면
ஏனெனில்	왜냐하면
சேலம்	세일럼
சேலம்	살렘
சாதாரண	보통
சாதாரண	평원
சாதாரண	평범
சாதாரண	정규
சாதாரண	정상
அரசியல்வாதிகள்	정치인들
அரசியல்வாதிகள்	정치인
அரசியல்வாதிகள்	정치가
கூடுதல்	연장
இந்தி	힌디어
வெளியிடப்பட்டது	개봉
வெளியிடப்பட்டது	게시
வெளியிடப்பட்டது	발매
வெளியிடப்பட்டது	출판
வெளியிடப்பட்டது	출판됨
தாய்	태극권
தாய்	태국
தாய்	타이
தாய்	어머니
தாய்	태국어
தாய்	엄마
பண்டைய	고대
தடை	중단
தடை	인터럽트
தடை	차단되었습니다
தடை	금지
தடை	중지
தடை	차단됨
தடை	차단
விமான	항공
இப்போது	이제
இப்போது	지금
தெலுங்கு	텔루구어
குழந்தை	키드
குழந்தை	아이유
குழந்தை	아기
குழந்தை	영아
குழந்தை	베이비
கண்டு	찾았습니다
கண்டு	찾았다
கண்டு	찾기
கண்டு	발견됨
விக்கி	위키위키
விக்கி	위키
விக்கி	비키
சிங்கப்பூர்	싱가포르가
சிங்கப்பூர்	싱가폴
சிங்கப்பூர்	싱가포르
கடவுள்	하느님
கடவுள்	하나님
மையம்	센터
மையம்	중심
மையம்	중앙
சட்ட	합법적인
சட்ட	법률
பின்வரும்	팔로우
காட்சி	디스플레이
காட்சி	표시하기
காட்சி	표시
காட்சி	조회
காட்சி	장면
காட்சி	보이기
காட்சி	현장
காட்சி	보기
காட்சி	공연
வங்கி	뱅킹
வங்கி	뱅크
வங்கி	은행
நடிகை	여배우
நடிகை	배우
சங்கம்	협회
பயணம்	여행
தில்லி	델리
நிர்வாக	행정
ஒளி	라이트
ஒளி	가벼움
ஒளி	가볍게
ஒளி	가벼운
ஆசிய	아시아
விகிதம்	비율
விகிதம்	퍼센트
விகிதம்	평가
சாலை	로드
சாலை	도로
கொழும்பு	콜롬보
குடியரசு	공화국
நகரங்கள்	도시
அனைத்தும்	전체
அனைத்தும்	모두
மேலாண்மை	경영
மேலாண்மை	관리
இங்கே	여기에
இங்கே	여기
இயற்பியல்	물리학
இயற்பியல்	물리
இதழ்	매거진
இதழ்	잡지
கலைஞர்	아티스트가
கலைஞர்	예술가
கலைஞர்	음악가
கலைஞர்	아티스트
ஒலிம்பிக்	올림픽
மலேசிய	말레이시아
மலேசிய	말레이시아어
உருவாக்கப்பட்டது	만들었습니다
உருவாக்கப்பட்டது	생성
எவ்வாறு	어떻게
தொடங்கியது	시작되었습니다
தொடங்கியது	시작했습니다
தொடங்கியது	시작됨
வெள்ளை	하얀
வெள்ளை	화이트
வெள்ளை	흰색
வெள்ளை	하얗게
வெள்ளை	하얀색
சுற்றி	주위
சுற்றி	주변
எப்படி	어떻게
பில்லியன்	수십억
பில்லியன்	십억
பேரரசு	제국
பேரரசு	엠파이어
நீளம்	길이
ஆராய்ச்சி	연구
ஆராய்ச்சி	조사
தளம்	기지
தளம்	영역
தளம்	베이스
தளம்	사이트
தளம்	도메인
தளம்	플랫폼
விழா	의식
விழா	축제
விழா	페스티벌
பக்கத்தில்	페이지
புற	원격
புற	리모콘
புற	리모컨
முன்னணி	전경
புவியியல்	지리
புவியியல்	지리학
அடையாளம்	태그
அடையாளம்	서명
அடையாளம்	정체성
அடையாளம்	기호
அடையாளம்	증명
அடையாளம்	식별
அடையாளம்	본인
அடையாளம்	사인
அடையாளம்	신분증
குறியீடு	코드
குறியீடு	상징
குறியீடு	기호
குறியீடு	부호
குறியீடு	부호화
குறியீடு	인코딩
செயல்	활동
செயல்	함수
செயல்	행동
செயல்	작전
செயல்	동작
செயல்	액션
செயல்	작동
செயல்	작업
பயன்பாடு	사용량
பயன்பாடு	어플리케이션
பயன்பாடு	사용법
