در	கதவு
ولی	ஆனாலும்
آمریکایی	அமெரிக்கன்
آمریکایی	அமெரிக்க
آمریکایی	அமெரிக்கர்
نقش	பதவி
نقش	பங்கு
نقش	பாத்திரம்
منطقه	பிராந்தியம்
منطقه	மாவட்டம்
منطقه	பகுதியில்
منطقه	பரப்பு
منطقه	மாவட்ட
منطقه	பரப்பளவு
منطقه	பகுதி
منطقه	மண்டலம்
بسیار	மிக
بسیار	பல
بسیار	பலர்
بسیار	மிகவும்
اسلامی	இஸ்லாமிய
اسلامی	இஸ்லாமிக்
اسلامی	இஸ்லாமியம்
بزرگ	பெரிய
بزرگ	பெரியது
بزرگ	மிகப்பெரிய
اروپا	ஐரோப்பா
روستایی	ஊரக
روستایی	கிராமப்புற
آمار	புள்ளியியல்
آمار	புள்ளிவிவரம்
فعالیت	நடவடிக்கை
فعالیت	செயற்பாடு
فعالیت	செயல்பாடு
زاده	பிறந்தது
زاده	பிறப்பு
زاده	பிறந்து
محمد	முஹம்மது
محمد	முகமது
محمد	முகம்மது
بریتانیا	பிரிட்டன்
بریتانیا	பிரிட்டிஷ்
مانند	பிடித்திருக்கிறது
مانند	விருப்பம்
مانند	விரும்பு
مانند	போல்
مانند	போல
چند	சில
چند	மல்டி
شمالی	வடக்கே
شمالی	வட
شمالی	வடக்கு
شمالی	கரோலினா
آب	தண்ணீரைக்
آب	தண்ணீரை
آب	தண்ணீர்
آب	நீர்
خورشیدگرفتگی	கிரகணம்
ایرانی	இரானி
ایرانی	பாரசீக
ایرانی	ஈரானிய
اطلاعات	தகவல்
اطلاعات	தகவல்கள்
اطلاعات	தகவலை
ایجاد	உருவாக்கம்
ایجاد	உருவாக்குகிறது
ایجاد	உருவாக்கப்படுகிறது
ایجاد	உருவாக்குக
ایجاد	படைப்பு
ایجاد	உருவாக்கு
ایجاد	உருவாக்குதல்
مالک	மலிக்
مالک	சொந்தக்காரர்
مالک	உரிமையாளர்
مالک	மாலிக்
امنیت	பாதுகாப்பு
نوع	வகை
مردم	மக்களின்
مردم	மக்கள்
مردم	மக்களே
مردم	நபர்கள்
دلیل	பாதையில்
دلیل	காரணமும்
دلیل	காரணம்
دلیل	காரணத்தை
روستای	கிராம
روستای	கிராமத்திற்கு
روستای	கிராமத்தில்
روستای	கிராமம்
روستای	கிராமத்து
دور	தொலைவில்
دور	விலகி
دور	தள்ளி
دور	இதுவரை
اولین	ஈவிலின்
مربوط	தொடர்புடையது
مربوط	தொடர்புடையவை
مربوط	தொடர்பான
بار	ஏற்று
بار	பார்
بار	சுமை
بار	பட்டை
بار	உள்வாங்கு
بار	அருந்தகம்
دریا	கடல்
شما	நீ
شما	உன்
شما	உங்கள்
شما	நீங்கள்
شما	உங்களின்
شما	உனது
برابر	சமமாக
برابر	சமமான
برابر	சமம்
برابر	சம
تولید	உருவாக்க
تولید	உற்பத்தி
تولید	தயாரிப்பு
تپه	குன்று
تپه	ஹில்
تنها	தனியாக
تنها	தனிமையில்
تنها	மட்டுமே
تنها	மட்டும்
تنها	தனிமையாக
تنها	தனியே
تنها	தனிமை
علی	அலி
شرقی	ஓரியண்டல்
شرقی	கிழக்கு
یونسکو	யுனெஸ்கோ
یونسکو	தளங்கள்
برخی	சில
میان	மியான்
میان	இடைப்பட்ட
میان	இடையிலான
میان	இடையே
جهان	உலக
جهان	உலகமே
جهان	ஜஹான்
جهان	உலகம்
جام	கிண்ணம்
جام	கோப்பை
ارتفاع	உயரம்
ارتفاع	உயரத்தில்
کد	குறிமுறை
کد	குறியீடு
کشف	கண்டுபிடி
کشف	கண்டுபிடிக்கப்பட்ட
کشف	டிஸ்கவரி
کشف	கண்டறியவும்
کشف	கண்டுபிடிக்கவும்
کشف	கண்டறிதல்
کشف	கண்டுபிடிக்கப்பட்டது
نشان	பேட்ஜ்
حذف	நீக்கு
حذف	அழி
حذف	நீக்குகிறது
حذف	அகற்றுகிறது
حذف	நீக்குக
تلویزیونی	தொலைக்காட்சி
غربی	மேற்கு
غربی	வேஸ்ட்
گرفته	எடுக்கப்பட்டது
گرفته	எடுத்தது
گرفته	எடுக்கப்பட்ட
گرفته	எடுத்துக்
دوران	சகாப்தம்
دوران	காலகட்டங்கள்
شامل	அடங்கும்
شامل	சேர்க்கவும்
شامل	சேர்த்து
شدن	பெறுகிறார்
شدن	பெறுகிறது
شدن	பெறுதல்
شدن	வெள்ளத்தில்
بهترین	சிறந்தவை
بهترین	சிறந்தது
بهترین	சிறந்த
بهترین	சிறப்பாக
دولت	அரசாங்கம்
دولت	நிலை
دولت	மாநிலம்
دولت	அரசு
همراه	செல்பேசி
همراه	கைபேசி
همراه	மொபைல்
چپ	மீதம்
چپ	இடது
ایتالیا	இத்தாலிய
ایتالیا	இத்தாலியன்
ایتالیا	இத்தாலியா
ایتالیا	இத்தாலி
صفحه	பக்கத்தை
صفحه	பக்கத்தைப்
صفحه	பக்கம்
صفحه	பக்கத்தில்
مجلس	பாராளுமன்றம்
مجلس	சபை
مجلس	நாடாளுமன்றம்
مجلس	நாடாளுமன்ற
تحت	கீழ்
تحت	அடியில்
آغاز	தொடங்குகிறது
آغاز	துவங்கு
آغاز	ஆரம்பம்
آغاز	துவங்குகிறது
آغاز	தொடக்கம்
آغاز	ஆரம்ப
آغاز	தொடங்கு
ویکی	விக்கி
راه	பாதை
راه	விதம்
راه	கிளியே
راه	வழி
کشتی	மல்யுத்தம்
کشتی	படகு
کشتی	குத்துச்சண்டை
کشتی	கப்பல்கள்
کشتی	கப்பல்
بودند	இருந்தன
بودند	இருந்த
بودند	இருந்தனர்
الگو	தோரணம்
توجه	கவனத்திற்கு
توجه	கவனம்
توجه	கவனியுங்கள்
بن	பென்
همه	எல்லோருக்கும்
همه	அனைவருமே
همه	அனைவருக்கும்
همه	எல்லாம்
همه	ஒவ்வொருவரும்
همه	அனைத்தும்
همه	எல்லோரும்
همه	எல்லோர்
همه	அனைவரும்
همه	எல்லாமே
همه	எல்லா
همه	அனைத்து
کوچک	சிறிய
کوچک	மைனர்
کوچک	சிறு
کوچک	சிறியது
کوچک	குட்டி
ژاپن	ஜப்பான்
رسمی	அதிகாரப்பூர்வ
رسمی	அதிகாரி
اسلام	இஸ்லாம்
اسلام	இஸ்லாத்தை
اسلام	இஸ்லாமியம்
اسلام	இசுலாம்
سپتامبر	செப்டம்பர்
پرونده	கோப்பு
پرونده	கேஸ்
پرونده	வழக்கு
ماه	மாதம்
ماه	மாசம்
ماه	சந்திரன்
ماه	மாதங்கள்
ماه	நிலவு
ماه	நிலா
اوت	ஆகஸ்ட்
اوت	ஆக
اوت	ஆகஸ்டு
هزار	ஆயிரம்
تابستانی	சம்மர்
تابستانی	கோடை
چون	ஏனென்றால்
چون	பொழுது
چون	எப்போது
چون	போது
چون	ஏனெனில்
چون	இருக்கும்போது
آوریل	ஏப்ரல்
آوریل	ஏப்
تغییر	மாற்று
تغییر	மாற்றும்
تغییر	மாற்றம்
تغییر	மாறுகிறது
مجموعه	சேகரிப்பு
مجموعه	சேகரிப்புகள்
مجموعه	வசூல்
مجموعه	தொகுப்பு
سیاسی	அரசியல்
شکل	வடிவம்
شکل	படிவம்
مارس	செவ்வாய்
مارس	மார்ச்
مارس	மார்ஸ்
درخواست	கோரிக்கை
درخواست	வேண்டுதல்
درخواست	வேண்டுகோள்
کیلومتر	கிலோமீட்டர்
کیلومتر	கிலோமீட்டர்கள்
جمله	வாக்கியம்
جمله	வாக்கியத்தை
گردشگری	சுற்றுலாத்துறை
گردشگری	சுற்றுலா
شهری	சிட்டி
شهری	நகரம்
شهری	நகர்ப்புற
ممکن	சாத்தியமா
ممکن	சாத்தியமே
ممکن	சாத்தியம்
لیگ	லீக்
روسیه	ரஷியன்
روسیه	ரஷ்ய
روسیه	ரஷ்யா
منابع	வளங்கள்
منابع	வளம்
منابع	ஆதாரங்கள்
منابع	மூலங்கள்
نخستین	முதல்
نخستین	முதலாவது
نخستین	முதலில்
شاه	கிங்
شاه	சா
شاه	மன்னன்
شاه	அரசன்
شاه	ராஜா
شاه	ஷா
جنوب	தெற்கு
جنوب	தென்
جنوب	தெற்கத்திய
طور	ஏற்று
طور	ஏற்ற
تشکیل	உருவான
تشکیل	உருவானது
فوت	கால்
اکتبر	அக்டோபர்
ژوئن	ஜூன்
چه	என்னென்ன
چه	என்ன
امکان	சாத்தியமா
امکان	சாத்தியமே
امکان	பாதுகாத்த
امکان	சாத்தியம்
نویسندگان	ஆசிரியர்கள்
سر	தலைகள்
سر	தலையை
سر	தலை
سر	தலைக்கு
حزب	கட்சி
حزب	கொண்டாட்டம்
حزب	பார்ட்டி
حزب	விருந்து
ما	எங்களது
ما	நம்
ما	எங்களின்
ما	நமது
ما	எங்கள்
ما	நம்முடைய
فرهنگ	கலாச்சாரம்
فرهنگ	பண்பாடு
برندگان	வெற்றியாளர்கள்
دیگری	மற்றுமொரு
دیگری	மற்றொரு
دیگری	இன்னொரு
قابل	நீக்கக்
بدون	இல்லாத
بدون	இல்லாமலே
بدون	இல்லாமல்
خانه	இல்ல
خانه	முகப்பு
خانه	இல்லம்
خانه	வீடு
خانه	வீட்டின்
دسامبر	டிசம்பர்
موارد	வழக்குகள்
موارد	பொருட்கள்
موارد	பொருள்கள்
موارد	உருப்படிகள்
هند	இந்தியா
آلبوم	ஆல்பத்தை
آلبوم	ஆல்பத்தைப்
آلبوم	ஆல்பம்
آزاد	இல்லாத
آزاد	இலவச
آزاد	இலவசம்
چاپ	அச்சில்
چاپ	அச்சிடுதல்
علمی	அறிவியலில்
علمی	விஞ்ஞானம்
علمی	அறிவியல்
علمی	விஞ்ஞான
نوامبر	நவம்பர்
نوامبر	நவ
آسیا	ஆசிய
شمال	வடக்கே
شمال	வட
شمال	வடக்கு
پایان	இறுதி
پایان	முடிவு
پایان	முடிகிறது
پایان	முடி
علوم	அறிவியலில்
علوم	விஞ்ஞானம்
علوم	அறிவியல்
جان	ஜான்
سید	சித்
کالیفرنیا	கலிபோர்னியா
قرن	நூற்றாண்டு
بازیگر	நடிகர்
بازیگر	நடிகை
صنایع	தொழிற்சாலை
صنایع	தொழிலில்
صنایع	தொழில்
صنایع	இண்டஸ்ட்ரீஸ்
صنایع	தொழில்துறை
صنایع	தொழிற்துறை
گونه	கன்னம்
گونه	இனங்கள்
گونه	கன்னத்தில்
کانادا	கனடிய
کانادا	கனடா
کانادا	கனேடிய
اسپانیا	ஸ்பெயின்
اسپانیا	ஸ்பானிஷ்
زمین	பூமியின்
زمین	பூமி
زمین	புவி
رئیس	பாஸ்
رئیس	முதலாளி
رئیس	தலைவா
برزیل	பிரேசிலிய
برزیل	பிரேசில்
سبک	பாணி
سبک	தோற்றம்
سبک	நடை
سبک	விளக்கு
سبک	லேசாக
سبک	வெளிச்சம்
سبک	ஸ்டைல்
سبک	ஒளி
بالا	முதன்மை
بالا	பாலா
بالا	பால
بالا	மேல்
بالا	மேலே
بالا	டாப்
جدید	புதிதாக
جدید	புதியது
جدید	புதிது
جدید	புதிய
تصویر	படம்
تصویر	பிம்பம்
تصویر	உருவம்
غیر	அல்லாத
حضور	வருகை
حضور	இருப்பு
حضور	இருப்பை
وارد	வார்ட்
وارد	வார்டு
عضو	நன்கொடை
عضو	உறுப்பினர்
میراث	மரபு
میراث	மரபை
زنان	பெண்களுக்கு
زنان	பெண்கள்
زنان	பெண்களாக
نظامی	ராணுவம்
نظامی	இராணுவம்
نظامی	இராணுவ
قمری	சந்திர
جای	இடத்தில்
جای	இடம்
جای	ஜெய்
جای	இடத்தை
هیچ	ஏதேனும்
هیچ	எந்த
هیچ	ஏதாவது
چین	சைனா
چین	சீனா
چین	சின்
سیستم	கணினி
سیستم	அமைப்பு
سیستم	தொகுதி
ظاهر	தோன்றும்
ظاهر	தோற்றம்
ظاهر	சாகிர்
ادامه	தொடர்க
ادامه	தொடருங்கள்
ادامه	தொடரவும்
ادامه	தொடர்கிறது
ادامه	தொடர்ந்தது
ادامه	தொடர்
درجه	தரம்
درجه	பட்டம்
درجه	டிகிரிகள்
درجه	டிகிரி
انتخاب	தேர்வு
انتخاب	தெரிவு
انتخاب	தேர்ந்தெடுக்கவும்
انتخاب	சாய்ஸ்
موجود	உள்ளது
موجود	கிடைக்கும்
موجود	உண்டு
موجود	இருக்கிறது
موجود	இருக்கும்
موجود	கிடைக்க
دستی	கையேடு
دستی	கைமுறையாக
دستی	கைமுறை
دستی	கையடக்க
دستی	கையிருப்பு
فقط	சும்மா
فقط	வெறும்
اعلام	பிரகடனம்
نسبت	விகிதம்
اعضای	உறுப்பினர்கள்
زمانی	சமானி
مسابقات	போட்டி
تلفن	பேசி
تلفن	தொலைபேசியை
تلفن	ஃபோன்
تلفن	தொலைபேசி
داستان	செய்தி
داستان	கதை
داستان	கதைகள்
سوم	மூன்றாவது
خط	வரி
خط	கோடு
قانون	சட்டத்தை
قانون	சட்டம்
قانون	ஆட்சி
قانون	விதி
درگذشت	இறந்தார்கள்
درگذشت	இறந்தார்
درگذشت	இறந்து
علت	பாதையில்
علت	காரணமும்
علت	காரணம்
علت	காரணத்தை
مهم	முக்கியம்
مهم	முக்கியமான
مهم	முக்கியமானது
مهم	முக்கிய
منبع	ஆதாரம்
منبع	மூலம்
منبع	வளம்
منبع	வள
میلیون	மில்லியன்
کمک	உதவி
کمک	உதவும்
جهت	முன்வைப்பு
جهت	நாட்டம்
جهت	வழிகள்
جهت	திசை
جهت	திசைகள்
هوایی	ஏர்
هوایی	வான்வழி
هوایی	ஏரியல்
حتی	கூட
حتی	கம்பன்
نمایش	காட்டுக
نمایش	காட்டு
نمایش	நிகழ்ச்சி
نمایش	காட்சி
آمریکای	அமெரிக்கா
ناحیه	பிராந்தியம்
ناحیه	மாவட்டம்
ناحیه	பகுதியில்
ناحیه	பரப்பு
ناحیه	மாவட்ட
ناحیه	பரப்பளவு
ناحیه	பகுதி
ناحیه	மண்டலம்
طراحی	வடிவமைப்பு
طراحی	டிசைன்
آموزش	கற்பித்தல்
آموزش	கற்பிக்கும்
آموزش	கல்வி
آموزش	பயிற்சியை
آموزش	பயிற்சி
آموزش	போதனை
قلعه	கோட்டை
ویرایش	திருத்துதல்
ویرایش	எடிட்டிங்
ویرایش	திருத்து
ویرایش	தொகுக்க
ویرایش	தொகுத்தல்
ویرایش	தொகு
حکومت	அரசாங்கம்
حکومت	அரசு
نمایندگان	பிரதிநிதிகள்
بازدید	பார்க்கவும்
بازدید	வருகைகள்
بازدید	தெரிவித்துக்
بازدید	பார்வைகள்
بازدید	மதிப்பாய்வு
بازدید	மதிப்புரை
بازدید	விஜயம்
بازدید	கண்ணோட்டம்
بازدید	வருகை
شیمیایی	கெமிக்கல்
شیمیایی	இரசாயனங்கள்
شیمیایی	ரசாயனம்
شیمیایی	ரசாயன
مساحت	பகுதியில்
مساحت	பகுதி
مساحت	பரப்பளவு
مساحت	பரப்பு
ادبیات	இலக்கிய
ادبیات	இலக்கியம்
ادبیات	இலக்கணம்
موضوع	பொருள்
شبکه	பிணையம்
شبکه	கட்டம்
شبکه	நெட்வொர்க்
شبکه	வலைப்பின்னல்
شبکه	வலையமைப்பு
شبکه	நெட்வொர்க்கிங்
برنامه	பயன்பாட்டைப்
برنامه	பயன்பாட்டை
برنامه	அட்டவணை
برنامه	நிரல்
برنامه	செயலி
برنامه	பயன்பாடு
برنامه	திட்டமிடுதல்
کاربران	பயனர்கள்
کاربران	பயன்படுத்துபவர்
تولد	பிறப்பு
تولد	பிறந்தநாள்
تولد	பிறவி
تولد	பிறந்த
تولد	பிறந்தநாளை
تبدیل	மாற்றம்
تبدیل	மாற்றுதல்
تبدیل	உருமாற்றம்
تبدیل	மாற்று
دریایی	கடல்
سن	சான்
سن	சென்
سن	புனிதர்
سن	வயது
سن	துறவறம்
عربی	அரபி
عربی	அரபு
عربی	அரேபிய
عربی	அரபிக்
روش	முறையை
روش	வழிமுறை
روش	ரோச்
روش	முறை
بازیکن	போட்டியாளர்
بازیکن	விளையாடுபவர்
بازیکن	விளையாடுபவர்கள்
بازیکن	போட்டியாளர்கள்
بازیکن	பிளேயர்
بازیکن	வீரர்கள்
رفته	சென்று
رفته	போனது
رفته	போய்விட்டது
بودن	இருப்பது
نتیجه	முடிவுகள்
نتیجه	விடைகள்
نتیجه	முடிவு
نتیجه	பலன்
نتیجه	விளைவு
انقلاب	புரட்சி
تگزاس	டெக்சாஸ்
عراق	ஈராக்
شروع	தொடங்குகிறது
شروع	துவங்கு
شروع	ஆரம்பம்
شروع	துவங்குகிறது
شروع	தொடக்கம்
شروع	ஆரம்ப
شروع	தொடங்கு
هنر	சித்திரம்
هنر	கலைகள்
هنر	கலை
هنر	ஆர்ட்ஸ்
هنر	ஆர்ட்
زمینه	பின்னணி
زمینه	பின்புலம்
قسمت	பகுதி
قسمت	எபிசோட்
قسمت	பாகம்
قسمت	அத்தியாயம்
بررسی	சரிபார்
بررسی	சரிபார்க்கிறது
بررسی	சோதிக்கிறது
بررسی	சோதி
مدیر	நிர்வாகி
مدیر	முதல்வர்
مدیر	மேலாளராக
مدیر	மேலாளர்
باز	பின்
باز	திற
باز	திறந்திருக்கும்
باز	திறக்க
باز	திறக்கவும்
باز	திறந்த
باز	திறந்துள்ளது
باز	திறக்கப்பட்டது
ترکیه	துருக்கிய
ترکیه	துருக்கி
مدال	பதக்கங்கள்
مدال	பதக்கங்களை
حقوق	சட்டம்
حقوق	சம்பளம்
حقوق	உரிமை
حقوق	உரிமைகள்
حقوق	சட்டத்தை
حقوق	உரிமைகளை
دی	டே
عمومی	பிறப்பு
عمومی	பொதுவான
عمومی	பொதுவாக
عمومی	பொது
عمومی	பொதுவானவை
عمومی	பொதுவானது
حسین	ஹுசைன்
حسین	உசேன்
ترجمه	முக்கோணம்
ترجمه	மொழிபெயர்க்க
ترجمه	மொழிபெயர்ப்பு
دقیقه	நிமிடம்
دقیقه	நிமிடத்திற்கு
دقیقه	நிமிடங்கள்
رنگ	நிறம்
رنگ	வண்ணம்
افزایش	அதிகரிக்கும்
افزایش	அதிகரித்து
افزایش	அதிகரிப்பு
افزایش	அதிகரித்துள்ளது
افزایش	அதிகரித்தது
افزایش	அதிகரிக்க
طبیعی	இயற்கை
طبیعی	இயல்பு
طبیعی	சாதாரணம்
طبیعی	சாதாரண
طبیعی	இயல்பாக
طبیعی	இயல்பான
معروف	பிரபல
مدیریت	நிர்வகித்தல்
مدیریت	நிர்வாகம்
مدیریت	மேலாண்மை
گل	பூக்களை
گل	பூ
گل	மலர்களால்
گل	இலக்கு
گل	மலர்கள்
گل	கோல்
گل	மலர்
گل	பூக்கள்
گل	இல
گل	மலர்களை
انتشار	பதிப்பகம்
انتشار	வெளியிடுகிறது
انتشار	பரவல்
انتشار	வெளியீட்டுக்
انتشار	வெளியிடு
ایشان	அவர்கள்
نیاز	தேவைப்படுகிறது
نیاز	அவசியம்
نیاز	வேண்டும்
