من	から
الكلية	大学
الكلية	腎臓
ولاية	状態
ولاية	都道府県
نادي	クラブ
نادي	棍棒
العرض	申し出
العرض	オファー
العرض	ディスプレイ
العرض	プレゼンテーション
العرض	クーポン
العرض	プレゼン
العرض	ショー
الوطني	パトリオット
جامعة	大学
المساحة	面積
المساحة	領域
المساحة	エリア
الطول	身長
الحياة	ライフ
الحياة	生命
الحياة	生活
الحياة	人生
مصر	エジプト
وصلات	リンク
المركز	中央
المركز	センター
المركز	中心
ولكن	しかし
ولكن	でも
المياه	ウォーター
مجموعة	グループ
مجموعة	コレクション
مجموعة	集団
قرى	村落
موقع	場所
موقع	ロケーション
موقع	所在地
ان	アン
مكان	場所
مكان	スポット
نقاش	ディベート
نقاش	話し合い
نقاش	ディスカッション
الثالث	番目
الثالث	サード
هناك	そこ
تحت	以下
منذ	以来
حجم	サイズ
حجم	音量
حجم	体積
حجم	ボリューム
الشيخ	シャイフ
العديد	多数
المحافظة	保存
المحافظة	保守
المحافظة	保全
الحرب	戦争
قرية	村落
قرية	ヴィレッジ
العام	イヤー
رئيس	大統領
رئيس	チーフ
رئيس	社長
رئيس	ボス
رئيس	プレジデント
عندما	とき
عندما	いつ
الكثافة	密度
الكثافة	光度
الكثافة	輝度
الوفاة	デス
شعار	標語
شعار	スローガン
شعار	エンブレム
شعار	ロゴ
عزلة	孤独
عزلة	孤立
عزلة	隔離
كتاب	ブック
كتاب	書物
مديرية	総局
ابن	息子
حول	について
العمل	ビジネス
العمل	作業
العمل	仕事
العمل	ワーク
العمل	事業
العمل	営業
العمل	アクション
الخريطة	マップ
الخريطة	地図
الرسمي	公式
الرسمي	職員
الرسمي	フォーマル
عشر	テン
سنوات	年数
بسبب	だって
بسبب	なぜなら
يوم	一日
كتابة	執筆
كتابة	筆記
كتابة	書き込む
كتابة	書き込み
كتابة	書く
طريق	道路
الدين	宗教
الدين	債務
مركز	中央
مركز	センター
مركز	中心
ملف	ファイル
لكن	しかし
لكن	でも
جميع	すべて
العربي	アラブ
الثانية	番目
الثانية	セカンド
قيد	制約
السكان	人口
السكان	住民
الدولة	状態
الدولة	都道府県
الملك	国王
الملك	キング
الاسم	名称
الاسم	氏名
الاسم	名前
ولد	男の子
ولد	少年
ولد	ボーイ
شركة	会社
فيلم	映画
فيلم	ムービー
فيلم	フィルム
صورة	イメージ
صورة	写真
صورة	画像
صورة	フォト
بطولة	主演
بطولة	選手権
بطولة	チャンピオンシップ
بطولة	トーナメント
وفيات	訃報
نباتات	植物
الولادة	分娩
الولادة	出産
الولادة	誕生
المملكة	王国
المملكة	レルム
البريدي	ポスタル
بني	息子
الدوري	リーグ
خلفية	バックグラウンド
خلفية	背景
فقط	ジャスト
فقط	のみ
فقط	ちょうど
فقط	ただ
جائزة	受賞
جائزة	表彰
نظام	システム
مرة	一度
فرنسا	フランス
قسم	学科
قسم	部署
قسم	セクション
قسم	部門
فترة	ピリオド
فترة	期間
ضد	反対
عقد	契約
عقد	ネックレス
مارس	マーズ
مارس	火星
مارس	マーチ
مارس	行進曲
دي	ディー
رقم	ナンバー
رقم	番号
رقم	数値
اليوم	今日
اليوم	トゥデイ
اليوم	一日
يناير	ヤン
اللغة	言語
عمل	ジョブ
عمل	営業
عمل	ビジネス
عمل	仕事
عمل	作業
عمل	ワーク
عمل	事業
عمل	職業
جنوب	サウス
جنوب	南部
جنوب	サザン
العالمية	ユニバーサル
العالمية	グローバル
كبير	ビッグ
كبير	大きい
كبير	大きな
الوقت	タイム
الوقت	時間
عملية	オペレーション
عملية	プロセス
عملية	操作
عملية	作戦
عملية	運営
عملية	過程
عملية	運行
مايو	メイ
مايو	五月
فبراير	二月
يونيو	六月
واحد	ワン
واحد	一人
واحد	一つ
شمال	北部
شمال	北方
شمال	ノーザン
شمال	ノース
مراجع	参照
مراجع	参考文献
مراجع	リファレンス
الاتحاد	連盟
الاتحاد	連邦
الاتحاد	ユニオン
العراق	イラク
دون	ドン
سبتمبر	九月
عبر	スルー
استخدام	使用
فريق	チーム
العامة	公開
العامة	公衆
العامة	パブリック
نفس	同じ
نفس	おなじ
كبيرة	ビッグ
كبيرة	大きい
كبيرة	大きな
الجيش	軍隊
الجيش	軍事
الجيش	アーミー
الجيش	陸軍
المساكن	住居
المساكن	住宅
نوفمبر	十一月
المديرية	総局
واحدة	ワン
واحدة	一人
واحدة	一つ
داخل	インサイド
لاعب	プレイヤー
لاعب	プレーヤー
سطح	曲面
سطح	屋上
سطح	屋根
سطح	表面
الفترة	ピリオド
الفترة	期間
دولة	状態
دولة	都道府県
الدولي	インターナショナル
الدولي	国際
كتب	書籍
كتب	帳簿
كتب	筆記
كتب	書物
بلدة	タウン
درجة	学位
خاصة	非公開
خاصة	プライベート
خاصة	スペシャル
خاصة	特に
الحكومة	政府
ملعب	スタッド
ملعب	遊び場
ملعب	スタジアム
متر	メーター
متر	メートル
الوطنية	国民
الوطنية	ナショナル
حالة	ケース
حالة	状態
حالة	ステータス
حالة	近況
حالة	条件
الفيلم	映画
الفيلم	ムービー
الفيلم	フィルム
الدول	国々
كلية	学部
كلية	カレッジ
كلية	教職員
كلية	大学
كلية	腎臓
مليون	ミリオン
مليون	百万
الدرجة	学位
عمر	オマール
الخاصة	非公開
الخاصة	プライベート
الرئيس	大統領
الرئيس	議長
الرئيس	チーフ
الرئيس	社長
الرئيس	会長
الرئيس	プレジデント
حين	とき
حين	いつ
الشمالية	北方
الشمالية	ノーザン
الشمالية	北部
بداية	スタート
بداية	始める
بداية	開始
يسار	左側
شرق	イースト
شرق	東部
الكثير	多数
قوالب	テンプレート
ويكيبيديا	ウィキペディア
نهاية	終了
نهاية	エンド
العزلة	孤独
العزلة	孤立
العزلة	隔離
زوجي	主人
زوجي	旦那
زوجي	ダンナ
وسط	中央
وسط	ミドル
وسط	セントラル
وسط	真ん中
دور	役割
القرية	村落
القرية	ヴィレッジ
اليمنية	イエメン
السنة	イヤー
حكم	審判員
شكل	図形
شكل	形状
شكل	フォーム
شكل	シェイプ
شكل	形式
نسبة	比率
نسبة	割合
الكتاب	ブック
الكتاب	書物
الناس	ピープル
المغرب	モロッコ
حرب	戦争
الجهاز	機器
الجهاز	デバイス
القاهرة	カイロ
ثلاثة	スリー
ثلاثة	三人
الحكم	ガバナンス
الحكم	判決
الحكم	審判員
الحكم	判断
الشرقية	イースト
الشرقية	東部
الشرقية	オリエンタル
صفحة	ページ
بلدية	市町村
القسم	学科
القسم	部署
القسم	セクション
القسم	部門
برنامج	プログラム
برنامج	ソフトウェア
برنامج	ソフトウエア
وقت	タイム
وقت	時間
سوريا	シリア
النظام	オーダー
النظام	注文
النظام	システム
الجمهورية	共和制
الجمهورية	共和国
مدرسة	スクール
مدرسة	学校
عرض	ディスプレイ
عرض	表示
عرض	見る
عرض	ビュー
عرض	プレゼンテーション
عرض	プレゼン
عرض	ショー
الدولية	インターナショナル
الدولية	国際
المعلومات	情報
المدرسة	スクール
المدرسة	学校
بناء	建物
بناء	建設
بناء	構築
المقالة	冠詞
المقالة	記事
العرب	アラブ
التاريخ	歴史
التاريخ	履歴
التاريخ	日付
التاريخ	由緒
التاريخ	沿革
التاريخ	デート
مجال	ドメイン
حركة	楽章
حركة	ムーブメント
حركة	モーション
حركة	運動
المقاطعة	ボイコット
المقاطعة	ディストリクト
المقاطعة	地区
المقاطعة	カウンティ
مسلسل	シリーズ
التعليم	学歴
التعليم	教育
قالب	テンプレート
تقرير	レポート
تقرير	報告
المناطق	ディストリクト
المناطق	リージョン
المناطق	地域
الحالي	プレゼント
الحالي	現在
بيت	ピート
عضو	会員
عضو	メンバー
عضو	メンバ
لغة	言語
الشرق	イースト
الشرق	東部
الشرق	オリエント
الجزائر	アルジェ
الجزائر	アルジェリア
معركة	戦い
معركة	戦闘
معركة	バトル
الغربية	ウエスタン
الغربية	ウェスタン
جبل	マウンテン
جبل	マウント
الجزء	部分
الجزء	線分
الجزء	パート
الجزء	セグメント
بوابة	ゲート
مقالة	随筆
مقالة	冠詞
مقالة	エッセイ
مقالة	記事
نفسه	同じ
نفسه	おなじ
نفسه	独学
قناة	運河
قناة	チャネル
قناة	チャンネル
قناة	海峡
الخارجية	外部
النوع	タイプ
النوع	種類
النوع	ジャンル
مناطق	ゾーン
مناطق	リージョン
مناطق	地域
شهر	月間
سلسلة	チェーン
سلسلة	シリーズ
سلسلة	チェイン
سلسلة	ストリング
البلاد	国名
البلاد	カントリー
جديدة	新規
جديدة	新しい
فيديو	ビデオ
فيديو	動画
العلوم	サイエンス
العلوم	科学
جمهورية	共和制
جمهورية	共和国
عمان	アンマン
عمان	オマーン
لبنان	レバノン
عالم	学者
عالم	ワールド
عالم	世界
الكويت	クウェート
الدم	血液
الدم	ブラッド
الحديث	トーク
الحزب	パーティ
الحزب	パーティー
شركات	会社
الفرنسية	フレンチ
الفرنسية	フランス語
مستوى	レベル
مختلفة	異なる
تونس	チュニス
عبارة	フレーズ
عبارة	フェリー
ممثل	俳優
ممثل	代理人
المجتمع	コミュニティ
المجتمع	コミュニティー
المجتمع	社会
وادي	谷間
وادي	バレー
حزب	パーティ
حزب	パーティー
هنا	ここ
يا	ヘイ
يتيمة	孤児
ثلاث	スリー
ثلاث	三人
الشباب	ユース
الشباب	青春
الشباب	若者
الشباب	青年
حسين	フセイン
الجامعة	カレッジ
الجامعة	大学
نهر	河川
عين	アイズ
الماء	ウォーター
الدكتور	医師
الدكتور	先生
الدكتور	ドクター
الدكتور	医者
شارك	共有
شارك	シェア
غرب	ウエスタン
غرب	ウエスト
غرب	ウェスタン
غرب	ウェスト
غرب	西部
بدون	なし
معلومات	情報
عادة	通常
عادة	習慣
العلم	サイエンス
العلم	フラグ
العلم	科学
العلم	国旗
شخص	人物
شخص	誰か
عهد	時代
دولار	yen
دولار	ドル
معاهدات	条約
الكبير	ビッグ
الكبير	大きい
الكبير	大きな
الميلاد	誕生
النقطة	ポイント
الشركة	会社
العصر	午後
العصر	時代
الفريق	チーム
فلسطين	パレスチナ
مجلة	雑誌
مجلة	マガジン
الثورة	レボリューション
الثورة	革命
المسلمين	イスラム教
المسلمين	ムスリム
العاصمة	資本
العاصمة	キャピタル
العاصمة	首都
الحركة	楽章
الحركة	運動
الحركة	ムーブメント
الحركة	モーション
الحركة	アクション
ملك	国王
ملك	キング
جانب	サイド
جانب	アスペクト
جانب	側面
مواقع	サイト
مواقع	所在地
مشروع	プロジェクト
الطاقة	エネルギー
الطاقة	パワー
الطاقة	権力
الرئيسية	メイン
مكتب	事務所
مكتب	デスク
مكتب	事務局
مكتب	オフィス
صيفي	サマー
جنس	性別
جنس	セックス
عنوان	タイトル
عنوان	称号
عنوان	アドレス
عنوان	肩書
عنوان	住所
الشمس	太陽
جزء	部分
جزء	パート
رجل	男性
الهند	インド
مقالات	エセー
مقالات	冠詞
مقالات	随筆
مقالات	記事
مقالات	エッセイ
اليابان	日本
المجموعة	グループ
المجموعة	コレクション
المجموعة	集団
النادي	クラブ
النادي	棍棒
دوري	リーグ
المواد	材料
المواد	マテリアル
المواد	素材
دراسة	勉強
الجديد	新規
الجديد	新しい
سبب	理性
سبب	原因
سبب	理由
صفحات	ページ
دورة	サイクル
العالمي	グローバル
العالمي	ワールド
العالمي	世界
جون	ジョン
حياة	ライフ
حياة	生命
حياة	生活
حياة	人生
ذكور	男性
ذكور	オス
روسيا	ロシア
القانون	法律
القانون	法学
شخصية	パーソナル
شخصية	人格
شخصية	人柄
شخصية	パーソナリティ
شخصية	性格
شخصية	個性
شخصية	個人
شخصية	文字
شخصية	キャラクター
المقالات	エセー
المقالات	冠詞
المقالات	随筆
المقالات	記事
المقالات	エッセイ
تحديث	更新
تحديث	アップデート
تحديث	リフレッシュ
جديد	新規
جديد	新しい
الطريق	ウェイ
الطريق	道路
يعمل	働く
يعمل	作業
يعمل	ワークス
يعمل	作品
السابق	前者
صغيرة	スモール
صغيرة	小さい
صغيرة	小さな
نقل	転送
نقل	乗り換え
نقل	輸送
نقل	交通
نقل	移転
نقل	譲渡
منظمة	団体
منظمة	組織
السلام	平和
السلام	ピース
دمشق	ダマスカス
المدن	タウンズ
المدن	都市
كثير	多数
الولاية	状態
الولاية	都道府県
الولاية	委任
رمز	シンボル
رمز	コード
رمز	記号
رمز	符号
جبال	山脈
جبال	山地
نبات	植物
نبات	プラント
الصين	中国
الصين	チャイナ
الجنسية	性的
الجنسية	市民
الجنسية	国籍
الشمال	ノース
حي	近所
حي	近隣
حي	アライブ
باريس	パリス
باريس	パリ
موسم	シーズン
موسم	季節
طلب	オーダー
طلب	注文
طلب	請求
طلب	リクエスト
بلديات	市町村
بلديات	自治体
قانون	法律
قانون	法学
كلمة	単語
كلمة	言葉
كلمة	ワード
سباق	レーシング
سباق	レース
سباق	競走
سباق	人種
حكومة	政府
لندن	ロンドン
سجل	ログ
سجل	記録
سجل	登録
سجل	レジスタ
سجل	レコード
سجل	原簿
الخليج	ガルフ
البحرية	海軍
البحرية	ネイビー
نشر	公開
نشر	投稿
نشر	出版
نشر	パブリッシング
نشر	掲示
قصة	ストーリー
قصة	記事
قصة	物語
مصدر	出典
مصدر	ソース
خارج	アウト
وحدة	ユニット
وحدة	モジュール
وحدة	統一
وحدة	単位
ثورة	レボリューション
ثورة	革命
ممثلات	女優
سعيد	ハッピー
سعيد	幸せ
حقوق	権利
ذكر	男性
ذكر	オス
الاجتماعية	ソーシャル
الجنوب	サウス
وزير	公使
وزير	大臣
مسجد	モスク
جزر	ニンジン
جزر	諸島
جزر	人参
جزر	にんじん
الدراسات	研究
بلاد	国名
بلاد	カントリー
يد	ハンド
تتبع	トラッキング
تتبع	トレース
قوة	フォース
قوة	権力
قوة	パワー
قوة	体力
قوة	強度
الشخصية	人格
الشخصية	人柄
الشخصية	パーソナリティ
الشخصية	性格
الشخصية	個性
الشخصية	文字
الشخصية	キャラクター
مباراة	一致
مباراة	マッチ
مباراة	ゲーム
الداخلية	インテリア
الداخلية	内面
الداخلية	内装
الداخلية	内側
الداخلية	インナー
الداخلية	内部
لعب	遊ぶ
لعب	プレイ
لعب	遊び
مختلف	異なる
فاز	ウォン
رجال	メン
رجال	男性
رجال	みんな
البحث	検索
البحث	リサーチ
البحث	研究
صالح	有効
صالح	フィット
الوسطى	中央
الوسطى	セントラル
نظرية	理論
نظرية	セオリー
كاليفورنيا	カリフォルニア
حاليا	現在
قاعدة	塩基
قاعدة	ルール
قاعدة	ベース
زيادة	増やす
زيادة	増額
زيادة	増加
السلطان	スルターン
السلطان	スルタン
السياسي	政治家
البحرين	バーレーン
المسيحية	キリスト教
المسيحية	クリスチャン
المسيحية	キリスト教徒
الكنيسة	教会堂
الكنيسة	教会
الكنيسة	チャーチ
طريقة	方法
طريقة	ウェイ
طريقة	メソッド
الدفاع	防御
الدفاع	ディフェンス
الدفاع	抗弁
الدفاع	防衛
لو	ルー
الجمعية	組み立て
الجمعية	社団
الجمعية	社会
الجمعية	アソシエーション
الجمعية	アセンブリ
الجمعية	集会
الجمعية	協会
الثالثة	番目
الثالثة	サード
شبكة	グリッド
شبكة	ネットワーク
طيور	鳥類
لما	なぜ
سان	サン
نصف	半分
نصف	ハーフ
العملية	オペレーション
العملية	プロセス
العملية	操作
العملية	作戦
العملية	運営
العملية	過程
العملية	運行
صاحب	オーナー
صاحب	所有者
عائلة	家族
المستخدم	ユーザ
المستخدم	ユーザー
الشكل	フィギュア
الشكل	書式
الشكل	図形
الشكل	形状
الشكل	フォーム
الشكل	シェイプ
الشكل	形式
الشكل	フォーマット
برامج	演目
برامج	プログラム
برامج	ソフトウェア
برامج	ソフトウエア
ارتفاع	身長
ارتفاع	ライジング
لقب	ニックネーム
لقب	愛称
الخامس	フィフス
الطائرة	航空機
الطائرة	飛行機
مرحلة	ステージ
مرحلة	フェーズ
مرحلة	舞台
مرحلة	位相
رواية	小説
تركيا	トルコ
تركيا	七面鳥
عمليات	プロセス
عمليات	オペレーション
عمليات	操作
عمليات	演算
النشاط	アクティビティ
دائرة	サーキット
دائرة	回路
دائرة	サークル
حد	限界
حد	リミット
حد	制限
صناعة	産業
صناعة	業界
مؤسسة	ファンデーション
مؤسسة	財団
مؤسسة	機関
مؤسسة	制度
مؤسسة	施設
مؤسسة	ファウンデーション
مصادر	出典
مصادر	ソース
تحتوي	含む
نباتي	ヴィーガニズム
نباتي	ベジタリアン
الفردي	シングルス
المسجد	モスク
البعض	いくつか
البعض	いくらか
البعض	一部
الحديثة	モダン
الملكية	プロパティ
الملكية	財産
الملكية	君主制
لي	リー
لي	鉱山
طائرة	飛行機
طائرة	航空機
مسلسلات	シリーズ
الموسم	シーズン
الموسم	季節
الدور	役割
عسكرية	軍隊
عسكرية	軍事
البلدية	市町村
شخصيات	文字
شخصيات	キャラクター
الحالة	ケース
الحالة	状態
الحالة	ステータス
الحالة	近況
الحالة	状況
الحالة	シチュエーション
الحالة	都道府県
الحالة	条件
توضيح	説明
توضيح	釈明
توضيح	解説
جمعية	組み立て
جمعية	社団
جمعية	アソシエーション
جمعية	アセンブリ
جمعية	集会
جمعية	協会
مملكة	王国
مملكة	レルム
صور	イメージ
صور	画像
الوزراء	公使
الوزراء	大臣
مرض	疾病
مرض	病気
الجسم	ボディ
الجسم	身体
الجسم	本体
الجسم	本文
الصفحة	ページ
الثقافة	文化
الثقافة	カルチャー
سياسة	政治
سياسة	政策
سياسة	方針
سياسة	ポリシー
القديم	オールド
القديم	古い
المحلية	地元
المحلية	ローカル
الطب	医学
تحديد	選択
تحديد	指定
بعدها	それから
مطار	空港
نقطة	ポイント
نقطة	ドット
السلطة	職権
السلطة	権力
السلطة	権限
السلطة	サラダ
السلطة	パワー
السلطة	権威
قبيلة	部族
حدث	イベント
حدث	行事
الحصول	ゲット
الوحدة	孤独
الوحدة	ユニット
الوحدة	統一
الوحدة	単位
النباتات	植物
التصنيف	格付
التصنيف	評価
التصنيف	分類
الخاص	非公開
الخاص	プライベート
الخاص	スペシャル
باشا	パシャ
اتحاد	コンソーシアム
اتحاد	連邦
عشرة	テン
العلاقات	交際
العلاقات	リレーション
العلاقات	リレーションシップ
العلاقات	関係
ممثلون	俳優
جي	慈恵
سليمان	スレイマン
سليمان	ソロモン
الشام	シャム
النساء	女性
الشعر	毛髪
الشعر	ヘア
الشعر	ヘアー
الشعر	髪の毛
قائد	リーダー
قائد	司令官
وهم	幻想
وهم	錯覚
وهم	イリュージョン
جهاز	機器
جهاز	デバイス
الحرارة	気温
الحرارة	温度
الحرارة	ヒート
الرقم	ナンバー
الرقم	番号
الرقم	数値
مستخدم	ユーザ
مستخدم	ユーザー
تي	ティー
عالية	高い
عالية	ハイ
المرحلة	ステージ
المرحلة	フェーズ
المرحلة	舞台
المرحلة	位相
نطاق	レンジ
نطاق	範囲
نطاق	スコープ
تحقيق	調査
تحقيق	探究
تحقيق	照会
تحقيق	捜査
يعني	意味
يعني	意地悪
يعني	手段
يعني	平均
ويكي	ウィキ
طويلة	ロング
طويلة	高い
طويلة	長い
الكتب	書籍
الكتب	帳簿
الكتب	書物
جورج	ジョージ
البيانات	ステートメント
البيانات	データ
الحيوانات	動物
بيروت	ベイルート
الخلايا	セル
عامة	公開
عامة	公衆
عامة	将軍
عامة	一般
عامة	パブリック
عامة	全般
الحدود	国境
الحدود	境界
الحدود	ボーダー
الحدود	フロンティア
مباشرة	ストレート
مباشرة	ダイレクト
مباشرة	直接
مباشرة	まっすぐ
ممثلة	女優
ممثلة	俳優
متعددة	複数
متعددة	倍数
وفاة	デス
مصطفى	ムスタファ
المادة	冠詞
المادة	記事
المادة	マテリアル
المادة	素材
المادة	材料
البرنامج	プログラム
هولندا	オランダ
كندا	カナダ
بنت	女の子
بنت	少女
بنت	ガール
اللجنة	コミッション
اللجنة	委嘱
اللجنة	手数料
قصر	宮殿
القلب	心臓
القلب	ハート
بيانات	データ
سعد	サアド
الكريم	クリーム
السورية	シリア
الشعبية	ポピュラー
الشعبية	人気
عاصمة	資本
عاصمة	キャピタル
عاصمة	首都
ظهر	戻る
ظهر	背中
ظهر	後ろ
ظهر	裏側
تقديم	送信
تقديم	提出
البطولة	選手権
البطولة	チャンピオンシップ
البطولة	トーナメント
محطة	ターミナル
محطة	ステーション
محطة	端末
المجال	球体
المجال	ドメイン
المجال	球面
المجال	球形
الوصول	到着
الوصول	アクセス
الوصول	リーチ
الجائزة	受賞
الجائزة	表彰
وزراء	公使
وزراء	大臣
خاص	非公開
خاص	プライベート
خاص	スペシャル
اللاعب	プレイヤー
اللاعب	プレーヤー
الطبيعية	自然
الطبيعية	ナチュラル
عصر	時代
سابق	前者
يحدث	ハプニング
الوطن	帰宅
الوطن	ホーム
الوطن	自宅
قطر	カタール
العلاج	セラピー
العلاج	トリートメント
العلاج	治療
العلاج	待遇
باب	ドア
العدد	ナンバー
العدد	カウント
العدد	番号
العدد	数値
خمسة	ファイブ
خمسة	五つ
علاقة	交際
علاقة	リレーションシップ
القرى	村落
كامل	完備
كامل	フル
كامل	いっぱい
كامل	コンプリート
معسكر	キャンプ
مهمة	ミッション
مهمة	重要
رسالة	手紙
رسالة	伝言
رسالة	メッセージ
رسالة	レター
الملعب	ピッチ
الملعب	スタジアム
الرياض	リヤド
السودان	スーダン
تكساس	テキサス
السينما	映画
السينما	シネマ
سوف	遺言
سوف	ウィル
العسكري	軍隊
العسكري	軍事
كنيسة	教会堂
كنيسة	教会
كنيسة	チャーチ
اليد	ハンド
المحيط	大洋
المحيط	周囲
النهائي	ファイナル
النهائي	決勝
النهائي	最終
نقاط	ポイント
نقاط	クレジット
نقاط	ドット
نقاط	謝辞
القوى	パワーズ
الغرب	ウェスト
الغرب	ウエスト
الغرب	西部
العهد	テスタメント
مدى	レンジ
مدى	範囲
جريدة	新聞
جريدة	新聞紙
معهد	研究所
الصور	イメージ
الصور	画像
عاد	戻る
عاد	背中
عاد	後ろ
عاد	裏側
بالقرب	近く
بالقرب	付近
الخدمة	サービス
روابط	リンク
حدود	境界
حدود	国境
حدود	限界
حدود	リミット
حدود	制限
حدود	ボーダー
المعهد	研究所
فصيلة	小隊
قيمة	価額
قيمة	バリュー
مجموعات	グループ
مجموعات	コレクション
طائرات	飛行機
طائرات	航空機
الحسن	ハッサン
الحسن	ハサン
عمدة	町長
عمدة	市長
عمدة	シェリフ
كوريا	朝鮮
كوريا	韓国
وصف	説明
وصف	解説
قلعة	城塞
قلعة	要塞
قلعة	キャッスル
سياسي	政治家
ظهور	出演
ظهور	出現
ظهور	外観
المحلات	店舗
المحلات	ショップ
الطبية	医学
المهنة	キャリア
المهنة	経歴
المهنة	職業
المهنة	占領
فكرة	アイディア
فكرة	アイデア
فكرة	観念
لعبة	ゲーム
الكويكب	小惑星
صدر	エクスポート
صدر	おっぱい
صدر	輸出
لون	カラー
المشروع	プロジェクト
الموسيقى	ミュージック
الموسيقى	音楽
ليبيا	リビア
منظمات	団体
جمال	美容
جمال	ジャマール
مكة	メッカ
مرات	タイムズ
ثقافة	文化
ثقافة	カルチャー
مدير	支配人
مدير	取締役
مدير	監督
مدير	マネージャ
مدير	マネージャー
مدير	店長
مدير	ディレクター
المصادر	出典
المصادر	ソース
حالات	ケース
حالات	近況
حالات	事例
حالات	状況
حالات	情勢
القائمة	メニュー
القائمة	リスト
فتح	オープン
فتح	オープニング
فتح	開館
فتح	開く
مادة	物質
مادة	材料
مادة	マテリアル
مادة	素材
المتوسط	ミディアム
المتوسط	メディア
المتوسط	平均
التحرير	編集
التحرير	社説
التحرير	解放
تحمل	持ち込み
تحمل	運ぶ
تحويلات	転送
مصطلح	用語
الهواء	空気
الهواء	エア
الهواء	航空
الطريقة	方法
الطريقة	ウェイ
الطريقة	メソッド
العراقية	イラク
المدارس	スクール
المدارس	学校
المدارس	流派
تشمل	含む
تشمل	含める
العصور	年齢
مدة	期間
علوم	サイエンス
علوم	科学
الفضاء	空間
الفضاء	スペース
اليونان	ギリシャ
جيش	軍隊
جيش	アーミー
جيش	陸軍
مهرجان	祭り
مهرجان	お祭り
مهرجان	フェスティバル
مهرجان	祭事
طالب	生徒
طالب	学生
ساعة	時計
ساعة	時間
ساعة	腕時計
ساعة	クロック
كاتب	作者
كاتب	ライター
كاتب	著者
كاتب	作家
جوائز	懸賞
جوائز	受賞
جوائز	表彰
جوائز	賞品
القوة	フォース
القوة	権力
القوة	パワー
القوة	体力
القوة	強度
المشاركة	関与
المشاركة	共有
المشاركة	シェア
المشاركة	参加
رسول	メッセンジャー
الجوائز	懸賞
الجوائز	受賞
الجوائز	表彰
الجوائز	賞品
تصميم	デザイン
تصميم	設計
تصميم	意匠
سانت	セイント
سانت	聖人
المالية	ファイナンス
المالية	金融
المالية	財政
المالية	財務
حلب	アレッポ
النقل	転送
النقل	乗り換え
النقل	輸送
النقل	交通
النقل	移転
النقل	譲渡
الواقع	現実
الواقع	リアリティ
موسى	モーゼ
موسى	ムーサ
موسى	モーゼス
مقاطعات	ディストリクト
مقاطعات	カウンティ
شهادة	証明書
شهادة	証言
شهادة	証書
الشخص	人物
تلفزيون	テレビ
النفس	セルフ
النفس	自己
ثاني	番目
