மற்றும்	وال
பட்டியல்	قائمه
பட்டியல்	القائمة
பட்டியல்	قائمة
பெண்கள்	بنات
பெண்கள்	النساء
பெண்கள்	اناث
பெண்கள்	البنات
பெண்கள்	المراة
பெண்கள்	فتيات
பெண்கள்	لبنات
பெண்கள்	الفتيات
பெண்கள்	الاناث
பெண்கள்	نساء
கொண்டுள்ளது	يحتوي
கொண்டுள்ளது	تحوي
கொண்டுள்ளது	تحتوي
போது	حين
போது	خلال
போது	عندما
போது	متى
போது	اثناء
இணைப்புகள்	المرفقات
இணைப்புகள்	مرفقات
இணைப்புகள்	الملحقات
இணைப்புகள்	الروابط
இணைப்புகள்	وصلات
இணைப்புகள்	روابط
இணைப்புகள்	الصلات
இணைப்புகள்	ملحقات
இணைப்புகள்	الوصلات
இணைப்புகள்	الارتباطات
இரண்டு	اثنتان
இரண்டு	اثنان
இரண்டு	اثنين
தகவல்	المعلومات
தகவல்	الاعلام
தகவல்	رساله
தகவல்	رسالة
தகவல்	معلومات
தகவல்	الرسالة
மாவட்ட	المنطقة
மாவட்ட	المقاطعة
மாவட்ட	منطقة
மொத்த	اجمالي
மொத்த	الاجمالي
மொத்த	مجموع
மொத்த	المجموع
வளர்ச்சி	التطوير
வளர்ச்சி	التنمية
வளர்ச்சி	تنمية
வளர்ச்சி	النمو
வளர்ச்சி	نمو
மாவட்டம்	المنطقة
மாவட்டம்	المقاطعة
மாவட்டம்	منطقة
அந்த	ذلك
அந்த	هذا
மிகவும்	جدا
திட்டம்	الخطة
திட்டம்	المشروع
திட்டம்	خطة
திட்டம்	مشروع
தேசிய	ناشيونال
தேசிய	الوطنية
தேசிய	وطني
தேசிய	وطنية
கலந்து	حضور
இலங்கை	سيلان
இங்கு	هنا
அமெரிக்க	الامريكي
அமெரிக்க	امريكية
அமெரிக்க	امريكيون
அமெரிக்க	امريكي
அடிப்படை	الاساس
அடிப்படை	القاعدة
அடிப்படை	اساس
அடிப்படை	الاساسية
அடிப்படை	اساسي
அடிப்படை	اساسية
அடிப்படை	قاعدة
பெயர்	الاسم
பெயர்	تسمية
பெயர்	التسمية
பெயர்	اسم
மூன்று	ثلاث
மூன்று	ثلاثة
மூன்று	ثلاثه
ஆண்கள்	الرجال
ஆண்கள்	رجال
ஆண்கள்	ذكور
ஆண்கள்	الذكور
ஒன்று	واحد
ஒன்று	احد
ஒன்று	اما
ஒன்று	واحدة
ஒன்று	فاما
ஒன்று	واحده
ஐக்கிய	متحدة
ஐக்கிய	متحدين
ஐக்கிய	المتحدة
புதிய	الجديد
புதிய	جديدة
புதிய	جدد
புதிய	جديد
புதிய	طازجة
புதிய	طازج
அவரது	ده
அவரது	هي
அவரது	لها
மொத்தம்	اجمالي
மொத்தம்	الاجمالي
மொத்தம்	المجاميع
மொத்தம்	مجموع
மொத்தம்	المجموع
இவை	هذه
இவை	هؤلاء
சிறந்த	عظيم
சிறந்த	ضل
சிறந்த	عظيمة
சிறந்த	افضل
சிறந்த	اطيب
சிறந்த	الافضل
சிறந்த	ممتازة
சிறந்த	العظيم
சிறந்த	ممتاز
அரசு	الحكومات
அரசு	الحكومة
அரசு	حكومة
வசதிகள்	المرافق
வசதிகள்	مرافق
வசதிகள்	التسهيلات
இந்தியா	بالهند
இந்தியா	انديا
இந்தியா	الهند
பெரிய	كبير
பெரிய	عظيم
பெரிய	عظيمة
பெரிய	الكبير
பெரிய	كبيره
பெரிய	كبيرة
பெரிய	العظيم
ஊரக	ريفية
ஊரக	الريف
ஊரக	ريفي
நாள்	نهار
நாள்	يوم
நாள்	اليوم
பிறப்பு	ميلاد
பிறப்பு	الميلاد
பிறப்பு	ولادة
பிறப்பு	يولد
பிறப்பு	تولد
பிறப்பு	الولادة
பிறப்பு	ولد
பிறப்பு	مولود
பிறப்பு	هاتش
பிறப்பு	ولدت
இருந்தது	كان
இருந்தது	كانت
முக்கிய	مهمة
முக்கிய	هام
முக்கிய	المهم
முக்கிய	الرئيسية
முக்கிய	رئيسية
முக்கிய	مهم
பல்வேறு	متنوعة
பல்வேறு	تنوع
பல்வேறு	التنوع
பல்வேறு	شتى
திரைப்படங்கள்	افلام
திரைப்படங்கள்	الافلام
பிற	اخرى
அவர்கள்	هم
அவர்கள்	انهم
மொழி	اللغة
மொழி	لغة
முறை	الطريقة
முறை	منهج
முறை	المنهج
முறை	مود
முறை	اسلوب
முறை	الوضع
முறை	طريقة
முறை	الاجراء
முறை	اجراء
முறை	النمط
முறை	الاجراءات
முறை	الاسلوب
முறை	نمط
கோயில்	المعبد
கோயில்	تمبل
கோயில்	معبد
விருது	الجائزة
விருது	جائزة
பொதுவாக	لواء
பொதுவாக	عام
பொதுவாக	اللواء
பொதுவாக	عامة
பொதுவாக	جنرال
பொதுவாக	الجنرال
அக்டோபர்	اكتوبر
செய்து	ملتزمة
செய்து	ارتكبت
செய்து	ملتزم
தன்	ده
தொடர்ந்து	احتفظ
இரண்டாம்	ثاني
இரண்டாம்	الثاني
இரண்டாம்	الثانوية
இரண்டாம்	الثانيه
இரண்டாம்	ثانيا
இரண்டாம்	ثانوي
இரண்டாம்	الثانوي
இரண்டாம்	تاني
இரண்டாம்	الثانية
இரண்டாம்	ثانوية
சென்னை	تشيناي
வரும்	ات
வரும்	ياتي
வரும்	قادم
வரும்	قادمة
வரும்	قادمون
மே	ايار
மே	مايو
மே	ماي
மே	قد
மட்டுமே	فقط
வரலாறு	تاريخ
வரலாறு	التاريخ
பகுதியில்	مساحة
பகுதியில்	المساحة
பகுதியில்	المنطقة
பகுதியில்	منطقة
நூல்கள்	الكتب
நூல்கள்	كتب
சேர்ந்த	الانتماء
பின்	عودة
பின்	بعد
பின்	بعدما
பின்	ارجع
பின்	المسمار
பின்	عاد
பின்	الظهر
பின்	دبوس
பின்	ظهر
பின்	الدبوس
பின்	العودة
இல்லை	لا
இல்லை	مش
இல்லை	ليس
இல்லை	وليس
நவம்பர்	نوفمبر
அதிக	مرتفع
அதிக	عال
அதிக	عالية
அதிக	عالي
அதிக	عاليا
காலத்தில்	الفترة
காலத்தில்	فترة
மிக	جدا
நான்கு	اربع
நான்கு	اربعة
நான்கு	اربعه
பிறகு	ثم
பிறகு	بعدما
பிறகு	بعد
பிறகு	لاحق
பிறகு	اذن
பிறகு	بعدها
பிறகு	اذا
பிறகு	لاحقا
அரசியல்	السياسات
அரசியல்	سياسية
அரசியல்	السياسية
அரசியல்	السياسي
அரசியல்	السياسة
அரசியல்	سياسة
அரசியல்	سياسي
பகுதி	الشريحة
பகுதி	المنطقة
பகுதி	مساحة
பகுதி	جزء
பகுதி	الجزء
பகுதி	القطعة
பகுதி	منطقة
பகுதி	اقليم
பகுதி	المساحة
பகுதி	الاقليم
பகுதி	جزئية
பகுதி	جزئي
பகுதி	شريحة
பற்றி	عن
பற்றி	بشان
பற்றி	بخصوص
பற்றி	حول
ஆறு	ستة
ஆறு	سكس
ஆறு	النهر
ஆறு	نهر
ஆறு	ريفر
மீண்டும்	مجددا
மீண்டும்	ثانية
இங்கிலாந்து	انجلترا
இங்கிலாந்து	انكلترا
காலம்	الفترة
காலம்	الزمن
காலம்	الوقت
காலம்	فترة
காலம்	الزمان
காலம்	وقت
காலம்	الموسم
காலம்	زمن
காலம்	موسم
நிலை	المستوى
நிலை	دولة
நிலை	موقف
நிலை	الولاية
நிலை	الحالة
நிலை	الموضع
நிலை	ولاية
நிலை	مستوى
நிலை	الموقف
நிலை	الدولة
நிலை	المنصب
ஒரே	نفس
ஒரே	نفسه
போர்	الحرب
போர்	حرب
காரணமாக	المستحقة
பொருள்	المنتجات
பொருள்	المواد
பொருள்	المنتج
பொருள்	مواد
பொருள்	منتجات
பொருள்	كائن
பொருள்	مرادفات
பொருள்	مادة
பொருள்	الكائن
பொருள்	منتج
பொருள்	الموضوع
பொருள்	المادة
பொருள்	جسم
அறிவியல்	العلوم
அறிவியல்	علوم
அறிவியல்	العلم
பேச்சு	الكلام
பேச்சு	الحديث
பேச்சு	كلام
பேச்சு	خطاب
பேச்சு	التحدث
பேச்சு	الخطاب
பேச்சு	خطبة
இதனால்	مع
அனைத்து	كلهم
அனைத்து	كله
அனைத்து	الكل
அனைத்து	جميع
அனைத்து	كل
கல்வி	تعليم
கல்வி	التعليم
கல்வி	التربية
ஏப்ரல்	نيسان
ஏப்ரல்	ابريل
உலக	عالميا
உலக	الدنيا
உலக	العالمي
உலக	عالم
உலக	العالم
உலக	عالمية
உலக	عالمي
உலக	العالمية
கே	شاذ
முடியும்	يم
முடியும்	يستطيع
முடியும்	يمكن
கீழ்	القاع
கீழ்	قاع
கீழ்	اخفض
கீழ்	اقل
கீழ்	ادنى
கீழ்	تحت
கீழ்	اسفل
இடம்	موقع
இடம்	الموقع
இடம்	المكان
இடம்	مساحة
இடம்	فضاء
இடம்	حيز
இடம்	مكان
இடம்	الفضاء
செப்டம்பர்	سبتمبر
செப்டம்பர்	ايلول
பேர்	اخرون
பேர்	الاخرون
பேர்	اخرين
பெரும்	عظيم
பெரும்	العظيم
பெரும்	عظيمة
சி	تشي
நாடுகள்	البلدان
நாடுகள்	الدول
நாடுகள்	بلدان
தொகுதி	المنظومة
தொகுதி	النظام
தொகுதி	نظام
தொகுதி	وحدة
தொகுதி	البومات
தொகுதி	الالبومات
கிழக்கு	المشرق
கிழக்கு	شرق
கிழக்கு	شرقية
கிழக்கு	ايست
கிழக்கு	الشرقية
கிழக்கு	الشرق
கிழக்கு	شرقي
கிழக்கு	شرقا
அமைப்பு	هيكل
அமைப்பு	المنظومة
அமைப்பு	النظام
அமைப்பு	الاعداد
அமைப்பு	نظام
அமைப்பு	التنظيم
அமைப்பு	المنظمة
அமைப்பு	بنية
அமைப்பு	منظمة
அமைப்பு	تنصيب
அமைப்பு	اعداد
அமைப்பு	الهيكل
அளவு	مقياس
அளவு	الكمية
அளவு	المبلغ
அளவு	المقاس
அளவு	حجم
அளவு	الحجم
அளவு	كمية
அளவு	المقياس
நகர்	ناجر
மற்ற	اخرى
இந்து	الهندوس
இவற்றையும்	هذه
இவற்றையும்	هؤلاء
தற்போது	الان
தற்போது	حاليا
தற்போது	والان
பாடல்	سونغ
பாடல்	الاغنيه
பாடல்	الاغنية
பாடல்	اغنيه
பாடல்	اغنية
உண்டு	متوفر
உண்டு	عندي
உண்டு	تتوفر
உண்டு	متاحة
உண்டு	متوفرة
உண்டு	متاح
வாழும்	العيش
வாழும்	المعيشة
இருக்கிறது	متوفر
இருக்கிறது	تتوفر
இருக்கிறது	متاحة
இருக்கிறது	متوفرة
இருக்கிறது	متاح
நிறுவனம்	شركة
நிறுவனம்	رفقة
நிறுவனம்	الشركة
நிறுவனம்	التنظيم
நிறுவனம்	المنظمة
நிறுவனம்	منظمة
நிறுவனம்	شركه
நபர்கள்	الناس
நபர்கள்	اشخاص
நபர்கள்	اناس
நபர்கள்	ناس
நபர்கள்	الاشخاص
காலனி	مستعمرة
காலனி	المستعمرة
மேற்கு	غربية
மேற்கு	غربا
மேற்கு	غربي
மேற்கு	غرب
மேற்கு	الغربية
மேற்கு	الغرب
மேற்கு	ويست
தலைவர்	زعيم
தலைவர்	رئيس
தலைவர்	قائد
தலைவர்	الرئيس
முதலில்	الاولى
முதலில்	اولا
முதலில்	الاول
முதலில்	اول
சார்ந்த	نسبية
சார்ந்த	التبعية
சார்ந்த	نسبي
சார்ந்த	الاعتماد
சார்ந்த	قائم
சார்ந்த	نسبيا
சார்ந்த	النسبي
சார்ந்த	تبعية
மேல்	قمة
மேல்	الاعلى
மேல்	القمة
மேல்	توب
நாடு	البلد
நாடு	بلد
நாடு	البلاد
நாடு	بلاد
மட்டும்	فقط
அடிப்படையில்	اساس
அடிப்படையில்	الاساس
அடிப்படையில்	اساسا
எண்	عدد
எண்	رقم
எண்	العدد
எண்	العد
எண்	الرقم
எண்	كونت
எண்	الكونت
குறிப்பிட்ட	المحدد
குறிப்பிட்ட	صرح
குறிப்பிட்ட	محدد
குறிப்பிட்ட	محددة
செய்ய	اصنع
செய்ய	جعل
செய்ய	صنع
செய்ய	اجعل
சிறிய	صغير
சிறிய	الصغير
சிறிய	صغر
சிறிய	صغيرة
சிறிய	القليل
சிறிய	قليل
சிறிய	صغيره
வந்த	جاء
வந்த	جيت
வேறு	اخرى
மார்ச்	مارس
மார்ச்	مسيرة
மார்ச்	اذار
மார்ச்	المسيرة
நிலையில்	حالة
நிலையில்	المرحلة
நிலையில்	الحالة
நிலையில்	المسرح
நிலையில்	مرحلة
நிலையில்	المنصة
நிலையில்	شرط
நிலையில்	الشرط
பெண்	اناث
பெண்	الفتاة
பெண்	فتاة
பெண்	انثى
பெண்	المراة
பெண்	امراة
பெண்	الانثى
பெண்	البنت
பெண்	الاناث
பெண்	بنت
வெற்றி	نصر
வெற்றி	الانتصار
வெற்றி	وون
வெற்றி	التوفيق
வெற்றி	فاز
வெற்றி	النصر
வெற்றி	انتصار
வெற்றி	فوز
வெற்றி	الفوز
வெற்றி	ناجحة
வெற்றி	نجاح
வெற்றி	النجاح
இணைப்பு	المرفق
இணைப்பு	مرفق
இணைப்பு	لينك
இணைப்பு	ربط
இணைப்பு	التعلق
இணைப்பு	الرابط
இணைப்பு	رابط
இணைப்பு	اتصال
இணைப்பு	وصلة
இணைப்பு	الاتصال
திரைப்படம்	فيلم
திரைப்படம்	الفلم
திரைப்படம்	الفيلم
வகை	مود
வகை	الوضع
வகை	فئة
வகை	الفئة
வகை	النمط
வகை	النوع
வகை	نوع
வகை	نمط
ஐந்து	خمسة
ஐந்து	خمسه
ஐந்து	خمس
அதே	نفس
அதே	نفسه
சிறப்பு	مميز
சிறப்பு	الخاص
சிறப்பு	خاص
சிறப்பு	المميز
சிறப்பு	الموصى
சிறப்பு	خاصة
தமிழர்	التاميل
சுமார்	عن
சுமார்	بشان
சுமார்	بخصوص
சுமார்	حول
என்பதை	سواء
கட்டுரைகள்	المقالات
கட்டுரைகள்	مقالات
படி	خطوة
படி	الخطوة
படி	قراءة
படி	قرا
படி	اقرا
படி	القراءة
படி	قرات
மனித	الانسان
மனித	انسان
மனித	بشري
மனித	بشرية
பெரும்பாலும்	غالبا
பெரும்பாலும்	تقريبا
கட்சி	حفلة
கட்சி	حزب
கட்சி	الطرف
கட்சி	الحزب
கட்சி	حفل
பொது	لواء
பொது	الجمهور
பொது	عام
பொது	اللواء
பொது	شائعة
பொது	عامة
பொது	جنرال
பொது	الجنرال
பொது	العامة
பொது	شائع
பொது	علنية
கல்லூரி	كلية
கல்லூரி	الكلية
கல்லூரி	الجامعة
இசை	الموسيقى
இசை	موسيقى
இசை	موسيقي
முறையில்	الوضع
முறையில்	مود
முறையில்	نمط
முறையில்	النمط
நாட்டின்	البلد
நாட்டின்	بلد
நாட்டின்	البلاد
நாட்டின்	بلاد
மத்திய	سنترال
மத்திய	وسط
மத்திய	مركزي
மத்திய	مركزية
மத்திய	الوسطى
மில்லியன்	مليونا
மில்லியன்	مليون
மில்லியன்	المليون
மில்லியன்	الملايين
மில்லியன்	ملايين
நகரம்	المدينة
நகரம்	المدينه
நகரம்	مدينة
நகரம்	سيتي
எந்த	اية
எந்த	والذي
எந்த	اي
எந்த	الذي
எந்த	ايهما
எனப்படும்	دعا
எனப்படும்	اتصلت
நீர்	مياه
நீர்	الماء
நீர்	ماء
நீர்	المياه
இணைந்து	انضمام
இணைந்து	انضم
இணைந்து	انضموا
இணைந்து	الانضمام
விக்கிப்பீடியா	ويكيبيديا
சென்று	رحل
சென்று	ذهبت
சென்று	رحلت
சென்று	ذهب
பார்க்க	ترى
பார்க்க	شاهد
அணி	مصفوفة
அணி	المصفوفة
அணி	ماتريكس
அணி	فريق
அணி	الفريق
எழுதிய	مكتوب
எழுதிய	كتب
எழுதிய	كتبت
எழுதிய	مكتوبة
எழுதிய	خطية
நிலையம்	محطة
நிலையம்	المحطة
மீட்டர்	امتار
மீட்டர்	المتر
மீட்டர்	متر
மீட்டர்	العداد
மீட்டர்	عداد
இடத்தில்	المكان
இடத்தில்	مكان
கோவில்	المعبد
கோவில்	تمبل
கோவில்	معبد
மாதம்	شهرا
மாதம்	الشهر
மாதம்	شهر
ஆய்வு	دراسة
ஆய்வு	ابحاث
ஆய்வு	الدراسة
ஆய்வு	الابحاث
ஆய்வு	بحوث
ஆய்வு	البحث
ஆய்வு	البحوث
ஆய்வு	بحث
ஆய்வு	ادرس
வட	شمالي
வட	شمال
வட	شمالا
வட	نورث
வட	الشمال
குறைந்த	تدني
குறைந்த	منخفضة
குறைந்த	اقل
குறைந்த	انخفاض
குறைந்த	ادنى
குறைந்த	منخفض
டிசம்பர்	ديسمبر
முன்	واجهة
முன்	جبهة
முன்	قبل
முன்	الجبهة
வாழ்க்கை	الحياة
வாழ்க்கை	حياة
வாழ்க்கை	الحياه
சனவரி	يناير
புனித	المقدس
புனித	مقدس
புனித	المقدسة
இரண்டாவது	ثاني
இரண்டாவது	الثاني
இரண்டாவது	الثانوية
இரண்டாவது	الثانيه
இரண்டாவது	ثانيا
இரண்டாவது	ثانوي
இரண்டாவது	الثانوي
இரண்டாவது	تاني
இரண்டாவது	الثانية
இரண்டாவது	ثانوية
ஆங்கிலம்	الانكليزية
ஆங்கிலம்	انجليزي
ஆங்கிலம்	بالانكليزية
ஆங்கிலம்	الانجليزية
ஆங்கிலம்	انجليزية
அங்கு	هناك
தொழில்	العمل
தொழில்	صناعة
தொழில்	عمل
தொழில்	الاعمال
தொழில்	المهنة
தொழில்	الصناعة
தொழில்	مهنة
பழைய	قديمه
பழைய	قديم
பழைய	عجوز
பழைய	قديمة
பழைய	الاقدم
பழைய	القديم
ஆண்டுகள்	سنوات
ஆண்டுகள்	السنين
ஆண்டுகள்	سنين
ஆண்டுகள்	اعوام
ஆண்டுகள்	السنوات
குறிப்பாக	خصوصا
குறிப்பாக	بالتحديد
குறிப்பாக	وخاصة
குறிப்பாக	بالاخص
குறிப்பாக	تحديدا
குறிப்பாக	خصيصا
குறிப்பாக	خاصة
பார்க்கவும்	مشاهدة
பார்க்கவும்	زيارة
பார்க்கவும்	راقب
பார்க்கவும்	الزيارة
பார்க்கவும்	ساعة
பார்க்கவும்	شاهد
பார்க்கவும்	زور
துறை	بورت
துறை	المنفذ
துறை	ميناء
துறை	الادارة
துறை	القسم
துறை	منفذ
துறை	قسم
துறை	الميناء
குறிக்கும்	يشير
குறிக்கும்	مشيرا
கடல்	المحيطات
கடல்	المحيط
கடல்	محيط
கடல்	بحر
கடல்	البحر
போல	لايك
போல	مثل
இதற்கு	لاجل
சிறு	صغير
சிறு	صغر
சிறு	صغيرة
சிறு	صغيره
சிறு	قاصر
தென்	جنوبا
தென்	جنوب
தென்	جنوبي
தென்	ساوث
தென்	الجنوب
உயர்	مرتفع
உயர்	عال
உயர்	الفاخر
உயர்	عالية
உயர்	عالي
உயர்	عاليا
வடக்கு	شمالي
வடக்கு	شمال
வடக்கு	شمالا
வடக்கு	نورث
வடக்கு	الشمال
ஆட்சி	الحكم
ஆட்சி	الحوكمة
ஆட்சி	القاعدة
ஆட்சி	عهد
ஆட்சி	قاعدة
ஆட்சி	المملكة
ஆட்சி	مملكة
மக்களின்	الناس
மக்களின்	اشخاص
மக்களின்	اناس
மக்களின்	ناس
மக்களின்	الاشخاص
நோய்	داء
நோய்	الامراض
நோய்	المرض
நோய்	مرض
தேர்தல்	الانتخابات
தேர்தல்	انتخاب
தேர்தல்	الانتخاب
தேர்தல்	انتخابات
உற்பத்தி	تصنيع
உற்பத்தி	الانتاج
உற்பத்தி	انتاج
உற்பத்தி	التصنيع
ஆக	اغسطس
வந்தது	وصلت
வந்தது	جاء
வந்தது	جيت
வந்தது	وصل
கலை	الفنون
கலை	فن
கலை	فنون
கலை	الفن
கலை	ارت
சமூக	اجتماعية
சமூக	الاجتماعية
சமூக	اجتماعي
சமூக	الاجتماعي
போல்	لايك
போல்	مثل
தர	جودة
தர	النوعية
தர	الجودة
நூற்றாண்டு	القرن
நூற்றாண்டு	قرن
அவருடைய	ده
உலகின்	عوالم
உலகின்	العالمين
உலகின்	العوالم
அமெரிக்கா	امريكا
அமெரிக்கா	اميركا
அமெரிக்கா	الامريكتين
பகுதிகளில்	المناطق
பகுதிகளில்	مجالات
பகுதிகளில்	مناطق
பகுதிகளில்	المجالات
வந்து	تعال
வந்து	تعالى
வந்து	تعالوا
வந்து	تعالي
பரிசு	هدية
பரிசு	هديه
பரிசு	الهدية
பரிசு	الجائزة
பரிசு	جائزة
பிரிவு	الشعبة
பிரிவு	فئة
பிரிவு	الفرع
பிரிவு	الفئة
பிரிவு	شعبة
பிரிவு	القسم
பிரிவு	قسم
உடல்	جثة
உடல்	الجسد
உடல்	جسد
உடல்	الجسم
உடல்	جسم
இவர்கள்	هذه
இவர்கள்	هؤلاء
கூட	حتى
கூட	ايضا
கூட	حتي
கூட	كمان
எழுத்தாளர்	الكاتب
எழுத்தாளர்	كاتبة
எழுத்தாளர்	كاتب
எழுத்தாளர்	الكاتبة
குழு	مجموعة
குழு	المجموعة
இலக்கிய	ادبي
இலக்கிய	ادب
இலக்கிய	الادبية
இலக்கிய	الادب
விளையாட்டு	مباراة
விளையாட்டு	المباراة
விளையாட்டு	لعبة
விளையாட்டு	اللعبة
விளையாட்டு	سبورت
விளையாட்டு	الرياضة
விளையாட்டு	رياضة
விளையாட்டு	الرياضات
உறுப்பினர்கள்	الاعضاء
உறுப்பினர்கள்	اعضاء
இறப்பு	الموت
இறப்பு	موت
இறப்பு	الوفاة
இறப்பு	الوفيات
இறப்பு	وفاة
அடி	القدمين
அடி	القدم
அடி	قدم
அடி	اقدام
அடி	ضرب
அடி	الاقدام
துணை	الدعم
துணை	الباطن
துணை	دعم
துணை	الشريك
துணை	شريكة
துணை	النائب
துணை	الغواصة
துணை	فرعي
துணை	شريك
துணை	غواصة
துணை	نائب
பதிப்பு	اصدار
பதிப்பு	الاصدار
பதிப்பு	الطبعة
பதிப்பு	النسخة
பதிப்பு	طبعة
சொல்	اقول
சொல்	كلمة
சொல்	قولي
சொல்	الكلمة
சொல்	قل
சொல்	نقول
சொல்	قول
சொல்	اخبر
தெற்கு	جنوبا
தெற்கு	جنوب
தெற்கு	جنوبي
தெற்கு	ساوث
தெற்கு	الجنوب
கட்டுரை	المقالات
கட்டுரை	تكوين
கட்டுரை	التكوين
கட்டுரை	مقال
கட்டுரை	مقالة
கட்டுரை	مقالات
கட்டுரை	المقالة
கட்டுரை	تشكيل
கட்டுரை	المادة
கட்டுரை	التشكيل
வட்டம்	الدائرة
வட்டம்	دائرة
சராசரி	يعني
சராசரி	المتوسط
சராசரி	متوسط
தொலைக்காட்சி	تلفاز
தொலைக்காட்சி	تلفزيون
தொலைக்காட்சி	التليفزيون
தொலைக்காட்சி	التلفاز
தொலைக்காட்சி	التلفزيون
முன்னாள்	السابق
முன்னாள்	سابق
எண்ணிக்கை	التردد
எண்ணிக்கை	تردد
எண்ணிக்கை	تكرار
எண்ணிக்கை	العدد
எண்ணிக்கை	العد
எண்ணிக்கை	التكرار
எண்ணிக்கை	تواتر
எண்ணிக்கை	كونت
எண்ணிக்கை	الكونت
தவிர	ماعدا
தவிர	باستثناء
தவிர	الا
தவிர	استثناء
தவிர	استبعاد
தவிர	عدا
நடிகர்	فاعل
நடிகர்	الممثل
நடிகர்	ممثل
பாடல்கள்	اغان
பாடல்கள்	الاغاني
பாடல்கள்	اغاني
இன்று	اليوم
சட்டம்	التصرف
சட்டம்	الفعل
சட்டம்	القانوني
சட்டம்	قانونية
சட்டம்	الاطار
சட்டம்	قانون
சட்டம்	القانون
சட்டம்	قانوني
சட்டம்	التمثيل
சட்டம்	اطار
அருகில்	بالجوار
அருகில்	قرب
அருகில்	بالقرب
அருகில்	قريب
அருகில்	مجاور
நேரம்	الزمن
நேரம்	الوقت
நேரம்	وقت
நேரம்	الزمان
நேரம்	زمن
முதலாவது	الاولى
முதலாவது	اولا
முதலாவது	الاول
முதலாவது	اول
நாம்	فل
நாம்	دع
மூலமாக	خلال
மூலமாக	عبر
மூலமாக	فيا
உணவு	الغذاء
உணவு	طعام
உணவு	الطعام
உணவு	غذاء
குறித்து	عن
குறித்து	بشان
குறித்து	بخصوص
குறித்து	حول
பெப்ரவரி	شباط
பெப்ரவரி	فبراير
பகுதிகள்	اجزاء
பகுதிகள்	مجالات
பகுதிகள்	مناطق
பகுதிகள்	المجالات
பகுதிகள்	الاقاليم
பகுதிகள்	مكون
பகுதிகள்	الاجزاء
பகுதிகள்	عنصر
பகுதிகள்	المكون
பகுதிகள்	الشرائح
பகுதிகள்	العنصر
பகுதிகள்	المناطق
நிறுவனங்கள்	المنظمات
நிறுவனங்கள்	منظمات
நிறுவனங்கள்	الشركات
நிறுவனங்கள்	شركات
ஜனவரி	يناير
நல்ல	خير
நல்ல	طيب
நல்ல	الخير
நல்ல	جيد
நல்ல	بخير
அடுத்த	التالى
அடுத்த	التالية
அடுத்த	القادم
அடுத்த	التالي
படம்	الصوره
படம்	الصورة
படம்	صوره
படம்	صورة
பாதுகாப்பு	امان
பாதுகாப்பு	الحماية
பாதுகாப்பு	امنة
பாதுகாப்பு	دفاع
பாதுகாப்பு	السلامة
பாதுகாப்பு	الامان
பாதுகாப்பு	حماية
பாதுகாப்பு	الامن
பாதுகாப்பு	سلامة
பாதுகாப்பு	الدفاع
பாதுகாப்பு	الامنية
தந்தை	اب
தந்தை	الاب
தந்தை	ابت
பங்கு	دور
பங்கு	الدور
பயன்படுத்தி	باستعمال
பயன்படுத்தி	باستخدام
