در	deur
شهری	stad
شهری	gemeentelijk
شهری	stedelijk
شهری	stedelijke
شهری	gemeentelijke
ممکن	mogelijk
ممکن	mogelijke
لیگ	liga
روسیه	rusland
روسیه	rus
روسیه	russisch
روسیه	russische
منابع	informatiebronnen
منابع	bronnen
منابع	hulpbronnen
منابع	middelen
نخستین	eerst
نخستین	eerste
شاه	konings
شاه	sjah
شاه	koning
جنوب	zuid
جنوب	zuiden
جنوب	zuidelijk
طور	aankoppelen
تشکیل	formatie
تشکیل	vorming
تشکیل	gevormd
تشکیل	gevormde
فوت	voet
اکتبر	oktober
ژوئن	juni
چه	wat
امکان	mogelijkheid
امکان	mogelijk
امکان	mogelijke
نویسندگان	schrijvers
نویسندگان	auteurs
سر	hoofden
سر	hoofd
سر	kop
سر	koppen
حزب	partij
حزب	feest
حزب	feestje
ما	ons
ما	onze
فرهنگ	cultuur
برندگان	winnaars
قابل	verwijderbare
بدون	zonder
خانه	startpagina
خانه	huis
خانه	thuis
موارد	gevallen
آزاد	vrij
آزاد	gratis
چاپ	drukken
چاپ	bedrukken
چاپ	printen
چاپ	afdrukken
چاپ	afdruk
چاپ	drukwerk
علمی	wetenschap
علمی	wetenschappen
علمی	wetenschappelijk
آسیا	aziatisch
آسیا	aziatische
شمال	noord
شمال	noorden
پایان	einde
پایان	beëindigen
پایان	eind
پایان	eindigend
علوم	wetenschap
علوم	wetenschappen
جان	johannes
کالیفرنیا	californië
کالیفرنیا	californische
قرن	eeuw
بازیگر	actrice
بازیگر	acteur
صنایع	bedrijfstakken
صنایع	bedrijfstak
صنایع	industrieën
صنایع	industrie
گونه	soort
گونه	soorten
گونه	diersoorten
گونه	diersoort
گونه	wang
کانادا	canadees
کانادا	canadese
اسپانیا	spanje
اسپانیا	spaans
اسپانیا	spaanse
زمین	aarde
رئیس	baas
برزیل	brazilië
برزیل	braziliaanse
برزیل	braziliaans
سبک	lichte
سبک	licht
سبک	stijl
بالا	bovenkant
بالا	bovenste
جدید	nieuw
جدید	nieuwe
تصویر	imago
تصویر	afbeelding
تصویر	beeld
حضور	aanwezigheid
حضور	opkomst
عضو	donaties
عضو	donatie
عضو	schenking
عضو	lid
میراث	nalatenschap
میراث	erfgoed
میراث	patrimonium
میراث	erfenis
زنان	vrouwen
نظامی	krijgsmacht
نظامی	militaire
نظامی	militair
نظامی	militairen
آذربایجان	azerbeidzjan
جای	plaats
هیچ	elke
چین	porselein
چین	kin
سیستم	systeem
سیستم	stelsel
ظاهر	verschijningen
ظاهر	verschijning
ظاهر	uiterlijk
ظاهر	schijn
ظاهر	verschijnen
ادامه	voortzetten
ادامه	voortgezet
ادامه	vervolg
ادامه	doorgaan
درجه	rangschikken
درجه	graad
درجه	rangschikking
درجه	graden
درجه	rang
انتخاب	kies
انتخاب	keus
انتخاب	keuze
انتخاب	kiezen
انتخاب	selecteer
انتخاب	selecteren
موجود	bestaand
موجود	verkrijgbaar
موجود	beschikbaar
موجود	beschikbare
موجود	bestaande
دستی	handmatig
دستی	handboek
دستی	manueel
دستی	handmatige
دستی	handleiding
فقط	gewoon
اعلام	verklaarde
اعلام	verklaring
اعلام	opgegeven
اعلام	aangifte
اعلام	declaratie
اعلام	kondigen
اعلام	aankondigen
اعلام	aangegeven
اعلام	gedeclareerd
اعلام	verklaard
اعلام	kondig
نسبت	verhouding
اعضای	leden
مسابقات	tornooi
مسابقات	toernooi
تلفن	telefoon
داستان	verhaaltjes
داستان	verhaal
داستان	verslagen
داستان	verhalen
سوم	derde
خط	lijn
قانون	regel
قانون	wet
درگذشت	stierf
درگذشت	gestorven
درگذشت	overleden
علت	reden
علت	oorzaak
علت	rede
علت	veroorzaken
مهم	belangrijke
مهم	belangrijk
منبع	bron
منبع	hulpbron
میلیون	miljoen
کمک	hulp
کمک	helpen
جهت	richting
جهت	richtingen
جهت	routebeschrijving
جهت	oriëntering
جهت	oriëntatie
هوایی	lucht
هوایی	antenne
حتی	zelfs
نمایش	tonen
نمایش	toon
نمایش	weergeven
آمریکای	amerika
ناحیه	oppervlakte
ناحیه	gebied
ناحیه	regio
طراحی	vormgeving
طراحی	ontwerp
طراحی	ontwerpen
آموزش	opleiding
آموزش	onderwijs
آموزش	trainen
آموزش	onderwijzen
آموزش	lesgeven
آموزش	opvoeding
قلعه	burcht
قلعه	vesting
قلعه	bolwerk
قلعه	fort
قلعه	kasteel
ویرایش	bewerken
ویرایش	bewerk
حکومت	regering
حکومت	overheid
نمایندگان	vertegenwoordigers
نمایندگان	afgevaardigden
نمایندگان	gedelegeerden
بازدید	bezochten
بازدید	beoordeling
بازدید	herziening
بازدید	bezoeken
بازدید	bezocht
بازدید	bezochte
بازدید	recensie
بازدید	bezoek
شیمیایی	chemicaliën
شیمیایی	chemisch
مساحت	oppervlakte
مساحت	gebied
ادبیات	literatuur
موضوع	onderwerp
موضوع	proefpersoon
شبکه	raster
شبکه	netwerken
شبکه	netwerk
برنامه	programmeren
برنامه	tijdschema
برنامه	programma
برنامه	schema
برنامه	planning
کاربران	gebruikers
تولد	geboorte
تولد	jarig
تولد	verjaardagen
تولد	verjaardag
تبدیل	bekering
تبدیل	conversie
تبدیل	omschakeling
تبدیل	bekeren
تبدیل	omzetten
تبدیل	transformatie
تبدیل	converteren
تبدیل	transformeren
دریایی	marinier
سن	leeftijd
سن	heilige
سن	ouderdom
عربی	arabier
عربی	arabisch
عربی	arabische
روش	methode
بازیکن	speler
بازیکن	spelers
نتیجه	uitslagen
نتیجه	resultaat
نتیجه	resultaten
نتیجه	uitkomst
نتیجه	conclusie
انقلاب	revolutie
تگزاس	texaanse
عراق	irak
شروع	beginnend
شروع	beginnen
شروع	begin
شروع	starten
هنر	kunsten
هنر	kunst
زمینه	achtergrond
زمینه	achtergrondinformatie
قسمت	aflevering
قسمت	gedeelte
قسمت	deel
بررسی	controleer
بررسی	controleren
مدیر	administrateur
مدیر	aangever
مدیر	beheerder
مدیر	schoolhoofd
مدیر	bedrijfsleider
باز	terug
باز	openen
باز	rug
باز	ontgrendeld
ترکیه	turkse
ترکیه	turks
ترکیه	turkije
مدال	medailles
مدال	medaille
حقوق	rechten
حقوق	salaris
حقوق	wet
عمومی	publiek
عمومی	algemeen
عمومی	openbaar
عمومی	algemene
عمومی	generieke
عمومی	generaal
حسین	hoessein
ترجمه	vertalen
ترجمه	vertaling
ترجمه	vertalingen
ترجمه	vertaal
دقیقه	minuutje
دقیقه	minuut
دقیقه	minuten
دقیقه	notulen
رنگ	kleuren
رنگ	kleur
افزایش	verhogen
افزایش	toenemende
افزایش	verhoogde
افزایش	toegenomen
افزایش	toenemend
افزایش	verhoging
افزایش	verhoogd
افزایش	stijging
افزایش	vergroten
افزایش	verhoog
طبیعی	natuurlijk
طبیعی	natuurlijke
طبیعی	normale
طبیعی	normaal
معروف	beroemde
معروف	beroemd
مدیریت	beheer
مدیریت	managen
مدیریت	beheren
گل	doel
گل	bloemetje
گل	bloemetjes
گل	bloempje
گل	bloem
گل	bloemen
گل	doelpunt
گل	doelstelling
انتشار	publiceren
انتشار	emissie
انتشار	publiceer
انتشار	publicatie
انتشار	verspreiding
انتشار	vermeerdering
انتشار	voortplanting
انتشار	emissies
انتشار	uitgeverijen
انتشار	uitstoot
انتشار	uitgeverij
ایشان	zij
ایشان	ze
نیاز	noodzaak
نیاز	nood
نیاز	vereiste
نیاز	benodigd
نیاز	noden
نیاز	behoefte
نیاز	nodig
نیاز	behoeften
نیاز	vereist
توضیح	commentaar
توضیح	opmerking
توضیح	reactie
ترکیب	combinatie
ترکیب	compositie
ترکیب	samenstelling
ترکیب	mengen
ترکیب	combineren
ترکیب	mengsel
دریافت	ontvangst
دریافت	receptie
دریافت	ontvangende
دریافت	ontvangen
دریافت	ontvang
رشته	draad
رشته	touwtje
رشته	tekenreeks
موافق	akkoord
موافق	overeengekomen
موافق	afgesproken
هنری	hendrik
مواد	materialen
مواد	materiaal
درباره	ongeveer
درباره	over
کارگردانی	geregisseerd
کارگردانی	regisseren
کارگردانی	regisseerde
کارگردانی	gerichte
استرالیا	australische
استرالیا	australisch
استرالیا	australiër
اجتماعی	sociale
اجتماعی	sociaal
جریان	beek
جریان	huidige
جریان	actueel
جریان	stroom
جریان	huidig
نویسنده	schrijfster
نویسنده	schrijver
نویسنده	auteur
ژانویه	januari
کنار	zijde
کنار	kant
کنار	zijkant
انرژی	energie
انتخابات	verkiezingen
انتخابات	verkiezing
انتخابات	electorale
ملیت	nationaliteit
مه	mogen
مه	mei
مه	mag
مه	mist
مه	moge
مه	nevel
کسی	iemand
ثانیه	seconden
ثانیه	tweede
کل	hele
کل	geheel
کل	totaal
دکتر	dokter
دکتر	doktor
دکتر	arts
انجمن	raad
انجمن	gemeenschap
انجمن	associatie
انجمن	studentenvereniging
انجمن	genootschap
انجمن	vereniging
انجمن	samenleving
انجمن	maatschappij
انجمن	broederschap
غرب	westelijk
غرب	westen
توسعه	ontwikkeling
توسعه	ontwikkelen
فصل	seizoen
فصل	hoofdstuk
معمولاً	normaal
معمولاً	gewoonlijk
معمولاً	normaliter
رسید	bereikt
رسید	ontvangst
رسید	gearriveerd
رسید	bereikte
رسید	aangekomen
رسید	ontvangstbewijs
رسید	kwitantie
ژوئیه	juli
فارس	tarieven
شوروی	sovjets
شوروی	sovjet
ورزش	sportschool
ورزش	uitoefening
ورزش	oefening
ورزش	uitoefenen
ورزش	lichaamsbeweging
ورزش	sporten
معماری	architectonische
معماری	architectuur
معماری	architectonisch
باند	obligatie
باند	binding
آنجا	er
آنجا	daar
پرندگان	vogels
آخرین	laatste
آخرین	definitief
آخرین	nieuwste
آخرین	finale
پزشکی	geneesmiddel
پزشکی	medisch
پزشکی	geneeskunde
پزشکی	medische
پزشکی	medicijnen
فرهنگی	cultureel
فرهنگی	culturele
فرهنگی	cultuur
تلویزیون	televisie
دنیا	wereld
خوانندگان	lezers
خوانندگان	lezer
خوانندگان	zangers
جغرافیای	aardrijkskunde
جغرافیای	geografie
حالت	humeur
حالت	staat
حالت	modus
حالت	stemming
کوه	berg
کوه	aankoppelen
مقالات	artikels
مقالات	artikelen
مدیران	leidinggevenden
عمل	exploitatie
عمل	optreden
عمل	bewerking
عمل	actie
عمل	handelen
عمل	operatie
عمل	aktie
کره	koreaans
کره	koreaanse
کره	koreaan
کره	koreanen
کره	boter
انتقال	transmissie
انتقال	overdragen
انتقال	vervoer
انتقال	overdracht
انتقال	overgang
انتقال	overplaatsing
فوریه	spoed
فوریه	dringend
فوریه	februari
فوریه	urgentie
ارائه	presentatie
رود	rivier
رود	idd
رود	hengel
سیاست	beleid
سیاست	politiek
سیاست	diplomatiek
سیاست	diplomatie
فرانسوی	fransen
فرانسوی	franse
فرانسوی	frans
وطن	huis
وطن	migraties
وطن	startpagina
وطن	thuis
وطن	migratie
برتر	verhevene
برتر	superieure
برتر	superieur
برتر	verheven
نزدیک	afsluiten
نزدیک	sluit
نزدیک	nabijgelegen
نزدیک	bijna
نزدیک	sluiten
نزدیک	dichtbij
داخلی	intern
داخلی	inwendig
داخلی	binnenland
داخلی	interieur
کاهش	daling
کاهش	verkleinen
کاهش	verminderen
کاهش	reduceren
کاهش	verlaging
کاهش	afname
کاهش	reductie
کاهش	vermindering
احمد	achmed
ده	tien
ارتش	militaire
ارتش	militair
ارتش	krijgsmacht
ارتش	landmacht
ارتش	militairen
ارتش	leger
مشخص	accentueren
مشخص	uitgelicht
مشخص	hoogtepunt
مشخص	specifieke
مشخص	specifiek
مشخص	gemarkeerde
مشخص	gemarkeerd
گفت	gezegd
گفت	zei
حاضر	presenteren
حاضر	heden
حاضر	presenteer
حاضر	aanwezig
اسرائیل	israël
اسرائیل	israëlisch
اسرائیل	israëli
اسرائیل	israëlische
انسان	menselijke
انسان	mens
انسان	menselijk
مسجد	moskee
مثل	zoals
شهرها	steden
سیاه	zwart
سیاه	zwarte
قدرت	vermogen
قدرت	kracht
قدرت	sterkte
قدرت	macht
بنا	gestructureerd
نسخه	versie
نسخه	recept
نسخه	voorschrift
کم	klein
کم	weinig
کم	kleine
کم	lage
کم	laag
خانواده	gezinnen
خانواده	familie
خانواده	gezin
میدان	vierkant
میدان	plein
میدان	vierkante
ویژه	speciaal
ویژه	bijzonder
ویژه	speciale
نیروهای	krachten
حوزه	veld
حمله	aanvallen
حمله	mishandeling
حمله	geweldpleging
حمله	aanval
جزیره	eiland
وزارت	departement
وزارت	afdeling
وزارت	ministerie
ساختمان	opbouw
ساختمان	constructie
ساختمان	bouw
ساختمان	bouwnijverheid
ساختمان	bouwen
درام	trommel
درام	trom
مهندسی	machinebouw
مهندسی	techniek
برنده	winnares
برنده	winnen
برنده	winnaar
علم	wetenschap
علم	wetenschappen
علم	kennis
وقتی	wanneer
آبی	blauwe
آبی	blauw
اقتصاد	economie
ورزشی	atletisch
ورزشی	sporten
ورزشی	sportief
جامعه	samenleving
جامعه	genootschap
جامعه	maatschappij
جامعه	gemeenschap
بازار	marktplaats
بازار	marktplein
بازار	markt
معرفی	introductie
معرفی	ingevoerd
معرفی	introduceren
معرفی	introduceerde
معرفی	invoering
معرفی	geïntroduceerd
معرفی	inleiding
مصر	egyptische
مصر	egypte
مصر	egyptisch
متن	tekst
متن	bron
سرعت	snelheid
سرعت	toerental
طرف	zijde
طرف	kant
طرف	zijkant
آمد	kwam
آمد	gearriveerd
آمد	aangekomen
آمد	kwamen
دهد	beurzen
دهد	subsidies
سابق	voormalige
سابق	voormalig
پسر	jongen
پسر	zoon
دین	decaan
دین	godsdienst
دین	religie
کشت	cultiveren
آسمانی	hemels
آسمانی	hemelse
خیلی	mooi
خیلی	zeer
خورشیدی	zonne
سفید	wit
سفید	witte
بهتر	beste
بهتر	beter
فرد	individu
فرد	individueel
فرد	oneven
فرد	vreemd
لندن	londen
سری	reeksen
سری	serie
سری	reeks
باستان	oudheid
اکنون	nu
کلی	klei
هیئت	delegeren
هیئت	delegatie
آلمانی	duits
آلمانی	duitse
محلی	plaatselijk
محلی	lokaal
محلی	regionaal
محلی	regionale
محلی	lokale
معنی	betekenis
دادن	geven
شرق	oostelijke
شرق	oost
شرق	oostelijk
شرق	oosten
دیده	zaag
دیده	zagen
دیده	zag
دیده	gezien
شیخ	sjeik
برگزیده	fragment
برگزیده	uittreksel
برگزیده	uitverkoren
برگزیده	geselecteerde
برگزیده	gekozen
برگزیده	uitgekozen
برگزیده	geselecteerd
برگزیده	uitverkorene
کنترل	controle
انواع	soorten
انواع	typen
درست	waar
درست	klopt
سنگ	zongen
سنگ	gezongen
سنگ	steen
سنگ	stenen
سنگ	natuursteen
سنگ	zong
استاد	meester
موقعیت	toestand
موقعیت	situatie
موقعیت	positie
امپراتوری	keizerrijk
امپراتوری	keizerlijke
امپراتوری	rijk
امپراتوری	keizerlijk
امپراتوری	imperium
بیماری	ziekte
عمق	diepte
عمق	diepgang
کلاس	klassen
کلاس	lessen
کلاس	klas
کلاس	klasse
آنان	hen
کسب	zakelijk
کسب	verwerven
کسب	bedrijf
کسب	verdien
کسب	verdienen
حرکت	verplaatsen
حرکت	verhuizen
حرکت	beweeg
حرکت	bewegen
حرکت	verplaats
حرکت	bewegend
جغرافیایی	geografisch
مشخصات	karakteristieken
مشخصات	specificaties
مشخصات	kenmerken
مشخصات	signalement
مشخصات	omschrijving
مشخصات	eigenschappen
مشخصات	beschrijving
همکاری	medewerking
همکاری	samenwerking
همکاری	partnerschap
دبی	debby
کوتاه	kort
کوتاه	korte
روابط	betrekkingen
روابط	relaties
اجرا	uitvoering
اجرا	executie
اجرا	uitvoeren
اجرا	rennen
اجرا	hardlopen
اجرا	ren
اجرا	prestatie
اجرا	executeren
اجرا	prestaties
اجرا	terechtstelling
خواننده	zanger
خواننده	lezer
خواننده	zangeres
پیشنهاد	voorgestelde
پیشنهاد	aanbod
پیشنهاد	bieden
پیشنهاد	suggestie
پیشنهاد	aanbieden
پیشنهاد	voorgesteld
پیشنهاد	suggereren
پیشنهاد	gesuggereerd
پیشنهاد	aanbieding
اتحادیه	vakbond
اتحادیه	unie
خوب	nou
خوب	wel
خوب	lekker
خوب	goed
موفق	succes
موفق	succesvol
موفق	geslaagde
موفق	geslaagd
موفق	succesvolle
شخصی	particulier
شخصی	individueel
شخصی	privé
شخصی	individu
شخصی	persoonlijk
شخصی	prive
شخصی	persoonlijke
پایین	omlaag
پایین	bodem
پایین	onderkant
پدر	papa
پدر	paps
پدر	pa
پدر	pap
پدر	vader
حق	waarheid
خاص	specifieke
خاص	specifiek
خاص	speciaal
خاص	bijzonder
خاص	speciale
گذشته	verleden
گذشته	voorbij
کیفیت	kwaliteit
ازدواج	huwelijk
ازدواج	gehuwd
ازدواج	trouwen
ازدواج	trouw
ازدواج	trouwfeest
ازدواج	bruiloft
ازدواج	getrouwd
خارجی	uitwendig
خارجی	externe
خارجی	buitenkant
خارجی	extern
خارجی	buitenlands
هنوز	nog
انتشارات	uitgeverij
انتشارات	uitgevers
انتشارات	uitgeverijen
دادگان	databank
دادگان	gegevensbank
میزان	saldo
میزان	evenwicht
میزان	balans
میزان	nominaal
میزان	beoordeeld
میزان	gewaardeerd
میزان	beoordeelde
بالاتر	hogere
بالاتر	hoger
مشغول	bezig
مشغول	bezet
مشغول	druk
اقتصادی	economische
اقتصادی	economisch
فعال	actief
فعال	actieve
اینجا	hier
پادشاهی	koninkrijk
کمربند	riemen
کمربند	gordel
کمربند	gordels
کمربند	riem
واحد	divisie
واحد	deling
واحد	afdeling
واحد	eenheid
چندین	meervoudig
چندین	meervoudige
چندین	verscheidene
چندین	tientallen
چندین	verschillende
چندین	meerdere
چندین	veelvoud
اندازه	maten
اندازه	maat
اندازه	grootte
اندازه	afmeting
اندازه	formaat
اندازه	omvang
خیابان	straat
خیابان	straatjes
خیابان	straten
عالی	groot
عالی	heerlijk
عالی	uitstekend
عالی	perfecte
عالی	gaaf
عالی	fantastisch
عالی	voortreffelijk
عالی	uitmuntend
عالی	geweldig
نگاره	grafisch
نگاره	imago
نگاره	beeld
نگاره	grafische
نگاره	afbeelding
هدف	doelwit
هدف	doel
هدف	doelpunt
هدف	doelstelling
هنرپیشه	acteur
قهرمانی	kampioenschap
دستگاه	apparaat
دستگاه	toestel
طرح	vormgeving
طرح	ontwerp
