ve	그리고
özellikle	특별히
özellikle	구체적으로
özellikle	특히
ilköğretim	초등
birleşik	통합
birleşik	유나이티드
ödülü	보상
altyapı	인프라
yerine	교체
yerine	대신에
yerine	대체
yerine	대신
yerine	바꾸기
gün	하루
gün	데이
geçen	지나가다가
geçen	지나가
geçen	지나가다
geçen	지나가는
geçen	경과
doğu	동부
doğu	동쪽
doğu	동양
doğu	이스트
doğu	동방
doğu	오리엔트
süre	기간
süre	타임
süre	시간
sabit	안정화
sabit	꾸준히
sabit	안정
sabit	상수
sabit	안정환
sabit	고정
sabit	안정적
eğitim	교육
eğitim	훈련
eğitim	튜토리얼
eğitim	트레이닝
eğitim	학력
eğitim	교육학
su	워터
su	물이
uluslararası	인터내셔널
uluslararası	국제
olur	발생
yaklaşık	대략적인
yaklaşık	대략
yaklaşık	소개
alman	독일인
alman	독일
alman	독일어
az	리틀
millî	내셔널
millî	국립
millî	국민
kaynak	자원
kaynak	리소스
kaynak	소스
kaynak	원본
kaynak	출처
kaynak	용접
kullanılan	사용함
kullanılan	사용됨
kullanılan	사용
ligi	동맹
ligi	리그
görev	할당
görev	의무
görev	선교
görev	듀티
görev	미션
görev	작업
halk	국민
halk	민족
halk	공공
halk	사람들
halk	공개
halk	명인
halk	사람
halk	공중
tv	텔레비전
onun	그의
onun	그녀의
onun	그녀
yine	또다시
yine	다시
ekonomisi	경제
yılı	연도
telefon	전화기
telefon	휴대폰
telefon	전화
telefon	전화번호
yeniden	재구성
yeniden	또다시
yeniden	다시
içme	마시기
içme	음주
etki	임팩트
etki	영향
etki	효과
etki	영향력
sezon	시즌
sezon	계절
albüm	음반
albüm	앨범
ingiliz	영국
ingiliz	브리티시
ingiliz	영어
ingiliz	브릿
ingiliz	잉글리시
ingiliz	영국인
puan	점수
puan	지점
puan	평점
puan	평가하기
puan	별점
puan	평가
puan	포인트
puan	득점
nüfus	인구
nüfus	인구순
batı	서부
batı	웨스턴
batı	웨스트
batı	서쪽
batı	서양
tür	유형
tür	장르
tür	형식
tür	종류
tür	타입
tür	종족
amerikan	미국인
amerikan	아메리칸
savaş	싸우다
savaş	전쟁
savaş	전투
savaş	싸워라
savaş	컴뱃
savaş	싸움
savaş	싸우기
savaş	배틀
savaş	싸워
tekrar	반복합니다
tekrar	재생
tekrar	다시
tekrar	반복한다
tekrar	반복
tekrar	다시보기
tekrar	리플레이
tekrar	또다시
anadolu	아나톨리아
anadolu	아시아
söz	워드
söz	약속
söz	단어
rağmen	불구하고
grubu	집단
grubu	그룹
elde	달성
elde	습득
elde	확보
elde	획득
ait	소유
kadın	여자들
kadın	여성
kadın	여자
kadın	여인
kadın	암컷
türkçe	터키어
türkçe	영어
türkçe	잉글리시
türkçe	터키식
türkçe	터키
kullanıcı	사용자
tam	완료
tam	가득
tam	완성
birliği	연맹
birliği	동맹
birliği	연합
birliği	유니언
maç	일치합니다
maç	매치
maç	게임
maç	일치하기
maç	경기
maç	일치
roma	로마
at	던지기
bölüm	디비전
bölüm	부분
bölüm	섹션
bölüm	파트
bölüm	부서
bölüm	에피소드
bölüm	부품
bölüm	사단
bölüm	챕터
yazar	작가
yazar	제작자
yazar	저자
yazar	작성자
ulusal	내셔널
ulusal	국립
ulusal	국민
köyü	빌리지
köyü	마을
teknik	테크
teknik	기술적
teknik	테크니컬
teknik	기술
teknik	기법
nüfusu	인구
nüfusu	인구순
deniz	바다
deniz	해병대
deniz	마린
uygun	편리
uygun	편리하다
uygun	어울리는
uygun	자격
yakın	근처
yakın	가까워
yakın	닫아
yakın	닫습니다
yakın	닫기
listesi	리스트
listesi	목록
listesi	명단
iç	내부
iç	음료수
iç	음료
iç	한숨
iç	인테리어
ingiltere	잉글랜드
alt	이겨
alt	비트
alt	하단
alt	아래쪽
alt	바닥
alt	아래
alt	밑바닥
alt	서브
asfalt	아스팔트
fransız	프렌치
fransız	프랑스
fransız	프랑스어
fransız	프랑스인
belediye	시영
stadyumu	스타디움
stadyumu	경기장
rusya	러시아
rusya	벨라루스
genellikle	일반적으로
genellikle	주로
genellikle	대부분
genellikle	보통
bar	술집
sonunda	마침내
sonunda	드디어
parti	파티
erkek	남성
erkek	멘트
erkek	사람
erkek	수컷
erkek	남자
beyaz	하얀
beyaz	화이트
beyaz	흰색
beyaz	하얗게
beyaz	하얀색
bölge	지대
bölge	면적
bölge	영역
bölge	지방
bölge	준주
bölge	구역
bölge	영토
bölge	지역
italya	이탈리아
onu	그를
onu	그녀의
onu	그녀
hava	공기
hava	항공
hava	에어
hava	날씨
verilen	주어진
çünkü	원인
çünkü	왜냐면
çünkü	왜냐하면
birkaç	몇몇
birkaç	여러개
dönem	용어
dönem	기간
dönem	시대
dönem	학기
dönem	주기
açık	오픈
açık	지우기
açık	열기
açık	지우
açık	맑음
insan	인간인
insan	남성
insan	인간
insan	사람
insan	인체
insan	남자
merkez	중심
merkez	중부
merkez	센터
merkez	중앙
merkez	본부
merkez	센트럴
merkez	본사
düşük	낮음
düşük	낮은
altın	황금
altın	골든
altın	골드
bilinen	알려진
genç	어려
genç	젊음
genç	영영
genç	십대
genç	젊은
genç	청춘
genç	청소년
genç	청년
dışında	빼고
kır	휴식
kır	브레이크
stadyum	스타디움
stadyum	경기장
ülke	시골
ülke	국가
ülke	컨트리
ülke	나라
dil	언어
pozisyon	포지션
pozisyon	위치
pozisyon	입장
pozisyon	직위
dahil	포함됨
dahil	포함
an	순간
iş	퇴근
iş	잡스
iş	사업
iş	욥기
iş	업체
iş	직장
iş	일자리
iş	비즈니스
iş	직업
iş	작업
bölümü	부서
bölümü	섹션
gelir	수입
gelir	수익
gelir	소득
kullanım	사용하다
kullanım	사용량
kullanım	사용하기
kullanım	사용법
kullanım	이용
kullanım	사용
kullanım	이용하기
sanat	미술
sanat	아트
sanat	예술
üçüncü	세번째
üçüncü	셋째
bunu	이거
sonraki	넥스트
sonraki	다음
ele	정복
güzel	아름다워
güzel	좋다
güzel	아름답다
güzel	나이스
güzel	예뻐
güzel	러블리
güzel	사랑스러운
güzel	아름다운
çocuk	키드
çocuk	아이유
çocuk	남자아이
çocuk	소년
çocuk	아이들
çocuk	보이
çocuk	어린이들
çocuk	자녀
çocuk	어린이
çocuk	아동
sinema	영화
sinema	시네마
askeri	군사
örneğin	예제
örneğin	예시
üst	인기
üst	윗쪽
üst	상위
kara	블랙
kara	육지
kara	검은색
kara	랜드
kara	검정색
kara	검정
oyun	재생
oyun	플레이
oyun	게임
oyun	게이밍
oyun	경기
oyun	놀기
oyun	연주
beraber	함께
beraber	같이
sırada	넥스트
sırada	다음
şablon	템플릿
şablon	패턴
aday	후보자
aday	지원자
aday	후보
milyon	수백만
milyon	백만명
milyon	백만
top	대포
top	캐논
top	캐넌포
hakem	심판
ay	개월
imparatorluğu	제국
imparatorluğu	엠파이어
internet	웹툰
tiyatro	극장
tiyatro	연극
tiyatro	영화관
tiyatro	드라마
oldukça	상당히
kültür	문화
karar	의사결정
karar	결심
karar	결정
karar	판결
tarih	데이트
tarih	내역
tarih	역사
tarih	기록
tarih	날짜
tarih	히스토리
temel	파운데이션
temel	베이직
temel	기초
temel	재단
temel	기본
konu	주제
konu	제목
bağlantı	링크
bağlantı	연락
bağlantı	연결
bağlantı	커넥션
bağlantı	접촉
bağlantı	문의
bağlantı	연락처
çin	차이나
çin	중국
çin	중국인
ünlü	연예인
ünlü	유명인
ünlü	유명
ünlü	유명하다
ünlü	유명해
ünlü	유명한
spor	스포츠
kalan	남음
meslek	직업
meslek	점령
iran	페르시아인
iran	페르시안
iran	페르시아
iran	페르시아어
telif	저작권
telif	저작권자
ahmet	아메드
ahmet	아흐메드
ahmet	아흐마드
çıktı	출력
ispanya	스페인
ispanya	스페인인
bile	조차도
bile	심지어
sosyal	사회적
sosyal	사교
sosyal	사회
sosyal	사회주의
cm	인치
japonya	일본
japonya	재팬
ün	명성
ün	페임
geldi	도착했다
liste	리스트
liste	목록
liste	명단
oy	투표
oy	득표
geniş	넓은
geniş	넓이
geniş	광범위
geniş	와이드
geniş	광범위한
geniş	대형
ev	집으로
ev	하우스
ev	고향
ev	가정
ev	집에
transfer	전송
önceki	전에
önceki	이전
mısır	옥수수
mısır	이집트어
mısır	이집트
rus	러시아어
rus	러시아인
yarı	세미
yarı	하프웨이
yarı	절반
afrika	아프리카
hareket	움직임
hareket	모션
hareket	운동
hareket	이동
hareket	움직여
adil	공정
adil	페어
adil	박람회
bölgesi	지방
bölgesi	준주
bölgesi	영토
bölgesi	지역
kontrol	컨트롤
kontrol	제어
kontrol	점검
kontrol	확인
kontrol	통제
kontrol	제어하기
kontrol	체크
sahibi	소유자
sahibi	주인
bilim	사이언스
bilim	과학
üreten	제조업
sistemi	체계
sistemi	시스템
başarılı	성공함
başarılı	성공적
başarılı	성공
başarılı	성공적인
başarılı	성공적으로
çoğu	대부분
çoğu	대부분의
ordu	군대
ordu	군사
ordu	육군
yaşayan	생활
profesyonel	전문가
profesyonel	프로
profesyonel	전문
profesyonel	프로페셔널
süper	슈퍼
hiç	절대
hiç	절대로
hiç	없음
ifade	증언
ifade	표현식
ifade	표현
ifade	성명서
ifade	익스프레스
ifade	진술
rol	역할
islam	이슬람
rapor	신고
rapor	보고
rapor	보고서
kullanılır	사용함
kullanılır	사용됨
kullanılır	사용
yerel	로컬
yerel	현지
yönetim	행정학
yönetim	경영
yönetim	거버넌스
yönetim	관리
video	비디오
video	동영상
kurulan	설립
beş	파이브
beş	다섯
altı	여섯
final	결승
final	파이널
final	결승전
final	피날레
forma	유니폼
forma	저지
dizi	시퀀스
dizi	시리즈
dizi	배열
dizi	어레이
dizi	순서
gerekli	필수
gerekli	필요함
iklim	기후
iklim	기후학
ayrı	분리됨
ayrı	따로
ayrı	별거
ayrı	분리
ayrı	따로따로
veri	자료
veri	데이터
şampiyonası	챔피언십
şampiyonası	챔피언쉽
yerleşim	배치
yerleşim	레이아웃
kariyeri	경력
kariyeri	직업
kariyeri	커리어
adet	기간
adet	주기
adet	시대
adet	월경
yaz	글쓰기
yaz	여름
yaz	쓰기
tespit	감지
tespit	검출
tespit	탐지
tespit	발견됨
göz	탐색
göz	찾아보기
göz	둘러보기
göz	눈빛
televizyon	텔레비전
galatasaray	리버풀
sezonu	시즌
sezonu	계절
yayın	출판
yayın	방송
yayın	출판물
yayın	게시
karasal	지상
durum	상황
durum	조건
durum	상황이
durum	상태
yıldız	스타
yıldız	항성
gelenek	전통
nasıl	어떻게
tip	타입
tip	유형
tip	형식
tip	종류
mücadele	싸우다
mücadele	투쟁
mücadele	파이팅
mücadele	싸워라
mücadele	싸우기
mücadele	싸움
mücadele	싸워
yeri	위치
yardımcı	보조
yardımcı	조수
yardımcı	부관
yardımcı	조교
yıllık	매년
kız	소녀
kız	자매
kız	시스터스
kız	자매들
cumhuriyet	공화당
cumhuriyet	연방
cumhuriyet	공화국
bağımsız	독립
bağımsız	인디
bağımsız	독립적
yanlış	거짓
yanlış	잘못된
yanlış	가짜
al	받기
kurulu	게시판
kurulu	설치됨
kurulu	이사회
kurulu	설치
kurulu	보드
gerçek	팩트
gerçek	진리
gerçek	레알
gerçek	리얼
gerçek	사실
gerçek	진실
gerçek	진짜
ses	볼륨
ses	잡음
ses	목소리
ses	오디오
ses	사운드
ses	음성
ses	소리
ses	소음
milli	내셔널
milli	국립
milli	국민
temsil	표현
ten	스킨
ten	피부
ödülleri	수상
ödülleri	어워드
ödülleri	상금
ödülleri	보상
saat	시계
saat	시간
saat	클럭
güneş	선샤인
güneş	햇살이
güneş	햇살
güneş	태양
güneş	태양광
güneş	햇빛
güneş	햇볕
yazarı	작가
yazarı	제작자
yazarı	저자
yazarı	작성자
kaldı	남음
bakanı	장관
siyasi	정치적
siyasi	정치
benzer	유사한
benzer	유사
benzer	비슷한
benzer	비슷함
krallık	킹덤
krallık	왕국
doğal	자연
doğal	천연
inşa	건물
inşa	빌딩
inşa	빌드
inşa	건축
doğdu	탄생
doğdu	출생
ortak	파트너는
ortak	파트너
londra	런던
türü	유형
türü	장르
türü	형식
türü	종류
türü	타입
başkanlığı	대통령
göç	이민
göç	이민호
göç	이전
as	에이스
kurulmuştur	설립
örnek	견본
örnek	샘플링
örnek	표본
örnek	예제
örnek	샘플
örnek	예시
durumu	조건
durumu	상태
israil	이스라엘
kırmızı	붉은색
kırmızı	붉은
kırmızı	레드
kırmızı	빨간색
kırmızı	빨강
yönetmen	디렉터
yönetmen	감독
tamamen	완전히
tipi	유형
tipi	형식
tipi	종류
tipi	타입
tipi	블리자드
araştırma	연구
araştırma	문의
araştırma	조사
orijinal	오리지널
orijinal	원본
avusturya	오스트리아
yardım	도움
yardım	도움말
yardım	원조
serbest	릴리스
serbest	릴리즈
serbest	개봉
serbest	출시
serbest	무료
serbest	자유
serbest	발매
serbest	프리랜서
serbest	프리스타일
değer	가치가
değer	가치
değer	가치관
oranı	비율
oranı	평가
şarkıcı	싱어
şarkıcı	가수
destek	백업
destek	후원
destek	지원
destek	지지
katıldı	가입했습니다
bugün	오늘
bugün	오늘도
hafta	주일
hafta	일주일
ekonomik	경제
adam	남성
adam	사람
adam	남자
it	푸시
it	밀어
etkili	효과적
etkili	효율적
yayınları	출판물
resmî	공식
hizmet	서비스
güçlü	강력하다
güçlü	전원
güçlü	강한
güçlü	스트롱
güçlü	강력한
güçlü	강력
asya	아시아
yolu	경로
girdi	입력하기
girdi	항목
girdi	입력
girdi	입력기
girdi	입출력
sayı	번호
sayı	점수
sayı	득점
sayı	숫자
çalışma	퇴근
çalışma	공부하기
çalışma	공부해
çalışma	작업
çalışma	공부
çalışma	연구
çalışma	직장
yıllar	수년
başlar	시작
hukuk	법학
hukuk	법률
hukuk	법칙
roman	허구
roman	픽션
roman	소설
ilan	광고
başlık	헤더
başlık	제목
başlık	타이틀
başlık	문구
başlık	헤드라인
başlık	자막
başlık	설명
sürekli	연속
sürekli	지속
sürekli	지속적으로
sürekli	끊임없이
hatta	조차도
hatta	심지어
aile	패밀리
aile	가족과
aile	가족
metre	미터
basketbol	농구
kullanımı	사용하다
kullanımı	사용량
kullanımı	사용하기
kullanımı	사용법
kullanımı	이용
kullanımı	사용
kullanımı	이용하기
sovyet	소련
kıbrıs	키프로스
ticaret	커머스
ticaret	사업
ticaret	트레이딩
ticaret	업체
ticaret	무역
ticaret	상거래
ticaret	비즈니스
ticaret	상업
ticaret	트레이드
ticaret	거래
üzerinden	비아
kardeş	여동생
kardeş	언니
kardeş	누나
kardeş	오빠
kardeş	형제자매
kardeş	아우
benim	광산
belli	특정
belli	명백하다
öldü	사망
öldü	데드
hızlı	속력
hızlı	속도
hızlı	빠름
hızlı	빠르다
hızlı	빨라
hızlı	스피드
hızlı	빠른
yabancı	외계인
yabancı	이방인
yabancı	에이리언
yabancı	외국인
yerli	토착
yerli	인도
yerli	네이티브
yerli	인디언
yerli	인도인
yerli	로컬
yerli	현지
yerli	국내
ağır	무게
ağır	무거워
ağır	무겁게
ağır	무거움
ağır	무거운
kiralık	임대
kiralık	렌탈
kiralık	임대료
kiralık	월세
kiralık	렌트
ticari	상업
ticari	상용
ticari	상업용
aslında	실제로
aslında	사실
avustralya	오스트레일리아
avustralya	오스트레일리아의
enerji	에너지
yunan	그리스어
yunan	그리스
zaten	이미
zaten	벌써
madalya	메달
mevcut	기존
mevcut	현재
mevcut	전류
mevcut	존재
mevcut	선물
yarışması	대회
yarışması	콘테스트
akdeniz	지중해
azerbaycan	아제르바이잔
güç	포스
güç	권력
güç	체력
güç	전력
güç	파워
güç	강제
ileri	전달
ileri	전진
ileri	앞으로
ileri	고급
yüzyıl	세기
hakları	권리
sol	왼쪽
sol	좌파
sayfası	페이지
çalışmalar	공부
italyan	이탈리아어
italyan	이탈리아
italyan	이탈리아인
değişiklik	바뀌기
değişiklik	바꾸기
değişiklik	변경
değişiklik	변화
saha	필드
saha	현장
sık	짜장면
tur	여행
tur	투어
tur	둘러보기
tur	구경
tur	관광
japon	일본어
japon	일본
japon	일본인
dili	언어
yüzey	지표면
yüzey	표면
başkan	회장님
başkan	대통령
başkan	회장
ek	덧셈
konusu	주제
konusu	제목
metal	금속
maddeler	물질
yaygın	광범위한
kulübü	클럽
tanımlar	정의
fark	깨달음
fark	차이
fark	공지
fark	차이점
şampiyon	챔피언
şampiyon	챔피언십
şampiyon	챔피언스
şampiyon	챔프
yunanistan	그리스
ölüm	사망
ölüm	데스
ölüm	죽음
radyo	라디오
radyo	라디오방송
bölgede	지방
bölgede	지역
kanada	캐나다
gitar	기타
yayınlanan	출판
yayınlanan	게시
yayınlanan	출판됨
arap	아랍인
arap	아라비아어
arap	아랍
arap	아랍어
arap	아라비아
posta	메일
posta	우편
posta	편지
posta	우표
yalnızca	오직
yalnızca	단발
yapı	구조물
yapı	구조
eyalet	국가
eyalet	상태
not	노트
not	참고
güncelleme	업데이트
güncelleme	갱신
hüseyin	후세인
sanatçı	아티스트가
sanatçı	예술가
sanatçı	음악가
sanatçı	아티스트
tartışma	논증
tartışma	논의
tartışma	인수
tartışma	토론
tartışma	논쟁
tartışma	분쟁
kapak	커버
kapak	뚜껑
kapak	표지
kapak	덮개
kapak	해치
baş	머리
baş	헤드
barış	평화
barış	피스
düşünüyorum	생각
yaşam	생명
yaşam	생활
yaşam	라이프
yaşam	인생
ibrahim	에이브러햄
ibrahim	아브라함
kanal	운하
kanal	채널
para	반죽
para	코인
para	반죽이
para	머니
para	돈이
para	반죽을
para	동전
kötü	위키드
kötü	나쁜
kötü	사악한
kötü	나쁘다
geçmişi	배경색
geçmişi	배경
kızı	딸이
genelde	보통
festivali	축제
festivali	페스티벌
yahudi	유대인
yahudi	유대교
çalışmaları	공부
normal	정규
normal	보통
sayfa	페이지
karşısında	건너편
isim	이름
uzay	공간
uzay	스페이스
uzay	우주
pop	팝스
mezun	졸업생
mezun	졸업식
mezun	동창생
mezun	졸업
mezun	동문
derece	도도
derece	학위
gece	나이트
gece	밤에
emin	자신감
emin	확신
muhammed	모하마드
muhammed	모하메드
muhammed	무함마드
muhammed	무하마드
bilgiler	정보
çift	더블
çift	부부
çift	커플
olay	이벤트
çalışan	일하기
çalışan	직원들
çalışan	직원
suriye	시리아
sonuç	결론
sonuç	결과
kişisel	개인용
kişisel	개인적
kişisel	개인적인
kişisel	개인
yüzde	비율
yüzde	퍼센트
yüzde	백분율
halen	아직도
halen	여전히
site	데스크탑
site	웹사이트
site	데스크톱
sınıf	수업
sınıf	계급
sınıf	학급
sınıf	교실
sınıf	클래스
dizisi	시퀀스
dizisi	순서
seçildi	선출
seçildi	선정
yapılmış	만든
oyunları	게임
antik	고대
antik	골동품
yukarıda	위층
yukarıda	윗층
hollanda	암스테르담
hollanda	홀랜드
hollanda	네덜란드
hollanda	네덜란드인
hollanda	네덜란드령
hollanda	로테르담
yana	측면
yana	사이드
kategori	분류
kategori	범주
kategori	카테고리
geleneksel	전통적인
geleneksel	전통
geleneksel	전통적
kazanan	승자
kazanan	우승자
kazanan	승리자
savunma	방위
savunma	방어
savunma	국방
savunma	디펜스
yedi	일곱
yedi	세븐
polonya	폴란드
yaş	연령
yaş	나이
yaş	나이에
yapıldı	완료
yapıldı	만든
bilinir	알려진
yoğun	바빠
yoğun	바쁜
yoğun	바쁘다
yoğun	강렬한
yoğun	강렬하게
park	주차
park	주차장
isveç	스웨덴
siyasetçi	정치
siyasetçi	정치인
siyasetçi	정치가
edebiyat	문학
müzesi	박물관
et	고기
et	비프
et	소고기
et	쇠고기
haber	소식
haber	뉴스
annesi	엄마
annesi	어머니
kupa	트로피
verildi	주어진
klasik	고전
klasik	빈티지
klasik	클래식
klasik	고전주의
yönetimi	행정학
yönetimi	경영
yönetimi	관리
doğan	탄생
doğan	출생
doğan	팰컨
doğan	팰콘
bulundu	찾았습니다
bulundu	찾았다
bulundu	발견됨
sağ	오른쪽
toprak	대지
toprak	먼지
toprak	토양
toprak	육지
toprak	랜드
toprak	지구
brezilya	브라질
bazen	때로는
bazen	가끔
bazen	가끔은
bazen	때때로
irak	이라크
siyah	검정색
siyah	블랙
siyah	검은색
siyah	검정
iddia	주장
iddia	표명
iddia	발급
okul	학원
okul	학교는
okul	스쿨
okul	학교
doğum	산부인과
doğum	탄생
doğum	생일
doğum	출생
doğum	출산
kore	한국인
kore	코리아
kore	한국
kore	한국어
henüz	아직
portekiz	포르투갈
güvenlik	안전성
güvenlik	보안
güvenlik	안보
güvenlik	안전
başkenti	자본주의
başkenti	수도
başkenti	캐피털
başkenti	자본
başkenti	캐피탈
tamamı	전체
tamamı	모두
hala	아직도
hala	여전히
hala	이모
hala	이모가
hala	고모
hala	숙모
orada	거기
orada	거기에
giriş	입력하기
giriş	항목
giriş	입력
giriş	소개
giriş	로그인
giriş	입출력
giriş	입력기
giriş	도입
giriş	소개팅
camii	모스크
derneği	협회
kuruldu	설치됨
kuruldu	설치
kuruldu	설립
dördüncü	네번째
dördüncü	넷째
asker	병사
asker	군사
asker	군인
idari	행정학
idari	행정
süleyman	솔로몬
kaşif	익스플로러
kaşif	탐험
kaşif	탐색기
taşıyan	베어링
enstitüsü	연구소
hindistan	인디아
hindistan	인도
değişik	다르다
değişik	달라
değişik	다름
sonradan	나중에
dini	종교
öğretim	교육
öğretim	교수
öğretim	교사
öğretim	명령어
öğretim	가르침
öğretim	학부
yazı	기사
yazı	글쓰기
yazı	문자
yazı	쓰기
yazı	텍스트
yazı	문구
kaynağı	소스
kaynağı	출처
kaynağı	원본
kaynağı	피드
dikkat	주의
dikkat	관심
dikkat	시선
takip	체이스
takip	트래킹
takip	팔로우
takip	추적
takip	트랙
takımyıldız	별자리
hak	권리
izin	끄기
izin	권한
izin	허락
izin	허가
kanalı	운하
kanalı	채널
kurulmuş	설립
şair	시인
belirli	구체
belirli	구체적
belirli	특정
mahalle	근방
mahalle	동네
astronom	천문학자
demir	철쭉
demir	앵커
tıp	의료
tıp	의학
tasarımı	설계
bilimsel	사이언스
bilimsel	과학
profili	프로파일
profili	프로필
arka	후방
arka	뒤로
arka	다시
adalet	정의
eşi	아내
eşi	배우자
eşi	마누라
eşi	와이프
aşk	사랑
aşk	러브
gösterir	디스플레이
sanayi	공업
sanayi	업종
sanayi	업계
sanayi	산업
seyirci	관객
seyirci	관람객
seyirci	타겟
seyirci	구경꾼
inç	인치
katalog	카탈로그
moskova	모스크바
isviçre	스위스
geçmiş	내역
geçmiş	역사
geçmiş	기록
geçmiş	히스토리
geçmiş	과거
erken	초기
erken	일찍
aktif	활동
aktif	활성
aktif	액티브
aktif	활성화
yönelik	지향
sarı	노랑
sarı	노랑색
sarı	금발
sarı	금발이
sarı	노란색
sarı	황색
üretim	프로덕션
üretim	제조업
üretim	제작
üretim	생산
