और	en
निर्माण	constructie
निर्माण	bouw
निर्माण	schepping
निर्माण	bouwnijverheid
निर्माण	bouwen
गई	ging
दोनों	allebei
दोनों	beiden
दोनों	beide
राष्ट्रीय	nationaal
राष्ट्रीय	nationale
जानकारी	gegevens
जानकारी	informatie
पोर्टल	portaal
पोर्टल	poort
शहर	stad
शहर	steden
शहर	binnenstad
बार	tijden
लगभग	bijna
लगभग	ongeveer
फिल्म	filmpje
फिल्म	film
यहाँ	hier
प्रसिद्ध	beroemde
प्रसिद्ध	beroemd
प्रसिद्ध	gerenommeerde
विकास	ontwikkeling
विकास	groei
केवल	alleen
केवल	enkel
केवल	slechts
देश	land
देश	landen
देश	natie
अलग	aparte
अलग	anders
अलग	verschillend
अलग	gescheiden
अलग	apart
अलग	verschillende
विशेष	exclusieve
विशेष	speciaal
विशेष	exclusief
विशेष	bijzonder
विशेष	speciale
कभी	ooit
दी	gegeven
दी	gaf
पृष्ठ	bladzijden
पृष्ठ	bladzijde
पृष्ठ	pagina
माना	vermeend
माना	vermoedelijk
माना	overwogen
माना	zogenaamd
माना	beschouwd
शब्द	woorden
शब्द	woord
फिर	daarna
फिर	dan
तीन	drie
पुरस्कार	beloning
पुरस्कार	beloningen
पुरस्कार	prijsuitreiking
पुरस्कार	onderscheidingen
पुरस्कार	gunning
पुरस्कार	belonen
पुरस्कार	onderscheiding
लेख	proefschrift
लेख	scriptie
लेख	artikels
लेख	artikel
लेख	artikelen
अब	nu
दौरान	gedurende
दौरान	tijdens
अमेरिका	amerika
मंदिर	tempel
अलावा	toevoeging
अलावा	optellen
वार्ता	gesprekken
दक्षिण	zuid
दक्षिण	zuiden
विभिन्न	diverse
विभिन्न	verschillende
विभिन्न	divers
विभिन्न	diversen
इतिहास	geschiedenis
लिया	genomen
लिया	meegenomen
फ़िल्म	filmpje
फ़िल्म	film
क्योंकि	omdat
क्योंकि	want
पास	passeren
विस्तृत	gevorderd
विस्तृत	gevorderden
विस्तृत	uitputtend
विस्तृत	gedetailleerde
विस्तृत	geavanceerd
विस्तृत	geavanceerde
विस्तृत	uitputtende
विस्तृत	gedetailleerd
दिन	dagen
दिन	dag
दिन	dagje
दिन	overdag
कृषि	landbouw
जाना	levensvatbaarheid
जाना	levensvatbaar
शुरू	begon
शुरू	opgestart
शुरू	begonnen
शुरू	gestart
शुरू	beginnen
व्यक्ति	individu
व्यक्ति	persoon
व्यक्ति	individueel
व्यक्ति	individualisme
उनका	hun
विज्ञान	wetenschap
विज्ञान	wetenschappen
सदस्य	leden
सदस्य	abonnee
सदस्य	abonnees
सदस्य	lid
हालांकि	hoewel
हालांकि	alhoewel
अनेक	veel
अनेक	veelvoud
अनेक	velen
अनेक	meervoudig
अनेक	meervoudige
अनेक	verscheidene
अनेक	verschillende
अनेक	meerdere
अनेक	vele
यहां	hier
संख्या	aantal
संख्या	getal
संख्या	nummers
संख्या	nummer
संख्या	getallen
संख्या	aantallen
अपना	je
अपना	uw
अपना	jouw
अपना	eigen
बात	praten
बात	ding
बात	praat
साहित्य	literatuur
शिक्षा	onderwijs
शिक्षा	opvoeding
धर्म	religies
धर्म	godsdienst
धर्म	religie
मूल	originele
मूल	fundamentele
मूल	herkomst
मूल	oorsprong
मूल	inheemse
मूल	origineel
मूल	inheems
मूल	oorspronkelijke
मूल	originelen
तब	daarna
तब	dan
बना	maak
बना	gemaakt
बना	maken
कोड	gedragscodes
कोड	wetboek
संयुक्त	gelijktijdig
संयुक्त	verenigde
संयुक्त	gezamenlijke
संयुक्त	verenigd
संयुक्त	gecombineerde
संयुक्त	gewricht
संयुक्त	gelijktijdige
संयुक्त	gecombineerd
जुलाई	juli
युद्ध	strijd
युद्ध	gevecht
युद्ध	veldslag
युद्ध	oorlog
युद्ध	slag
नदी	rivier
काल	periode
काल	tijdvak
काल	gespannen
काल	bel
काल	bellen
काल	oproep
ऐसे	dergelijke
वर्षों	jaar
वर्षों	regenwoud
वर्षों	jaren
वर्षों	regenwouden
बड़े	groot
बड़े	grote
जनवरी	januari
मध्य	midden
मध्य	mediaan
मध्य	mediane
मध्य	middelste
मध्य	centreren
मध्य	centrum
राजा	konings
राजा	koning
प्रथम	eerst
प्रथम	eerste
विश्वविद्यालय	universiteiten
विश्वविद्यालय	universiteit
जून	juni
उसकी	zijn
उसकी	haar
मार्च	marcheren
मार्च	maart
बन	bolletjes
बन	bolletje
बनी	konijntje
अर्थ	betekenis
महत्वपूर्ण	kritische
महत्वपूर्ण	gewichtig
महत्वपूर्ण	belangrijke
महत्वपूर्ण	kritiek
महत्वपूर्ण	belangrijk
महत्वपूर्ण	gedenkwaardige
महत्वपूर्ण	kritisch
प्रामाणिक	authentiek
प्रामाणिक	authentieke
आप	jou
आप	jij
अक्टूबर	oktober
अक्टूबर	lgo
समूह	groep
समूह	congregatie
समूह	groepen
समूह	fractie
वर्तमान	presenteren
वर्तमान	huidige
वर्तमान	heden
वर्तमान	actueel
वर्तमान	aanwezig
वर्तमान	presenteer
वर्तमान	huidig
अध्ययन	studeer
अध्ययन	bestuderen
अध्ययन	studeren
अध्ययन	studie
विभाग	afdeling
विभाग	afdelingen
विभाग	deling
विभाग	departementen
विभाग	departement
विभाग	divisie
आम	vaak
आम	gemeenschappelijk
स्थिति	situatie
स्थिति	conditie
स्थिति	positie
स्थिति	voorwaarde
स्थिति	staat
स्थिति	aandoening
स्थिति	toestand
प्रभाव	effect
प्रभाव	invloeden
प्रभाव	uitwerkingen
प्रभाव	inslag
प्रभाव	gevolgen
प्रभाव	effecten
प्रभाव	botsing
आदर्श	idealisme
आदर्श	ideaal
आदर्श	idool
साल	jaar
साल	jaren
पहली	eerst
पहली	eerste
संगीत	muziek
अमेरिकी	amerikaans
अमेरिकी	amerikanen
अमेरिकी	amerikaan
अमेरिकी	amerikaanse
सेवा	dienst
बनाने	creëren
बनाने	maken
आज	vandaag
स्थापित	opgericht
स्थापित	gesticht
स्थापित	gevestigd
स्थापित	geïnstalleerde
स्थापित	gegrond
स्थापित	geinstalleerd
स्थापित	gevestigde
स्थापित	geïnstalleerd
उच्च	sublieme
उच्च	hoog
उच्च	subliem
उच्च	hoge
चाहिए	moet
देता	geeft
उपलब्ध	beschikbaar
उपलब्ध	verkrijgbaar
उपलब्ध	beschikbare
काफी	genoeg
बड़ी	groot
बड़ी	grote
चार	vier
शक	twijfel
शक	twijfelen
उदाहरण	voorbeelden
उदाहरण	illustratie
उदाहरण	voorbeeld
उसका	zijn
उसका	haar
ले	nemen
ले	neem
जिससे	welke
स्थापना	installatie
स्थापना	installeren
स्थापना	installaties
स्थापना	inbouw
स्थापना	vestiging
स्थापना	installeer
कंपनी	onderneming
कंपनी	gezelschap
कंपनी	bedrijf
अधिकांश	meesten
अधिकांश	meestal
अधिकांश	meest
अधिकांश	hoofdzakelijk
अधिकांश	voornamelijk
अधिकांश	vooral
अधिकांश	meeste
सामाजिक	sociale
सामाजिक	sociaal
प्रत्येक	ieder
प्रत्येक	elk
प्रत्येक	iedere
प्रत्येक	elke
बड़ा	grotere
बड़ा	groot
बड़ा	grote
बड़ा	groter
बड़ा	fantastisch
बड़ा	geweldig
स्तर	niveaus
स्तर	niveau
बनाया	aangemaakt
बनाया	gemaakt
बनाया	geschapen
बनाया	gecreëerd
जारी	voortgezet
जारी	doorlopend
जारी	afgegeven
जारी	uitgegeven
जारी	vervolg
जारी	lopende
जबकि	terwijl
चित्र	beelden
चित्र	foto
चित्र	imago
चित्र	beeld
चित्र	afbeeldingen
चित्र	plaatjes
चित्र	afbeelding
इससे	van
इससे	verzint
इससे	vanaf
इससे	uit
प्रणाली	systeem
प्रणाली	stelsel
सरकारी	overheid
सरकारी	officiële
सरकारी	regering
सरकारी	gouvernementele
सरकारी	officieel
सरकारी	ambtenaar
जहां	waar
देशों	landen
सूची	lijstjes
सूची	lijsten
सूची	lijstje
सूची	lijst
रखा	gehouden
विचार	gedachtes
विचार	idee
विचार	dachten
विचार	overweging
विचार	ideeen
विचार	ideetje
विचार	dacht
विचार	ideeën
विचार	ideetjes
विचार	gedacht
विचार	gedachten
छोटे	klein
छोटे	kleine
छोटे	weinig
छोटे	smal
ऊपर	bovenkant
ऊपर	boven
ऊपर	bovenste
ऊपर	hierboven
आधारित	gebaseerd
इसलिए	daarom
सामान्य	algemeen
सामान्य	gemeenschappelijk
सामान्य	normale
सामान्य	algemene
सामान्य	vaak
सामान्य	normaal
सामान्य	generaal
आगे	doorsturen
आगे	vooruit
आगे	voorwaarts
कुल	totalen
कुल	aggregaat
कुल	totaal
पुलिस	politie
वर्ग	klasse
वर्ग	vierkante
वर्ग	vierkant
वर्ग	lessen
वर्ग	klassen
वर्ग	plein
वर्ग	klas
वर्ग	categorie
शरीर	lichaam
अंग्रेजी	engels
अंग्रेजी	engelsen
माध्यम	middellange
माध्यम	middelgrote
माध्यम	middelgroot
मानव	menselijke
मानव	mens
मानव	menselijk
भूमिका	invoering
भूमिका	rol
भूमिका	inleiding
भूमिका	introductie
हर	ieder
हर	elk
हर	iedere
हर	elke
अतिरिक्त	aanvullende
अतिरिक्त	sparen
अतिरिक्त	bijkomende
अतिरिक्त	bijkomend
अतिरिक्त	extra
अतिरिक्त	spaar
अतिरिक्त	aanvullend
अतिरिक्त	figuranten
पिता	vader
समाज	samenleving
समाज	genootschap
समाज	maatschappij
उत्पन्न	aangemaakt
उत्पन्न	gegenereerde
उत्पन्न	gegenereerd
नीचे	onder
नीचे	hieronder
नीचे	bodem
नीचे	omlaag
नीचे	onderkant
दुनिया	wereld
आधुनिक	moderne
ध्यान	meditatie
ध्यान	mediteren
ध्यान	opgelet
ध्यान	aandacht
ध्यान	attentie
दे	geef
दे	geven
सभा	montage
सभा	assemblee
सभा	samenkomst
सभा	verzamelen
सभा	congregatie
सभा	assemblage
परिवार	familie
परिवार	gezin
विषय	onderwerp
विषय	proefpersoon
विषय	onderdanen
विषय	vakken
विषय	onderwerpen
अधिकार	rechten
रंग	kleuren
रंग	kleur
बाहर	eruit
बाहर	stoppen
बाहर	afsluiten
बाहर	buitenshuis
बाहर	uit
बाहर	buiten
बाहर	buitenkant
खेल	speel
खेल	spelen
खेल	spelletje
खेल	sporten
खेल	spellen
खेल	spelletjes
खेल	wedstrijd
खेल	afspelen
खेल	spel
क्षेत्रों	oppervlakten
क्षेत्रों	gebieden
जहाँ	waar
समान	vergelijkbare
समान	soortgelijk
समान	homogeen
समान	vergelijkbaar
समान	homogene
समान	soortgelijke
समान	zelfde
समान	hetzelfde
समान	gelijkaardig
दूर	verre
दूर	weg
दूर	afstandelijk
दूर	ver
पता	adressen
पता	adres
शक्ति	vermogen
शक्ति	kracht
शक्ति	sterkte
शक्ति	macht
ब्रिटिश	britse
ब्रिटिश	brits
ब्रिटिश	britten
कला	kunsten
कला	kunst
घर	huis
घर	thuis
घर	startpagina
संस्कृत	sanskriet
प्रकाशित	publiceren
प्रकाशित	publiceer
प्रकाशित	verschenen
प्रकाशित	gepubliceerde
प्रकाशित	gepubliceerd
प्रकाशित	uitgegeven
मई	mei
मई	moge
मई	mogen
मई	mag
प्रक्रिया	processen
प्रक्रिया	verwerken
प्रक्रिया	proces
सेना	leger
सेना	landmacht
सेना	legers
पार्टी	partij
पार्टी	feest
पार्टी	feestje
रेलवे	spoorlijnen
रेलवे	spoorwegen
रेलवे	spoorweg
पश्चिम	westelijk
पश्चिम	westen
अंत	einde
अंत	beëindigen
अंत	eind
दशक	decennium
पूरी	hele
पूरी	geheel
नए	nieuwer
नए	nieuwere
बिना	zonder
क्या	wat
अगस्त	augustus
विकसित	ontwikkelden
विकसित	ontwikkeld
विकसित	geëvolueerd
विकसित	ontwikkelde
संबंध	binding
संबंध	betrekkingen
संबंध	relaties
संबंध	relatie
प्रदर्शन	voorstellingen
प्रदर्शन	optredens
प्रदर्शन	belichting
प्रदर्शन	prestatie
प्रदर्शन	prestaties
प्रदर्शन	weergave
प्रदर्शन	weergeven
प्रदर्शन	blootstelling
प्रदर्शन	uitvoeringen
ऐसी	dergelijke
मार्ग	manier
पर्यटन	toerisme
ज्ञान	kennis
लगा	voelde
लगा	voelden
लगा	leken
लगा	vilt
लगा	gevoeld
लगा	leek
प्रदर्शित	aanbevolen
प्रदर्शित	uitgelicht
प्रदर्शित	weergegeven
प्रदर्शित	getoond
प्रदर्शित	uitgelichte
प्रदर्शित	weergeven
प्रदर्शित	getoonde
प्रदर्शित	weergave
अक्सर	regelmatig
अक्सर	frequent
अक्सर	veelvuldig
अक्सर	vaak
अक्सर	dikwijls
सहायता	steun
सहायता	ondersteuning
सहायता	assistentie
सहायता	hulp
सहायता	ondersteunen
सहायता	bijstand
सहायता	helpen
पहला	eerst
पहला	eerste
मृत्यु	sterfte
मृत्यु	overlijden
मृत्यु	doods
मृत्यु	sterftecijfer
मृत्यु	mortaliteit
मृत्यु	dood
मृत्यु	sterfelijkheid
स्वयं	eigen
स्वयं	zelf
तैयार	gereed
तैयार	klaar
आवश्यक	vereiste
आवश्यक	urgentie
आवश्यक	dringend
आवश्यक	spoed
आवश्यक	vereist
देखा	zagen
देखा	zag
देखा	keek
देखा	bekeken
देखा	gekeken
देखा	gezien
देखा	zaag
उत्पादन	productie
उत्पादन	produktie
रोग	ziekte
संबंधित	gerelateerd
संबंधित	verwant
संबंधित	respectievelijke
संबंधित	respectieve
संबंधित	gerelateerde
संबंधित	verwante
शताब्दी	eeuw
गये	ging
चीन	porselein
अभी	nu
संघ	vakbond
संघ	federatie
संघ	bonden
संघ	vakbonden
संघ	associatie
संघ	vereniging
संघ	unie
यात्रा	reizen
यात्रा	reis
मात्रा	bedrag
मात्रा	hoeveelheid
मात्रा	kwantiteit
रचना	compositie
रचना	creatie
रचना	schepping
रचना	samenstelling
जगह	ruimte
जगह	plaats
जगह	spatie
भिन्न	anders
भिन्न	discreet
भिन्न	verschillend
भिन्न	verschillende
भिन्न	fractie
लोक	publiek
लोक	openbaar
सब	alle
सब	allemaal
सब	gab
सब	allen
सब	alles
पूरा	hele
पूरा	ingevuld
पूरा	afgerond
पूरा	geheel
पूरा	volle
पूरा	voltooide
पूरा	voltooid
पूरा	volledige
पूरा	vol
पूरा	invullen
पूरा	compleet
पूरा	volledig
आवश्यकता	eis
आवश्यकता	vereisen
आवश्यकता	voorschrift
आवश्यकता	vereiste
प्रकाश	lichte
प्रकाश	verlichting
प्रकाश	lampen
प्रकाश	licht
प्रकाश	lichten
प्रकाश	lichtjes
नई	nieuwer
नई	nieuw
नई	nieuwere
नई	nieuwe
चिकित्सा	medische
चिकित्सा	therapie
चिकित्सा	medisch
दूसरी	tweede
कार्यक्रम	gebeurtenis
कार्यक्रम	programmeren
कार्यक्रम	evenement
कार्यक्रम	programma
कार्यक्रम	gebeurtenissen
कार्यक्रम	evenementen
पुराने	oude
पुराने	oudere
पुराने	oud
पुराने	ouder
पुराने	ouwe
सदी	eeuw
भगवान	heer
भगवान	heere
भगवान	jeetje
लिखा	schreef
लिखा	schreven
लिखा	geschreven
लिखा	schriftelijke
संस्थान	instituten
संस्थान	instituut
संस्कृति	cultuur
अंग्रेज़ी	engels
अंग्रेज़ी	engelsen
पूर्ण	ingevuld
पूर्ण	afgerond
पूर्ण	volle
पूर्ण	voltooide
पूर्ण	perfecte
पूर्ण	volledige
पूर्ण	voltooid
पूर्ण	vol
पूर्ण	invullen
पूर्ण	compleet
पूर्ण	volledig
परिवर्तन	wijzigingen
परिवर्तन	wijzigen
परिवर्तन	verandering
परिवर्तन	bekering
परिवर्तन	conversie
परिवर्तन	omschakeling
परिवर्तन	wijziging
परिवर्तन	veranderingen
परिवर्तन	veranderen
परिवर्तन	overgang
परिवर्तन	transformatie
टीम	ploegen
चर्चा	discussie
चर्चा	discussies
संगठन	organisaties
संगठन	organisatie
शैली	stijl
तुलना	vergelijking
स्कूल	scholen
पुस्तक	boek
लेखक	schrijfster
लेखक	auteur
लेखक	schrijvers
लेखक	schrijver
लेखक	auteurs
संस्करण	versie
संस्करण	edities
संस्करण	editie
संस्करण	uitgave
संस्करण	versies
खिलाड़ी	sporter
खिलाड़ी	atleet
खिलाड़ी	spelers
खिलाड़ी	speler
खिलाड़ी	atlete
ट्रेन	treinen
ट्रेन	trein
प्रचलित	heersende
आकार	maten
आकार	maat
आकार	vormen
आकार	grootte
आकार	afmeting
आकार	formaat
आकार	omvang
आकार	vorm
सीमा	limieten
सीमा	bereik
सीमा	grens
सीमा	limiet
सीमा	beperken
सीमा	grenzen
पश्चिमी	westelijk
व्यवस्था	regeling
आर्थिक	economische
आर्थिक	economisch
राजधानी	hoofdstad
राजधानी	hoofdletter
राजधानी	hoofdletters
राजधानी	hoofdsteden
राजधानी	kapitaal
दर्शन	zicht
दर्शन	filosofie
दर्शन	visioen
दर्शन	visie
वहाँ	er
वहाँ	daar
विधि	modus
विधि	methoden
विधि	methodes
विधि	methode
विधि	wet
अवधि	duur
अवधि	periode
अवधि	tijdvakken
अवधि	perioden
अवधि	tijdvak
अवधि	tijdsduur
अवधि	periodes
अवधि	looptijd
दृष्टि	zicht
दृष्टि	visueel
दृष्टि	visuele
दृष्टि	visioen
दृष्टि	visie
सिद्धांत	theorie
सिद्धांत	beginselen
सिद्धांत	principes
कलाकार	kunstenaars
कलाकार	kunstenares
कलाकार	artiest
कलाकार	artiesten
कलाकार	kunstenaar
बैंक	banken
ज्यादा	meer
अंतिम	laatste
अंतिम	definitief
अंतिम	finale
विशिष्ट	specifiek
विशिष्ट	onderscheiden
विशिष्ट	specifieke
हिन्दू	hindoe
लाल	rooien
लाल	rode
लाल	rood
लाल	roden
रहने	blijven
पूर्वी	oostelijke
पूर्वी	oost
पूर्वी	oostelijk
पूर्वी	oosten
समर्थन	steun
समर्थन	ondersteuning
समर्थन	bekrachtiging
समर्थन	ondersteunen
समर्थन	vermeldingen
व्यापार	bedrijf
व्यापार	zakelijk
व्यापार	handel
व्यापार	handelsverkeer
प्रयास	inspanning
प्रयास	pogingen
महिला	vrouwelijk
महिला	vrouwelijke
महिला	vrouwe
महिला	vrouw
महिला	vrouwtje
महिला	dame
जीवित	overleven
जीवित	levend
जीवित	overleef
नामांकन	voordracht
नामांकन	benaming
नामांकन	aanwijzing
नामांकन	nomineren
नामांकन	nominatie
नामांकन	inschrijving
नामांकन	aanduiding
अभिनेता	actoren
अभिनेता	acteur
अभिनेता	acteurs
क्षमता	capaciteiten
क्षमता	potentieel
क्षमता	vermogen
क्षमता	potentie
क्षमता	capaciteit
क्षमता	potentiële
पाया	gevonden
स्पष्ट	evident
वो	zij
वो	ze
पृथ्वी	aarde
गति	zaaien
गति	snelheid
गति	toerental
गति	bewegingen
गति	beweging
गति	verplaatsing
गति	motie
परिणाम	resultaten
परिणाम	uitslagen
परिणाम	resultaat
लेने	nemen
होगा	zal
होगा	zullen
भर	gevuld
भर	opgevuld
भर	ingevuld
पुत्र	zoon
सहित	inclusief
शासन	heerschappij
शासन	regel
शासन	regeren
शासन	regeerperiode
शासन	bestuur
नियंत्रण	controle
नियंत्रण	controles
प्रभावित	indrukwekkend
प्रभावित	imponeren
प्रभावित	getroffen
प्रभावित	beïnvloed
प्रभावित	indruk
वर्णन	omschrijving
वर्णन	signalement
वर्णन	beschrijving
क्रिकेट	krekel
योजना	plannen
योजना	regeling
आरम्भ	begin
एशिया	azië
सन	zon
राजनीतिक	politieke
राजनीतिक	politiek
प्राकृतिक	natuurlijk
प्राकृतिक	natuurlijke
स्थानीय	plaatselijk
स्थानीय	lokaal
स्थानीय	lokale
कहानी	verhaal
वृद्धि	verhogen
वृद्धि	stijgen
वृद्धि	groei
वृद्धि	escalatie
वृद्धि	tillen
वृद्धि	opheffen
वृद्धि	verhoging
वृद्धि	optillen
वृद्धि	stijging
वृद्धि	vergroten
वृद्धि	verhoog
वृद्धि	til
वृद्धि	escaleren
सुरक्षा	beveiliging
सुरक्षा	veiligheid
सुरक्षा	bescherming
लोकप्रिय	populaire
लोकप्रिय	populair
कवि	dichter
हिस्सा	gedeelte
हिस्सा	deel
पद	rangschikken
पद	rangschikking
पद	rang
पद	positie
हाथ	handen
हाथ	handjes
जनता	publiek
जनता	openbaar
विस्तार	uitbreidingen
विस्तार	uitbreiden
विस्तार	extensies
विस्तार	uitbreiding
विस्तार	verlenging
विस्तार	expansie
विस्तार	extensie
विस्तार	verlengingen
पूरे	hele
पूरे	geheel
युग	tijdperk
द्वितीय	tweede
चुनाव	keus
चुनाव	keuzen
चुनाव	verkiezingen
चुनाव	keuze
चुनाव	verkiezing
चुनाव	keuzes
व्यक्तिगत	individueel
व्यक्तिगत	individu
व्यक्तिगत	persoonlijk
व्यक्तिगत	persoonlijke
व्यक्तिगत	individualisme
मेल	post
दूसरा	tweede
आता	komt
प्रवेश	ingang
प्रवेश	toelating
प्रवेश	binnenvaren
प्रवेश	entree
शुरुआत	begin
दूरी	afstand
निर्मित	gecreëerd
निर्मित	gebouwd
निर्मित	aangemaakt
निर्मित	geschapen
निर्मित	gebouwde
निर्मित	gemaakt
सामग्री	materialen
सामग्री	inhoudsopgave
सामग्री	inhoud
सामग्री	materiaal
ऊर्जा	energie
घटनाएँ	gebeurtenissen
घटनाएँ	evenementen
वैज्ञानिक	wetenschapper
वैज्ञानिक	wetenschappers
वैज्ञानिक	wetenschappelijk
उद्देश्य	doel
उद्देश्य	objectief
उद्देश्य	richten
उद्देश्य	doelstellingen
उद्देश्य	doelstelling
प्रस्तुत	aangeboden
प्रस्तुत	gepresenteerd
प्रस्तुत	gepresenteerde
प्रान्त	provincie
ऐतिहासिक	historisch
ऐतिहासिक	historische
सर्वश्रेष्ठ	beste
धार्मिक	religieus
धार्मिक	religieuze
द्वीप	eiland
केंद्र	centreren
केंद्र	centrum
जनसंख्या	bevolking
जनसंख्या	populatie
दर	tarief
सामने	voorzijde
सामने	voorkant
ठीक	oke
ठीक	oké
ठीक	prima
रेल	treinen
रेल	spoorweg
रेल	spoor
रेल	spoorlijnen
रेल	spoorwegen
दिए	gegeven
पदार्थ	materialen
पदार्थ	materie
पदार्थ	substantie
पदार्थ	materiaal
तथ्य	feiten
तथ्य	feit
लाभ	winst
लाभ	voordelen
लाभ	winsten
लाभ	voordeel
लाभ	uitkeringen
लाभ	benefiet
साम्राज्य	rijk
साम्राज्य	keizerrijk
साम्राज्य	monarchie
साम्राज्य	imperium
सदस्यों	leden
देवी	godin
भूमि	grond
व्यापक	veelomvattend
व्यापक	omvattend
व्यापक	breed
व्यापक	wijd
व्यापक	brede
प्रबंधन	beheer
प्रबंधन	managen
प्रबंधन	beheren
परीक्षण	proeven
परीक्षण	tests
परीक्षण	testen
अनुसंधान	onderzoek
गीत	lied
गीत	nummers
गीत	nummer
गीत	liedje
गीत	zang
गीत	teksten
गीत	liederen
गीत	liedjes
गणना	bereken
गणना	tellen
गणना	telling
गणना	berekenen
गणना	berekeningen
गणना	tel
गणना	berekend
गणना	berekening
गणना	berekende
गणना	graaf
निम्न	lage
निम्न	laag
खोज	ontdekking
खोज	verkenning
खोज	zoek
खोज	exploratie
खोज	zoeken
खोज	ontdekkingen
खोज	zoektocht
खोज	zoekopdracht
खोज	zoekopdrachten
खोज	ontdek
खोज	doorzoeken
खोज	ontdekken
सांस्कृतिक	cultureel
सांस्कृतिक	culturele
सांस्कृतिक	humaan
जाति	ras
जाति	kaste
व्यवहार	gedrag
व्यवहार	gedragen
