категория	categorie
мария	marja
мария	maria
партия	partij
партия	feest
партия	feestje
страницы	bladzijden
страницы	bladzijde
страницы	pagina
спасибо	thnx
спасибо	bedankt
позднее	straks
включает	omvat
включает	inclusief
актёр	acteur
включая	inclusief
дмитрий	dmitri
дмитрий	dimitri
правительства	overheden
правительства	regeringen
получила	heb
получила	kreeg
председатель	voorzitter
председатель	stoel
моря	zee
моря	zeeën
страна	land
николаевич	nikolajevitsj
вариант	optie
одновременно	gelijktijdige
одновременно	gelijktijdig
одновременно	tegelijk
одновременно	tegelijkertijd
дороги	wegen
имел	hadden
имел	gehad
русские	russen
русские	rus
русские	russisch
русские	russische
александрович	aleksandrovitsj
виктор	overwinnaar
мир	vrede
мир	wereld
работа	werkend
работа	werken
работа	arbeid
работа	werk
работа	baan
работа	werkende
японии	japanners
японии	japanse
японии	japans
серия	reeksen
серия	serie
серия	aflevering
серия	reeks
песня	nummer
песня	zang
песня	liedje
песня	lied
становится	wordt
василий	vasili
василий	basilicum
вопросы	kwesties
вопросы	vragen
испании	spanje
завод	fabriek
штат	staat
проблемы	problemen
проблемы	probleem
проблемы	uitdagingen
проблемы	kwesties
юрий	joeri
ниже	onder
ниже	lager
ниже	hieronder
ниже	lagere
улицы	straat
улицы	straatjes
улицы	straten
рядом	dichtbij
рядом	nabijgelegen
найти	zoek
найти	vinden
найти	vind
вклад	premies
вклад	invoer
вклад	bijdragen
вклад	bijdrage
развитие	ontwikkeling
лиги	liga
директор	regisseur
директор	directeur
директор	schoolhoofd
директор	aangever
командир	overste
командир	commandant
командир	bevelhebber
командир	gezagvoerder
друг	vriendin
друг	vriend
вернулся	geretourneerd
вернулся	teruggegeven
вернулся	teruggestuurd
вернулся	teruggekeerd
заслуженный	gehuldigd
заслуженный	geëerde
заслуженный	vereerd
заслуженный	geëerd
считается	telt
рок	rotsen
рок	rots
рок	steen
футболист	voetballer
футболист	profvoetballer
мой	mijne
отличие	verschil
журнал	tijdschrift
журнал	dagboek
журнал	logboek
значение	waarde
значение	betekenis
комитета	comité
комитета	commissie
производства	productie
производства	produktie
премьер	priemgetal
сначала	eerst
сначала	eerste
действительно	echt
действительно	inderdaad
действительно	werkelijk
игра	spelletje
игра	wedstrijd
игра	spel
решения	beslissingen
решения	oplossingen
решения	beschikkingen
решения	besluiten
строительство	opbouw
строительство	constructie
строительство	bouw
строительство	bouwnijverheid
строительство	bouwen
пункт	alinea
пункт	paragraaf
мать	moeder
мать	moedertje
старший	laatstejaars
старший	oudere
снова	nogmaals
снова	alweer
снова	opnieuw
конечно	zeker
здания	gebouwen
тренер	koets
тренер	coachen
тренер	opleider
тренер	trainer
поле	veld
написал	schreef
написал	schreven
значения	waarden
значения	waardes
значения	doorverwijspagina
пути	paden
пути	manieren
женщины	vrouwelijk
женщины	vrouwelijke
женщины	vrouw
женщины	vrouwtje
женщины	vrouwen
женщины	vrouwtjes
труда	arbeid
майор	majoor
майор	hoofdvak
провинция	provincie
храм	tempel
исследования	onderzoek
какие	wat
обороны	verweerschrift
обороны	verdediging
обороны	verweer
обороны	defensie
обороны	verdedigen
мнение	opinies
мнение	adviezen
мнение	mening
мнение	meningen
мнение	advies
сообщения	boodschappen
сообщения	berichten
сообщения	communicatie
сообщения	mededelingen
раздел	sectie
раздел	afdeling
раздел	partitie
востоке	oost
востоке	oosten
быстро	vlug
быстро	snelle
быстро	vasten
быстро	snel
удаление	doorhalen
удаление	verwijder
удаление	verwijderen
удаление	verwijdering
проходит	pasjes
проходит	passeert
влияние	effect
влияние	beïnvloeding
влияние	beïnvloeden
влияние	invloed
влияние	inslag
влияние	botsing
епископ	bisschop
епископ	loper
следующий	volgend
следующий	volgende
максимальная	maximale
максимальная	maximaal
англии	engeland
капитан	kapitein
капитан	gezagvoerder
никто	niemand
работает	werken
работает	werkt
довольно	mooi
должно	moeten
должно	moet
руководитель	leider
руководитель	opzichter
руководитель	leidinggevende
руководитель	toezichthouder
армия	leger
армия	landmacht
степень	graad
лейтенант	luitenant
науки	wetenschap
науки	wetenschappen
версия	versie
думаю	denken
думаю	denkend
думаю	nadenken
полковник	kolonel
совместно	gezamenlijk
совместно	gezamelijk
титул	titel
сражения	gevechten
сражения	veldslagen
князь	prins
стадион	stadion
деревне	dorp
деревне	platteland
деревне	dorpje
кубок	beker
кубок	kopje
пять	vijf
движение	bewegingen
движение	verkeer
движение	beweging
движение	verplaatsing
движение	motie
выпуск	uitgifte
выпуск	uitvoer
выпуск	kwestie
выпуск	afgifte
теории	theorieën
святой	heilig
святой	heilige
союз	sojoez
союз	vakbond
союз	unie
удалено	geschrapt
удалено	verwijderd
удалено	gewist
удалено	verwijderde
ван	busje
удалить	doorhalen
удалить	verwijder
удалить	verwijderen
остров	eiland
прав	rechten
операции	transacties
операции	operaties
операции	bewerkingen
кажется	lijkt
французский	fransen
французский	franse
французский	frans
издание	publikatie
издание	publicatie
издание	editie
издание	uitgave
издание	bekendmaking
необходимо	nodig
необходимо	noodzakelijke
необходимо	noodzakelijk
результаты	resultaten
результаты	uitslagen
результаты	resultaat
говорит	spreekt
говорит	zegt
павел	paulus
пётр	petrus
золотой	goud
золотой	gulden
золотой	gouden
последние	laatste
последние	recente
известный	gekende
известный	beroemde
известный	beroemd
известный	bekend
известный	gerenommeerde
известный	bekende
известный	gekend
михайлович	michailovitsj
флота	wagenpark
флота	vloot
использование	gebruik
использование	gebruiken
далее	volgende
далее	verder
далее	volgend
далее	verdere
немецкий	duits
немецкий	duitse
империя	rijk
империя	keizerrijk
империя	imperium
совершенно	compleet
совершенно	volledig
очередь	beurt
очередь	draaien
очередь	draai
очередь	wachtrij
записи	inzendingen
записи	ingangen
записи	vermeldingen
мог	kan
мог	kon
вокруг	rondom
вокруг	rond
вторая	tweede
использования	gebruik
дети	kinderen
дети	kindjes
издательство	publiceren
издательство	publicatie
издательство	uitgeverijen
издательство	uitgeverij
издательство	uitgever
действий	actie
действий	optreden
действий	aktie
карьера	carrière
карьера	carriere
карьера	carrières
карьера	loopbaan
франция	frankrijk
композитор	componist
должности	posten
должности	berichten
должности	posities
семьи	gezinnen
семьи	familie
семьи	gezin
военный	krijgsmacht
военный	militaire
военный	militair
военный	militairen
английский	engels
английский	engelsen
числа	aantallen
числа	getallen
числа	nummers
создание	creëren
создание	creëer
создание	creatie
создание	aanmaken
создание	maken
создание	schepping
азии	aziatisch
азии	aziatische
азии	azië
актриса	actrice
писать	schrijven
корпус	korps
корпус	romp
относительно	relatief
членов	leden
позиции	posities
речь	spraak
речь	redevoering
речь	toespraak
евгений	jevgeni
жена	echtgenote
жена	vrouw
вики	vicky
правительство	regering
правительство	overheid
знак	onderteken
знак	teken
знак	ondertekenen
знак	tekenen
слишком	ook
энциклопедия	encyclopedie
поэт	dichter
революции	revoluties
революции	omwentelingen
революции	revolutie
заместитель	plaatsvervanger
заместитель	hulpsheriff
заместитель	plaatsvervangend
соответствует	correspondeert
парк	parkeren
уровня	niveau
мало	klein
мало	kleine
мало	weinig
возможности	mogelijkheden
возможности	kans
возможности	gelegenheid
возможности	kansen
ран	wonden
фамилия	familienaam
фамилия	achternaam
третий	derde
формы	formulieren
формы	vormen
избран	gekozen
избран	verkozen
оставить	verlaat
оставить	verlaten
оставить	vertrek
оставить	verlof
начальник	directeur
начальник	toezichthouder
начальник	leidinggevende
начальник	chef
начальник	opzichter
начальник	opperhoofd
соответственно	dienovereenkomstig
министерства	ministeries
брат	broer
брат	broertje
брат	broeder
писал	schreef
писал	schreven
могу	kunnen
могу	kunt
могу	kan
цвета	kleuren
цвета	kleur
победы	zege
победы	overwinningen
победы	victorie
победы	overwinning
победы	winnen
победы	winnend
победы	winnende
середине	midden
единицы	eenheid
единицы	eenheden
интервью	sollicitatie
интервью	sollicitatiegesprek
интервью	interviewen
путь	pad
путь	manier
новое	nieuw
новое	nieuwe
бывший	voormalige
бывший	voormalig
книг	boeken
шоу	tonen
шоу	toon
шоу	weergeven
республика	republiek
участок	perceel
участок	complot
темп	tempo
медали	medailles
служил	geserveerd
служил	gediend
служил	opgediend
организация	organisatie
красного	rode
красного	rood
события	ontwikkelingen
события	gebeurtenissen
события	evenementen
никогда	nooit
изменения	wijzigingen
изменения	modificaties
изменения	verandering
изменения	veranderingen
изменения	veranderen
изменения	wijzigen
изменения	wijziging
перевод	vertalen
перевод	vertaling
перевод	vertalingen
производство	productie
производство	vervaardiging
производство	fabricage
производство	produktie
прежде	voordat
прежде	vóór
играл	speelde
играл	gespeelde
играл	afgespeeld
играл	gespeeld
различные	diverse
различные	verschillende
море	zee
расстояние	afstand
век	oogleden
век	eeuw
сети	netten
сети	netwerk
сети	netwerken
епархии	bisdom
гитара	gitaar
гражданство	nationaliteit
гражданство	staatsburgerschap
гражданство	burgerschap
считаю	tellen
вице	zeden
вице	ondeugd
научный	wetenschappelijk
показана	getoond
показана	getoonde
стиль	stijl
назад	terug
назад	achterwaarts
назад	rug
назад	achteruit
военных	krijgsmacht
военных	militaire
военных	militair
военных	militairen
америки	amerika
границы	begrenzing
границы	grenst
границы	grenzen
границы	grens
учился	bestudeerd
учился	bestudeerde
учился	studeerde
городов	steden
процесс	verwerken
процесс	proces
удалена	geschrapt
удалена	verwijderd
удалена	gewist
удалена	verwijderde
скорость	snelheid
скорость	toerental
звания	gelederen
звания	rangen
суда	vaartuigen
суда	schepen
похоронен	begraven
похоронен	bedolven
музыка	muziek
православной	orthodoxe
текста	tekst
факультет	faculteit
основан	gegrond
основан	gesticht
основан	opgericht
политики	politiek
политики	politici
пик	piek
пик	gluren
пик	hoogtepunt
создан	aangemaakt
создан	gemaakt
создан	geschapen
создан	gecreëerd
любой	iedereen
любой	iemand
любой	elke
память	geheugen
память	herinnering
память	herinneringen
национальная	nationaal
национальная	nationale
пост	bericht
край	rand
тела	lichamen
тела	lichaam
тела	carrosserieën
тела	lijken
общество	samenleving
общество	genootschap
общество	maatschappij
явно	duidelijk
активно	actief
лично	persoonlijk
польши	pools
польши	polen
польши	poolse
вероятно	waarschijnlijk
вероятно	waarschijnlijke
часов	openingstijden
часов	uren
часов	uur
виды	typen
виды	soort
виды	soorten
виды	diersoorten
виды	diersoort
первоначально	aanvankelijk
первоначально	oorspronkelijk
исследований	onderzoek
жил	leefde
жил	woonde
жил	leefden
начиная	beginnend
номинации	voordracht
номинации	nomineren
номинации	nominatie
пожалуйста	alstublieft
пожалуйста	aub
пожалуйста	alsjeblieft
международный	internationaal
называется	gebeld
называется	genoemd
называется	belde
происхождения	herkomst
происхождения	oorsprong
минимальная	minimaal
минимальная	minimale
взгляд	staren
взгляд	blik
взгляд	staar
памяти	geheugen
памяти	herinnering
памяти	herinneringen
нарушение	schenden
нарушение	inbreuken
нарушение	schending
нарушение	inbreuk
нарушение	overtreding
нарушение	bres
куда	waar
сделал	gemaakt
сделал	deed
профиль	profiel
пример	voorbeeld
администрации	administraties
средний	gemiddeld
средний	middellange
средний	gemiddelde
средний	middelgroot
средний	middelste
средний	middelgrote
средний	midden
мастер	meester
мастер	tovenaar
факты	feiten
промышленности	bedrijfstak
промышленности	industrie
уровень	niveaus
уровень	niveau
русская	rus
русская	russisch
русская	russische
бассейн	bekken
бассейн	stroomgebied
бассейн	zwembad
игрок	speler
писатели	schrijvers
лауреат	laureaat
оба	allebei
оба	beiden
оба	beide
значительно	significant
значительно	aanzienlijk
значительно	beduidend
средства	fondsen
украина	oekraïne
материалы	materialen
материалы	inhoud
материалы	materiaal
приток	instroom
приток	toevloed
приток	zijrivier
приток	toestroom
объектов	voorwerpen
объектов	objecten
сегодня	vandaag
сегодня	vanavond
сегодня	vannacht
солдат	soldaten
солдат	soldaat
линия	lijn
официально	formeel
официально	officieel
программа	programma
программа	programmeren
научная	wetenschappelijk
советская	sovjet
территория	territorium
территория	grondgebied
власть	vermogen
власть	kracht
власть	macht
славы	roem
славы	faam
славы	bekendheid
славы	beroemdheid
команд	opdrachten
разные	anders
разные	verschillend
разные	verschillende
умершие	sterfte
умершие	sterfgevallen
умершие	overledene
умершие	overledenen
умершие	overleden
месяцев	maanden
месяцев	maandenlang
слева	links
слева	linkse
слева	linker
языки	talen
вокал	zang
содержит	bevat
стать	wordt
стать	word
стать	worden
озеро	meer
комиссии	provisies
комиссии	commissie
комиссии	provisie
комиссии	commissies
дорога	weg
монастырь	klooster
принято	geaccepteerde
принято	meegenomen
принято	goedgekeurd
принято	aanvaard
принято	aangenomen
принято	geadopteerd
принято	geaccepteerd
принято	genomen
принято	aanvaarde
газеты	dagblad
газеты	krant
газеты	dagbladen
газеты	kranten
переулок	laan
переулок	steeg
переулок	steegje
написано	geschreven
написано	schriftelijke
немного	lichtelijk
немного	enigszins
немного	lichtjes
начали	begonnen
начали	gestart
начали	begon
начали	opgestart
форме	formulier
форме	vorm
точно	exact
точно	precies
скончался	overledene
скончался	overledenen
скончался	overleden
чемпионы	kampioenen
упоминается	noemt
упоминается	vermeldingen
собор	kathedraal
итоги	uitkomst
итоги	uitkomsten
итоги	resultaat
факт	feit
карьеры	carrière
карьеры	carriere
карьеры	carrières
