que	那個
cuenta	伯爵
cuenta	帳號
junio	六月份
junio	六月
febrero	二月
ella	她
ella	她的
varios	雜項
francia	法國
solo	只
solo	只要
solo	只是
solo	只有
tipo	類型
tipo	型態
obra	工作
iglesia	教堂
iglesia	教會
película	膠片
película	影片
película	電影
entonces	那
entonces	那麼
entonces	然後
banda	幫
banda	樂團
banda	樂隊
banda	幫派
cuatro	四
cuatro	四名
cuatro	四個
zona	地區
zona	面積
zona	區
zona	區域
televisión	電視台
televisión	電視
televisión	電視機
principal	主要
carlos	查理
rey	國王
rey	王
premio	獎賞
premio	獎
premio	授予
premio	獎品
edición	版
edición	編輯
edición	剪輯
premios	授予
premios	獎勵
premios	獎
premios	頒獎
premios	獎品
sitio	圍困
sitio	網站
sitio	包圍
sitio	圍城
sitio	網頁
sitio	工地
sitio	圍攻
segundo	秒
segundo	第二
mar	海洋
mar	海
mar	大海
mar	海上
mar	大洋
mar	洋
poco	小
orden	秩序
orden	訂單
orden	順序
orden	訂購
orden	命令
estadounidense	美式
agua	水
agua	飲水
tierra	陸地
tierra	土
tierra	土地
tierra	泥土
tierra	土壤
tierra	大地
tierra	地球
título	標題
ellos	她們
ellos	它們
ellos	他們
división	組織
canción	歌曲
canción	宋
canción	首歌
canción	歌
fecha	日期
fecha	約會
república	共和國
república	共和
trabajo	工作
especie	魚種
especie	物種
luis	路易
luis	路易斯
caso	案件
caso	案例
caso	個案
dentro	內在
dentro	裡面
dentro	內心
dentro	內部
obras	工程
obras	播放
obras	作品
color	色彩
color	彩色
color	顏色
distrito	地區
distrito	區
superficie	區
superficie	地表
superficie	地區
superficie	表面
superficie	地面
superficie	區域
superficie	面積
copa	杯子
copa	杯
copa	盃
muchos	許多
línea	線路
línea	線
siguiente	下一步
área	地區
área	面積
área	區域
área	區
grandes	大型
grandes	大
censo	普查
censo	人口普查
liga	聯盟
liga	聯賽
liga	同盟
estas	這些
muerte	死亡
muerte	死神
medio	中等
medio	一半
medio	半數
medio	媒介
medio	中型
medio	半
medio	介質
política	政策
política	政治學
política	政治
menos	少
menos	減
menos	少了
largo	長
largo	久
hijo	兒子
hecho	完成
algunas	有些
algunas	一些
carrera	競賽
carrera	賽跑
carrera	種族
carrera	比賽
carrera	職業
poder	動力
poder	電源
poder	權力
poder	電力
pueblo	人民
pueblo	人們
pueblo	村落
pueblo	鄉村
pueblo	城鎮
pueblo	人
pueblo	村
pueblo	鎮
pueblo	村子
pueblo	村莊
departamento	公寓
departamento	部門
localidades	地方
localidades	地點
veces	時報
veces	時代
reino	國度
reino	王國
todas	所有
todas	全部
ejemplo	樣本
ejemplo	範例
ejemplo	樣品
ejemplo	取樣
ejemplo	抽樣
género	性別
género	屬
género	類型
género	流派
padre	父
padre	神父
padre	父親
campo	鄉間
campo	露營
campo	鄉村
campo	農村
campo	欄位
campo	難民營
campo	鄉下
campo	營地
campo	營
isla	海島
isla	島
isla	島嶼
misma	相同
conocido	相識
conocido	熟人
conocido	已知
países	各國
países	國家
frente	額頭
frente	陣線
frente	前面
días	天數
días	日子
española	西班牙語
española	西班牙文
versión	版
versión	版本
actual	電流
actual	現任
actual	目前
momento	時刻
lista	清單
lista	名單
lista	列表
densidad	密度
campeonato	錦標賽
tarde	午後
tarde	晚間
tarde	遲到
tarde	晚上
tarde	傍晚
tarde	遲
tarde	晚
tarde	下午
ejército	集團軍
ejército	軍
ejército	軍方
ejército	軍事
ejército	軍隊
ejército	陸軍
porque	因為
estación	站
estación	車站
observatorio	天文台
actualmente	目前
desarrollo	發展
escuela	上學
escuela	學校
programa	程式
programa	方案
información	資訊
importante	重要
último	上次
último	最後
último	最新
canciones	歌曲
canciones	歌
uso	使用
uso	利用
uso	用量
uso	用法
juegos	遊戲
punto	角
punto	點
posición	立場
posición	位置
posición	職位
alemania	德國
ubicación	安置
ubicación	地點
ubicación	位置
ubicación	所在地
partidos	匹配
partidos	火柴
grupos	群組
grupos	團體
miembros	成員
pedro	彼得
primeros	第一
primeros	首先
primeros	早期
primeros	提早
primeros	及早
primeros	提前
teatro	戲劇
teatro	電影院
teatro	戲院
teatro	戰區
teatro	劇院
teatro	劇場
cualquier	任何
datos	資料
laboratorio	化驗室
laboratorio	實驗室
socorro	救濟
libro	書
libro	圖書
libro	書籍
estudios	研究
estudios	工作室
diferentes	不同
nivel	三級
nivel	層次
nivel	關卡
nivel	級別
nivel	等級
mayoría	多數
unión	聯盟
unión	工會
edad	年齡
edad	年紀
artículos	文章
artículos	項目
juego	賭博
juego	博弈
juego	遊戲
juego	賭
juego	比賽
arte	美術
arte	藝術品
arte	藝術
especies	魚種
especies	物種
europa	歐洲
estilo	風格
estilo	樣式
estilo	造型
cine	膠片
cine	電影院
cine	影片
cine	電影
cine	戲院
proyecto	項目
selección	挑選
selección	甄選
selección	選擇
selección	選取
costa	海岸
costa	海岸線
costa	沿岸
costa	沿海
equipos	球隊
equipos	團隊
equipos	隊伍
equipos	裝備
origen	原產地
origen	起源
origen	出處
origen	來源
origen	源
código	編碼
código	碼
código	密碼
museo	博物館
puntos	點數
puntos	積分
puntos	點
puntos	縫針
perú	秘魯
militar	軍方
militar	軍事
américa	美洲
américa	美國
ubicado	位於
producción	產量
producción	輸出
producción	生產
producción	製作
producción	產出
italia	義大利
plantas	植物
plantas	工廠
plantas	廠
debe	必須
siempre	始終
siempre	永遠
siempre	總是
metros	公尺
metros	米
oro	金
oro	金色
oro	黃金
oro	金子
posteriormente	後來
posteriormente	稍後
posteriormente	以後
casi	幾乎
construcción	建設
construcción	施工
construcción	建築
construcción	建築物
construcción	大樓
francés	法文
francés	法語
cultura	文化
santiago	詹姆士
cerca	周邊
cerca	靠近
cerca	附近
cerca	鄰近
cerca	關閉
cerca	近
estudio	學習
estudio	錄音室
estudio	研究
estudio	工作室
principales	主要
usuario	使用者
finalmente	終於
cinco	五
cinco	五個
anterior	先前
anterior	早先
cargo	充電
cargo	收費
cargo	電荷
batalla	戰
batalla	戰鬥
batalla	戰役
derecho	法律
derecho	右
imagen	圖片
imagen	影像
imagen	影象
puerto	港
puerto	埠
puerto	海港
puerto	港灣
puerto	港口
torneo	錦標賽
millones	百萬
fin	結束
fin	終結
fin	結尾
acuerdo	安排
acuerdo	協定
acuerdo	協議
lado	側
lado	一面
servicio	服務
político	政治家
político	政客
político	政治
películas	影片
películas	電影
ver	見
ver	檢視
ver	瀏覽
fuera	外面
fuera	室外
fuera	外
fuera	外部
fuera	出局
pesar	後悔
mediante	通過
mediante	透過
muchas	許多
hoy	今天
hoy	今日
alto	高
alto	高大
cuerpo	屍體
cuerpo	體
cuerpo	身體
sino	但
sino	但是
sino	不過
disco	相簿
disco	專輯
disco	碟片
disco	磁碟
disco	碟
finales	決賽
sociedad	社會
tema	主題
tema	題目
tema	專題
tema	話題
dirección	方向
dirección	管理
dirección	地址
dirección	住址
hombres	男人
hombres	男性
hombres	男子
última	上次
última	最後
última	最新
estadio	球場
estadio	競技場
estadio	舞台
estadio	運動場
estadio	體育館
miguel	麥可
ley	法律
oeste	西邊
oeste	西
oeste	西部
oeste	西方
mujeres	婦女
mujeres	女性
incluso	甚至
cambio	交換
cambio	交流
cambio	變更
cambio	改變
cambio	更改
cambio	變
cambio	兌換
cambio	交易所
jugador	賭鬼
jugador	玩家
jugador	球員
jugador	賭徒
instituto	研究所
público	觀眾
público	公眾
público	公開
miembro	會員
miembro	肢
miembro	成員
superior	更高
superior	較高
media	平均值
media	平均
parque	樸
parque	公園
llegó	抵達
llegó	到達
archivo	文件
archivo	檔案
archivo	歸檔
ahora	現在
parís	巴黎
cruz	反面
cruz	尾
cruz	背面
cruz	十字
cruz	十字架
cruz	交叉
cabo	角
cabo	下士
brasil	巴西
red	淨
red	網
red	電網
red	網路
aquí	這裡
canal	頻道
canal	通道
canal	海峽
movimiento	運動
movimiento	移動
movimiento	動
movimiento	動議
revista	期刊
revista	日誌
revista	日刊
revista	雜誌
revista	日記
éxito	成功
relación	戀愛
relación	感情
relación	關係
elecciones	選舉
plaza	平方
plaza	方塊
plaza	方形
plaza	正方形
plaza	廣場
grande	大型
grande	大
distribución	分布
distribución	分銷
distribución	分配
compañía	公司
islas	群島
islas	島嶼
alrededor	周圍
alrededor	圍繞著
alrededor	圍繞
primero	第一
primero	首先
territorio	領地
territorio	領土
hombre	男人
hombre	人
león	獅子
león	獅子座
león	獅
voz	語音
voz	聲音
voz	嗓子
década	十年
madre	母親
madre	母后
organización	組織
monte	山
aún	仍然
aún	然而
aún	依然
decir	說
goles	目標
sede	總部
importantes	重要
resultado	結果
resultado	成果
calle	街
calle	街道
calle	街頭
papel	論文
papel	紙張
papel	紙
medios	媒體
medios	媒介
francesa	法文
francesa	法語
empresa	業務
empresa	商業
empresa	公司
empresa	商務
empresa	企業
mapa	地圖
civil	平民
educación	教育
educación	學歷
término	學期
término	任期
término	術語
llamada	呼叫
llamada	打電話
llamada	致電
llamada	通話
llamada	電話
ciudades	城市
ciudades	城鎮
alta	高
igual	平等
igual	相同
londres	倫敦
tercera	第三
edificio	建築物
edificio	建築
edificio	大樓
fallecimiento	死亡
fallecimiento	死神
posible	可能
antiguo	舊的
antiguo	老
antiguo	古董
antiguo	舊
antiguo	老了
antiguo	古老
antiguo	古代
álbumes	專輯
álbumes	相簿
paso	通行證
paso	通過
paso	傳球
paso	台階
paso	步驟
paso	步
mujer	婦女
mujer	女子
mujer	女
mujer	妻子
mujer	女人
mujer	女性
fuerza	力量
fuerza	力氣
fuerza	武力
fuerza	實力
fuerza	體力
fuerza	強度
altura	身高
altura	高度
garcía	加西亞
servicios	服務
servicios	服務業
villa	村落
villa	鄉村
villa	村
villa	村子
villa	村莊
conocida	已知
campeón	冠軍
campeón	拳王
autor	作者
modo	模式
personajes	字元
personajes	角色
conjunto	設
conjunto	設定
conjunto	集
eso	那個
alemán	德文
alemán	德語
meses	月份
meses	月
único	獨特
único	獨一無二
parece	看起來
antigua	舊的
antigua	老
antigua	古董
antigua	舊
antigua	老了
antigua	古老
antigua	古代
especial	特價
especial	特別
interior	內
interior	內在
interior	內心
plata	銀
plata	白銀
plata	銀色
japón	日本
consejo	提示
consejo	建議
consejo	安理會
consejo	小費
menor	未成年
seis	六
seis	六個
libre	自由
libre	免費
llegar	抵達
llegar	到達
valle	谷
valle	山谷
valle	河谷
valle	谷地
personaje	字元
personaje	性格
personaje	人物
personaje	角色
personaje	品格
principalmente	大多
castillo	城堡
castillo	城
publicado	出版
publicado	發表
publicado	張貼
cantante	歌手
referencia	參考
referencia	基準
inglaterra	英格蘭
inglaterra	英國
resto	休息
común	共同
común	通用
común	常見
editorial	出版商
editorial	出版
editorial	出版社
editorial	發表
deporte	體育
deporte	運動
espacio	太空
espacio	間距
espacio	空間
espacio	間隔
asociación	協會
asociación	結社
hija	女兒
acción	動作
acción	行動
actores	演員
hermano	兄弟
hermano	哥哥
hermano	哥
hermano	弟弟
hermano	師兄
fundación	基金會
blanco	目標
blanco	白
blanco	白色
blanco	空白
profesional	專業
episodio	插曲
episodio	集
principios	原則
principios	原理
imperio	帝國
ganó	元
nunca	從不
nunca	從來沒有
nunca	從未
investigación	查詢
investigación	調查
investigación	研究
municipios	市鎮
municipios	市政府
problemas	麻煩
problemas	問題
problemas	煩惱
modelo	模範
modelo	模特兒
modelo	型號
modelo	模型
modelo	示範
favor	請
actividad	活動
actividad	動態
joven	年輕
formación	訓練
formación	形成
formación	編隊
formación	培訓
lugares	地方
lugares	地點
incluyendo	包括
planta	植物
planta	下限
planta	工廠
planta	廠
planta	地板
período	期間
montañas	山脈
montañas	山
montañas	山區
montañas	山地
ronda	圓
ronda	輪
clase	課堂
clase	類
clase	階級
clase	班級
clase	類別
especialmente	尤其是
especialmente	尤其
oficina	辦公
oficina	辦公室
oficina	辦事處
oficina	主席團
alcalde	鎮長
alcalde	市長
longitud	經度
longitud	長度
temas	題目
temas	專題
temas	主題
temas	議題
políticos	政治學
políticos	政客
políticos	政治家
políticos	政界人士
políticos	政治
deportivo	體育
deportivo	運動
arquitectura	架構
arquitectura	結構
arquitectura	建築
creación	建立
creación	創作
creación	創造
creación	創建
barrio	鄰里
libros	書
libros	圖書
libros	書籍
novela	小說
olímpicos	奧運
olímpicos	奧林匹克
jorge	喬治
razas	品種
razas	種族
razas	繁殖
academia	學院
jefe	老闆
jefe	科長
jefe	首席
jefe	老大
defensa	國防
defensa	辯護
defensa	防守
defensa	防衛
defensa	防禦
características	特點
características	地物
características	特性
características	特徵
características	特色
características	功能
honor	榮譽
honor	名譽
incluye	包括
amor	戀愛
amor	愛情
amor	愛
fuente	來源
fuente	源
fuente	噴泉
nuevos	新
nuevos	新的
martín	馬丁
situación	狀態
situación	情況
situación	狀況
situación	現況
ellas	她們
ellas	它們
ellas	他們
derechos	著作權
derechos	版權
derechos	權利
ministro	部長
ministro	大臣
interés	利息
interés	興趣
texto	文字
texto	案文
escritores	作者
escritores	作家
actriz	演員
actriz	女演員
actriz	女主角
capacidad	能力
capacidad	容量
artes	齒輪
artes	裝備
artes	藝術
cantidad	數額
cantidad	量
cantidad	款額
cantidad	數量
cantidad	金額
fuentes	來源
fuentes	噴泉
vista	檢視
vista	瀏覽
luz	燈光
luz	光明
luz	光
luz	輕
luz	光線
baja	低低
baja	低
paz	和平
paz	平安
tercer	第三
vuelta	返回
vuelta	回歸
noche	晚間
noche	晚上
noche	傍晚
noche	夜
noche	夜晚
muestra	樣本
muestra	樣品
muestra	取樣
muestra	顯示
muestra	抽樣
rusia	俄國
rusia	俄語
rusia	俄
rusia	俄文
rusia	俄羅斯
personal	人事
personal	人員
aeropuerto	機場
apoyo	支援
semana	週
semana	星期
semana	周
palacio	宮殿
palacio	宮廷
palacio	皇宮
palacio	宮
palacio	王宮
pacífico	太平洋
escritor	作者
escritor	編劇
escritor	作家
profesor	教師
profesor	老師
profesor	教授
comuna	公社
roma	羅馬
diseño	設計
casos	案例
negro	黑色
negro	黑
negro	黑人
camino	道路
camino	路
camino	路徑
camino	公路
ayuda	幫助
ayuda	幫忙
ayuda	援助
nombres	名稱
nombres	姓名
nombres	人名
causa	起因
causa	原因
horario	小時
horario	附表
ciencias	科學
últimos	上次
últimos	最後
últimos	最新
tamaño	尺寸
tamaño	體積
tamaño	大小
principio	原則
principio	原理
periodo	期間
nacimiento	出生
etapa	階段
etapa	舞台
actualidad	電流
actualidad	現任
actualidad	目前
pequeño	小
pequeño	小型
pequeño	微小
pequeño	小小
santo	聖
santo	聖人
santo	神聖
zonas	地區
única	獨特
única	獨一無二
ediciones	版本
dios	神
presente	現任
congreso	國會
guitarra	吉他
pablo	保羅
elementos	要件
elementos	元素
relaciones	戀愛
relaciones	感情
relaciones	關係
compuesto	大院
compuesto	化合物
compuesto	復合
compuesto	合成
horas	小時
partes	零件
partes	部件
lengua	語
lengua	語言
lengua	舌頭
lengua	舌
lengua	語文
diversos	雜項
militares	軍方
militares	軍事
torre	塔
torre	塔台
actividades	活動
nacionales	國民
nacionales	國家
cantón	縣
cantón	廣州
nuevas	新
nuevas	新的
sencillo	容易
sencillo	單
sencillo	輕鬆
sencillo	簡單
sencillo	單人
sencillo	單一
sencillo	單身
participación	參與
participación	參加
fuerte	堡壘
fuerte	強
fuerte	堡
fuerte	強烈
fuerte	要塞
fuerte	強大
fuerte	強壯
fuerte	堅強
italiano	義大利
italiano	義大利文
primeras	第一
primeras	首先
jugadores	玩家
jugadores	球員
jugadores	賭徒
administración	管理
empresas	企業
empresas	公司
mercado	市場
lucha	打架
lucha	摔跤
lucha	鬥爭
lucha	奮鬥
lucha	格鬥
lucha	摔角
lucha	掙扎
lucha	打
lucha	戰鬥
estructura	結構
ocupación	佔領
ocupación	佔用
ocupación	職業
nacido	出生
nacido	生於
nacido	誕生
nacido	天生
enrique	哈利
enrique	亨利
literatura	文獻
literatura	文學
católica	天主教
católica	天主教徒
armas	槍支
armas	武器
armas	兵器
armas	火器
armas	槍械
armas	軍火
energía	能量
energía	能源
idioma	語言
idioma	語文
idioma	語
cabeza	頭部
cabeza	頭
gobernador	省長
gobernador	總督
gobernador	州長
geográfica	地理
mes	個月
mes	月份
mes	月
situado	位於
diferencia	差異
diferencia	區別
diferencia	差別
diferencia	差額
objetivo	目標
ruta	路線
economía	經濟學
economía	經濟
flores	鮮花
flores	花卉
flores	花
flores	花朵
flores	花兒
visita	來訪
visita	造訪
visita	訪問
visita	參觀
visita	拜訪
conde	數數
conde	計數
conde	伯爵
conde	數
fase	階段
resultados	結果
resultados	成果
niños	兒童
niños	小孩
pequeña	小
pequeña	小型
campaña	競選
colegio	大學
colegio	學院
colegio	上學
colegio	書院
colegio	學校
occidental	西邊
occidental	西
occidental	西部
occidental	西方
aproximadamente	大致
aproximadamente	近似
tropas	部隊
presencia	存在
permite	許可證
sentido	感
ficha	標籤
siete	七七
siete	七
siete	七個
ets	性病
animales	寵物
animales	動物
esposa	妻子
ríos	河流
realizar	表演
medalla	勳章
medalla	獎章
medalla	獎牌
función	職能
función	功能
función	函數
usuarios	使用者
programas	程式
programas	方案
calidad	素質
calidad	質量
calidad	品質
calidad	優質
artistas	藝術家
artistas	藝人
independencia	獨立
sistemas	系統
virgen	處女
virgen	聖母
transporte	交通
transporte	運輸
pueblos	鄉村
pueblos	城鎮
pueblos	村莊
coordenadas	坐標
coordenadas	協調
coordenadas	座標
valor	勇氣
valor	價值
valor	值
valor	數值
internacionales	國際
unidad	股
unidad	統一
unidad	單元
unidad	團結
unidad	單位
crear	創建
imágenes	圖畫
imágenes	像片
imágenes	圖片
imágenes	影像
imágenes	照片
inicio	住家
inicio	首頁
inicio	家
salud	歡呼聲
salud	健康
contiene	包含
contiene	含有
minutos	閔
minutos	分鐘
minutos	敏
verano	夏日
verano	夏天
verano	暑假
verano	夏季
sol	孫
sol	珊
sol	太陽
sol	陽光
teoría	論
teoría	理論
revolución	革命
entrada	入場
entrada	入口
entrada	輸入
entrada	投入
entrada	入境
mejores	更好
mejores	最好
mando	指揮
mando	命令
ciencia	科學
aire	空氣
aire	空中
aire	航空
importancia	重要
importancia	重要性
ataque	襲擊
ataque	進攻
ataque	攻擊
comunicación	通訊
comunicación	溝通
puente	橋梁
puente	艦橋
puente	橋
puente	大橋
puente	橋牌
matrimonio	婚姻
matrimonio	結婚
material	物料
material	材料
humanos	人類
mitad	一半
mitad	半
mitad	半數
realidad	現實
gente	人民
gente	人
gente	人們
cámara	攝影機
cámara	相機
cámara	照相機
cámara	鏡頭
escudo	盾牌
aguas	水域
acceso	存取
clasificación	分類
clasificación	評比
clasificación	排行
clasificación	名次
clasificación	排序
clasificación	排名
clasificación	評分
mano	手
sigue	跟著
sigue	跟隨
sociales	社會
sociales	社交
problema	問題
trabajos	工程
trabajos	工作
trabajos	作品
elegido	當選
independiente	獨立
comercial	商業
comercial	商用
comercial	商事
diario	每日
diario	期刊
diario	日誌
diario	日刊
diario	日記
palabra	詞
palabra	字
palabra	單詞
palabra	單字
carácter	字元
carácter	性格
carácter	人物
carácter	角色
carácter	品格
falta	遺失
falta	缺少
falta	失蹤
reina	王后
reina	女王
reina	皇后
corte	削減
corte	法院
corte	切割
corte	剪
corte	法庭
corte	切
corte	割
domingo	星期天
domingo	星期日
domingo	周日
domingo	週日
libertad	自由
vía	曲目
vía	追蹤
vía	通過
vía	經由
vía	軌跡
vía	軌道
unidades	單元
unidades	各單位
unidades	單位
capitán	隊長
capitán	機長
políticas	政策
políticas	政治學
políticas	政治
comisión	委員會
lima	石灰
velocidad	速度
velocidad	速
objetos	天體
objetos	物體
objetos	物件
oriental	東方
oriental	東部
hermanos	兄妹
edificios	建築物
edificios	建築
tierras	陸地
tierras	土地
cosas	事情
áfrica	非洲
izquierda	左
izquierda	左翼
izquierda	左邊
izquierda	左側
cambios	變化
cambios	變動
cambios	變更
cambios	改變
cambios	更改
cambios	變
canadá	加拿大
lanzado	獲釋
bandera	旗幟
bandera	橫幅
bandera	旗子
bandera	國旗
bandera	旗
rica	豐富
rica	富有
rica	富
rica	富人
verde	格林
verde	綠地
verde	綠色
verde	綠
templo	寺
templo	寺廟
templo	神廟
templo	廟
templo	聖殿
raza	競賽
raza	繁殖
raza	賽跑
raza	種族
raza	品種
raza	比賽
avenida	大道
avenida	大街
biblioteca	圖書館
publicó	張貼
rojo	紅
rojo	紅色
títulos	職銜
títulos	度
títulos	學位
títulos	有價證券
títulos	標題
títulos	證券
títulos	頭銜
reporte	報告
reporte	檢舉
blancos	目標
blancos	白
blancos	白色
diez	十個
diez	十
ángel	天使
ecuador	赤道
señor	先生
señor	主
productos	產品
productos	商品
salvador	救世主
salvador	救星
manos	手
manos	雙手
carretera	道路
carretera	路
carretera	高速公路
carretera	公路
escrito	撰寫
escrito	書寫
industria	工業
industria	行業
industria	業界
industria	產業
entrenador	教練
palabras	詞語
palabras	字
palabras	詞
palabras	言語
padres	父母親
padres	家長
padres	父母
policía	警察
policía	警方
policía	警務
líder	領導人
líder	領導者
líder	領袖
fondo	基金
productor	製片
productor	製片人
gira	導覽
gira	旅遊
gira	遊覽
gira	游
técnica	技工
técnica	技巧
técnica	技術
técnica	技師
ninguna	無
príncipe	太子
príncipe	王子
príncipe	親王
áreas	地區
encontrar	尋找
encontrar	找到
artista	藝術家
artista	藝人
formas	表格
formas	形狀
catedral	大教堂
generalmente	通常
generalmente	一般
cuarto	房
cuarto	房間
cuarto	第四
saludos	問候
temporadas	季節
temporadas	四季
temporadas	季
colección	收集
colección	收藏
cadena	鏈條
cadena	弦
cadena	連鎖
cadena	鏈
cadena	字串
cadena	弦樂
combate	作戰
combate	戰
combate	戰鬥
combate	戰役
mayores	年長
mayores	老年
mayores	老年人
azul	藍色
azul	藍
motivo	原因
motivo	抗辯
motivo	理由
motivo	理性
motivo	答辯
motivo	動機
líneas	線
líneas	線條
pasado	過去
pasado	過往
páginas	頁
medida	衡量
medida	測量
medida	量度
medida	計量
medida	度量
influencia	影響
influencia	影響力
influencia	搖擺
lago	湖
lago	湖泊
condiciones	用語
condiciones	條件
condiciones	術語
condiciones	條款
oficiales	官員
ocho	八
ocho	八個
fuego	火災
fuego	消防
fuego	火焰
fuego	火
piedra	搖滾
piedra	石
piedra	斯通
piedra	岩
piedra	石頭
piedra	岩石
federación	聯邦
constitución	憲法
tratado	條約
razón	理性
razón	原因
razón	理由
mil	千
comercio	商業
comercio	交易
comercio	商務
comercio	貿易
comercio	買賣
distancia	距離
estudiantes	學生
propiedad	擁有權
propiedad	所有權
propiedad	財產
propiedad	屬性
propiedad	物業
propiedad	地產
económica	經濟
marca	馬克
marca	標記
marca	品牌
marca	商標
marca	標示
tipos	類型
baloncesto	籃球
ene	揚
ene	楊
contenido	內容
todavía	仍然
todavía	依然
anteriores	先前
anteriores	早先
sala	房
sala	房間
estrella	星
estrella	明星
estrella	星星
estrella	恆星
viaje	旅行
viaje	行程
viaje	旅途
viaje	航程
viaje	旅費
viaje	旅遊
viaje	旅程
rosa	玫瑰
rosa	粉紅
rosa	粉色
rosa	粉
rosa	粉紅色
jóvenes	青少年
jóvenes	青春
jóvenes	年輕
jóvenes	青年
formato	格式
formato	形式
formato	格式化
prueba	測驗
prueba	測試
prueba	嘗試
prueba	證明
prueba	試驗
prueba	證據
prueba	試試
peso	重量
peso	體重
peso	份量
cómo	如何
mal	錯
mal	錯誤
mal	惡
mal	壞
mal	邪惡
jersey	毛衣
locales	本地
locales	局部
locales	當地
locales	房地
locales	房舍
marco	框架
marco	框框
marco	幀
marco	框
musicales	音樂劇
musicales	音樂
acerca	關於
duque	公爵
amigo	朋友
amigo	好友
evitar	避免
evitar	撤銷
emperador	天皇
emperador	皇帝
ingresos	稅收
ingresos	收入
ingresos	收益
ingresos	收款
ingresos	收據
santos	聖人
santos	聖徒
obispo	主教
menudo	時常
menudo	常常
menudo	經常
campos	欄位
campos	田間
campos	田野
campos	田地
campos	營地
europea	歐洲
kilómetros	公里
kilómetros	英里
kilómetros	萬里
justicia	公平
justicia	正義感
justicia	司法
justicia	正義
justicia	公平性
justicia	公正性
justicia	公正
justicia	義
ago	八月
