மற்றும்	en
குறிப்பிட்ட	opgegeven
குறிப்பிட்ட	specifiek
குறிப்பிட்ட	gespecificeerd
செய்ய	maak
செய்ய	maken
சிறிய	klein
சிறிய	kleine
சிறிய	weinig
சிறிய	smal
வந்த	kwam
வந்த	kwamen
வேறு	overig
வேறு	ander
வேறு	overige
வேறு	andere
மார்ச்	marcheren
மார்ச்	maart
நிலையில்	podium
நிலையில்	conditie
நிலையில்	fase
நிலையில்	stadium
நிலையில்	voorwaarde
நிலையில்	toneel
நிலையில்	toestand
நிலையில்	aandoening
பெண்	meis
பெண்	vrouwelijke
பெண்	vrouwelijk
பெண்	vrouw
பெண்	vrouwtje
பெண்	meisje
பெண்	meid
வெற்றி	zege
வெற்றி	victorie
வெற்றி	overwinning
வெற்றி	succes
வெற்றி	winnen
வெற்றி	winnend
வெற்றி	gewonnen
வெற்றி	wint
வெற்றி	winnende
இணைப்பு	aansluiting
இணைப்பு	bijlage
இணைப்பு	gehechtheid
இணைப்பு	verbinding
இணைப்பு	koppeling
இணைப்பு	connectie
திரைப்படம்	filmpje
திரைப்படம்	film
வகை	typ
வகை	modus
வகை	categorie
வகை	soort
ஐந்து	vijf
அதே	zelfde
அதே	hetzelfde
சிறப்பு	aanbevolen
சிறப்பு	uitgelicht
சிறப்பு	uitgelichte
சிறப்பு	speciaal
சிறப்பு	bijzonder
சிறப்பு	speciale
சுமார்	ongeveer
சுமார்	over
கட்டுரைகள்	artikels
கட்டுரைகள்	artikelen
படி	stap
படி	gelezen
படி	lezen
படி	lees
படி	stapje
மனித	menselijke
மனித	mens
மனித	menselijk
பெரும்பாலும்	meestal
பெரும்பாலும்	vaak
பெரும்பாலும்	bijna
பெரும்பாலும்	hoofdzakelijk
பெரும்பாலும்	voornamelijk
பெரும்பாலும்	vooral
பெரும்பாலும்	dikwijls
கட்சி	partij
கட்சி	feest
கட்சி	feestje
பொது	publiek
பொது	algemeen
பொது	openbaar
பொது	gemeenschappelijk
பொது	algemene
பொது	vaak
பொது	generaal
கல்லூரி	hogeschool
கல்லூரி	universiteit
இசை	muziek
முறையில்	modus
நாட்டின்	land
மில்லியன்	miljoen
மில்லியன்	miljoenen
நகரம்	stad
எந்த	welke
எந்த	elke
எனப்படும்	gebeld
எனப்படும்	genoemd
எனப்படும்	belde
இணைந்து	meedoen
பார்க்க	zien
பார்க்க	zie
எழுதிய	schreef
எழுதிய	schreven
எழுதிய	geschreven
எழுதிய	schriftelijke
தொடர்பான	gerelateerd
தொடர்பான	verwante
தொடர்பான	verwant
தொடர்பான	gerelateerde
மீட்டர்	meter
இடத்தில்	plaats
கோவில்	tempel
மாதம்	maandje
மாதம்	maand
ஆய்வு	bestuderen
ஆய்வு	studeren
ஆய்வு	studeer
ஆய்வு	onderzoek
ஆய்வு	studie
வட	noord
வட	noorden
குறைந்த	minder
குறைந்த	laagst
குறைந்த	lage
குறைந்த	laagste
குறைந்த	mindere
குறைந்த	laag
முன்	voorzijde
முன்	voordat
முன்	voorkant
முன்	vóór
வாழ்க்கை	leven
சனவரி	januari
புனித	heilig
புனித	heilige
இரண்டாவது	secundaire
இரண்டாவது	tweede
இரண்டாவது	secundair
ஆங்கிலம்	engels
ஆங்கிலம்	engelsen
அங்கு	er
அங்கு	daar
தொழில்	beroep
தொழில்	zakelijk
தொழில்	bedrijfstak
தொழில்	bedrijf
தொழில்	beroepsgroep
தொழில்	industrie
பழைய	oude
பழைய	oudere
பழைய	oud
பழைய	ouder
பழைய	ouwe
ஆண்டுகள்	jaar
ஆண்டுகள்	jaren
குறிப்பாக	specifiek
குறிப்பாக	speciaal
குறிப்பாக	vooral
பார்க்கவும்	kijken
பார்க்கவும்	bezoeken
பார்க்கவும்	bezoek
பார்க்கவும்	kijk
துறை	afdeling
துறை	haven
துறை	poort
துறை	departement
துறை	bakboord
குறிக்கும்	wijzend
கடல்	oceaan
கடல்	zee
கடல்	marinier
போல	zoals
இதற்கு	voor
சிறு	klein
சிறு	mineur
சிறு	kleine
சிறு	minderjarige
சிறு	smal
தென்	zuid
தென்	zuiden
உயர்	hoog
உயர்	hoge
வடக்கு	noord
வடக்கு	noorden
ஆட்சி	heerschappij
ஆட்சி	regel
ஆட்சி	regeerperiode
ஆட்சி	bestuur
ஆட்சி	regeren
ஆட்சி	koninkrijk
மக்களின்	mensen
மக்களின்	personen
நோய்	ziekte
தேர்தல்	verkiezingen
தேர்தல்	verkiezing
உற்பத்தி	productie
உற்பத்தி	fabricage
உற்பத்தி	produktie
வந்தது	kwam
வந்தது	gearriveerd
வந்தது	aangekomen
வந்தது	kwamen
கலை	kunsten
கலை	kunst
தங்கள்	hun
சமூக	sociale
சமூக	sociaal
போல்	zoals
தர	kwaliteit
நூற்றாண்டு	eeuw
அவருடைய	zijn
உலகின்	werelden
அமெரிக்கா	amerika
பகுதிகளில்	oppervlakten
பகுதிகளில்	gebieden
வந்து	kom
பரிசு	geschenk
பரிசு	cadeautje
பரிசு	kado
பரிசு	cadeau
பிரிவு	afdeling
பிரிவு	deling
பிரிவு	sectie
பிரிவு	divisie
பிரிவு	categorie
உடல்	lichaam
இவர்கள்	deze
கூட	ook
கூட	zelfs
எழுத்தாளர்	schrijfster
எழுத்தாளர்	schrijver
குழு	groep
குழு	fractie
இலக்கிய	literair
இலக்கிய	literatuur
இலக்கிய	literaire
விளையாட்டு	spelletje
விளையாட்டு	sporten
விளையாட்டு	wedstrijd
விளையாட்டு	gamen
விளையாட்டு	spel
உறுப்பினர்கள்	leden
இறப்பு	sterfte
இறப்பு	overlijden
இறப்பு	doods
இறப்பு	sterftecijfer
இறப்பு	mortaliteit
இறப்பு	dood
இறப்பு	sterfelijkheid
அடி	geraakt
அடி	treffer
அடி	voetjes
அடி	voeten
துணை	plaatsvervanger
துணை	hulpsheriff
துணை	steun
துணை	ondersteuning
துணை	zeden
துணை	plaatsvervangend
துணை	ondersteunen
துணை	ondeugd
பதிப்பு	versie
பதிப்பு	editie
பதிப்பு	uitgave
சொல்	vertel
சொல்	woord
சொல்	zeg
சொல்	zeggen
தெற்கு	zuid
தெற்கு	zuiden
கட்டுரை	compositie
கட்டுரை	artikels
கட்டுரை	samenstelling
கட்டுரை	artikel
கட்டுரை	artikelen
கட்டுரை	opstel
வட்டம்	kring
வட்டம்	cirkel
சராசரி	gemeen
சராசரி	gemiddelde
சராசரி	gemiddeld
தொலைக்காட்சி	televisie
முன்னாள்	voormalige
முன்னாள்	voormalig
எண்ணிக்கை	tellen
எண்ணிக்கை	telling
எண்ணிக்கை	frequentie
எண்ணிக்கை	tel
எண்ணிக்கை	graaf
தவிர	uitsluiten
தவிர	behalve
நடிகர்	acteur
பாடல்கள்	liederen
பாடல்கள்	liedjes
பாடல்கள்	nummers
இன்று	vandaag
சட்டம்	juridische
சட்டம்	handelen
சட்டம்	wettelijk
சட்டம்	legaal
சட்டம்	wettig
சட்டம்	kader
சட்டம்	juridisch
சட்டம்	wet
அருகில்	dichtbij
அருகில்	nabijgelegen
நேரம்	tijd
முதலாவது	eerst
முதலாவது	eerste
நாம்	laten
நாம்	laat
உணவு	eten
உணவு	levensmiddelen
உணவு	voedsel
குறித்து	ongeveer
குறித்து	over
பெப்ரவரி	februari
பகுதிகள்	delen
பகுதிகள்	onderdelen
பகுதிகள்	streken
பகுதிகள்	onderdeel
பகுதிகள்	gebieden
பகுதிகள்	oppervlakten
பகுதிகள்	bestanddeel
பகுதிகள்	segmenten
நிறுவனங்கள்	organisaties
நிறுவனங்கள்	bedrijven
ஜனவரி	januari
எழுத்தாளர்கள்	schrijvers
நல்ல	lekker
நல்ல	goed
அடுத்த	volgend
அடுத்த	volgende
படம்	foto
படம்	afbeelding
படம்	imago
படம்	beeld
பாதுகாப்பு	beveiliging
பாதுகாப்பு	verdediging
பாதுகாப்பு	kluis
பாதுகாப்பு	defensie
பாதுகாப்பு	veiligheid
பாதுகாப்பு	veilig
பாதுகாப்பு	verdedigen
பாதுகாப்பு	bescherming
பாதுகாப்பு	veilige
தந்தை	vader
பங்கு	rol
பார்க்கப்பட்ட	bekeken
பயன்படுத்தி	gebruiken
அவர்களின்	hun
செய்த	gemaakt
பதிவு	bericht
பதிவு	impressie
பதிவு	registreren
பதிவு	indruk
பதிவு	registratie
பதிவு	inschrijving
பதிவு	inschrijven
ஐரோப்பிய	europese
ஐரோப்பிய	europees
முழுவதும்	volle
முழுவதும்	volledige
முழுவதும்	voltooid
முழுவதும்	vol
முழுவதும்	invullen
முழுவதும்	compleet
முழுவதும்	volledig
பயனர்	gebruiker
தொடர்	seriële
தொடர்	serienummer
தொடர்	voortzetten
தொடர்	doorgaan
போன்றவை	enz
ஜூன்	juni
உறுப்பினர்	opdrachtgever
உறுப்பினர்	klant
உறுப்பினர்	lid
உறுப்பினர்	cliënt
உறுப்பினர்	lidmaatschap
ஆசிரியர்	hoofdredacteur
ஆசிரியர்	auteur
ஆசிரியர்	bewerker
ஆசிரியர்	leraar
ஆசிரியர்	onderwijzer
ஆசிரியர்	lerares
ஆசிரியர்	leerkracht
ஆசிரியர்	redacteur
ஆசிரியர்	schrijver
ஆசிரியர்	docent
ஆசிரியர்	uitgever
ஆஃப்	af
முக்கியமான	kritische
முக்கியமான	belangrijke
முக்கியமான	kritiek
முக்கியமான	belangrijk
முக்கியமான	kritisch
தொடர்பு	contactpersoon
செய்தார்	deed
ஜூலை	juli
ஆற்றல்	energie
வேலை	arbeid
வேலை	werk
வேலை	baan
வேலை	werken
இருக்கலாம்	misschien
சமய	religieus
சமய	religieuze
பணி	werken
பணி	arbeid
பணி	werk
பணி	baan
பணி	taak
கதை	verhaal
அதிகமாக	amper
அதிகமாக	nauwelijks
இடையே	tussen
பட்டம்	graad
பட்டம்	vlieger
பட்டம்	afstuderen
வழி	spoor
வழி	manier
அப்போது	daarna
அப்போது	dan
விடுதலை	bevrijding
விடுதலை	vrijheid
ஆகஸ்ட்	augustus
தேதி	datum
பிறந்த	geboorte
இன்னும்	en
இன்னும்	nog
ஜான்	johannes
அடுத்து	volgend
அடுத்து	volgende
சேவை	dienst
கருத்து	reactie
கருத்து	thema
கருத்து	opmerking
கருத்து	commentaar
கருத்து	terugkoppeling
காரணம்	reden
காரணம்	oorzaak
காரணம்	rede
காரணம்	veroorzaken
தனி	particulier
தனி	aparte
தனி	privé
தனி	prive
தனி	gescheiden
தனி	apart
அவருக்கு	hem
நீண்ட	lange
நீண்ட	lang
மகன்	zoon
சர்வதேச	internationaal
எல்லா	allen
எல்லா	alles
எல்லா	alle
எல்லா	allemaal
பொருட்கள்	leveringen
பொருட்கள்	voorwerpen
பொருட்கள்	voorraad
பொருட்கள்	objecten
பொருட்கள்	benodigdheden
பொருட்கள்	voorraden
பொருட்கள்	bevoorrading
பொருட்கள்	produkten
பொருட்கள்	producten
மின்	elektrisch
மின்	elektrische
மின்	electrische
என்றால்	betekend
என்றால்	betekent
ஏழு	zeven
நடைபெற்ற	vastgehouden
நடைபெற்ற	gehouden
முன்னர்	vroeger
முன்னர்	voorheen
முன்னர்	voordat
முன்னர்	vóór
முன்னர்	eerder
முன்னர்	voordien
பொறியியல்	machinebouw
பொறியியல்	techniek
அமைப்புகள்	instellingen
அமைப்புகள்	organisaties
மொழிகள்	talen
அத்துடன்	ook
முழு	volle
முழு	volledig
முழு	volledige
முழு	vol
முதன்மை	belangrijkste
முதன்மை	bovenkant
முதன்மை	primaire
முதன்மை	primair
முதன்மை	voornaamste
முதன்மை	bovenste
மணி	uur
மணி	uurtje
தொகுப்பு	pakketje
தொகுப்பு	pakje
தொகுப்பு	arrangement
தொகுப்பு	compositie
தொகுப்பு	collectie
தொகுப்பு	inzameling
தொகுப்பு	samenstelling
தொகுப்பு	verzamelen
தொகுப்பு	verzameling
தொகுப்பு	pakket
தொலைவில்	weg
தொலைவில்	ver
மருத்துவ	medische
மருத்துவ	medisch
வணிக	commercieel
வணிக	commerciële
திருமணம்	huwelijk
திருமணம்	gehuwd
திருமணம்	trouwen
திருமணம்	trouw
திருமணம்	trouwfeest
திருமணம்	bruiloft
திருமணம்	getrouwd
நீங்கள்	jou
நீங்கள்	jij
இயேசு	jezus
கருதப்படுகிறது	beschouwd
கருதப்படுகிறது	overwogen
பொதுவான	publiek
பொதுவான	algemeen
பொதுவான	openbaar
பொதுவான	gemeenschappelijk
பொதுவான	algemene
பொதுவான	vaak
பொதுவான	generaal
சமயம்	gemeenschap
சமயம்	godsdienst
சமயம்	religie
எதிராக	tegen
விட்டு	verlaat
விட்டு	verlaten
விட்டு	vertrek
விட்டு	verlof
பக்கம்	bladzijde
பக்கம்	pagina
உள்ளிட்ட	binnengekomen
உள்ளிட்ட	binnengegaan
அதிகம்	hoog
அதிகம்	meer
அதிகம்	hoge
நாட்கள்	dagen
திருத்தந்தை	paus
மாற்றம்	verandering
மாற்றம்	bekering
மாற்றம்	conversie
மாற்றம்	omschakeling
மாற்றம்	veranderingen
மாற்றம்	veranderen
மாற்றம்	wijzigen
மாற்றம்	wijziging
கழகம்	associatie
கழகம்	vereniging
இறுதி	einde
இறுதி	finale
இறுதி	beëindigen
இறுதி	definitief
இறுதி	eind
வகைகள்	modi
வகைகள்	soorten
வகைகள்	typen
வகைகள்	categorieën
சீன	chinees
சீன	chinezen
பொருளாதார	economische
பொருளாதார	zuinig
பொருளாதார	economisch
பொருளாதார	economie
இயற்கை	natuurlijk
இயற்கை	natuurlijke
இயற்கை	natuur
தலைமை	chef
தலைமை	leiderschap
தலைமை	opperhoofd
வேதியியல்	chemie
வேதியியல்	scheikunde
நிதி	financieren
நிதி	financien
நிதி	financiën
போக்குவரத்து	transport
போக்குவரத்து	vervoer
இருந்தன	waren
புகழ்	loof
புகழ்	lof
புகழ்	smoesjes
புகழ்	bekendheid
புகழ்	faam
புகழ்	beroemdheid
புகழ்	uitvluchten
புகழ்	roem
முன்பு	voordat
முன்பு	geleden
முன்பு	vóór
அதிகமான	groter
அதிகமான	hoog
அதிகமான	hoge
கீழே	onder
கீழே	hieronder
கீழே	bodem
கீழே	omlaag
கீழே	onderkant
பிப்ரவரி	februari
செய்தி	bericht
செய்தி	boodschap
செய்தி	berichtje
செய்தி	nieuwsberichten
செய்தி	verhaal
செய்தி	nieuws
அமெரிக்காவின்	amerika
உதவி	hulp
உதவி	helpen
பிரெஞ்சு	fransen
பிரெஞ்சு	franse
பிரெஞ்சு	frans
மலை	berg
உடன்	met
செயலாளர்	secretaresse
செயலாளர்	secretaris
வெவ்வேறு	anders
வெவ்வேறு	verschillend
வெவ்வேறு	verschillende
படைகள்	forceren
படைகள்	kracht
படைகள்	troepen
தேர்தலில்	verkiezingen
தேர்தலில்	verkiezing
என்ன	wat
பால்	melk
பால்	paulus
வீரர்கள்	soldaten
வீரர்கள்	spelers
அழைக்கப்படும்	gebeld
அழைக்கப்படும்	genoemd
அழைக்கப்படும்	belde
தன்மை	gedrag
தன்மை	gedragingen
மிகப்பெரிய	enorme
மிகப்பெரிய	groot
மிகப்பெரிய	gigantisch
மிகப்பெரிய	grote
மிகப்பெரிய	reusachtig
மிகப்பெரிய	grootste
மிகப்பெரிய	enorm
விடுதலைப்	bevrijding
கணினி	systeem
கணினி	stelsel
வரலாற்று	historisch
வரலாற்று	historische
இத்தகைய	gewend
இத்தகைய	dergelijke
தேவையான	vereist
தேவையான	vereiste
நவீன	moderne
நவீன	gaaf
நவீன	tof
சிகிச்சை	therapie
சிகிச்சை	behandeling
தொகுதிகள்	blokken
ஒன்றாக	samen
மாநிலம்	staat
தற்போதைய	presenteren
தற்போதைய	huidige
தற்போதைய	heden
தற்போதைய	actueel
தற்போதைய	aanwezig
தற்போதைய	presenteer
தற்போதைய	huidig
வருகின்றன	komen
தேர்வு	kies
தேர்வு	keus
தேர்வு	keuze
தேர்வு	selecteer
தேர்வு	selecteren
தேர்வு	selectie
பலர்	veel
பலர்	velen
பலர்	vele
ஊர்	stad
அல்ல	niet
தூதரகம்	ambassade
நோபல்	nobel
நோபல்	edele
நோபல்	edel
நோபல்	nobele
முடிவு	resultaat
முடிவு	einde
முடிவு	beëindigen
முடிவு	conclusie
முடிவு	eind
பத்து	tien
கிடைக்கும்	beschikbaar
கிடைக்கும்	verkrijgbaar
கிடைக்கும்	beschikbare
வானூர்தி	luchtvaartuig
வானூர்தி	vliegtuig
வானூர்தி	luchtvaart
வானூர்தி	luchtvaartuigen
வானூர்தி	vliegtuigen
தோற்றம்	kijken
தோற்றம்	stijl
தோற்றம்	kijk
தோற்றம்	verschijning
தோற்றம்	uiterlijk
நன்றி	thnx
நன்றி	bedankt
வயது	leeftijd
வயது	ouderdom
அவரை	hem
இதழ்கள்	tijdschriften
இதழ்கள்	blaadjes
தனிப்பட்ட	particulier
தனிப்பட்ட	privé
தனிப்பட்ட	persoonlijk
தனிப்பட்ட	uniek
தனிப்பட்ட	prive
தனிப்பட்ட	unieke
தனிப்பட்ட	persoonlijke
என்பதால்	sedert
என்பதால்	sinds
கோயில்கள்	tempels
மென்பொருள்	programmatuur
பொழுது	wanneer
சோவியத்	sovjet
தேவை	noodzaak
தேவை	nood
தேவை	vereiste
தேவை	benodigd
தேவை	behoefte
தேவை	nodig
தேவை	gezocht
தேவை	vereist
சக்தி	vermogen
சக்தி	kracht
சக்தி	energie
சக்தி	macht
அவர்களது	hun
இல்லாமல்	zonder
நிகழ்வுகள்	gebeurtenissen
நிகழ்வுகள்	evenementen
போரில்	veldslag
போரில்	slag
போரில்	strijd
போரில்	gevecht
போட்டி	wedstrijdje
போட்டி	prijsvraag
போட்டி	concurrentie
போட்டி	toernooi
போட்டி	competitie
போட்டி	wedstrijd
போட்டி	tornooi
போட்டி	mededinging
உட்பட	inclusief
ஏறத்தாழ	bijna
மாகாணம்	provincie
கொல்லப்பட்டனர்	vermoord
கொல்லப்பட்டனர்	gedood
க்கு	voor
கத்தோலிக்க	katholiek
கத்தோலிக்க	katholieke
மூன்றாவது	derde
முந்தைய	vorige
முந்தைய	eerdere
முந்தைய	eerder
முந்தைய	vorig
முந்தைய	voorgaande
இருந்தாலும்	hoewel
இயக்கம்	exploitatie
இயக்கம்	bewerking
இயக்கம்	bewegingen
இயக்கம்	beweging
இயக்கம்	verplaatsing
இயக்கம்	operatie
இயக்கம்	motie
முனைவர்	doctoraat
நடிகர்கள்	actoren
நடிகர்கள்	acteurs
உரை	tekst
குறிப்பு	notitie
குறிப்பு	noot
குறிப்பு	verwijzing
குறிப்பு	opmerking
குறிப்பு	referentie
குறிப்பு	briefje
விருதுகள்	onderscheidingen
விருதுகள்	prijsuitreiking
குறைவான	minder
குறைவான	lage
குறைவான	laag
கடந்த	laatste
கடந்த	verleden
கடந்த	voorbij
ஆண்	mannetje
ஆண்	mannelijk
ஆண்	mannen
ஆண்	mannelijke
திறன்	vaardigheden
திறன்	vermogen
திறன்	kunde
திறன்	vaardigheid
திறன்	capaciteit
கொள்கை	beleid
உங்கள்	je
உங்கள்	uw
உங்கள்	jouw
உரிமை	eigendom
உரிமை	rechten
இல்லாத	zonder
இல்லாத	vrij
இல்லாத	gratis
