что	อะไร
начиная	เริ่ม
международный	นานาชาติ
международный	สากล
происхождения	ที่มา
происхождения	ต้นทาง
происхождения	กำเนิด
минимальная	น้อย
взгляд	จ้อง
куда	ที่ไหน
сделал	ทำให้
сделал	ทำ
профиль	โปรไฟล์
пример	ตัวอย่าง
средний	กลาง
средний	เฉลี่ย
мастер	อาจารย์
промышленности	อุตสาหกรรม
уровень	เลเวล
уровень	ระดับ
русская	รัสเซีย
бассейн	สระ
бассейн	พูล
оба	ทั้ง
средства	กองทุน
украина	ยูเครน
материалы	วัตถุดิบ
материалы	เนื้อหา
материалы	วัสดุ
контракт	สัญญา
объектов	วัตถุ
солдат	ทหาร
линия	บรรทัด
линия	เส้น
программа	โปรแกรม
научная	วิทยาศาสตร์
советская	โซเวียต
территория	อาณาเขต
власть	อำนาจ
власть	พลัง
власть	พลังงาน
славы	เกียรติยศ
разные	ต่าง
месяцев	เดือน
растений	โรงงาน
растений	ต้นไม้
растений	พืช
слева	ซ้าย
слева	เหลือ
языки	ภาษา
содержит	บรรจุ
озеро	ทะเลสาบ
дорога	ถนน
монастырь	วัด
монастырь	อาราม
принято	ถ่าย
газеты	หนังสือพิมพ์
переулок	ซอย
переулок	ตรอก
переулок	เลน
написано	เขียน
начали	เริ่ม
форме	ฟอร์ม
точно	เป๊ะ
чемпионы	แชมเปี้ยน
итоги	ผลลัพธ์
карьеры	อาชีพ
суд	สำนัก
суд	ศาล
основных	เมเจอร์
основных	หลัก
морской	นาวิก
германия	เยอรมนี
помощь	ช่วย
постоянно	คงที่
постоянно	ถาวร
позиция	ทัศนคติ
позиция	ท่าที
позиция	จุดยืน
позиция	ตำแหน่ง
стороне	ข้าง
стороне	ไซด์
стороне	ด้าน
закон	กฎหมาย
закон	กฎ
сми	สื่อ
радио	วิทยุ
иностранных	ต่างด้าว
ответ	ตอบ
цвет	สีสัน
цвет	สี
списки	รายการ
систем	ระบบ
комплекс	ปม
функции	คุณสมบัติ
функции	ฟังก์ชัน
состояние	สถานภาพ
состояние	สถานะ
состояние	รัฐ
состояние	สภาพ
состояние	เงื่อนไข
общая	ทั่วไป
общая	สามัญ
муниципалитет	เทศบาล
модели	รุ่น
модели	โมเดล
меньше	น้อย
минут	นาที
животных	สัตว์
сен	เซน
сен	เซ็น
сен	นักบุญ
сен	แซน
сен	เซนต์
сен	เสน
создать	สร้าง
красный	เรด
красный	แดง
конец	จบ
конец	ยุติ
проблема	ปัญหา
мужчины	ผู้ชาย
мужчины	บุรุษ
мужчины	ชาย
матери	มารดา
слов	คำ
слов	ลมปาก
бой	สู้
бой	รบ
бой	ศึก
бой	ต่อสู้
бой	สงคราม
написать	เขียน
внутри	ภายใน
победу	ชัยชนะ
департамент	กรม
департамент	แผนก
отсутствие	ขาด
австралии	ออสเตรเลีย
император	จักรพรรดิ
статистика	สถิติ
предложение	เสนอ
предложение	ประโยค
дела	กรณี
равно	เท่ากับ
модель	รุ่น
модель	โมเดล
мэр	เทศมนตรี
получить	รับ
второе	วินาที
предлагаю	เสนอ
книгу	สมุด
книгу	หนังสือ
культура	วัฒนธรรม
фото	รูปภาพ
фото	รูป
фото	ภาพถ่าย
округе	มณฑล
округе	เปรม
индии	อินเดีย
золотая	ทองคำ
золотая	ทอง
золотая	โกลด์
золотая	โกลเด้น
точка	ประเด็น
точка	จุด
точка	ชี้
точка	ดอท
районы	เขต
районы	พื้นที่
районы	บริเวณ
йорк	ยอร์ก
йорк	ยอร์ค
иметь	มี
газета	หนังสือพิมพ์
силу	แรง
силу	บังคับ
артист	จิตรกร
артист	ศิลปิน
семья	ครอบครัว
семья	ตระกูล
озера	ทะเลสาบ
северная	เหนือ
северная	อุดร
крупных	ใหญ่
народов	ชนชาติ
сообщение	จดหมาย
сообщение	ข้อความ
связь	สื่อสาร
связь	โทรคมนาคม
изначально	เดิมที
родилась	เกิด
принять	เอา
принять	ยอมรับ
принять	รับ
лица	ใบหน้า
словарь	ศัพท์
словарь	พจนานุกรม
председателя	ประธาน
крупные	ใหญ่
художники	ศิลปิน
дочери	ลูกสาว
дочери	ธิดา
мост	บริดจ์
мост	สะพาน
большие	บิ๊ก
большие	ใหญ่
страниц	หน้าที่
страниц	เพจ
страниц	หน้า
проблем	ปัญหา
сообщества	ชุมชน
бригады	กองพล
бразилии	บิท
бразилии	บราซิล
бразилии	บิ
бразилии	บิว
групп	กลุ่ม
частей	อะไหล่
тема	ธีม
тема	หัวข้อ
жан	จีน
жан	ยีน
жан	ฌอง
замок	ปราสาท
замок	ล็อค
замок	ล็อก
мин	มิน
мин	เหมือง
италия	อิตาลี่
италия	อิตาลี
согласен	ยินยอม
корабль	เรือ
корабль	ยาน
военные	กองทัพ
военные	ทหาร
видео	วีดีโอ
видео	วิดีโอ
ссылку	ลิงค์
ссылку	ลิงก์
предприятия	ธุรกิจ
теория	ทฤษฎี
георгий	จอร์จ
сказать	พูด
сказать	กล่าว
теме	หัวข้อ
секретарь	เลขานุการ
секретарь	เลขาฯ
секретарь	เลขาธิการ
секретарь	รัฐมนตรี
секретарь	เลขา
операция	ศัลยกรรม
операция	ผ่าตัด
художников	ศิลปิน
ситуация	สถานการณ์
создана	สร้าง
горы	ภูผา
горы	ภูเขา
выиграл	วอน
выиграл	ชนะ
считать	นับ
считать	จำนวนนับ
государство	รัฐ
государство	สภาพ
отставке	เกษียณ
другое	อื่นๆ
форма	ยูนิฟอร์ม
форма	ฟอร์ม
метро	เมโทร
метро	ใต้ดิน
масса	ก้อน
масса	มวล
биография	ชีวประวัติ
биография	ประวัติ
марк	มาร์ค
марк	เครื่องหมาย
наука	วิทยาศาสตร์
музыкальные	มิวสิค
темы	หัวข้อ
звезды	ดาว
звезды	ดวงดาว
звезды	ดารา
построен	สร้าง
друга	เพื่อน
страницу	เพจ
страницу	หน้า
герои	ฮีโร่
герои	วีรบุรุษ
герцог	ดุก
герцог	ดุ๊ค
герцог	ดุ๊ก
герцог	ดุค
сент	เซนต์
сент	นักบุญ
ассоциации	สมาคม
конференции	ประชุม
елена	เฮเลนา
украинский	ยูเครน
особенности	ลักษณะ
особенности	คุณสมบัติ
особенности	คุณลักษณะ
непосредственно	โดยตรง
публикации	โพสต์
отношение	ทัศนคติ
отношение	ท่าที
австрии	ออสเตรีย
греции	กรีซ
руководство	แนวทาง
руководство	ผู้นำ
руководство	คู่มือ
характер	สันดาน
характер	ธรรมชาติ
официальная	ทางการ
полное	ฟู
полное	เต็ม
библиотека	ไลบรารี
вступил	ป้อน
литература	วรรณคดี
литература	วรรณกรรม
отряд	ทีม
отряд	หน่วย
отряд	หมู่
правда	ทรู
правда	แท้
правда	จริง
месяца	เดือน
шесть	หก
командовал	บัญชา
результат	ผลลัพธ์
результат	ผล
зачем	ทำไม
оружие	อาวุธ
оружие	แขน
оружие	ปืน
столица	ทุน
столица	พระนคร
любовь	ชอบ
любовь	รัก
содержание	เนื้อหา
младший	เยาวชน
поля	ช่อง
поля	ทุ่ง
поля	ฟิลด์
поля	สาขา
поля	สนาม
фотографии	รูปภาพ
фотографии	แม่ค้า
фотографии	รูป
фотографии	ภาพถ่าย
опять	อีก
дал	ดาล
запад	เวสต์
швеции	สวีเดน
появляется	ปรากฏ
случай	กรณี
случай	คดี
наконец	สุดท้าย
джеймс	เจมส์
очевидно	เห็นๆ
философии	ปรัชญา
эпизод	ตอน
образ	ภาพ
образ	รูปภาพ
образ	อิมเมจ
стихи	กวี
стихи	กลอน
фронт	หน้า
прямо	ตรง
американская	อเมริกัน
млн	ล้าน
китай	จีน
отчёт	รายงาน
учёный	บัณฑิต
пол	พอล
пол	เพศ
пол	พื้น
париже	ปารีส
центральный	เซ็นทรัล
дворец	พระราชวัง
дворец	วัง
дворец	ราชวัง
частично	ส่วน
частично	ภาค
судья	กรรมการ
судья	ตัดสิน
обновление	อัพเดต
обновление	อัปเดต
бас	แบ
бас	แบส
бас	แบต
бас	เบส
местности	ภูมิประเทศ
последнее	สุดท้าย
последнее	ล่าสุด
организаций	องค์กร
китая	จีน
поддержку	สนับสนุน
поддержку	รองรับ
искусство	ศิลปศาสตร์
искусство	ศิลปะ
искусство	อาร์ต
искусство	อาร์ท
венгрии	ฮังการี
инженер	วิศวกร
очков	แต้ม
очков	คะแนน
очков	จุด
очков	ชี้
тома	โธมัส
царь	ราชา
царь	คิง
царь	กษัตริย์
деньги	เงิน
южная	ใต้
канады	แคนาดา
делает	ทำให้
ночь	คืน
ночь	ราตรี
ночь	ไนท์
ночь	ค่ำคืน
пер	ต่อ
устройство	อุปกรณ์
началось	เริ่ม
ролях	บทบาท
финляндии	ฟินแลนด์
голосов	โหวต
успешно	สำเร็จ
технологии	วิทยาการ
технологии	เทคโนโลยี
сфера	กลม
план	แผน
план	แพ็คเกจ
план	วางแผน
органов	อวัยวะ
батальон	กองพัน
лев	ราชสีห์
лев	สิงโต
лев	สิงห์
шоссе	ทางหลวง
шоссе	ทางด่วน
шоссе	ไฮเวย์
политический	การเมือง
