மற்றும்	et
அதே	meme
அதே	pareil
சிறப்பு	spéciale
சிறப்பு	spéciales
சிறப்பு	vedette
சிறப்பு	recommandés
சிறப்பு	vedettes
சிறப்பு	spécial
சிறப்பு	spéciaux
தமிழர்	tamouls
படி	étape
படி	lis
படி	lecture
படி	lire
படி	lisez
மனித	humain
மனித	humaine
மனித	humains
பெரும்பாலும்	presque
பெரும்பாலும்	essentiellement
பெரும்பாலும்	quasiment
பெரும்பாலும்	souvent
பெரும்பாலும்	surtout
பெரும்பாலும்	principalement
பெரும்பாலும்	pratiquement
பெரும்பாலும்	quasi
கட்சி	partie
கட்சி	fete
கட்சி	parti
கட்சி	soirée
கட்சி	fête
பொது	généralités
பொது	commune
பொது	fréquent
பொது	commun
பொது	généraux
பொது	générale
பொது	fréquents
பொது	publiques
பொது	publique
பொது	général
பொது	publics
கல்லூரி	collège
கல்லூரி	université
இசை	musique
இசை	musiques
நாட்டின்	pays
மத்திய	centrale
மில்லியன்	millions
நகரம்	villes
நகரம்	ville
எந்த	lequel
எந்த	laquelle
எந்த	lesquels
எனப்படும்	appelés
எனப்படும்	appelé
எனப்படும்	appelée
நீர்	eaux
நீர்	eau
செய்யும்	faire
செய்யும்	faisant
இணைந்து	adhérer
இணைந்து	rejoindre
இணைந்து	joindre
இணைந்து	rejoignez
விக்கிப்பீடியா	wikipédia
சென்று	partis
சென்று	parti
பார்க்க	vois
பார்க்க	voyez
பார்க்க	consultez
பார்க்க	voir
அணி	equipe
அணி	matrice
அணி	équipe
எழுதிய	écrivit
எழுதிய	ecrit
எழுதிய	écrites
எழுதிய	écrit
எழுதிய	écrite
எழுதிய	écrits
நிலையம்	gare
தொடர்பான	connexe
தொடர்பான	liés
தொடர்பான	connexes
தொடர்பான	lié
மீட்டர்	mètre
மீட்டர்	compteurs
மீட்டர்	compteur
மீட்டர்	mètres
இடத்தில்	lieu
இடத்தில்	endroit
கோவில்	tempe
மாதம்	mois
ஆய்வு	étudier
ஆய்வு	étude
ஆய்வு	recherches
ஆய்வு	etude
ஆய்வு	recherche
வட	nord
குறைந்த	faible
குறைந்த	moins
குறைந்த	bas
குறைந்த	faibles
குறைந்த	moindre
குறைந்த	basses
குறைந்த	basse
டிசம்பர்	decembre
டிசம்பர்	décembre
டிசம்பர்	déc
முன்	pré
முன்	devant
முன்	auparavant
முன்	avant
வாழ்க்கை	vie
சனவரி	janvier
புனித	saintes
புனித	sacré
புனித	sainte
புனித	saint
இரண்டாவது	secondaires
இரண்டாவது	seconde
இரண்டாவது	secondaire
இரண்டாவது	deuxieme
இரண்டாவது	deuxième
ஆங்கிலம்	anglais
ஆங்கிலம்	francais
ஆங்கிலம்	anglaise
அங்கு	là
தொழில்	entreprises
தொழில்	affaires
தொழில்	entreprise
தொழில்	métier
தொழில்	industrie
பழைய	âgées
பழைய	ancienne
பழைய	ancien
பழைய	vieille
பழைய	vieux
பழைய	anciens
பழைய	aîné
ஆண்டுகள்	années
ஆண்டுகள்	ans
குறிப்பாக	spécialement
குறிப்பாக	surtout
குறிப்பாக	précisément
குறிப்பாக	particulièrement
குறிப்பாக	spécifiquement
பார்க்கவும்	visitez
பார்க்கவும்	regardez
பார்க்கவும்	regarde
பார்க்கவும்	regarder
பார்க்கவும்	visiter
பார்க்கவும்	montre
பார்க்கவும்	visite
பார்க்கவும்	montres
துறை	département
குறிக்கும்	pointage
குறிக்கும்	pointant
கடல்	marin
கடல்	océan
கடல்	mer
கடல்	marins
போல	comme
போல	genre
போல	aiment
போல	aime
போல	aimez
இதற்கு	pour
சிறு	mineures
சிறு	petit
சிறு	petits
சிறு	mineur
சிறு	petites
சிறு	petite
சிறு	mineure
தென்	méridional
தென்	sud
உயர்	hautes
உயர்	haut
உயர்	élevée
உயர்	élevé
உயர்	haute
உயர்	luxe
வடக்கு	nord
ஆட்சி	gouvernance
ஆட்சி	régner
ஆட்சி	règne
ஆட்சி	royaume
ஆட்சி	règle
மக்களின்	gens
மக்களின்	personnes
நோய்	maladie
நோய்	maladies
தேர்தல்	élections
தேர்தல்	élection
உற்பத்தி	fabrication
ஆக	août
ஆக	aout
வந்தது	arrivé
வந்தது	vint
வந்தது	arrivés
கலை	artistique
தங்கள்	leurs
தங்கள்	leur
சமூக	sociale
சமூக	sociaux
போல்	comme
போல்	genre
போல்	aiment
போல்	aime
போல்	aimez
தர	qualité
தர	qualite
நூற்றாண்டு	siecle
நூற்றாண்டு	siècle
அவருடைய	son
அவருடைய	ses
அவருடைய	sa
உலகின்	mondes
அமெரிக்கா	amériques
அமெரிக்கா	amérique
அமெரிக்கா	amerique
பகுதிகளில்	domaines
பகுதிகளில்	zones
வந்து	venez
வந்து	viens
வந்து	venir
பரிசு	cadeau
பரிசு	cadeaux
பிரிவு	catégories
பிரிவு	circonscription
பிரிவு	catégorie
உடல்	organisme
உடல்	corps
உடல்	carrosserie
உடல்	organe
இவர்கள்	ces
கூட	même
கூட	aussi
கூட	egalement
கூட	meme
கூட	également
கூட	trop
எழுத்தாளர்	écrivain
எழுத்தாளர்	rédacteur
எழுத்தாளர்	scénariste
எழுத்தாளர்	auteur
குழு	groupe
இலக்கிய	littéraire
இலக்கிய	littéraires
இலக்கிய	littérature
விளையாட்டு	match
விளையாட்டு	jeu
விளையாட்டு	sport
விளையாட்டு	sportif
விளையாட்டு	sportive
விளையாட்டு	gibier
விளையாட்டு	jeux
உறுப்பினர்கள்	membres
உறுப்பினர்கள்	adhérents
இறப்பு	mort
இறப்பு	mortalité
இறப்பு	décès
அடி	frappé
அடி	pieds
அடி	frapper
அடி	touché
துணை	associée
துணை	associé
துணை	partenaire
துணை	soutien
துணை	mœurs
துணை	député
துணை	assistance
துணை	adjoint
துணை	adjointe
துணை	partenaires
துணை	appui
பதிப்பு	édition
சொல்	dis
சொல்	dire
சொல்	mot
சொல்	dites
தெற்கு	méridional
தெற்கு	sud
கட்டுரை	essai
வட்டம்	cercle
சராசரி	moyen
சராசரி	moyennes
சராசரி	moyenne
தொலைக்காட்சி	téléviseur
தொலைக்காட்சி	télévision
தொலைக்காட்சி	télé
முன்னாள்	ancienne
முன்னாள்	ancien
எண்ணிக்கை	périodicité
எண்ணிக்கை	fréquence
எண்ணிக்கை	répétition
எண்ணிக்கை	comte
எண்ணிக்கை	compte
எண்ணிக்கை	fréquences
எண்ணிக்கை	compter
தவிர	sauf
தவிர	excepté
தவிர	exclure
நடிகர்	acteur
நடிகர்	comédien
பாடல்கள்	chanson
பாடல்கள்	chansons
இன்று	aujourdhui
இன்று	hui
சட்டம்	droit
சட்டம்	cadre
சட்டம்	légale
சட்டம்	acte
சட்டம்	loi
சட்டம்	ossature
சட்டம்	légales
சட்டம்	légal
சட்டம்	agir
சட்டம்	juridique
அருகில்	proximité
அருகில்	près
அருகில்	proche
நேரம்	heure
நேரம்	temps
முதலாவது	premiers
முதலாவது	premier
முதலாவது	premières
முதலாவது	première
மூலமாக	via
உணவு	alimentation
உணவு	nourriture
உணவு	alimentaire
பெப்ரவரி	fevrier
பெப்ரவரி	février
பகுதிகள்	pièces
பகுதிகள்	domaines
பகுதிகள்	composant
பகுதிகள்	composante
பகுதிகள்	zones
பகுதிகள்	régions
பகுதிகள்	parties
நிறுவனங்கள்	entreprises
நிறுவனங்கள்	organisations
நிறுவனங்கள்	compagnies
நிறுவனங்கள்	sociétés
நிறுவனங்கள்	organismes
ஜனவரி	janvier
எழுத்தாளர்கள்	écrivains
எழுத்தாளர்கள்	auteurs
எழுத்தாளர்கள்	scénaristes
நல்ல	bien
நல்ல	bons
நல்ல	bonnes
நல்ல	bon
நல்ல	bonne
அடுத்த	prochain
அடுத்த	suivant
அடுத்த	prochaine
அடுத்த	suivante
படம்	photo
படம்	image
பாதுகாப்பு	sécurité
பாதுகாப்பு	securite
பாதுகாப்பு	sûreté
பாதுகாப்பு	sécuritaire
பாதுகாப்பு	coffre
பாதுகாப்பு	défense
பாதுகாப்பு	sûr
பாதுகாப்பு	securité
தந்தை	pére
தந்தை	pere
தந்தை	père
பங்கு	rôle
பார்க்கப்பட்ட	visionné
பயன்படுத்தி	utiliser
பயன்படுத்தி	utilisant
அவர்களின்	leurs
அவர்களின்	leur
செய்த	fait
செய்த	fabriqué
செய்த	faite
செய்த	fabriqués
பதிவு	enregistrement
பதிவு	enregistrez
பதிவு	registre
பதிவு	poste
பதிவு	immatriculation
பதிவு	enregistrer
பதிவு	publier
பதிவு	publication
பதிவு	inscription
பதிவு	enregistre
ஐரோப்பிய	européenne
ஐரோப்பிய	européen
ஐரோப்பிய	européennes
ஐரோப்பிய	européens
முழுவதும்	complets
முழுவதும்	complètement
முழுவதும்	totalement
முழுவதும்	complétement
முழுவதும்	complète
முழுவதும்	complètes
முழுவதும்	entièrement
முழுவதும்	pleine
முழுவதும்	complet
முழுவதும்	completement
முழுவதும்	plein
முழுவதும்	pleinement
பயனர்	utilisateur
பயனர்	usager
தொடர்	continuez
தொடர்	série
தொடர்	continuer
தொடர்	poursuivre
தொடர்	procéder
தொடர்	continuons
ஜூன்	juin
உறுப்பினர்	membres
உறுப்பினர்	adhésion
உறுப்பினர்	membre
ஆசிரியர்	auteur
ஆசிரியர்	editeur
ஆசிரியர்	enseignante
ஆசிரியர்	professeur
ஆசிரியர்	auteure
ஆசிரியர்	rédacteur
ஆசிரியர்	rédactrice
ஆசிரியர்	institutrice
ஆசிரியர்	enseignant
ஆசிரியர்	éditeur
ஆஃப்	hors
முக்கியமான	importants
முக்கியமான	importante
முக்கியமான	critique
முக்கியமான	critiques
முக்கியமான	importantes
தொடர்பு	contacter
தொடர்பு	contacte
தொடர்பு	contactez
ஜூலை	juillet
ஆற்றல்	énergies
ஆற்றல்	energie
ஆற்றல்	énergie
வேலை	travaux
வேலை	travailler
வேலை	travail
சமய	religieuses
சமய	religieuse
சமய	religieux
பணி	travaux
பணி	travailler
பணி	travail
பணி	tâche
கதை	récit
இடையே	entre
பட்டம்	diplôme
பட்டம்	degré
வழி	piste
வழி	manière
வழி	façon
வழி	sentier
அப்போது	puis
அப்போது	alors
அப்போது	ensuite
விடுதலை	liberté
விடுதலை	libération
ஆகஸ்ட்	août
ஆகஸ்ட்	aout
பிறந்த	naissance
இன்னும்	encore
இன்னும்	toujours
இன்னும்	et
ஜான்	jean
அடுத்து	prochain
அடுத்து	suivant
அடுத்து	prochaine
அடுத்து	suivante
கருத்து	rétroaction
கருத்து	commenter
கருத்து	thème
கருத்து	commentaire
கருத்து	commentaires
கருத்து	commente
காரணம்	raison
காரணம்	raisons
தனி	séparer
தனி	privé
தனி	séparées
தனி	privée
தனி	privés
தனி	séparés
தனி	séparé
தனி	distinct
அவருக்கு	lui
நீண்ட	longtemps
நீண்ட	longs
நீண்ட	longues
நீண்ட	longue
பள்ளி	ecole
பள்ளி	école
மகன்	fils
மகன்	fiston
சர்வதேச	internationaux
சர்வதேச	internationale
எல்லா	tous
எல்லா	tout
எல்லா	toutes
எல்லா	toute
பொருட்கள்	fournitures
பொருட்கள்	objets
பொருட்கள்	produits
பொருட்கள்	approvisionnement
மின்	électrique
மின்	electrique
என்றால்	moyens
என்றால்	signifie
ஏழு	sept
நடைபெற்ற	tenu
முன்னர்	auparavant
முன்னர்	avant
முன்னர்	précédemment
பொறியியல்	génie
பொறியியல்	ingénierie
அமைப்புகள்	configuration
அமைப்புகள்	organismes
அமைப்புகள்	réglages
அமைப்புகள்	organisations
அமைப்புகள்	paramétrage
அமைப்புகள்	paramètres
மொழிகள்	langues
அத்துடன்	également
அத்துடன்	aussi
அத்துடன்	egalement
முழு	pleine
முழு	complète
முழு	complet
முழு	plein
முதன்மை	principaux
முதன்மை	principal
முதன்மை	primaires
முதன்மை	principales
முதன்மை	primaire
முதன்மை	haut
முதன்மை	principale
மணி	heure
மணி	clochette
மணி	cloche
தொகுப்பு	collecte
தொகுப்பு	paquetage
தொகுப்பு	ramassage
தொகுப்பு	colis
தொகுப்பு	recueil
தொகுப்பு	paquet
தொகுப்பு	recouvrement
தொகுப்பு	forfait
தொலைவில்	loin
மருத்துவ	médicale
மருத்துவ	médicaux
மருத்துவ	médical
வணிக	commerciale
வணிக	commerciales
வணிக	commerciaux
திருமணம்	marié
திருமணம்	mariées
திருமணம்	mariages
திருமணம்	mariée
திருமணம்	mariés
திருமணம்	épouser
திருமணம்	noces
திருமணம்	marier
திருமணம்	mariage
நீங்கள்	toi
நீங்கள்	tu
நீங்கள்	vous
இயேசு	jésus
கருதப்படுகிறது	considérés
கருதப்படுகிறது	considéré
கருதப்படுகிறது	considérée
கருதப்படுகிறது	considérées
பொதுவான	généralités
பொதுவான	commune
பொதுவான	fréquent
பொதுவான	commun
பொதுவான	généraux
பொதுவான	générale
பொதுவான	fréquents
பொதுவான	publiques
பொதுவான	publique
பொதுவான	général
பொதுவான	publics
சமயம்	communaute
சமயம்	religieux
சமயம்	communauté
சமயம்	communautaire
சமயம்	collectivité
எதிராக	contre
விட்டு	partir
விட்டு	congés
விட்டு	laisser
விட்டு	quitter
விட்டு	congé
பக்கம்	pages
உள்ளிட்ட	entré
உள்ளிட்ட	entrés
அதிகம்	hautes
அதிகம்	haut
அதிகம்	élevée
அதிகம்	élevé
அதிகம்	haute
அதிகம்	plus
அதிகம்	davantage
நாட்கள்	jours
நாட்கள்	journées
திருத்தந்தை	papes
திருத்தந்தை	pape
மாற்றம்	changer
மாற்றம்	changement
மாற்றம்	reconversion
மாற்றம்	changements
மாற்றம்	modifier
இறுதி	définitif
இறுதி	définitive
இறுதி	fin
இறுதி	finale
வகைகள்	catégories
சீன	chinois
சீன	chinoise
பொருளாதார	économie
பொருளாதார	economique
பொருளாதார	économique
பொருளாதார	economie
பொருளாதார	economiques
இயற்கை	naturelles
இயற்கை	naturels
இயற்கை	naturel
இயற்கை	naturelle
தலைமை	chef
வேதியியல்	chimie
நிதி	financement
நிதி	finances
போக்குவரத்து	transports
போக்குவரத்து	transport
இருந்தன	étaient
புகழ்	renommée
புகழ்	célébrité
புகழ்	gloire
புகழ்	éloges
புகழ்	louanges
புகழ்	éloge
புகழ்	louange
முன்பு	auparavant
முன்பு	avant
அதிகமான	hautes
அதிகமான	maximum
அதிகமான	haut
அதிகமான	élevée
அதிகமான	élevé
அதிகமான	haute
அதிகமான	maxime
அதிகமான	maxi
கீழே	déclasser
கீழே	descendre
கீழே	fond
கீழே	dessous
பிப்ரவரி	fevrier
பிப்ரவரி	février
செய்தி	nouvelles
செய்தி	actualité
செய்தி	nouveautés
செய்தி	récit
செய்தி	actualités
அமெரிக்காவின்	amériques
அமெரிக்காவின்	amérique
உதவி	aide
உதவி	aider
உதவி	aidez
பிரெஞ்சு	française
பிரெஞ்சு	françaises
பிரெஞ்சு	français
பிரெஞ்சு	francais
மலை	montagne
மலை	montagnes
உடன்	avec
செயலாளர்	secrétaire
வெவ்வேறு	distincte
வெவ்வேறு	différents
வெவ்வேறு	distinctes
வெவ்வேறு	différente
வெவ்வேறு	distincts
வெவ்வேறு	différentes
வெவ்வேறு	différent
படைகள்	forcer
படைகள்	troupes
தேர்தலில்	élections
தேர்தலில்	élection
என்ன	quelle
என்ன	quel
என்ன	quoi
பால்	laiteux
பால்	lactée
பால்	lait
வீரர்கள்	soldats
வீரர்கள்	joueurs
அழைக்கப்படும்	appelés
அழைக்கப்படும்	appelé
அழைக்கப்படும்	appelée
தன்மை	comportement
தன்மை	comportements
மிகப்பெரிய	enorme
மிகப்பெரிய	immense
மிகப்பெரிய	grandes
மிகப்பெரிய	grande
மிகப்பெரிய	énormes
மிகப்பெரிய	grands
மிகப்பெரிய	grand
மிகப்பெரிய	énorme
விடுதலைப்	libération
கணினி	ordinateurs
கணினி	ordinateur
கணினி	système
வரலாற்று	historique
வரலாற்று	historiques
இத்தகைய	habituée
இத்தகைய	habitué
இத்தகைய	tels
இத்தகைய	telles
இத்தகைய	accoutumée
இத்தகைய	tel
இத்தகைய	habitués
இத்தகைய	telle
தேவையான	obligatoire
தேவையான	exigé
தேவையான	requise
தேவையான	exigée
தேவையான	nécessaire
தேவையான	requis
நவீன	moderne
நவீன	modernité
நவீன	modernes
சிகிச்சை	thérapeutiques
சிகிச்சை	traitement
சிகிச்சை	thérapies
