در	ประตู
ساخت	ก่อสร้าง
المپیک	โอลิมปิก
المپیک	โอลิมปิค
اول	ก่อน
اول	แรก
سازمان	มโน
سازمان	องค์กร
سازمان	องค์การ
سه	สาม
مرکزی	กึ่งกลาง
مرکزی	เซ็นทรัล
ایالت	รัฐ
ایالت	สภาพ
فارسی	เปอร์เซีย
بین	ระหว่าง
بین	ถั่ว
انگلستان	อังกฤษ
دوم	วินาที
موسیقی	เพลง
موسیقی	ดนตรี
موسیقی	มิวสิค
گروه	วง
گروه	กลุ่ม
جایزه	โบนัส
جایزه	รางวัล
بیشتر	มากกว่า
بیشتر	อื่นๆ
بیشتر	ที่สุด
جنوبی	ใต้
روز	วัน
روز	เดย์
جمهوری	สาธารณรัฐ
مرگ	ตาย
ولی	แต่
آمریکایی	อเมริกัน
نقش	บทบาท
منطقه	พื้นที่
منطقه	โซน
منطقه	ภูมิภาค
منطقه	เขต
منطقه	อำเภอ
منطقه	แคว้น
منطقه	บริเวณ
بسیار	มาก
بسیار	หลาย
بسیار	มากมาย
اسلامی	อิสลาม
بزرگ	บิ๊ก
بزرگ	ใหญ่
اروپا	ยุโรป
روستایی	ชาวนา
روستایی	ชาวไร่
روستایی	ชนบท
آمار	สถิติ
فعالیت	กิจกรรม
اشاره	ใบ้
زاده	เกิด
محمد	โมฮัมหมัด
بریتانیا	บริติช
بریتانیا	อังกฤษ
مانند	เหมือน
مانند	แบบ
مانند	ไลค์
مانند	อย่าง
مانند	ถูกใจ
مانند	ชอบ
چند	มัลติ
چند	หลาย
شمالی	เหนือ
شمالی	อุดร
آب	นํ้า
آب	น้ำ
ایرانی	เปอร์เซีย
ایرانی	อิหร่าน
اطلاعات	ข้อมูล
ایجاد	สร้าง
مالک	เจ้าของ
امنیت	รปภ
نوع	พิมพ์
نوع	ชนิด
نوع	ประเภท
مردم	ผู้คน
مردم	ผู้
مردم	คน
مردم	บุคคล
مردم	ประชาชน
دلیل	เหตุ
دلیل	เพราะ
دلیل	สาเหตุ
دلیل	เหตุผล
روستای	หมู่บ้าน
دور	ไกล
دور	ห่าง
مربوط	เกี่ยวข้อง
بار	บาร์
بار	โหลด
بار	แถบ
دریا	ทะเล
شما	เจ้า
شما	เธอ
شما	คุณ
برابر	เท่ากับ
تولید	ผลิต
تولید	สร้าง
تپه	เนิน
تنها	เหงา
تنها	ลำพัง
تنها	เฉพาะ
تنها	เท่านั้น
علی	อาลิ
برخی	บาง
برخی	บ้าง
میان	ระหว่าง
جهان	เวิลด์
جهان	โลก
جام	คัพ
جام	ถ้วย
ها	หือ
کد	โค้ด
کد	รหัส
کشف	สำรวจ
نشان	ตรา
نشان	เครื่องหมาย
حذف	ลบ
تلویزیونی	โทรทัศน์
تلویزیونی	ทีวี
غربی	เวสต์
گرفته	ถ่าย
دوران	ยุค
دوران	ศักราช
شامل	รวม
دولت	รัฐ
دولت	สภาพ
دولت	รัฐบาล
دولت	ราชการ
چپ	ซ้าย
چپ	เหลือ
ایتالیا	อิตาลี่
ایتالیا	อิตาลี
صفحه	เพจ
صفحه	หน้า
مجلس	รัฐสภา
مجلس	สมัชชา
تحت	ใต้
آغاز	เริ่ม
راه	หนทาง
راه	ทาง
راه	พาธ
راه	วิถี
راه	วิธี
کشتی	เรือ
کشتی	ยาน
توجه	ใส่ใจ
توجه	สนใจ
بن	เบ็น
بن	เบน
همه	ทุก
همه	ทั้งหมด
کوچک	เล็ก
ژاپن	ญี่ปุ่น
رسمی	ทางการ
اسلام	อิสลาม
سپتامبر	กันยา
سپتامبر	กันยายน
پرونده	กรณี
پرونده	แฟ้ม
پرونده	คดี
ماه	เพ็ญ
ماه	เดือน
ماه	มูน
ماه	พระจันทร์
هزار	พัน
تابستانی	ซัมเมอร์
چون	เมื่อ
چون	เพราะ
چون	เมื่อไร
چون	ตอน
آوریل	เมษายน
تغییر	เปลี่ยน
تغییر	เปลี่ยนแปลง
تغییر	แก้ไข
سیاسی	การเมือง
شکل	คิด
شکل	ฟอร์ม
مارس	มีนาคม
مارس	มาร์ช
درخواست	ขอ
درخواست	คำขอ
درخواست	ร้องขอ
کیلومتر	กิโล
کیلومتر	กิโลเมตร
جمله	ประโยค
شهری	ซิตี้
شهری	เมือง
لیگ	สันนิบาต
لیگ	ลีก
روسیه	รัสเซีย
منابع	ทรัพยากร
منابع	แหล่ง
نخستین	ก่อน
نخستین	แรก
شاه	ราชา
شاه	คิง
شاه	กษัตริย์
جنوب	ใต้
طور	ภูเขา
فوت	เท้า
فوت	ตีน
اکتبر	ตุลาคม
ژوئن	มิถุนายน
ژوئن	จูน
چه	อะไร
سر	เฮด
سر	หัว
سر	head
حزب	ปาร์ตี้
حزب	พรรค
فرهنگ	วัฒนธรรม
خانه	เฮ้าส์
خانه	บาน
خانه	บ้าน
دسامبر	ธันวาคม
دسامبر	ธันวา
موارد	กรณี
موارد	รายการ
هند	อินเดีย
آلبوم	อัลบั้ม
آزاد	ฟรี
آزاد	อิสระ
آزاد	ว่าง
آزاد	เสรี
چاپ	พิมพ์
علمی	วิทยาศาสตร์
نوامبر	พฤศจิกายน
آسیا	เอเชีย
آسیا	บอล
شمال	เหนือ
شمال	อุดร
پایان	จบ
پایان	ยุติ
علوم	วิทยาศาสตร์
جان	จอห์น
جان	จอร์น
سید	ซิด
کالیفرنیا	แคลิฟอร์เนีย
قرن	ศตวรรษ
صنایع	อุตสาหกรรม
گونه	แก้ม
کانادا	แคนาดา
اسپانیا	สเปน
زمین	ธรณี
زمین	โลก
برزیل	บิท
برزیل	บราซิล
برزیل	บิ
برزیل	บิว
سبک	สว่าง
سبک	เบา
سبک	ไลท์
سبک	สไตล์
سبک	แสง
بالا	ท็อป
جدید	ใหม่
جدید	นิว
تصویر	ภาพ
تصویر	รูปภาพ
تصویر	อิมเมจ
وارد	วอร์ด
عضو	สมาชิก
عضو	บริจาค
میراث	มรดก
زنان	สตรี
زنان	หญิง
نظامی	กองทัพ
نظامی	ทหาร
هیچ	ใดๆ
چین	คาง
چین	ชิน
چین	จีน
سیستم	ระบบ
ظاهر	ลักษณะ
ظاهر	ปรากฏ
ادامه	ต่อ
درجه	อันดับ
درجه	ปริญญา
درجه	องศา
درجه	เกรด
انتخاب	เลือก
دستی	คู่มือ
فقط	แค่
نسبت	อัตราส่วน
نسبت	สัดส่วน
اعضای	สมาชิก
تلفن	โทรศัพท์
داستان	เรื่อง
خط	บรรทัด
خط	เส้น
قانون	ปกครอง
قانون	กฎหมาย
قانون	กฎ
قانون	กฏ
علت	เหตุ
علت	เพราะ
علت	สาเหตุ
علت	เหตุผล
مهم	สำคัญ
منبع	ทรัพยากร
منبع	ต้นทาง
میلیون	ล้าน
کمک	ช่วย
جهت	ปฐมนิเทศ
جهت	ทิศทาง
هوایی	แอร์
هوایی	อากาศ
حتی	แม้ว่า
حتی	แม้
حتی	แม้แต่
حتی	แม้น
نمایش	โชว์
نمایش	แสดง
آمریکای	อเมริกา
ناحیه	พื้นที่
ناحیه	ภูมิภาค
ناحیه	เขต
ناحیه	อำเภอ
ناحیه	แคว้น
ناحیه	บริเวณ
طراحی	ออกแบบ
طراحی	ดีไซน์
آموزش	สอน
قلعه	ป้อม
قلعه	ปราการ
قلعه	ปราสาท
ویرایش	แก้ไข
حکومت	รัฐบาล
حکومت	ราชการ
بازدید	รีวิว
بازدید	วิจารณ์
شیمیایی	เคมี
شیمیایی	เคมีภัณฑ์
مساحت	พื้นที่
مساحت	บริเวณ
ادبیات	วรรณคดี
ادبیات	วรรณกรรม
موضوع	หัวข้อ
شبکه	กริด
برنامه	แอพ
برنامه	ตาราง
برنامه	กำหนดการ
برنامه	โปรแกรม
برنامه	แอป
تولد	เกิด
تولد	กำเนิด
تبدیل	แปลง
دریایی	นาวิก
سن	เซน
سن	ซาน
سن	เซ็น
سن	อายุ
سن	นักบุญ
سن	ยุค
سن	แซน
سن	เซนต์
سن	เสน
عربی	อาหรับ
بودن	การ
نتیجه	สรุป
نتیجه	ผลลัพธ์
نتیجه	ผล
انقلاب	ปฏิวัติ
تگزاس	เทกซัส
تگزاس	เท็กซัส
عراق	อิรัก
شروع	เริ่ม
هنر	ศิลปศาสตร์
هنر	ศิลปะ
هنر	อาร์ต
هنر	อาร์ท
قسمت	ส่วน
قسمت	ตอน
قسمت	ภาค
بررسی	ตรวจ
بررسی	เช็ค
باز	เปิด
باز	กลับ
ترکیه	ตุรกี
حقوق	กฎหมาย
حقوق	สิทธิ
حقوق	กฎ
حقوق	สิทธิ์
عمومی	ทั่วไป
عمومی	แม่ทัพ
عمومی	สาธารณชน
عمومی	สาธารณะ
ترجمه	แปล
دقیقه	นาที
رنگ	สีสัน
رنگ	สี
افزایش	เพิ่ม
طبیعی	ปกติ
طبیعی	ธรรมดา
طبیعی	ปรกติ
طبیعی	ธรรมชาติ
معروف	ดัง
مدیریت	จัดการ
گل	ดอกไม้
نیاز	ต้องการ
توضیح	หมายเหตุ
ترکیب	ผสม
ترکیب	กลมกลืน
ترکیب	สารประกอบ
رشته	ด้าย
موافق	ยินยอม
مواد	วัตถุดิบ
مواد	ยา
مواد	วัสดุ
درباره	เรื่อง
درباره	ประมาณ
کارگردانی	กำกับ
استرالیا	ออสเตรเลีย
اجتماعی	สังคม
جریان	ปัจจุบัน
جریان	ลำธาร
جریان	ไหล
جریان	กระแส
طریق	ผ่าน
ژانویه	มกราคม
کنار	ข้าง
کنار	ไซด์
کنار	ด้าน
انرژی	พลังงาน
ملیت	สัญชาติ
مه	หมอก
مه	พฤษภาคม
ثانیه	วินาที
کل	รวม
کل	ทั้งหมด
کل	คา
خان	ข่าน
دکتر	หมอ
دکتر	ดอกเตอร์
دکتر	แพทย์
انجمن	สมาคม
انجمن	สภา
انجمن	สังคม
انجمن	ชุมชน
غرب	เวสต์
توسعه	พัฒนา
توسعه	พัฒนาการ
فصل	ฤดูกาล
فصل	บท
ژوئیه	กรกฎาคม
شوروی	โซเวียต
افغانستان	อัฟกานิสถาน
ورزش	กีฬา
ورزش	ยิม
ورزش	สปอร์ต
ورزش	พละ
معماری	สถาปัตยกรรม
باند	สายใย
باند	พันธบัตร
باند	บอนด์
باند	พันธะ
آنجا	มี
پرندگان	นก
آخرین	สุดท้าย
آخرین	ล่าสุด
پزشکی	เวชศาสตร์
پزشکی	ยา
فرهنگی	วัฒนธรรม
تلویزیون	โทรทัศน์
تلویزیون	ทีวี
دنیا	เวิลด์
دنیا	โลก
جغرافیای	ภูมิศาสตร์
حالت	อารมณ์
حالت	รัฐ
حالت	สภาพ
حالت	โหมด
کوه	ภูผา
کوه	ภูเขา
مقالات	บทความ
عمل	ทำท่า
کره	เกาหลี
کره	เนย
انتقال	ขนส่ง
انتقال	โอน
فوریه	ด่วน
فوریه	กุมภาพันธ์
رود	แม่น้ำ
سیاست	การเมือง
سیاست	นโยบาย
فرانسوی	ฝรั่งเศส
وطن	บาน
وطن	บ้าน
برتر	สูงส่ง
برتر	อธิการ
نزدیک	เกือบ
نزدیک	ปิด
نزدیک	ใกล้
دلار	ดอลลาร์
داخلی	ภายใน
کاهش	ลด
ده	สิบ
ارتش	กองทัพ
ارتش	ทหาร
ارتش	ทัพ
مشخص	ไฮไลท์
مشخص	ไฮไลต์
مشخص	เน้น
مشخص	เจาะจง
حاضر	ปัจจุบัน
اسرائیل	อิสราเอล
انسان	มนุษย์
انسان	คน
انسان	ชาย
انسان	แมน
مسجد	มัสยิด
مثل	เหมือน
مثل	แบบ
مثل	ไลค์
مثل	อย่าง
مثل	ถูกใจ
مثل	ชอบ
شهرها	นคร
شهرها	เมือง
سیاه	ดำ
قدرت	อำนาจ
قدرت	พลัง
قدرت	พลังงาน
نسخه	เวอร์ชั่น
نسخه	เวอร์ชัน
کم	โลว์
کم	ต่ำ
کم	คาม
کم	แคป
کم	แคม
خانواده	ครอบครัว
خانواده	ตระกูล
میدان	ตาราง
ویژه	พิเศษ
حوزه	ช่อง
حوزه	ทุ่ง
حوزه	ฟิลด์
حوزه	สาขา
حوزه	สนาม
حمله	โจมตี
ناسا	นาซา
جزیره	เกาะ
وزارت	กรม
وزارت	แผนก
وزارت	กระทรวง
ساختمان	ก่อสร้าง
ساختمان	ตึก
ساختمان	อาคาร
درام	กลอง
درام	ดราม่า
درام	ละคร
درصد	เปอร์เซ็นต์
درصد	เปอร์เซนต์
مهندسی	วิศวกรรม
مهندسی	วิศวกรรมศาสตร์
برنده	ชนะ
علم	วิทยาศาสตร์
وقتی	เมื่อ
وقتی	เมื่อไร
وقتی	ตอน
آبی	สีน้ำเงิน
آبی	บลู
آبی	น้ำเงิน
اقتصاد	เศรษฐกิจ
اقتصاد	เศรษฐศาสตร์
ورزشی	กีฬา
ورزشی	นักกีฬา
ورزشی	สปอร์ต
جامعه	สังคม
جامعه	ชุมชน
بازار	ตลาด
معرفی	บทนำ
مصر	อียิปต์
متن	บริบท
متن	ต้นทาง
متن	ข้อความ
سرعت	ความเร็ว
طرف	ข้าง
طرف	ไซด์
طرف	ด้าน
سابق	อดีต
پسر	ลูก
پسر	บอย
پسر	ลูกชาย
پسر	บุตร
دین	คณบดี
دین	ศาสนา
دین	ดีน
کشت	ฝึกฝน
سایت	ไซต์
سایت	เว็บไซต์
خیلی	มาก
خیلی	สวยๆ
خیلی	สวย
خورشیدی	สุ
خورشیدی	สุริยะ
سفید	ขาว
سفید	ไวท์
جشنواره	เทศกาล
فرد	เฟร็ด
فرد	แปลก
لندن	ลอนดอน
سری	ซีรี่ส์
سری	ศรี
سری	อนุกรม
باستان	โบราณ
کلی	เคลย์
کلی	ดิน
آلمانی	เยอรมัน
محلی	ภูมิภาค
دیده	เห็น
شیخ	ชีก
شیخ	ชีค
برگزیده	เลือก
کنترل	ควบคุม
کنترل	คอนโทรล
انواع	ชนิด
انواع	ประเภท
درست	ทรู
درست	แท้
درست	จริง
سنگ	ซาง
سنگ	ซัง
سنگ	แซง
سنگ	หิน
سنگ	ศิลา
استاد	อาจารย์
موقعیت	สถานการณ์
موقعیت	จุดยืน
موقعیت	ตำแหน่ง
بیماری	โรค
کلاس	ห้องเรียน
کلاس	คลาส
کلاس	เรียน
مدرسه	โรงเรียน
کسب	กิจการ
کسب	ขวนขวาย
کسب	ธุรกิจ
حرکت	ขยับ
حرکت	ย้าย
حرکت	เลื่อน
جغرافیایی	ภูมิศาสตร์
مشخصات	ลักษณะ
مشخصات	สเปค
مشخصات	คุณลักษณะ
دبی	ดูไบ
کوتاه	สั้น
کوتاه	เตี้ย
کوتاه	สั้นๆ
روابط	สัมพันธ์
اجرا	วิ่ง
اجرا	รัน
اجرا	หนี
اجرا	ประหาร
اجرا	ประสิทธิภาพ
پیشنهاد	แนะ
پیشنهاد	แนะนำ
پیشنهاد	เสนอ
اتحادیه	สหพันธ์
اتحادیه	สหภาพแรงงาน
اتحادیه	สหภาพ
خوب	เก่ง
خوب	เอ้อ
خوب	ดี
خوب	ก็
خوب	ก้อ
خوب	อืม
خوب	เออ
موفق	สำเร็จ
پایین	ล่าง
پایین	ลง
پایین	ดาวน์
پدر	พ่อ
خاص	พิเศษ
خاص	เจาะจง
گذشته	อดีต
کیفیت	คุณภาพ
ازدواج	แต่งงาน
ازدواج	แต่ง
خارجی	ภายนอก
خارجی	ต่างด้าว
هنوز	ยัง
میزان	สมดุล
مشغول	ยุ่งๆ
مشغول	ยุ่ง
اقتصادی	เศรษฐกิจ
پادشاهی	อาณาจักร
کمربند	เข็มขัด
کمربند	สายพาน
واحد	หน่วย
واحد	ยูนิต
واحد	ดิวิชั่น
چندین	หลายๆ
چندین	หลาย
اندازه	ขนาด
اندازه	ไซส์
خیابان	ถนน
عالی	เลิศ
عالی	ยอด
عالی	เยี่ยม
عالی	วิเศษ
نگاره	ภาพ
نگاره	รูปภาพ
نگاره	กราฟิก
نگاره	อิมเมจ
هدف	เป้า
دستگاه	แมชชีน
دستگاه	เครื่องจักร
دستگاه	อุปกรณ์
دستگاه	เครื่อง
طرح	ออกแบบ
طرح	ดีไซน์
پنج	ห้า
برد	ชนะ
پل	บริดจ์
پل	สะพาน
پل	พอล
ترابری	ขนส่ง
داخل	ภายใน
ابتدا	ก่อน
ابتدا	แรก
ارتباط	สื่อสาร
ارتباط	ติดต่อ
پخش	แพร่
پخش	กระจาย
پخش	เล่น
مطلق	ค่าสัมบูรณ์
مطلق	สัมบูรณ์
مشکل	ปัญหา
نفت	น้ำมัน
شرایط	เงื่อนไข
شرایط	สภาพ
دانشکده	มหาวิทยาลัย
دانشکده	วิทยาลัย
دختر	สาว
دختر	ลูกสาว
نور	สว่าง
نور	เบา
نور	แสง
نور	ไลท์
اجرای	ประหาร
یونان	กรีก
لازم	จำเป็น
لازم	ต้องการ
مرتبط	เกี่ยวข้อง
شکست	ขัดข้อง
شکست	ปราชัย
شکست	ปราบ
رشد	เติบโต
رشد	ปลูก
رشد	โต
گزارش	รายงาน
پرداخت	ชำระ
پرداخت	จ่าย
هلند	ดัตช์
هلند	เนเธอร์แลนด์
هلند	ฮอลแลนด์
مالی	มาลี
مالی	ไฟแนนซ์
زیاد	มาก
زیاد	มากมาย
اضافه	พิเศษ
ورزشگاه	ยิม
ورزشگاه	พละ
ورزشگاه	สนาม
درون	ภายใน
جنسی	เพศ
جنسی	เซ็กซ์
امور	กิจการ
تأسیس	สถาปนา
تأسیس	ตำหนัก
شعر	กวี
شعر	กลอน
فناوری	เทค
فناوری	วิทยาการ
فناوری	เทคโนโลยี
ترتیب	ลำดับ
مادر	แม่
وضعیت	สถานภาพ
وضعیت	สถานะ
وضعیت	รัฐ
وضعیت	สภาพ
وضعیت	สถานการณ์
نمونه	ตัวอย่าง
نامزد	หมั้น
لیتر	ลิตร
لیتر	กระบะ
لاتین	ละติน
مثال	ตัวอย่าง
سوئد	สวีเดน
مدل	รุ่น
مدل	โมเดล
متری	เมตร
دوستان	เพื่อนๆ
دوستان	เพื่อน
مسیر	พาธ
دسته	พวง
ترانه	ซง
ترانه	เพลง
چرا	ทำไม
پایگاه	ด่าน
پایگاه	ฐาน
پایگاه	ฐานทัพ
مکان	ตำแหน่งที่ตั้ง
مکان	ตำแหน่ง
فکر	คิด
اولیه	หลัก
گسترش	ขยาย
عدم	ขาด
عدد	จำนวน
عدد	ตัวเลข
عدد	หมายเลข
تعریف	นิยาม
تعریف	กำหนด
نو	ใหม่
نو	นิว
خدمات	บริการ
همسر	ภริยา
همسر	สามี
همسر	ผัว
همسر	ภรรยา
همسر	เมีย
فرزند	กุมาร
فرزند	เด็ก
مصرف	บริโภค
لهستان	โปแลนด์
تقسیم	แบ่ง
تقسیم	หาร
تقسیم	ดิวิชั่น
روزنامه	หนังสือพิมพ์
تن	ตัน
تن	ตาล
تن	ทูน่า
اتحاد	สหพันธ์
اتحاد	สามัคคี
اتحاد	สหภาพแรงงาน
اتحاد	สหภาพ
اتحاد	พันธมิตร
اتحاد	เอกภาพ
نظریه	ทฤษฎี
خاک	ฝุ่น
خاک	ลูกรัง
خاک	สกปรก
خاک	ดิน
مخالف	ค้าน
میله	บาร์
میله	แถบ
محسوب	นับ
کلیسای	ศาสนจักร
کلیسای	โบสถ์
کشاورزی	เกษตร
کشاورزی	การเกษตร
کشاورزی	เกษตรกรรม
دوباره	อีก
مشهور	ดัง
مستقل	เอกราช
مستقل	อิสระ
قدیمی	เก่า
قدیمی	เก่าๆ
قدیمی	แก่
شب	คืน
شب	ราตรี
شب	ไนท์
شب	ค่ำคืน
ویدئویی	วีดีโอ
ویدئویی	วิดีโอ
شیمی	เคมี
فروش	จำหน่าย
فروش	ขาย
بیست	ยี่สิบ
رتبه	อันดับ
جانوران	สัตว์
راک	โยก
راک	หิน
راک	ร็อค
پارک	สวน
پارک	จอด
کاربرد	แอพพลิเคชัน
مناسب	ฟิตเนส
مناسب	สมรรถภาพ
آزادی	อิสระ
آزادی	เสรี
آزادی	ฟรี
آزادی	เสรีภาพ
آزادی	ว่าง
آزادی	อิสรภาพ
رای	ไร่
رای	โหวต
اطراف	รอบๆ
اطراف	รอบ
کمدی	การ์ตูน
کمدی	ตลก
موتور	จักรยาน
موتور	มอเตอร์
موتور	เครื่องยนต์
بسته	ปิด
بسته	แพ็คเกจ
راست	ทรู
راست	แท้
راست	จริง
فاصله	อวกาศ
فاصله	พื้นที่
سنت	ประเพณี
سنت	ธรรมเนียม
اغلب	บ่อยๆ
اغلب	มัก
اغلب	บ่อย
فضای	อวกาศ
فضای	พื้นที่
چشم	ดวงตา
چشم	นัยน์ตา
چشم	สายตา
چشم	ตา
مختصات	ประสาน
مختصات	พิกัด
عامل	ตัวประกอบ
عامل	ปัจจัย
متولد	เกิด
قوانین	กฎหมาย
قوانین	กติกา
قوانین	กฎ
قوانین	กฏ
کمتر	น้อย
صنعتی	อุตสาหกรรม
صنعت	อุตสาหกรรม
گیاهان	สมุนไพร
گیاهان	พืช
کشوری	ประเทศ
آرامگاه	สุสาน
پشت	กลับ
سینما	ภาพยนตร์
سینما	ภาพยนต์
سینما	หนัง
پروژه	โครงการ
حمایت	สนับสนุน
حمایت	รองรับ
باغ	สวน
واژه	คำ
واژه	ลมปาก
بدن	ร่าง
بدن	ร่างกาย
بدن	กาย
شاید	บางที
مقدار	จำนวน
جرم	ก้อน
جرم	มวล
جرم	อาชญากรรม
کاری	งาน
کاری	ทำงาน
مردان	ผู้ชาย
مردان	บุรุษ
مردان	ชาย
عصر	อายุ
عصر	ยุค
عصر	บ่าย
عصر	เย็น
سرزمین	ที่ดิน
سرزمین	แลนด์
موجب	สาเหตุ
سوریه	ซีเรีย
نامه	จดหมาย
موزه	พิพิธภัณฑ์
پادشاه	ราชา
پادشاه	คิง
پادشاه	กษัตริย์
عبارت	สำนวน
عبارت	วลี
بازگشت	กลับ
استاندارد	มาตรฐาน
بانک	แบงค์
بانک	ธนาคาร
بانک	แบงก์
مکزیک	เม็กซิโก
فلسفه	ปรัชญา
دولتی	รัฐบาล
دولتی	ราชการ
نقل	อ้างอิง
نقل	คำคม
ترک	ทิ้ง
ترک	เติร์ก
ترک	เลิก
نشر	ปล่อย
سفر	ทริป
پاریس	ปารีส
توصیف	อธิบาย
توصیف	บรรยาย
رابطه	สัมพันธ์
مراسم	พิธี
مراسم	พิธีการ
دریای	ทะเล
اتریش	ออสเตรีย
توان	อำนาจ
توان	พลัง
توان	พลังงาน
پر	ฟู
پر	เต็ม
پر	บางเบา
پر	ขน
پر	ต่อ
ربات	บ็อต
دستور	ลำดับ
تیره	มืด
تیره	เข้ม
دوست	ชอบ
دوست	รัก
دوست	เพื่อน
دوست	ถูกใจ
حل	แก้
حل	ไข
تلاش	พยายาม
دفتر	ออฟฟิศ
دفتر	สำนักงาน
ماده	หญิง
بلژیک	เบลเยียม
بلژیک	เบลเยี่ยม
ارزش	คุ้ม
ارزش	มูลค่า
مربع	ตาราง
شریک	คู่หู
تعیین	ประเมิน
مسابقه	ประกวด
مسابقه	แมตช์
مسابقه	แข่ง
گرم	ร้อนๆ
گرم	ร้อน
گرم	อุ่น
گرم	อบอุ่น
پاسخ	ตอบ
ورزشکاران	นักกีฬา
درآمد	รายรับ
بازبینی	รีวิว
بازبینی	วิจารณ์
مرحله	เฟส
مرحله	เวที
مرحله	ขั้น
مرحله	ก้าว
نبرد	รบ
نبرد	ศึก
نبرد	สงคราม
شهرت	เกียรติยศ
سبز	เขียว
حد	จำกัด
حد	วงเงิน
محصولات	ผลิตภัณฑ์
محصولات	สินค้า
اداره	กรม
اداره	แผนก
اداره	ออฟฟิศ
اداره	สำนักงาน
وب	เว็บ
مذهبی	ศาสนา
هنرمندان	ศิลปิน
آرژانتین	อาร์เจนตินา
اش	แอช
فرود	ลง
فرود	ดาวน์
تجاری	พาณิชย์
تجاری	โฆษณา
اصلاح	แก้
اصلاح	ปฏิรูป
خون	โลหิต
خون	เลือด
کلمبیا	โคลอมเบีย
کلمبیا	โคลัมเบีย
خوبی	ดี
