மற்றும்	そして
எண்	ナンバー
எண்	カウント
எண்	番号
எண்	数値
குறிப்பிட்ட	特定
குறிப்பிட்ட	指定された
செய்ய	メイク
சிறிய	スモール
சிறிய	小さい
சிறிய	小さな
சிறிய	リトル
வேறு	その他
மார்ச்	マーチ
மார்ச்	行進曲
நிலையில்	舞台
நிலையில்	状態
நிலையில்	ステージ
நிலையில்	条件
பெண்	女の子
பெண்	女性
பெண்	少女
பெண்	ガール
வெற்றி	勝つ
வெற்றி	サクセス
வெற்றி	優勝
வெற்றி	成功
வெற்றி	ウォン
வெற்றி	勝ち
வெற்றி	勝利
இணைப்பு	つながり
இணைப்பு	リンク
இணைப்பு	愛着
இணைப்பு	接続
இணைப்பு	差押え
இணைப்பு	添付
திரைப்படம்	映画
திரைப்படம்	ムービー
திரைப்படம்	フィルム
வகை	分類
வகை	区分
வகை	タイプ
வகை	種類
வகை	モード
வகை	カテゴリー
வகை	カテゴリ
ஐந்து	ファイブ
ஐந்து	五つ
அதே	同じ
அதே	おなじ
சிறப்பு	スペシャル
சிறப்பு	注目
விட	より
சுமார்	について
கட்டுரைகள்	冠詞
கட்டுரைகள்	記事
படி	ステップ
படி	読み込み
படி	読み取り
படி	読む
படி	読み
மனித	人間
மனித	ヒューマン
மனித	ヒト
பெரும்பாலும்	ほぼ
பெரும்பாலும்	頻繁
பெரும்பாலும்	ほとんど
பெரும்பாலும்	しばしば
கட்சி	パーティ
கட்சி	パーティー
பொது	共通
பொது	公開
பொது	公衆
பொது	将軍
பொது	一般
பொது	パブリック
பொது	全般
கல்லூரி	カレッジ
கல்லூரி	大学
இசை	ミュージック
இசை	音楽
முறையில்	モード
நாட்டின்	国名
நாட்டின்	カントリー
மத்திய	中央
மத்திய	セントラル
மில்லியன்	ミリオン
மில்லியன்	百万
நகரம்	シティ
நகரம்	都市
நீர்	ウォーター
இணைந்து	参加
விக்கிப்பீடியா	ウィキペディア
பார்க்க	見る
அணி	チーム
அணி	マトリックス
அணி	行列
எழுதிய	筆記
நிலையம்	ステーション
தொடர்பான	関連
மீட்டர்	メーター
மீட்டர்	メートル
இடத்தில்	場所
இடத்தில்	スポット
கோவில்	神殿
கோவில்	テンプル
கோவில்	寺院
மாதம்	月間
ஆய்வு	リサーチ
ஆய்வு	勉強
ஆய்வு	研究
வட	ノース
குறைந்த	少ない
குறைந்த	低い
முன்	前面
முன்	フロント
முன்	以前
முன்	表側
வாழ்க்கை	ライフ
வாழ்க்கை	生命
வாழ்க்கை	生活
வாழ்க்கை	人生
இரண்டாவது	番目
இரண்டாவது	セカンド
ஆங்கிலம்	英語
ஆங்கிலம்	イングリッシュ
அங்கு	そこ
தொழில்	業界
தொழில்	職業
தொழில்	ビジネス
தொழில்	産業
தொழில்	事業
தொழில்	営業
பழைய	オールド
பழைய	古い
ஆண்டுகள்	年数
குறிப்பாக	特に
பார்க்கவும்	時計
பார்க்கவும்	腕時計
பார்க்கவும்	訪問
துறை	学科
துறை	港湾
துறை	ポート
துறை	部署
துறை	部門
கடல்	大洋
கடல்	マリン
சிறு	スモール
சிறு	小さい
சிறு	小さな
சிறு	マイナー
தென்	サウス
உயர்	高い
உயர்	デラックス
உயர்	ハイ
வடக்கு	ノース
ஆட்சி	ガバナンス
ஆட்சி	王国
ஆட்சி	ルール
மக்களின்	ピープル
நோய்	疾病
நோய்	疾患
நோய்	病気
தேர்தல்	選挙
தேர்தல்	選任
உற்பத்தி	製作
உற்பத்தி	製造業
உற்பத்தி	プロダクション
உற்பத்தி	生産
கலை	美術
கலை	アート
கலை	芸術
சமூக	ソーシャル
தர	品質
தர	クオリティ
தர	画質
நூற்றாண்டு	センチュリー
நூற்றாண்டு	世紀
அமெரிக்கா	アメリカ
பரிசு	ギフト
பரிசு	贈り物
பிரிவு	ディビジョン
பிரிவு	師団
பிரிவு	分類
பிரிவு	区分
பிரிவு	セクション
பிரிவு	カテゴリー
பிரிவு	カテゴリ
உடல்	ボディ
உடல்	身体
உடல்	本体
உடல்	本文
இவர்கள்	これら
இவர்கள்	これらの
கூட	偶数
கூட	また
எழுத்தாளர்	ライター
எழுத்தாளர்	作家
குழு	グループ
குழு	集団
இலக்கிய	文芸
இலக்கிய	文学
விளையாட்டு	ゲーム
விளையாட்டு	スポーツ
உறுப்பினர்கள்	メンバー
உறுப்பினர்கள்	メンバ
இறப்பு	デス
அடி	両足
அடி	フィート
அடி	ヒット
துணை	サブ
துணை	バイス
துணை	サポート
துணை	パートナー
துணை	支持
பதிப்பு	エディション
பதிப்பு	バージョン
சொல்	単語
சொல்	セイ
சொல்	言葉
சொல்	ワード
தெற்கு	サウス
கட்டுரை	冠詞
கட்டுரை	構成
கட்டுரை	随筆
கட்டுரை	エッセイ
கட்டுரை	記事
கட்டுரை	合成
வட்டம்	サークル
சராசரி	意地悪
சராசரி	平均
தொலைக்காட்சி	テレビ
முன்னாள்	前者
எண்ணிக்கை	カウント
எண்ணிக்கை	頻度
எண்ணிக்கை	周波数
தவிர	除外
நடிகர்	俳優
பாடல்கள்	ソング
இன்று	トゥデイ
இன்று	今日
சட்டம்	法律
சட்டம்	フレーム
சட்டம்	法学
சட்டம்	アクト
அருகில்	近く
அருகில்	付近
நேரம்	タイム
நேரம்	時間
முதலாவது	ファースト
முதலாவது	最初
நாம்	レット
மூலமாக	スルー
உணவு	料理
உணவு	食品
உணவு	食べ物
குறித்து	について
பெப்ரவரி	二月
பகுதிகள்	部品
பகுதிகள்	コンポーネント
பகுதிகள்	地域
பகுதிகள்	セグメント
பகுதிகள்	パーツ
பகுதிகள்	リージョン
நிறுவனங்கள்	会社
நிறுவனங்கள்	団体
எழுத்தாளர்கள்	作家
நல்ல	良い
நல்ல	グッド
படம்	フォト
படம்	写真
படம்	画像
படம்	イメージ
பாதுகாப்பு	抗弁
பாதுகாப்பு	セキュリティー
பாதுகாப்பு	セキュリティ
பாதுகாப்பு	金庫
பாதுகாப்பு	防御
பாதுகாப்பு	ディフェンス
பாதுகாப்பு	安全
பாதுகாப்பு	防衛
பாதுகாப்பு	保護
பாதுகாப்பு	セーフ
பாதுகாப்பு	セーフティ
தந்தை	父親
பங்கு	役割
நியூ	ニウエ
பதிவு	ポスト
பதிவு	記録
பதிவு	投稿
பதிவு	登録
பதிவு	レジスタ
பதிவு	インプレッション
பதிவு	登記
பதிவு	レコード
பதிவு	原簿
முழுவதும்	完備
முழுவதும்	フル
முழுவதும்	いっぱい
முழுவதும்	コンプリート
பயனர்	ユーザ
பயனர்	ユーザー
தொடர்	続ける
தொடர்	続行
தொடர்	シリアル
ஜூன்	六月
ஜூன்	じゅん
உறுப்பினர்	会員
உறுப்பினர்	メンバー
உறுப்பினர்	クライアント
உறுப்பினர்	メンバ
ஆசிரியர்	教師
ஆசிரியர்	エディター
ஆசிரியர்	著者
ஆசிரியர்	教員
ஆசிரியர்	エディタ
ஆசிரியர்	作家
ஆசிரியர்	先生
ஆசிரியர்	作者
ஆஃப்	オフ
முக்கியமான	クリティカル
முக்கியமான	重要
தொடர்பு	コンタクト
ஆற்றல்	エネルギー
கிலோ	キロ
வேலை	ジョブ
வேலை	作業
வேலை	仕事
வேலை	ワーク
வேலை	職業
இருக்கலாம்	未定
இருக்கலாம்	たぶん
இருக்கலாம்	多分
பணி	ジョブ
பணி	タスク
பணி	仕事
பணி	作業
பணி	ワーク
பணி	職業
கதை	ストーリー
கதை	記事
கதை	物語
அதிகமாக	辛うじて
பட்டம்	カイト
பட்டம்	卒業
பட்டம்	学位
வழி	ウェイ
வழி	トレイル
அப்போது	それから
விடுதலை	自由
விடுதலை	解放
ஆகஸ்ட்	アウグスト
தேதி	デート
தேதி	日付
பிறந்த	誕生
இன்னும்	スティル
இன்னும்	まだ
இன்னும்	そして
இன்னும்	それでも
ஜான்	ジョン
சேவை	サービス
கருத்து	コメント
கருத்து	テーマ
கருத்து	フィードバック
காரணம்	理性
காரணம்	原因
காரணம்	理由
தனி	非公開
தனி	プライベート
நீண்ட	ロング
நீண்ட	長い
பள்ளி	スクール
பள்ளி	学校
மகன்	息子
சர்வதேச	インターナショナル
சர்வதேச	国際
எல்லா	すべて
பொருட்கள்	商品
பொருட்கள்	プロダクト
பொருட்கள்	製品
பொருட்கள்	アイテム
பொருட்கள்	オブジェクト
பொருட்கள்	品物
மின்	電気
மின்	エレクトリック
என்றால்	手段
ஏழு	セブン
நடைபெற்ற	開催
முன்னர்	以前
பொறியியல்	工学
பொறியியல்	エンジニアリング
அமைப்புகள்	設定
அமைப்புகள்	セッティング
அமைப்புகள்	団体
மொழிகள்	言語
அத்துடன்	また
முழு	フル
முழு	いっぱい
முதன்மை	プライマリ
முதன்மை	トップ
முதன்மை	メイン
முதன்மை	上部
மணி	マニ
மணி	ベル
மணி	時間
தொகுப்பு	パッケージ
தொகுப்பு	コレクション
தொகுப்பு	構成
தொகுப்பு	合成
தொலைவில்	遠く
தொலைவில்	遠い
தொலைவில்	アウェイ
மருத்துவ	医学
வணிக	商業
வணிக	商用
வணிக	コマーシャル
திருமணம்	結婚式
திருமணம்	ウェディング
திருமணம்	既婚
திருமணம்	婚姻
திருமணம்	結婚
நீங்கள்	あなた
நடித்த	主演
பொதுவான	共通
பொதுவான	公開
பொதுவான	公衆
பொதுவான	将軍
பொதுவான	一般
பொதுவான	パブリック
பொதுவான	全般
சமயம்	コミュニティ
சமயம்	コミュニティー
சமயம்	宗教
எதிராக	反対
விட்டு	離れる
பக்கம்	ページ
அதிகம்	もっと
அதிகம்	高い
அதிகம்	ハイ
நாட்கள்	日数
திருத்தந்தை	教皇
மாற்றம்	変化
மாற்றம்	変換
மாற்றம்	チェンジ
மாற்றம்	変更
கழகம்	協会
கழகம்	社団
கழகம்	アソシエーション
இறுதி	終了
இறுதி	決勝
இறுதி	エンド
இறுதி	ファイナル
இறுதி	最終
இணைய	インターネット
வகைகள்	分類
வகைகள்	種類
வகைகள்	モード
வகைகள்	カテゴリー
வகைகள்	カテゴリ
சீன	中国人
சீன	中国語
இயற்கை	自然
இயற்கை	ナチュラル
இயற்கை	ネイチャー
தலைமை	リーダーシップ
தலைமை	チーフ
வேதியியல்	化学
நிதி	ファイナンス
நிதி	金融
நிதி	財政
நிதி	財務
போக்குவரத்து	輸送
போக்குவரத்து	交通
புகழ்	賛美
புகழ்	言い訳
புகழ்	賞賛
புகழ்	いいわけ
புகழ்	名声
முன்பு	以前
அதிகமான	高い
அதிகமான	マックス
அதிகமான	ハイ
கீழே	ダウン
கீழே	以下
கீழே	ボトム
பிப்ரவரி	二月
செய்தி	伝言
செய்தி	記事
செய்தி	メッセージ
செய்தி	物語
செய்தி	ストーリー
செய்தி	ニュース
உதவி	ヘルプ
பிரெஞ்சு	フレンチ
பிரெஞ்சு	フランス語
மலை	マウンテン
செயலாளர்	秘書
வெவ்வேறு	異なる
படைகள்	フォース
தேர்தலில்	選挙
தேர்தலில்	選任
பால்	ポール
பால்	牛乳
பால்	パウル
பால்	ミルク
பால்	ミルキー
வீரர்கள்	プレイヤー
வீரர்கள்	兵士
வீரர்கள்	選手
தன்மை	挙動
தன்மை	行動
மிகப்பெரிய	大きい
மிகப்பெரிய	巨大
விடுதலைப்	解放
கணினி	コンピュータ
கணினி	コンピューター
கணினி	システム
தேவையான	必須
நவீன	涼しい
நவீன	クール
நவீன	モダン
சிகிச்சை	セラピー
சிகிச்சை	トリートメント
சிகிச்சை	治療
சிகிச்சை	待遇
தொகுதிகள்	ブロック
மாநிலம்	状態
மாநிலம்	都道府県
தற்போதைய	プレゼント
தற்போதைய	現在
வருகின்றன	来る
வருகின்றன	カミング
தேர்வு	チョイス
தேர்வு	セレクション
தேர்வு	選択
தேர்வு	選考
பலர்	多数
ஊர்	タウン
தூதரகம்	大使館
நோபல்	尊い
நோபல்	ノーベル
முடிவு	結論
முடிவு	終了
முடிவு	エンディング
முடிவு	エンド
முடிவு	結果
பத்து	テン
வானூர்தி	飛行機
வானூர்தி	航空
வானூர்தி	航空機
தோற்றம்	スタイル
தோற்றம்	出演
தோற்றம்	外観
தோற்றம்	ルック
வயது	年齢
சிங்	シング
இதழ்கள்	雑誌
இதழ்கள்	花びら
இதழ்கள்	花弁
தனிப்பட்ட	パーソナル
தனிப்பட்ட	独特
தனிப்பட்ட	非公開
தனிப்பட்ட	プライベート
தனிப்பட்ட	ユニーク
தனிப்பட்ட	個人
என்பதால்	以来
கோயில்கள்	寺院
மென்பொருள்	ソフトウェア
மென்பொருள்	ソフトウエア
பொழுது	とき
பொழுது	いつ
சோவியத்	ソビエト
தேவை	ニーズ
தேவை	必須
தேவை	求む
சக்தி	エネルギー
சக்தி	パワー
சக்தி	権力
இல்லாமல்	なし
நிகழ்வுகள்	イベント
நிகழ்வுகள்	行事
போரில்	戦い
போரில்	戦闘
போரில்	バトル
போட்டி	コンテスト
போட்டி	コンペティション
போட்டி	トーナメント
போட்டி	一致
போட்டி	コンペ
போட்டி	競争
போட்டி	マッチ
போட்டி	競技
உட்பட	含む
ஏறத்தாழ	ほぼ
ஏறத்தாழ	ほとんど
கத்தோலிக்க	カトリック
மூன்றாவது	番目
மூன்றாவது	サード
இருந்தாலும்	だけれども
இயக்கம்	楽章
இயக்கம்	オペレーション
இயக்கம்	運動
இயக்கம்	操作
இயக்கம்	作戦
இயக்கம்	ムーブメント
இயக்கம்	運営
இயக்கம்	モーション
இயக்கம்	運行
நடிகர்கள்	俳優
உரை	テキスト
குறிப்பு	メモ
குறிப்பு	リファレンス
குறிப்பு	参照
குறிப்பு	ノート
குறிப்பு	参考
விருதுகள்	受賞
விருதுகள்	表彰
குறைவான	少ない
குறைவான	低い
கடந்த	ラスト
கடந்த	最後
கடந்த	過去
கடந்த	最終
ஆண்	メン
ஆண்	男性
ஆண்	オス
திறன்	能力
திறன்	定員
திறன்	スキル
திறன்	容量
கொள்கை	政策
கொள்கை	方針
கொள்கை	ポリシー
உரிமை	権利
இல்லாத	無料
இல்லாத	フリー
இல்லாத	自由
இல்லாத	なし
இலக்கியம்	文芸
இலக்கியம்	文学
அடங்கும்	含む
வடிவம்	書式
வடிவம்	図形
வடிவம்	形状
வடிவம்	シェイプ
வடிவம்	フォーマット
நாடாளுமன்ற	国会
நாடாளுமன்ற	議会
ஒன்றை	ワン
ஒன்றை	一人
ஒன்றை	一つ
பயிற்சி	トレーニング
பயிற்சி	修行
பயிற்சி	チュートリアル
பயிற்சி	講習
பயிற்சி	研修
பயிற்சி	練習
பயிற்சி	訓練
கோட்டை	要塞
கோட்டை	キャッスル
கோட்டை	フォート
உயிர்	生活
உயிர்	母音
உயிர்	ライフ
உயிர்	人生
உயிர்	生命
சேர்த்து	含める
தீவுகள்	諸島
காந்தி	ガンジー
எழுத்து	執筆
எழுத்து	スペル
எழுத்து	筆記
எழுத்து	スペリング
எழுத்து	つづり
எழுத்து	性格
எழுத்து	書き込み
எழுத்து	スクリプト
எழுத்து	脚本
எழுத்து	文字
எழுத்து	キャラクター
விளக்கம்	説明
விளக்கம்	解説
சூரிய	ソーラー
எழுதி	バーナー
எதிரான	反対
எட்டு	エイト
உலகம்	グローブ
உலகம்	グローバル
உலகம்	ワールド
உலகம்	世界
ஏனெனில்	だって
ஏனெனில்	なぜなら
சாதாரண	ノーマル
சாதாரண	平野
சாதாரண	無地
சாதாரண	普通
அரசியல்வாதிகள்	政治家
கூடுதல்	エクストラ
வழங்கப்பட்டது	付与
தாய்	母親
தாய்	タイ
தாய்	おかあさん
பண்டைய	古代
தடை	中止
தடை	割り込み
தடை	中断
விமான	航空
இப்போது	ナウ
குழந்தை	子供
குழந்தை	赤ちゃん
குழந்தை	乳児
குழந்தை	幼児
குழந்தை	児童
குழந்தை	キッド
குழந்தை	ベイビー
விக்கி	ウィキ
விக்கி	ヴィッキー
சிங்கப்பூர்	シンガポール
கடவுள்	ゴッド
மையம்	中央
மையம்	軌跡
மையம்	センター
மையம்	中心
காட்சி	ディスプレイ
காட்சி	場面
காட்சி	現場
காட்சி	見る
காட்சி	シーン
காட்சி	ビュー
காட்சி	表示
காட்சி	ショー
வங்கி	バンク
வங்கி	銀行
நடிகை	女優
நடிகை	俳優
சங்கம்	協会
சங்கம்	社団
சங்கம்	アソシエーション
பயணம்	トリップ
பயணம்	旅行
தில்லி	デリー
ஒளி	明るい
ஒளி	軽い
ஒளி	ライト
விகிதம்	レート
விகிதம்	比率
விகிதம்	パーセント
விகிதம்	評価
விகிதம்	割合
சாலை	道路
கொழும்பு	コロンボ
குடியரசு	共和制
குடியரசு	共和国
நகரங்கள்	都市
அனைத்தும்	全て
அனைத்தும்	すべて
மேலாண்மை	経営
மேலாண்மை	管理
மேலாண்மை	マネージメント
மேலாண்மை	マネジメント
இங்கே	ここ
இதழ்	雑誌
இதழ்	マガジン
கலைஞர்	芸術家
கலைஞர்	アーティスト
குறிப்பிடத்தக்கது	著しい
ஒலிம்பிக்	オリンピック
மலேசிய	マレーシア
மாவட்டங்கள்	ディストリクト
உருவாக்கப்பட்டது	作成
வெள்ளை	白い
வெள்ளை	ホワイト
பேரரசு	帝政
பேரரசு	エンパイア
பேரரசு	帝国
ஆராய்ச்சி	リサーチ
ஆராய்ச்சி	研究
தளம்	ベース
தளம்	プラットフォーム
தளம்	敷地
தளம்	サイト
தளம்	ドメイン
தளம்	塩基
தளம்	プラットホーム
விழா	フェスティバル
விழா	式典
விழா	セレモニー
விழா	お祭り
விழா	儀式
விழா	祭事
விழா	祭り
பக்கத்தில்	ページ
சங்க	サンガ
புற	リモート
முன்னணி	前景
முன்னணி	前面
முன்னணி	フロント
முன்னணி	表側
புவியியல்	地理
அடையாளம்	サイン
அடையாளம்	記号
அடையாளம்	アイデンティティー
அடையாளம்	アイデンティティ
அடையாளம்	署名
அடையாளம்	識別
அடையாளம்	同定
அடையாளம்	タグ
குறியீடு	シンボル
குறியீடு	コード
குறியீடு	記号
குறியீடு	符号
செயல்	オペレーション
செயல்	アクション
செயல்	作戦
செயல்	機能
செயல்	操作
செயல்	関数
செயல்	運営
செயல்	運行
மன்னன்	国王
மன்னன்	キング
பயன்பாடு	使い方
பயன்பாடு	アプリ
பயன்பாடு	アプリケーション
பயன்பாடு	出願
முறைகள்	メソッド
சொந்த	パーソナル
சொந்த	個人
வார்ப்புரு	テンプレート
காதல்	ラブ
காதல்	ラヴ
காதல்	ロマンチック
இவன்	イヴァン
இவன்	イワン
இருவரும்	両方
வகைப்பாடு	分類
கனடா	カナダ
குழந்தைகள்	子供
குழந்தைகள்	キッズ
அனைவரும்	すべて
அனைவரும்	みんな
தகவல்கள்	情報
பெயர்கள்	名称
பெயர்கள்	名前
அணு	原子
பின்பு	それから
மாணவர்கள்	生徒
மாணவர்கள்	学生
சரியான	パーフェクト
சரியான	正解
சரியான	正しい
சரியான	完璧
உருவாக்கப்பட்ட	作成
சபை	組み立て
சபை	アセンブリ
சபை	集会
மருத்துவம்	医学
கிராமம்	村落
கிராமம்	ヴィレッジ
தாக்குதல்	アサルト
தாக்குதல்	暴行
தாக்குதல்	攻撃
தாக்குதல்	進撃
மதிப்பு	価額
மதிப்பு	バリュー
கருவிகள்	ツール
கருவிகள்	道具
படை	フォース
பதவி	役割
பதவி	役職
பதவி	位置
பதவி	ポジション
அஞ்சல்	郵便
அஞ்சல்	メール
உதவும்	ヘルプ
சொற்கள்	単語
சொற்கள்	言葉
வெளியீடு	アウトプット
வெளியீடு	釈放
வெளியீடு	出版物
வெளியீடு	出版
வெளியீடு	公表
வெளியீடு	出力
வெளியீடு	リリース
எதிர்	反対
தொழில்நுட்ப	テクニカル
வெளியே	アウト
வானொலி	ラジオ
கிராமங்கள்	村落
மீன்	魚類
மீன்	繊維
மீன்	フィッシュ
போதும்	十分
மஞ்சள்	黄色
மஞ்சள்	イエロー
வருவாய்	所得
வருவாய்	歳入
வருவாய்	収益
வருவாய்	収入
மலேசியா	マレーシア
கிலோமீட்டர்	キロ
கிலோமீட்டர்	キロメートル
கொள்ளும்	確執
உள்ளூர்	地元
உள்ளூர்	ローカル
கிட்டத்தட்ட	ほぼ
கிட்டத்தட்ட	ほとんど
கடைசி	ラスト
கடைசி	最後
கடைசி	最終
குரு	グル
ஆனாலும்	しかし
ஆனாலும்	でも
படத்தில்	写真
படத்தில்	フォト
எதிர்ப்பு	レジスタンス
எதிர்ப்பு	抵抗
எதிர்ப்பு	野党
வான்	ヴァン
வான்	バン
சிறப்பாக	最高
சிறப்பாக	ベスト
சிறப்பாக	グレート
சிறப்பாக	ベター
நன்கு	まあ
பேராசிரியர்	教授
பதிப்பகம்	出版
பதிப்பகம்	パブリッシング
தனியார்	非公開
தனியார்	プライベート
தரவு	データ
நம்பிக்கை	トラスト
நம்பிக்கை	信仰
நம்பிக்கை	信念
நம்பிக்கை	信頼
நம்பிக்கை	自信
நம்பிக்கை	フェイス
நம்பிக்கை	希望
நம்பிக்கை	忠実
நம்பிக்கை	ホープ
இடங்கள்	場所
இடங்கள்	スポット
இடங்கள்	所在地
மரபு	遺伝
மரபு	熟語
மும்பை	ムンバイ
விற்பனை	セールス
விற்பனை	売る
விற்பனை	販売
விற்பனை	売り上げ
விற்பனை	セール
விற்பனை	マーケティング
விற்பனை	売上
வருடம்	イヤー
மேலே	トップ
மேலே	上記
மேலே	上部
மேலே	上の
ஏற்கனவே	既に
ஏற்கனவே	すでに
அம்மன்	アンマン
என்றாலும்	だけれども
கடன்	クレジット
கடன்	ローン
கடன்	信用
கடன்	債務
கடன்	融資
விலை	価格
விலை	値段
விலை	対価
விலை	プライス
செய்திகள்	ニュース
