ve	وال
sağlık	طبي
sağlık	الطبية
sağlık	عافية
sağlık	صحة
genel	لواء
genel	اجمالا
genel	عام
genel	اللواء
genel	عامة
genel	عموما
genel	جنرال
genel	الجنرال
mart	مارس
mart	مسيرة
mart	اذار
mart	المسيرة
adı	الاسم
adı	اسم
film	الفلم
film	الفيلم
film	الافلام
film	افلام
film	فيلم
haziran	حزيران
haziran	يونيو
mayıs	ايار
mayıs	مايو
mayıs	ماي
mayıs	قد
dosya	ملف
dosya	الملفات
dosya	ملفات
dosya	الملف
ocak	موقد
ocak	الموقد
ocak	يان
ocak	جان
ocak	يناير
ocak	طنجرة
yıl	السنه
yıl	عام
yıl	سنه
yıl	السنة
yıl	سنة
yıl	العام
kasım	نوفمبر
kasım	قاسم
avrupa	الاوروبية
avrupa	اوروبا
avrupa	اوربا
avrupa	يوروبا
avrupa	الاوروبي
ama	لكن
ama	بس
ama	ولكن
karşı	مضاد
karşı	العداد
karşı	ضد
toplam	المبلغ
toplam	اجمالا
toplam	اجمالي
toplam	مبلغ
toplam	الاجمالي
toplam	عموما
toplam	مجموع
toplam	المجموع
toplam	العمر
ikinci	ثاني
ikinci	الثاني
ikinci	الثانيه
ikinci	ثانيا
ikinci	تاني
ikinci	الثانية
eylül	سبتمبر
eylül	ايلول
ağustos	اغسطس
ağustos	اوغست
içinde	للداخل
içinde	بالداخل
içinde	داخل
içinde	الداخل
içinde	ضمن
içinde	داخلي
temmuz	تموز
temmuz	يوليو
önce	قبل
önce	اولا
önce	اول
önce	الاول
önce	الاولى
nisan	نيسان
nisan	ابريل
resim	الرسم
resim	رسمة
resim	ارسم
resim	الصوره
resim	اللوحة
resim	رسم
resim	لوحة
resim	صورة
resim	صوره
resim	الصورة
üniversitesi	الجامعة
üniversitesi	جامعة
ye	اكل
ye	كلي
ye	كلوا
ye	كل
ekim	اكتوبر
şehir	الحضر
şehir	المدينه
şehir	تاون
şehir	الحضري
şehir	بلدة
şehir	البلدة
şehir	مدينة
şehir	حضرية
şehir	الحضرية
şehir	حضري
şehir	المدينة
şehir	سيتي
zaman	الزمن
zaman	الوقت
zaman	وقت
zaman	الزمان
zaman	زمن
bazı	بعض
bazı	البعض
aralık	ديسمبر
köy	القرية
köy	قرية
yüksek	مرتفع
yüksek	عال
yüksek	عالية
yüksek	عالي
yüksek	اعلى
yüksek	عاليا
yüksek	الاعلى
birçok	كثير
birçok	العديد
birçok	كثيرون
birçok	الكثيرون
birçok	الكثير
şubat	شباط
şubat	فبراير
sadece	مجرد
sadece	فقط
yol	الطريقة
yol	طريقة
yol	المسار
yol	الدرب
yol	الطريق
yol	طريقه
yol	طريق
yol	مسار
yol	الصراط
fakat	لكن
fakat	بس
fakat	ولكن
grup	الفرقة
grup	مجموعة
grup	المجموعة
grup	فرقة
takım	الفرقة
takım	فريق
takım	الفريق
takım	فرقة
kendi	امتلك
şekilde	طريقة
şekilde	الطريق
şekilde	طريقه
şekilde	الطريقة
tek	العزاب
tek	الفردي
tek	فردي
tek	عزباء
tek	عازب
bilgi	المعلومات
bilgi	الاعلام
bilgi	المعرفة
bilgi	معرفة
bilgi	المعارف
bilgi	معلومات
kez	اوقات
kez	مرات
kez	الاوقات
kez	التايمز
kez	المرات
kez	تايمز
hakkında	عن
hakkında	بشان
hakkında	بخصوص
hakkında	حول
osmanlı	العثمانيين
osmanlı	العثمانية
devlet	الحكومة
devlet	الحالة
devlet	الولاية
devlet	ولاية
devlet	الدولة
devlet	الحكومات
devlet	حكومة
devlet	دولة
üç	ثلاث
üç	ثلاثة
üç	ثلاثه
tarihi	التاريخ
tarihi	تاريخي
tarihi	تاريخية
tarihi	موعد
tarihi	الموعد
tarihi	تاريخ
başladı	بدا
başladı	بدات
küçük	صغير
küçük	صغر
küçük	الصغير
küçük	صغيرة
küçük	القليل
küçük	قليل
küçük	ليل
küçük	صغيره
müzik	الموسيقى
müzik	موسيقى
müzik	موسيقي
gelen	واردة
gelen	الواردة
resmi	الصوره
resmi	صورة
resmi	الرسمي
resmi	رسمي
resmi	صوره
resmi	الصورة
resmi	مسؤول
resmi	رسمية
kabul	تقبل
kabul	نتفق
kabul	قبلت
kabul	مقبولة
kabul	القبول
kabul	اوافق
kabul	يتقبل
kabul	اتفق
kabul	اقبل
kabul	قبول
kabul	نقبل
kabul	متفق
kabul	يقبل
devam	مواصلة
devam	احتفظ
devam	الاستمرار
devam	تواصل
kupası	فنجان
kupası	كوب
kupası	الكوب
kupası	الكاس
kupası	كاس
fazla	فائض
fazla	الفائض
okulu	مدرسة
okulu	مدرسه
okulu	المدرسة
okulu	المدارس
aldı	وردت
aldı	اخذ
aldı	استقبل
aldı	ورد
aldı	المتخذة
aldı	تلقت
aldı	تؤخذ
aldı	اخذت
aldı	استلام
aldı	ماخوذ
em	مص
em	امتص
sahip	صاحب
farklı	مختلفين
farklı	مختلفة
farklı	مختلف
farklı	مختلفا
ileti	الرسالة
ileti	رساله
ileti	رسالة
doğru	دقيقا
doğru	صحح
doğru	الحق
doğru	دقيق
doğru	يمين
doğru	حقيقي
doğru	صح
doğru	حق
doğru	صحيح
tarım	زراعية
tarım	زراعة
tarım	الزراعة
on	عشر
on	العشرة
on	العاشرة
on	عشرة
özel	الخاصة
özel	مخصصة
özel	حصريا
özel	الحصري
özel	حصري
özel	العرف
özel	مميز
özel	مخصص
özel	الخاص
özel	خاص
özel	حصرية
özel	خاصة
biri	واحد
biri	شخص
biri	احد
biri	واحدة
biri	واحده
alanı	المنطقة
alanı	حقل
alanı	الميدان
alanı	مساحة
alanı	منطقة
alanı	الحقل
alanı	المساحة
alanı	ميدان
vikipedi	ويكيبيديا
uzun	لونغ
uzun	مدد
uzun	اطول
uzun	الطويل
uzun	طويل
uzun	مددت
uzun	طويلا
uzun	طويلة
şarkı	تغني
şarkı	اغاني
şarkı	اغنية
şarkı	الاغاني
şarkı	الاغنيه
şarkı	الاغنية
şarkı	اغان
şarkı	اغنيه
şarkı	الغناء
şarkı	اغني
şarkı	يغني
şarkı	سونغ
şarkı	غناء
lig	دوري
lig	الدوري
orta	وسط
orta	الاوسط
orta	متوسط
orta	الوسط
orta	المتوسط
orta	متوسطة
orta	منتصف
orta	المنتصف
orta	المركز
orta	سنتر
orta	مركز
oyuncu	اللاعب
oyuncu	ممثله
oyuncu	ممثل
oyuncu	مشغل
oyuncu	لاعب
oyuncu	فاعل
oyuncu	الممثلة
oyuncu	الممثل
oyuncu	ممثلة
geri	عودة
geri	ارجع
geri	عاد
geri	الظهر
geri	الوراء
geri	الخلف
geri	متخلفة
geri	ظهر
geri	العودة
mesaj	الرسائل
mesaj	نص
mesaj	النص
mesaj	رساله
mesaj	رسالة
mesaj	رسائل
mesaj	نصوص
mesaj	الرسالة
elektrik	كهربائي
elektrik	الكهرباء
elektrik	كهرباء
elektrik	كهربائية
ardından	بعد
ardından	بعدما
merkezi	سنترال
merkezi	وسط
merkezi	الوسط
merkezi	سنتر
merkezi	مركز
merkezi	مركزي
merkezi	المنتصف
merkezi	المركز
merkezi	مركزية
merkezi	الوسطى
kısa	مختصر
kısa	الاقصر
kısa	موجز
kısa	قصير
kısa	شورت
kısa	اقصر
kısa	موجزة
kısa	قصيرة
kısa	القصير
güney	جنوبا
güney	جنوب
güney	جنوبي
güney	ساوث
güney	الجنوب
güney	جنوبية
almanya	المانيا
kişi	الشخص
kişi	شخص
değil	لا
değil	مش
değil	ليس
değil	وليس
kuzey	الشمالي
kuzey	شمالي
kuzey	شمال
kuzey	الشمالية
kuzey	شمالا
kuzey	نورث
kuzey	الشمال
çeşitli	تنوع
çeşitli	شتى
çeşitli	التنوع
çeşitli	المتنوعة
çeşitli	متنوعة
çeşitli	متنوع
açıklama	التفسير
açıklama	شرح
açıklama	الوصف
açıklama	وصف
açıklama	الشرح
açıklama	تفسير
açıklama	تعليل
açıklama	توضيح
ortaya	تكشف
bilgileri	المعلومات
bilgileri	معلومات
fransa	وفرنسا
fransa	فرنسا
fransa	فرانس
ingilizce	الانكليزية
ingilizce	انجليزي
ingilizce	بالانكليزية
ingilizce	الانجليزية
ingilizce	انجليزية
olmak	كونك
amerika	امريكا
amerika	اميركا
el	يد
el	اليد
el	يدا
burada	هنا
gol	ليك
gol	لايك
gol	الاهداف
gol	الغايات
gol	البحيرة
gol	هدف
gol	المرمى
gol	بحيرة
gol	الهدف
gol	اهداف
sağlayan	تمكين
ana	ام
ana	الام
ana	رئيسية
ana	الرئيسية
suyu	عصير
suyu	العصير
özellikle	خصوصا
özellikle	بالتحديد
özellikle	وخاصة
özellikle	بالاخص
özellikle	تحديدا
özellikle	خصيصا
özellikle	خاصة
ilköğretim	الابتدائية
ilköğretim	ابتدائية
ilköğretim	ابتدائي
birleşik	المتحدة
birleşik	موحد
birleşik	متحدين
birleşik	موحدة
birleşik	متحدة
ödülü	ثواب
ödülü	الجائزة
ödülü	جائزة
yerine	استبدال
yerine	استبدل
yerine	تستبدل
yerine	يستعاض
gün	نهار
gün	يوم
gün	اليوم
geçen	مرور
geçen	تمرير
geçen	عابر
geçen	تمر
doğu	المشرق
doğu	شرق
doğu	شرقية
doğu	ايست
doğu	الشرقية
doğu	الشرق
doğu	شرقي
doğu	شرقا
süre	الزمن
süre	الوقت
süre	المدة
süre	وقت
süre	الزمان
süre	زمن
süre	مدة
sabit	ثابت
sabit	ثبات
sabit	ثابتة
sabit	مستقرة
sabit	بثبات
sabit	مستقر
eğitim	تدريب
eğitim	التعليم
eğitim	التربية
eğitim	تعليمي
eğitim	تربوية
eğitim	تعليم
eğitim	تعليمية
eğitim	التعليمية
eğitim	التدريب
su	مياه
su	الماء
su	ماء
su	المياه
sırasında	خلال
sırasında	اثناء
uluslararası	دولي
uluslararası	الدولية
uluslararası	دولية
uluslararası	الدولي
yaklaşık	بخصوص
yaklaşık	عن
yaklaşık	بشان
yaklaşık	حول
yaklaşık	التقريبي
alman	الالماني
alman	المانية
alman	الماني
alman	الالمان
alman	المان
alman	المانيا
alman	الالمانية
az	قليل
az	الصغير
az	اقل
az	القليل
millî	ناشيونال
millî	الوطنية
millî	وطني
millî	وطنية
kaynak	موارد
kaynak	المورد
kaynak	مصدر
kaynak	المصدر
kaynak	الموارد
kaynak	مورد
kaynak	اللحام
kaynak	لحام
kullanılan	استخدم
kullanılan	استعمل
kullanılan	مستخدم
kullanılan	استخدمت
paşa	باشا
ligi	دوري
ligi	الدوري
görev	واجب
görev	بعثة
görev	مهمة
görev	البعثة
görev	المهمة
görev	الانتداب
görev	التكليف
görev	الواجب
halk	اشخاص
halk	الجمهور
halk	الناس
halk	شعوب
halk	عام
halk	الشعوب
halk	اناس
halk	عامة
halk	ناس
halk	الاشخاص
halk	العامة
halk	علنية
tv	تلفاز
tv	تلفزيون
tv	التليفزيون
tv	التلفاز
tv	التلفزيون
onun	ده
onun	هي
onun	لها
yine	مجددا
yine	ثانية
ekonomisi	الاقتصاد
ekonomisi	اقتصاد
yılı	السنه
yılı	عام
yılı	سنه
yılı	السنة
yılı	سنة
yılı	العام
telefon	تلفون
telefon	هاتف
telefon	تليفون
telefon	الهاتف
yeniden	مجددا
yeniden	ثانية
içme	الشرب
içme	تشرب
içme	يشرب
içme	شرب
etki	الاثر
etki	الاصطدام
etki	تاثير
etki	النفوذ
etki	التاثير
sezon	الموسم
sezon	موسم
albüm	البومات
albüm	البوم
albüm	الالبومات
albüm	الالبوم
ingiliz	الانكليزية
ingiliz	بريطانيا
ingiliz	البريطاني
ingiliz	بريطانية
ingiliz	الانجليزية
ingiliz	انجليزي
ingiliz	بالانكليزية
ingiliz	بريطاني
ingiliz	البريطانية
ingiliz	انجليزية
puan	النتيجة
puan	نقطة
puan	تقييم
puan	تصنيف
puan	النقطة
puan	التقييم
puan	التصنيف
puan	بوينت
puan	نقاط
puan	النقاط
nedeniyle	المستحقة
nüfus	السكان
batı	غربية
batı	غربا
batı	غربي
batı	غرب
batı	الغربية
batı	الغرب
batı	ويست
altında	تحت
tür	نوع
tür	الانواع
tür	النوع
amerikan	الامريكي
amerikan	امريكية
amerikan	امريكيون
amerikan	امريكي
savaş	القتال
savaş	الحرب
savaş	معركة
savaş	قتال
savaş	حرب
savaş	المعركة
savaş	باتل
savaş	شجار
tekrar	مجددا
tekrar	ثانية
tekrar	كرر
tekrar	تكرار
tekrar	الاعادة
anadolu	اسيا
anadolu	الاناضول
söz	عدني
söz	كلمة
söz	الكلمة
söz	وعد
söz	دك
söz	الوعد
rağmen	الرغم
grubu	مجموعة
grubu	المجموعة
elde	اكتسب
elde	حققت
elde	اكتسبت
elde	المكتسبة
elde	تحقيقه
elde	اكتساب
ait	تنتمي
ait	الانتماء
ait	ينتمي
ait	المملوكة
ait	مملوكة
kadın	النساء
kadın	اناث
kadın	انثى
kadın	امراة
kadın	الانثى
kadın	نساء
kadın	الاناث
kadın	المراة
türkçe	الانكليزية
türkçe	التركية
türkçe	التركي
türkçe	تركي
türkçe	تركية
türkçe	انجليزي
türkçe	بالانكليزية
türkçe	الانجليزية
türkçe	انجليزية
kullanıcı	المستخدمين
kullanıcı	مستعمل
kullanıcı	مستخدم
kullanıcı	المستخدمون
kullanıcı	مستخدمون
kullanıcı	مستخدمين
kullanıcı	المستعمل
kullanıcı	المستخدم
kullanıcı	مستخدمو
tam	كامل
tam	الكامل
tam	اكتمل
tam	ملي
tam	كاملة
birliği	الاتحاد
birliği	النقابة
birliği	يونيون
birliği	نقابة
kanalizasyon	مجاري
kanalizasyon	المجاري
maç	مباراة
maç	المباراة
maç	مطابقة
maç	المطابقة
maç	لعبة
maç	ماك
maç	اللعبة
maç	ماتش
roma	روم
roma	روما
at	الحصان
at	حصان
at	رمي
at	ارم
at	ارمي
at	خيل
bölüm	الشعبة
bölüm	جزء
bölüm	حلقة
bölüm	الفرع
bölüm	الفصل
bölüm	شعبة
bölüm	الادارة
bölüm	القسم
bölüm	قسم
bölüm	الجزء
bölüm	الحلقة
yazar	الكاتبة
yazar	كاتب
yazar	مؤلف
yazar	الكاتب
yazar	كاتبة
yazar	المؤلف
sıra	صف
sıra	الصفوف
sıra	صفوف
ulusal	ناشيونال
ulusal	الوطنية
ulusal	وطني
ulusal	وطنية
köyü	القرية
köyü	قرية
teknik	تيك
teknik	تقنية
teknik	فني
teknik	التقنية
teknik	تقني
nüfusu	السكان
deniz	بحر
deniz	البحر
uygun	صالح
uygun	مؤهل
uygun	مناسبة
yakın	مقرب
yakın	الوثيق
yakın	اقرب
yakın	بالجوار
yakın	قرب
yakın	بالقرب
yakın	قريب
yakın	مجاور
yakın	اغلق
yakın	اغلاق
listesi	قائمه
listesi	القائمة
listesi	قائمة
dört	اربع
dört	اربعة
dört	اربعه
iç	الداخلي
iç	داخلية
iç	اشرب
iç	مشروب
iç	شرب
iç	شراب
iç	داخلي
iç	الداخلية
ingiltere	انجلترا
ingiltere	انكلترا
alt	القاع
alt	قاع
alt	الباطن
alt	اخفض
alt	اقل
alt	ادنى
alt	الغواصة
alt	فرعي
alt	غواصة
alt	ضرب
alt	تغلب
asfalt	الاسفلت
fransız	فرنسية
fransız	فرنسي
fransız	الفرنسية
fransız	فرنسيا
fransız	بالفرنسية
belediye	البلدية
belediye	بلدية
stadyumu	الملعب
stadyumu	استاد
stadyumu	ملعب
rusya	روسيا
rusya	بيلاروس
genellikle	عادة
genellikle	غالبا
genellikle	عموما
genellikle	نموذجيا
bar	حانة
bar	الحانة
sonunda	واخيرا
sonunda	اخيرا
parti	حفلة
parti	حزب
parti	الطرف
parti	الحزب
parti	حفل
erkek	الرجال
erkek	الذكر
erkek	رجل
erkek	رجال
erkek	ذكرا
erkek	الذكور
erkek	مان
erkek	ذكر
erkek	الرجل
erkek	ذكور
beyaz	قوقازي
beyaz	ابيض
beyaz	وايت
beyaz	الابيض
beyaz	بيضاء
beyaz	القوقاز
bölge	المنطقة
bölge	مساحة
bölge	منطقة
bölge	اقليم
bölge	المساحة
bölge	المقاطعة
bölge	الاقليم
italya	ايطاليا
onu	هي
onu	هو
onu	له
onu	لها
hava	هواء
hava	الهواء
hava	الطقس
hava	طقس
hava	الجو
verilen	نظرا
çünkü	لاني
çünkü	عشان
çünkü	سبب
çünkü	بسبب
çünkü	السبب
çünkü	لانني
çünkü	لان
çünkü	لانه
birkaç	قلة
birkaç	قليلة
birkaç	عدة
birkaç	قليلون
il	محافظة
il	اقليم
il	المحافظة
il	المقاطعة
il	الاقليم
il	مقاطعة
dönem	المصطلح
dönem	الفترة
dönem	مصطلح
dönem	فترة
açık	واضح
açık	خال
açık	واضحة
açık	مفتوحة
açık	مبين
açık	افتح
açık	فتح
açık	مفتوح
insan	شخص
insan	بشرية
insan	الشخص
insan	الانسان
insan	مان
insan	انسان
insan	الرجل
insan	رجل
insan	بشري
merkez	سنترال
merkez	وسط
merkez	الوسط
merkez	سنتر
merkez	مركز
merkez	مركزي
merkez	المقر
merkez	المنتصف
merkez	المركز
merkez	مركزية
merkez	الوسطى
düşük	تدني
düşük	منخفضة
düşük	انخفاض
düşük	منخفض
altın	ذهبي
altın	ذهب
altın	الذهب
altın	جولد
altın	غولد
altın	الذهبي
altın	ذهبية
bilinen	معروف
bilinen	المعروفة
bilinen	المعروف
bilinen	معروفة
bilinen	معلوم
neden	ليش
neden	لماذا
neden	لما
bin	الالف
bin	الف
genç	شابة
genç	صغار
genç	المراهق
genç	مراهق
genç	اصغر
genç	الاصغر
genç	الشباب
genç	شاب
genç	شب
dışında	ماعدا
dışında	باستثناء
dışında	الا
dışında	عدا
kır	استراحة
kır	كسر
kır	تكسر
stadyum	الملعب
stadyum	استاد
stadyum	ملعب
ülke	البلد
ülke	بلد
ülke	البلاد
ülke	بلاد
dil	لسان
dil	اللغات
dil	لغات
dil	اللغة
dil	لغة
dil	اللسان
pozisyon	موقف
pozisyon	المواقف
pozisyon	الموضع
pozisyon	الموقف
pozisyon	المناصب
pozisyon	مناصب
pozisyon	المواقع
pozisyon	المنصب
mustafa	مصطفى
dahil	مدرج
dahil	يتضمن
dahil	المدرجة
dahil	تشمل
dahil	يشمل
dahil	شملت
dahil	مدفوع
dahil	شمل
dahil	تتضمن
dahil	تضمين
an	اللحظة
iş	العمل
iş	اعمل
iş	شغل
iş	الشغل
iş	عمل
iş	الوظيفة
iş	وظيفة
iş	وظائف
iş	الاعمال
iş	الوظائف
bölümü	قسم
bölümü	الادارة
bölümü	القسم
bölümü	الفرع
ili	محافظة
gelir	ايرادات
gelir	ايراد
gelir	الايرادات
gelir	دخل
gelir	الدخل
kullanım	استعمال
kullanım	استخدم
kullanım	استخدام
kullanım	الاستعمال
kullanım	استعمل
kullanım	الاستخدام
sanat	الفنون
sanat	فن
sanat	فنون
sanat	الفن
sanat	ارت
arasındaki	بين
üçüncü	الثالث
üçüncü	ثالثة
üçüncü	ثالث
üçüncü	ثالثا
üçüncü	الثالثة
bunu	هذه
bunu	ذلك
bunu	هذا
sonraki	التالى
sonraki	التالية
sonraki	القادم
sonraki	التالي
ele	قهر
güzel	جميل
güzel	خير
güzel	طيب
güzel	لطيف
güzel	حلو
güzel	الخير
güzel	جيد
güzel	جميله
güzel	جميلة
güzel	بخير
alır	ياخذ
alır	يستغرق
çocuk	طفل
çocuk	الطفلة
çocuk	طفلة
çocuk	الطفل
çocuk	الولد
çocuk	فتى
çocuk	الاطفال
çocuk	ولد
çocuk	صبي
çocuk	اطفال
çocuk	بوي
sinema	سينما
sinema	الفلم
sinema	السينما
sinema	الافلام
sinema	الفيلم
sinema	افلام
sinema	فيلم
askeri	عسكرية
askeri	عسكري
askeri	الجيش
askeri	العسكري
örneğin	مثال
örneğin	المثال
üst	علوي
üst	قمة
üst	العليا
üst	الاعلى
üst	القمة
üst	توب
kara	بلاك
kara	اسود
kara	اراض
kara	ارض
kara	الاراضي
kara	الاسود
kara	سوداء
kara	الارض
oyun	الالعاب
oyun	مباراة
oyun	المباراة
oyun	العب
oyun	المباريات
oyun	لعبة
oyun	لعب
oyun	مباريات
oyun	اللعبة
oyun	تلعب
oyun	العاب
oyun	مسرحية
oyun	تشغيل
oyun	اللعب
beraber	سويا
beraber	سوية
beraber	معا
sırada	التالى
sırada	التالية
sırada	القادم
sırada	التالي
şablon	القوالب
şablon	القالب
şablon	قالب
şablon	النمط
şablon	قوالب
şablon	نماذج
şablon	نمط
aday	رشحت
aday	مرشح
aday	المرشح
aday	المرشحة
aday	رشح
aday	مرشحة
milyon	مليونا
milyon	مليون
milyon	المليون
milyon	الملايين
milyon	ملايين
top	كانون
top	الكرة
top	المدفع
top	كرة
top	مدفع
hakem	الحكم
hakem	حكم
hakem	المحكم
hakem	المرجع
ay	شهر
ay	شهرا
ay	قمر
ay	القمر
ay	شهورا
ay	شهور
ay	الشهر
ay	اشهر
ay	الاشهر
ay	الشهور
imparatorluğu	الامبراطورية
imparatorluğu	امبراطورية
internet	ويب
internet	الشبكة
internet	الويب
herhangi	اي
herhangi	اية
tiyatro	مسرح
tiyatro	المسرح
tiyatro	الدراما
tiyatro	مسرحي
tiyatro	دراما
kazandı	وون
kazandı	فاز
kültür	ثقافات
kültür	الثقافة
kültür	ثقافته
kültür	ثقافية
kültür	ثقافي
kültür	الثقافية
kültür	ثقافة
kültür	الثقافات
kültür	الثقافي
karar	مقررات
karar	القرار
karar	قرارات
karar	مقرر
karar	قرار
karar	قررت
karar	قرر
karar	القرارات
karar	المقرر
karar	المقررات
tarih	موعد
tarih	الموعد
tarih	تاريخ
tarih	التاريخ
ilçe	مقاطعة
ilçe	منطقة
ilçe	المقاطعة
ilçe	المنطقة
temel	الاساس
temel	اساسيات
temel	الاساسية
temel	اساسي
temel	المؤسسة
temel	اساسية
temel	مؤسسة
konu	موضوع
konu	الموضوع
bağlantı	للاتصال
bağlantı	لينك
bağlantı	ربط
bağlantı	الرابط
bağlantı	رابط
bağlantı	اتصال
bağlantı	وصلة
bağlantı	التواصل
bağlantı	الاتصال
çin	الصين
çin	الصينية
ünlü	مشهورة
ünlü	شهير
ünlü	مشهور
ünlü	شهيرة
ünlü	الشهيرة
ünlü	المشاهير
spor	رياضة
spor	سبورت
spor	الرياضات
spor	الرياضة
kalan	المتبقية
meslek	المهنة
meslek	الاحتلال
meslek	مهنة
meslek	احتلال
sultan	سلطانة
iran	الفارسي
iran	الفارسية
ahmet	احمد
çıktı	ناتج
çıktı	النواتج
çıktı	الناتج
çıktı	الاخراج
ispanya	اسبانيا
bile	حتى
bile	حتي
izmir	سميرنا
sosyal	اجتماعية
sosyal	الاجتماعية
sosyal	اجتماعي
sosyal	الاجتماعي
cm	بوصة
cm	بوصات
cm	انشات
japonya	اليابان
japonya	واليابان
ün	الشهرة
ün	شهرة
geldi	وصلت
geldi	وصل
liste	القوائم
liste	قوائم
liste	قائمة
liste	القائمة
liste	قائمه
oy	تصويت
oy	صوتوا
oy	الاصوات
oy	التصويت
oy	اصوات
geniş	واسعة
geniş	واسع
geniş	واسعا
geniş	عريض
geniş	فسيح
geniş	كبيرة
ev	هاوس
ev	المنزل
ev	منزل
ev	الوطن
ev	البيت
transfer	تحويلات
transfer	التحويلات
önceki	قبل
önceki	السابق
önceki	السابقة
önceki	سابق
önceki	سابقة
mısır	مصر
mısır	مصري
mısır	مصرية
mısır	المصرية
mısır	الذرة
mısır	ذرة
mısır	المصري
rus	روسيا
rus	روسية
rus	الروسي
rus	الروسية
rus	روسي
yarı	نصف
yarı	النصف
yarı	شبه
afrika	الافريقية
afrika	افريقي
afrika	افريقيا
afrika	الافريقي
afrika	افريقية
hareket	حركة
hareket	الحركة
hareket	تحرك
hareket	التحرك
adil	عادل
adil	عادلة
adil	منصف
adil	عدل
bölgesi	الاقليم
bölgesi	المنطقة
bölgesi	منطقة
bölgesi	اقليم
kontrol	سيطرة
kontrol	التحكم
kontrol	تدقيق
kontrol	كش
kontrol	تحكم
kontrol	تحقق
kontrol	التحقق
kontrol	السيطرة
kontrol	تفقد
kontrol	التدقيق
sahibi	صاحب
sahibi	المالك
sahibi	مالك
bilim	العلوم
bilim	علوم
bilim	العلم
üreten	المصنوعات
sistemi	المنظومة
sistemi	نظام
sistemi	النظام
başarılı	ناجح
başarılı	التوفيق
başarılı	ناجحة
başarılı	نجاح
başarılı	النجاح
başarılı	بنجاح
başarılı	الناجحة
çoğu	اغلب
çoğu	الاكثر
çoğu	معظم
ordu	العسكري
ordu	عسكرية
ordu	عسكري
ordu	جيش
ordu	الجيش
verdi	اعطى
verdi	وهب
verdi	اعطيت
yaşayan	العيش
yaşayan	المعيشة
profesyonel	المهنيين
profesyonel	محترفين
profesyonel	محترف
profesyonel	المهنية
profesyonel	مهني
profesyonel	برو
profesyonel	احترافية
profesyonel	المحترفين
profesyonel	محترفون
profesyonel	مهنية
profesyonel	مؤيد
süper	السوبر
süper	سوبر
hiç	ابدا
ifade	البيان
ifade	شهادة
ifade	اعرب
ifade	التعبير
ifade	تعبير
ifade	بيان
ifade	الشهادة
şey	الشيء
rol	ادوار
rol	دور
rol	الدور
rol	الادوار
islam	اسلامية
islam	اسلامي
islam	الاسلامي
islam	الاسلامية
rapor	بلاغ
rapor	تقرير
rapor	الابلاغ
rapor	التقرير
kullanılır	استخدم
